"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"468570","luk","1","11","8",",1449236,",",1226888,",0,"[{'id': 1449236, 'book_id': 'luk', 'chapter': '1', 'verse': '11', 'word_num': 9, 'word': 'θυσιαστηρίου', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,GNS,'}]","θυσιαστηρίου",1,0,"[{'id': 1226888, 'book_id': 'luk', 'chapter': '1', 'verse': '11', 'word_num': 14, 'word': 'of', 'occurrence': 2}]","of",1,"θυσιαστηρίου = of",0.05555555555555555,0,0
"478106","luk","11","51","10",",1458977,",",1239782,",0,"[{'id': 1458977, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 10, 'word': 'θυσιαστηρίου', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,GNS,'}]","θυσιαστηρίου",1,0,"[{'id': 1239782, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 14, 'word': 'altar', 'occurrence': 1}]","altar",1,"θυσιαστηρίου = altar",0.3333333333333333,0,0
"512941","act","17","23","11",",1495487,",",1287184,1287185,",0,"[{'id': 1495487, 'book_id': 'act', 'chapter': '17', 'verse': '23', 'word_num': 9, 'word': 'βωμὸν', 'occurrence': 1, 'strong': 'G10410', 'lemma': 'βωμός', 'morph': 'Gr,N,,,,,AMS,'}]","βωμὸν",1,1,"[{'id': 1287184, 'book_id': 'act', 'chapter': '17', 'verse': '23', 'word_num': 13, 'word': 'an', 'occurrence': 1}, {'id': 1287185, 'book_id': 'act', 'chapter': '17', 'verse': '23', 'word_num': 14, 'word': 'altar', 'occurrence': 1}]","an altar",2,"βωμὸν = an altar",0.05555555555555555,0,0
"524174","rom","11","3","6",",1507286,1507287,",",1303399,",1,"[{'id': 1507286, 'book_id': 'rom', 'chapter': '11', 'verse': '3', 'word_num': 5, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1507287, 'book_id': 'rom', 'chapter': '11', 'verse': '3', 'word_num': 6, 'word': 'θυσιαστήριά', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ θυσιαστήριά",2,0,"[{'id': 1303399, 'book_id': 'rom', 'chapter': '11', 'verse': '3', 'word_num': 11, 'word': 'altars', 'occurrence': 1}]","altars",1,"τὰ θυσιαστήριά = altars",0.05555555555555555,0,0
"529460","1co","9","13","16",",1512896,1512897,",",1311296,1311297,1311298,",1,"[{'id': 1512896, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 13, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1512897, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 14, 'word': 'θυσιαστηρίῳ', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,DNS,'}]","τῷ θυσιαστηρίῳ",2,2,"[{'id': 1311296, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 21, 'word': 'at', 'occurrence': 1}, {'id': 1311297, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 22, 'word': 'the', 'occurrence': 4}, {'id': 1311298, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 23, 'word': 'altar', 'occurrence': 1}]","at the altar",3,"τῷ θυσιαστηρίῳ = at the altar",0.05555555555555555,0,0
"529463","1co","9","13","19",",1512900,",",1311302,",0,"[{'id': 1512900, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 17, 'word': 'θυσιαστηρίῳ', 'occurrence': 2, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,DNS,'}]","θυσιαστηρίῳ",1,0,"[{'id': 1311302, 'book_id': '1co', 'chapter': '9', 'verse': '13', 'word_num': 27, 'word': 'altar', 'occurrence': 2}]","altar",1,"θυσιαστηρίῳ = altar",0.1111111111111111,0,0
"529953","1co","10","18","11",",1513396,",",1312067,",0,"[{'id': 1513396, 'book_id': '1co', 'chapter': '10', 'verse': '18', 'word_num': 12, 'word': 'θυσιαστηρίου', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,GNS,'}]","θυσιαστηρίου",1,0,"[{'id': 1312067, 'book_id': '1co', 'chapter': '10', 'verse': '18', 'word_num': 18, 'word': 'altar', 'occurrence': 1}]","altar",1,"θυσιαστηρίου = altar",0.3333333333333333,0,0
"552776","heb","7","13","13",",1536909,",",1344994,",0,"[{'id': 1536909, 'book_id': 'heb', 'chapter': '7', 'verse': '13', 'word_num': 13, 'word': 'θυσιαστηρίῳ', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,DNS,'}]","θυσιαστηρίῳ",1,0,"[{'id': 1344994, 'book_id': 'heb', 'chapter': '7', 'verse': '13', 'word_num': 22, 'word': 'altar', 'occurrence': 1}]","altar",1,"θυσιαστηρίῳ = altar",0.1111111111111111,0,0
"555460","heb","13","10","1",",1539709,",",1349102,1349103,",0,"[{'id': 1539709, 'book_id': 'heb', 'chapter': '13', 'verse': '10', 'word_num': 1, 'word': 'θυσιαστήριον', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,ANS,'}]","θυσιαστήριον",1,1,"[{'id': 1349102, 'book_id': 'heb', 'chapter': '13', 'verse': '10', 'word_num': 2, 'word': 'an', 'occurrence': 1}, {'id': 1349103, 'book_id': 'heb', 'chapter': '13', 'verse': '10', 'word_num': 3, 'word': 'altar', 'occurrence': 1}]","an altar",2,"θυσιαστήριον = an altar",0.05555555555555555,0,0
"556390","jas","2","21","14",",1540701,",",1350464,",0,"[{'id': 1540701, 'book_id': 'jas', 'chapter': '2', 'verse': '21', 'word_num': 15, 'word': 'θυσιαστήριον', 'occurrence': 1, 'strong': 'G23790', 'lemma': 'θυσιαστήριον', 'morph': 'Gr,N,,,,,ANS,'}]","θυσιαστήριον",1,0,"[{'id': 1350464, 'book_id': 'jas', 'chapter': '2', 'verse': '21', 'word_num': 17, 'word': 'altar', 'occurrence': 1}]","altar",1,"θυσιαστήριον = altar",0.1111111111111111,0,0
