"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"181302","mat","1","16","10",",1143719,1143720,",",819818,819819,819820,",1,"[{'id': 1143719, 'book_id': 'mat', 'chapter': '1', 'verse': '16', 'word_num': 12, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1143720, 'book_id': 'mat', 'chapter': '1', 'verse': '16', 'word_num': 13, 'word': 'λεγόμενος', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,PPP,NMS,'}]","ὁ λεγόμενος",2,2,"[{'id': 819818, 'book_id': 'mat', 'chapter': '1', 'verse': '16', 'word_num': 15, 'word': 'who', 'occurrence': 1}, {'id': 819819, 'book_id': 'mat', 'chapter': '1', 'verse': '16', 'word_num': 16, 'word': 'is', 'occurrence': 1}, {'id': 819820, 'book_id': 'mat', 'chapter': '1', 'verse': '16', 'word_num': 17, 'word': 'called', 'occurrence': 1}]","who is called",3,"ὁ λεγόμενος = who is called",0.0007377351530800443,0,0
"181374","mat","1","20","5",",1143798,",",819919,819920,",0,"[{'id': 1143798, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 5, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,1,"[{'id': 819919, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 7, 'word': 'an', 'occurrence': 1}, {'id': 819920, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 8, 'word': 'angel', 'occurrence': 1}]","an angel",2,"ἄγγελος = an angel",0.005533013648100332,0,0
"181380","mat","1","20","11",",1143804,",",819930,",0,"[{'id': 1143804, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 11, 'word': 'λέγων', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,PPA,NMS,'}]","λέγων",1,0,"[{'id': 819930, 'book_id': 'mat', 'chapter': '1', 'verse': '20', 'word_num': 18, 'word': 'saying', 'occurrence': 1}]","saying",1,"λέγων = saying",0.05090372556252305,0,0
"181421","mat","1","22","5",",1143849,1143850,",",819987,819988,819989,",1,"[{'id': 1143849, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 6, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NNS,'}, {'id': 1143850, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 7, 'word': 'ῥηθὲν', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,PAP,NNS,'}]","τὸ ῥηθὲν",2,2,"[{'id': 819987, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 7, 'word': 'what', 'occurrence': 1}, {'id': 819988, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 8, 'word': 'was', 'occurrence': 1}, {'id': 819989, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 9, 'word': 'spoken', 'occurrence': 1}]","what was spoken",3,"τὸ ῥηθὲν = what was spoken",0.0014754703061600886,0,0
"181427","mat","1","22","11",",1143856,",",819996,",0,"[{'id': 1143856, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 13, 'word': 'λέγοντος', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,PPA,GMS,'}]","λέγοντος",1,0,"[{'id': 819996, 'book_id': 'mat', 'chapter': '1', 'verse': '22', 'word_num': 16, 'word': 'saying', 'occurrence': 1}]","saying",1,"λέγοντος = saying",0.0036886757654002213,0,0
"181456","mat","1","24","9",",1143891,",",820034,",0,"[{'id': 1143891, 'book_id': 'mat', 'chapter': '1', 'verse': '24', 'word_num': 12, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,0,"[{'id': 820034, 'book_id': 'mat', 'chapter': '1', 'verse': '24', 'word_num': 11, 'word': 'angel', 'occurrence': 1}]","angel",1,"ἄγγελος = angel",0.010697159719660641,0,0
"181496","mat","2","2","0",",1143932,",",820091,",0,"[{'id': 1143932, 'book_id': 'mat', 'chapter': '2', 'verse': '2', 'word_num': 0, 'word': 'λέγοντες', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,PPA,NMP,'}]","λέγοντες",1,0,"[{'id': 820091, 'book_id': 'mat', 'chapter': '2', 'verse': '2', 'word_num': 0, 'word': 'saying', 'occurrence': 1}]","saying",1,"λέγοντες = saying",0.044264109184802655,0,0
"181543","mat","2","5","1",",1143981,",",820156,",0,"[{'id': 1143981, 'book_id': 'mat', 'chapter': '2', 'verse': '5', 'word_num': 2, 'word': 'εἶπαν', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,IAA3,,P,'}]","εἶπαν",1,0,"[{'id': 820156, 'book_id': 'mat', 'chapter': '2', 'verse': '5', 'word_num': 1, 'word': 'said', 'occurrence': 1}]","said",1,"εἶπαν = said",0.016599040944300997,0,0
"181594","mat","2","8","5",",1144036,",",820225,",0,"[{'id': 1144036, 'book_id': 'mat', 'chapter': '2', 'verse': '8', 'word_num': 5, 'word': 'εἶπεν', 'occurrence': 1, 'strong': 'G30040', 'lemma': 'λέγω', 'morph': 'Gr,V,IAA3,,S,'}]","εἶπεν",1,0,"[{'id': 820225, 'book_id': 'mat', 'chapter': '2', 'verse': '8', 'word_num': 6, 'word': 'saying', 'occurrence': 1}]","saying",1,"εἶπεν = saying",0.0011066027296200663,0,0
"181688","mat","2","13","5",",1144136,",",820361,820362,",0,"[{'id': 1144136, 'book_id': 'mat', 'chapter': '2', 'verse': '13', 'word_num': 4, 'word': 'ἄγγελος', 'occurrence': 1, 'strong': 'G00320', 'lemma': 'ἄγγελος', 'morph': 'Gr,N,,,,,NMS,'}]","ἄγγελος",1,1,"[{'id': 820361, 'book_id': 'mat', 'chapter': '2', 'verse': '13', 'word_num': 6, 'word': 'an', 'occurrence': 1}, {'id': 820362, 'book_id': 'mat', 'chapter': '2', 'verse': '13', 'word_num': 7, 'word': 'angel', 'occurrence': 1}]","an angel",2,"ἄγγελος = an angel",0.005533013648100332,0,0
