"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"461256","mrk","6","13","4",",1441154,",",1216167,",0,"[{'id': 1441154, 'book_id': 'mrk', 'chapter': '6', 'verse': '13', 'word_num': 5, 'word': 'ἤλειφον', 'occurrence': 1, 'strong': 'G02180', 'lemma': 'ἀλείφω', 'morph': 'Gr,V,IIA3,,P,'}]","ἤλειφον",1,0,"[{'id': 1216167, 'book_id': 'mrk', 'chapter': '6', 'verse': '13', 'word_num': 6, 'word': 'anointed', 'occurrence': 1}]","anointed",1,"ἤλειφον = anointed",0.05,1,0,0
"466678","mrk","14","8","3",",1447036,",",1223861,1223862,1223863,",0,"[{'id': 1447036, 'book_id': 'mrk', 'chapter': '14', 'verse': '8', 'word_num': 4, 'word': 'μυρίσαι', 'occurrence': 1, 'strong': 'G34620', 'lemma': 'μυρίζω', 'morph': 'Gr,V,NAA,,,,,'}]","μυρίσαι",1,2,"[{'id': 1223861, 'book_id': 'mrk', 'chapter': '14', 'verse': '8', 'word_num': 6, 'word': 'She', 'occurrence': 2}, {'id': 1223862, 'book_id': 'mrk', 'chapter': '14', 'verse': '8', 'word_num': 7, 'word': 'has', 'occurrence': 2}, {'id': 1223863, 'book_id': 'mrk', 'chapter': '14', 'verse': '8', 'word_num': 8, 'word': 'anointed', 'occurrence': 1}]","She has anointed",3,"μυρίσαι = She has anointed",0.05,1,0,0
"468301","mrk","16","1","15",",1448794,",",1226234,1226235,",0,"[{'id': 1448794, 'book_id': 'mrk', 'chapter': '16', 'verse': '1', 'word_num': 18, 'word': 'ἀλείψωσιν', 'occurrence': 1, 'strong': 'G02180', 'lemma': 'ἀλείφω', 'morph': 'Gr,V,SAA3,,P,'}]","ἀλείψωσιν",1,1,"[{'id': 1226234, 'book_id': 'mrk', 'chapter': '16', 'verse': '1', 'word_num': 21, 'word': 'and', 'occurrence': 2}, {'id': 1226235, 'book_id': 'mrk', 'chapter': '16', 'verse': '1', 'word_num': 22, 'word': 'anoint', 'occurrence': 1}]","and anoint",2,"ἀλείψωσιν = and anoint",0.05,1,0,0
"471227","luk","4","18","5",",1451983,",",1230481,1230482,",0,"[{'id': 1451983, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 6, 'word': 'ἔχρισέν', 'occurrence': 1, 'strong': 'G55480', 'lemma': 'χρίω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔχρισέν",1,1,"[{'id': 1230481, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1230482, 'book_id': 'luk', 'chapter': '4', 'verse': '18', 'word_num': 10, 'word': 'anointed', 'occurrence': 1}]","he anointed",2,"ἔχρισέν = he anointed",0.05,1,0,0
"474040","luk","7","38","27",",1454829,",",1234325,1234326,",0,"[{'id': 1454829, 'book_id': 'luk', 'chapter': '7', 'verse': '38', 'word_num': 28, 'word': 'ἤλειφεν', 'occurrence': 1, 'strong': 'G02180', 'lemma': 'ἀλείφω', 'morph': 'Gr,V,IIA3,,S,'}]","ἤλειφεν",1,1,"[{'id': 1234325, 'book_id': 'luk', 'chapter': '7', 'verse': '38', 'word_num': 33, 'word': 'anointing', 'occurrence': 1}, {'id': 1234326, 'book_id': 'luk', 'chapter': '7', 'verse': '38', 'word_num': 34, 'word': 'them', 'occurrence': 2}]","anointing them",2,"ἤλειφεν = anointing them",0.05,1,0,0
"474180","luk","7","46","0",",1454974,",",1234517,",0,"[{'id': 1454974, 'book_id': 'luk', 'chapter': '7', 'verse': '46', 'word_num': 5, 'word': 'ἤλειψας', 'occurrence': 1, 'strong': 'G02180', 'lemma': 'ἀλείφω', 'morph': 'Gr,V,IAA2,,S,'}]","ἤλειψας",1,0,"[{'id': 1234517, 'book_id': 'luk', 'chapter': '7', 'verse': '46', 'word_num': 0, 'word': 'You', 'occurrence': 1}]","You",1,"ἤλειψας = You",0.05,1,0,0
"474188","luk","7","46","8",",1454978,",",1234527,1234528,",0,"[{'id': 1454978, 'book_id': 'luk', 'chapter': '7', 'verse': '46', 'word_num': 9, 'word': 'ἤλειψεν', 'occurrence': 1, 'strong': 'G02180', 'lemma': 'ἀλείφω', 'morph': 'Gr,V,IAA3,,S,'}]","ἤλειψεν",1,1,"[{'id': 1234527, 'book_id': 'luk', 'chapter': '7', 'verse': '46', 'word_num': 10, 'word': 'has', 'occurrence': 1}, {'id': 1234528, 'book_id': 'luk', 'chapter': '7', 'verse': '46', 'word_num': 11, 'word': 'anointed', 'occurrence': 1}]","has anointed",2,"ἤλειψεν = has anointed",0.05,1,0,0
"493769","jhn","9","6","11",",1475435,",",1261180,",0,"[{'id': 1475435, 'book_id': 'jhn', 'chapter': '9', 'verse': '6', 'word_num': 11, 'word': 'ἐπέχρισεν', 'occurrence': 1, 'strong': 'G20250', 'lemma': 'ἐπιχρίω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπέχρισεν",1,0,"[{'id': 1261180, 'book_id': 'jhn', 'chapter': '9', 'verse': '6', 'word_num': 17, 'word': 'smeared', 'occurrence': 1}]","smeared",1,"ἐπέχρισεν = smeared",0.05,1,0,0
"493845","jhn","9","11","9",",1475517,",",1261283,1261284,",0,"[{'id': 1475517, 'book_id': 'jhn', 'chapter': '9', 'verse': '11', 'word_num': 10, 'word': 'ἐπέχρισέν', 'occurrence': 1, 'strong': 'G20250', 'lemma': 'ἐπιχρίω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐπέχρισέν",1,1,"[{'id': 1261283, 'book_id': 'jhn', 'chapter': '9', 'verse': '11', 'word_num': 11, 'word': 'smeared', 'occurrence': 1}, {'id': 1261284, 'book_id': 'jhn', 'chapter': '9', 'verse': '11', 'word_num': 12, 'word': 'it', 'occurrence': 1}]","smeared it",2,"ἐπέχρισέν = smeared it",0.05,1,0,0
"495016","jhn","11","2","2",",1476759,1476760,",",1262862,1262863,",1,"[{'id': 1476759, 'book_id': 'jhn', 'chapter': '11', 'verse': '2', 'word_num': 3, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NFS,'}, {'id': 1476760, 'book_id': 'jhn', 'chapter': '11', 'verse': '2', 'word_num': 4, 'word': 'ἀλείψασα', 'occurrence': 1, 'strong': 'G02180', 'lemma': 'ἀλείφω', 'morph': 'Gr,V,PAA,NFS,'}]","ἡ ἀλείψασα",2,1,"[{'id': 1262862, 'book_id': 'jhn', 'chapter': '11', 'verse': '2', 'word_num': 3, 'word': 'who', 'occurrence': 1}, {'id': 1262863, 'book_id': 'jhn', 'chapter': '11', 'verse': '2', 'word_num': 4, 'word': 'anointed', 'occurrence': 1}]","who anointed",2,"ἡ ἀλείψασα = who anointed",0.05,1,0,0
