"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458097","mrk","1","3","10",",1437797,",",1211782,",0,"[{'id': 1437797, 'book_id': 'mrk', 'chapter': '1', 'verse': '3', 'word_num': 13, 'word': 'αὐτοῦ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMS,'}]","αὐτοῦ",1,0,"[{'id': 1211782, 'book_id': 'mrk', 'chapter': '1', 'verse': '3', 'word_num': 17, 'word': 'his', 'occurrence': 1}]","his",1,"αὐτοῦ = his",0.16257408975444537,0,0
"458123","mrk","1","5","10",",1437815,",",1211816,",0,"[{'id': 1437815, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 3, 'word': 'αὐτὸν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMS,'}]","αὐτὸν",1,0,"[{'id': 1211816, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 14, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτὸν = him",0.09017781541066892,0,0
"458126","mrk","1","5","13",",1437827,",",1211821,",0,"[{'id': 1437827, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 15, 'word': 'αὐτοῦ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMS,'}]","αὐτοῦ",1,0,"[{'id': 1211821, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 19, 'word': 'him', 'occurrence': 2}]","him",1,"αὐτοῦ = him",0.03556308213378493,0,0
"458132","mrk","1","5","19",",1437835,",",1211827,",0,"[{'id': 1437835, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 23, 'word': 'αὐτῶν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMP,'}]","αὐτῶν",1,0,"[{'id': 1211827, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 25, 'word': 'their', 'occurrence': 1}]","their",1,"αὐτῶν = their",0.05059271803556308,0,0
"458145","mrk","1","6","11",",1437849,",",1211843,",0,"[{'id': 1437849, 'book_id': 'mrk', 'chapter': '1', 'verse': '6', 'word_num': 13, 'word': 'αὐτοῦ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMS,'}]","αὐτοῦ",1,0,"[{'id': 1211843, 'book_id': 'mrk', 'chapter': '1', 'verse': '6', 'word_num': 14, 'word': 'his', 'occurrence': 1}]","his",1,"αὐτοῦ = his",0.16257408975444537,0,0
"458165","mrk","1","7","12",",1437875,",",1211872,",0,"[{'id': 1437875, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 19, 'word': 'αὐτοῦ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMS,'}]","αὐτοῦ",1,0,"[{'id': 1211872, 'book_id': 'mrk', 'chapter': '1', 'verse': '7', 'word_num': 19, 'word': 'his', 'occurrence': 1}]","his",1,"αὐτοῦ = his",0.16257408975444537,0,0
"458177","mrk","1","8","5",",1437880,",",1211889,",0,"[{'id': 1437880, 'book_id': 'mrk', 'chapter': '1', 'verse': '8', 'word_num': 4, 'word': 'αὐτὸς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3NMS,'}]","αὐτὸς",1,0,"[{'id': 1211889, 'book_id': 'mrk', 'chapter': '1', 'verse': '8', 'word_num': 6, 'word': 'he', 'occurrence': 1}]","he",1,"αὐτὸς = he",0.013336155800169348,0,0
"458217","mrk","1","10","15",",1437923,",",1211942,",0,"[{'id': 1437923, 'book_id': 'mrk', 'chapter': '1', 'verse': '10', 'word_num': 17, 'word': 'αὐτόν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMS,'}]","αὐτόν",1,0,"[{'id': 1211942, 'book_id': 'mrk', 'chapter': '1', 'verse': '10', 'word_num': 22, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτόν = him",0.04805249788314987,0,0
"458239","mrk","1","12","5",",1437944,",",1211970,",0,"[{'id': 1437944, 'book_id': 'mrk', 'chapter': '1', 'verse': '12', 'word_num': 4, 'word': 'αὐτὸν', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3AMS,'}]","αὐτὸν",1,0,"[{'id': 1211970, 'book_id': 'mrk', 'chapter': '1', 'verse': '12', 'word_num': 5, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτὸν = him",0.09017781541066892,0,0
"458261","mrk","1","13","17",",1437969,",",1211998,",0,"[{'id': 1437969, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 20, 'word': 'αὐτῷ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMS,'}]","αὐτῷ",1,0,"[{'id': 1211998, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 21, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτῷ = him",0.0560965283657917,0,0
"458312","mrk","1","17","3",",1438028,",",1212063,1212064,",0,"[{'id': 1438028, 'book_id': 'mrk', 'chapter': '1', 'verse': '17', 'word_num': 2, 'word': 'αὐτοῖς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMP,'}]","αὐτοῖς",1,1,"[{'id': 1212063, 'book_id': 'mrk', 'chapter': '1', 'verse': '17', 'word_num': 3, 'word': 'to', 'occurrence': 1}, {'id': 1212064, 'book_id': 'mrk', 'chapter': '1', 'verse': '17', 'word_num': 4, 'word': 'them', 'occurrence': 1}]","to them",2,"αὐτοῖς = to them",0.05165114309906858,0,0
"458328","mrk","1","18","6",",1438046,",",1212086,",0,"[{'id': 1438046, 'book_id': 'mrk', 'chapter': '1', 'verse': '18', 'word_num': 6, 'word': 'αὐτῷ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMS,'}]","αὐτῷ",1,0,"[{'id': 1212086, 'book_id': 'mrk', 'chapter': '1', 'verse': '18', 'word_num': 8, 'word': 'him', 'occurrence': 1}]","him",1,"αὐτῷ = him",0.0560965283657917,0,0
"458337","mrk","1","19","8",",1438059,",",1212104,",0,"[{'id': 1438059, 'book_id': 'mrk', 'chapter': '1', 'verse': '19', 'word_num': 12, 'word': 'αὐτοῦ', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GMS,'}]","αὐτοῦ",1,0,"[{'id': 1212104, 'book_id': 'mrk', 'chapter': '1', 'verse': '19', 'word_num': 17, 'word': 'his', 'occurrence': 1}]","his",1,"αὐτοῦ = his",0.16257408975444537,0,0
