"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"118287","luk","1","20","15",",750606,",",727575,727578,",0,"[{'id': 750606, 'book_id': 'luk', 'chapter': '1', 'verse': '20', 'word_num': 16, 'word': 'ἐπίστευσας', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IAA2,,S,'}]","ἐπίστευσας",1,3,"[{'id': 727575, 'book_id': 'luk', 'chapter': '1', 'verse': '20', 'word_num': 20, 'word': 'you', 'occurrence': 2}, {'id': 727578, 'book_id': 'luk', 'chapter': '1', 'verse': '20', 'word_num': 23, 'word': 'believe', 'occurrence': 1}]","you believe",2,"ἐπίστευσας = you believe",0.009259259259259259,0,2
"118663","luk","1","45","3",",751013,",",728103,",0,"[{'id': 751013, 'book_id': 'luk', 'chapter': '1', 'verse': '45', 'word_num': 3, 'word': 'πιστεύσασα', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PAA,NFS,'}]","πιστεύσασα",1,0,"[{'id': 728103, 'book_id': 'luk', 'chapter': '1', 'verse': '45', 'word_num': 5, 'word': 'believed', 'occurrence': 1}]","believed",1,"πιστεύσασα = believed",0.009259259259259259,0,0
"123785","luk","8","12","21",",756455,",",735335,735336,735338,",0,"[{'id': 756455, 'book_id': 'luk', 'chapter': '8', 'verse': '12', 'word_num': 22, 'word': 'πιστεύσαντες', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PAA,NMP,'}]","πιστεύσαντες",1,3,"[{'id': 735335, 'book_id': 'luk', 'chapter': '8', 'verse': '12', 'word_num': 25, 'word': 'they', 'occurrence': 1}, {'id': 735336, 'book_id': 'luk', 'chapter': '8', 'verse': '12', 'word_num': 26, 'word': 'may', 'occurrence': 1}, {'id': 735338, 'book_id': 'luk', 'chapter': '8', 'verse': '12', 'word_num': 28, 'word': 'believe', 'occurrence': 1}]","they may believe",3,"πιστεύσαντες = they may believe",0.009259259259259259,0,1
"123808","luk","8","13","21",",756478,",",735365,",0,"[{'id': 756478, 'book_id': 'luk', 'chapter': '8', 'verse': '13', 'word_num': 21, 'word': 'πιστεύουσιν', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IPA3,,P,'}]","πιστεύουσιν",1,0,"[{'id': 735365, 'book_id': 'luk', 'chapter': '8', 'verse': '13', 'word_num': 23, 'word': 'believe', 'occurrence': 1}]","believe",1,"πιστεύουσιν = believe",0.009259259259259259,0,0
"124529","luk","8","50","8",",757230,",",736389,",0,"[{'id': 757230, 'book_id': 'luk', 'chapter': '8', 'verse': '50', 'word_num': 9, 'word': 'πίστευσον', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,MAA2,,S,'}]","πίστευσον",1,0,"[{'id': 736389, 'book_id': 'luk', 'chapter': '8', 'verse': '50', 'word_num': 13, 'word': 'believe', 'occurrence': 1}]","believe",1,"πίστευσον = believe",0.009259259259259259,0,0
"127841","luk","12","42","8",",760940,",",741256,",0,"[{'id': 760940, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 8, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,AA,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 741256, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 8, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστὸς = faithful",0.05555555555555555,0,0
"129931","luk","16","10","1",",763290,",",744430,744431,",0,"[{'id': 763290, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 1, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,1,"[{'id': 744430, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 2, 'word': 'is', 'occurrence': 1}, {'id': 744431, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 3, 'word': 'faithful', 'occurrence': 1}]","is faithful",2,"πιστὸς = is faithful",0.009259259259259259,0,0
"129937","luk","16","10","7",",763296,",",744437,",0,"[{'id': 763296, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 7, 'word': 'πιστός', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστός",1,0,"[{'id': 744437, 'book_id': 'luk', 'chapter': '16', 'verse': '10', 'word_num': 9, 'word': 'faithful', 'occurrence': 2}]","faithful",1,"πιστός = faithful",0.018518518518518517,0,0
"129954","luk","16","11","5",",763314,",",744459,",0,"[{'id': 763314, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 6, 'word': 'πιστοὶ', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMP,'}]","πιστοὶ",1,0,"[{'id': 744459, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 6, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστοὶ = faithful",0.018518518518518517,0,0
"129960","luk","16","11","11",",763321,",",744465,744466,",0,"[{'id': 763321, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 13, 'word': 'πιστεύσει', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IFA3,,S,'}]","πιστεύσει",1,1,"[{'id': 744465, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 12, 'word': 'will', 'occurrence': 1}, {'id': 744466, 'book_id': 'luk', 'chapter': '16', 'verse': '11', 'word_num': 13, 'word': 'entrust', 'occurrence': 1}]","will entrust",2,"πιστεύσει = will entrust",0.009259259259259259,0,0
"129966","luk","16","12","5",",763327,",",744477,",0,"[{'id': 763327, 'book_id': 'luk', 'chapter': '16', 'verse': '12', 'word_num': 5, 'word': 'πιστοὶ', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMP,'}]","πιστοὶ",1,0,"[{'id': 744477, 'book_id': 'luk', 'chapter': '16', 'verse': '12', 'word_num': 6, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστοὶ = faithful",0.018518518518518517,0,0
"131745","luk","19","17","9",",765215,",",747093,",0,"[{'id': 765215, 'book_id': 'luk', 'chapter': '19', 'verse': '17', 'word_num': 9, 'word': 'πιστὸς', 'occurrence': 1, 'strong': 'G41030', 'lemma': 'πιστός', 'morph': 'Gr,NP,,,,NMS,'}]","πιστὸς",1,0,"[{'id': 747093, 'book_id': 'luk', 'chapter': '19', 'verse': '17', 'word_num': 12, 'word': 'faithful', 'occurrence': 1}]","faithful",1,"πιστὸς = faithful",0.05555555555555555,0,0
"132285","luk","20","5","14",",765781,",",747881,747883,",0,"[{'id': 765781, 'book_id': 'luk', 'chapter': '20', 'verse': '5', 'word_num': 15, 'word': 'ἐπιστεύσατε', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IAA2,,P,'}]","ἐπιστεύσατε",1,2,"[{'id': 747881, 'book_id': 'luk', 'chapter': '20', 'verse': '5', 'word_num': 17, 'word': 'you', 'occurrence': 1}, {'id': 747883, 'book_id': 'luk', 'chapter': '20', 'verse': '5', 'word_num': 19, 'word': 'believe', 'occurrence': 1}]","you believe",2,"ἐπιστεύσατε = you believe",0.009259259259259259,0,1
