"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458285","mrk","1","15","11",",1438001,",",1212028,",0,"[{'id': 1438001, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 14, 'word': 'πιστεύετε', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,MPA2,,P,'}]","πιστεύετε",1,0,"[{'id': 1212028, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 15, 'word': 'believe', 'occurrence': 1}]","believe",1,"πιστεύετε = believe",0.01618705035971223,0,0
"458789","mrk","2","5","4",",1438525,1438526,",",1212745,",1,"[{'id': 1438525, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 4, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1438526, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 5, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν πίστιν",2,0,"[{'id': 1212745, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 4, 'word': 'faith', 'occurrence': 1}]","faith",1,"τὴν πίστιν = faith",0.019784172661870502,0,0
"460367","mrk","4","40","10",",1440206,",",1214926,",0,"[{'id': 1440206, 'book_id': 'mrk', 'chapter': '4', 'verse': '40', 'word_num': 8, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","πίστιν",1,0,"[{'id': 1214926, 'book_id': 'mrk', 'chapter': '4', 'verse': '40', 'word_num': 14, 'word': 'faith', 'occurrence': 1}]","faith",1,"πίστιν = faith",0.05575539568345324,0,0
"460893","mrk","5","34","6",",1440762,1440763,",",1215664,",1,"[{'id': 1440762, 'book_id': 'mrk', 'chapter': '5', 'verse': '34', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1440763, 'book_id': 'mrk', 'chapter': '5', 'verse': '34', 'word_num': 6, 'word': 'πίστις', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ πίστις",2,0,"[{'id': 1215664, 'book_id': 'mrk', 'chapter': '5', 'verse': '34', 'word_num': 7, 'word': 'faith', 'occurrence': 1}]","faith",1,"ἡ πίστις = faith",0.039568345323741004,0,0
"460936","mrk","5","36","13",",1440808,",",1215722,",0,"[{'id': 1440808, 'book_id': 'mrk', 'chapter': '5', 'verse': '36', 'word_num': 13, 'word': 'πίστευε', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,MPA2,,S,'}]","πίστευε",1,0,"[{'id': 1215722, 'book_id': 'mrk', 'chapter': '5', 'verse': '36', 'word_num': 20, 'word': 'believe', 'occurrence': 1}]","believe",1,"πίστευε = believe",0.0017985611510791368,0,0
"461160","mrk","6","6","4",",1441051,1441052,",",1216036,",1,"[{'id': 1441051, 'book_id': 'mrk', 'chapter': '6', 'verse': '6', 'word_num': 3, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1441052, 'book_id': 'mrk', 'chapter': '6', 'verse': '6', 'word_num': 4, 'word': 'ἀπιστίαν', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ἀπιστίαν",2,0,"[{'id': 1216036, 'book_id': 'mrk', 'chapter': '6', 'verse': '6', 'word_num': 6, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"τὴν ἀπιστίαν = unbelief",0.0017985611510791368,0,0
"463420","mrk","9","19","6",",1443478,",",1219162,",0,"[{'id': 1443478, 'book_id': 'mrk', 'chapter': '9', 'verse': '19', 'word_num': 7, 'word': 'ἄπιστος', 'occurrence': 1, 'strong': 'G05710', 'lemma': 'ἄπιστος', 'morph': 'Gr,AA,,,,VFS,'}]","ἄπιστος",1,0,"[{'id': 1219162, 'book_id': 'mrk', 'chapter': '9', 'verse': '19', 'word_num': 7, 'word': 'unbelieving', 'occurrence': 1}]","unbelieving",1,"ἄπιστος = unbelieving",0.00539568345323741,0,0
"463498","mrk","9","23","8",",1443561,1443562,",",1219277,1219278,1219279,1219280,1219281,",1,"[{'id': 1443561, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 10, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,DMS,'}, {'id': 1443562, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 11, 'word': 'πιστεύοντι', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,PPA,DMS,'}]","τῷ πιστεύοντι",2,4,"[{'id': 1219277, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 13, 'word': 'for', 'occurrence': 1}, {'id': 1219278, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 14, 'word': 'the', 'occurrence': 1}, {'id': 1219279, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 15, 'word': 'one', 'occurrence': 1}, {'id': 1219280, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 16, 'word': 'who', 'occurrence': 1}, {'id': 1219281, 'book_id': 'mrk', 'chapter': '9', 'verse': '23', 'word_num': 17, 'word': 'believes', 'occurrence': 1}]","for the one who believes",5,"τῷ πιστεύοντι = for the one who believes",0.0017985611510791368,0,0
"463506","mrk","9","24","7",",1443571,",",1219292,1219293,",0,"[{'id': 1443571, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 8, 'word': 'πιστεύω', 'occurrence': 1, 'strong': 'G41000', 'lemma': 'πιστεύω', 'morph': 'Gr,V,IPA1,,S,'}]","πιστεύω",1,1,"[{'id': 1219292, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 10, 'word': 'I', 'occurrence': 1}, {'id': 1219293, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 11, 'word': 'believe', 'occurrence': 1}]","I believe",2,"πιστεύω = I believe",0.00539568345323741,0,0
"463509","mrk","9","24","10",",1443574,1443575,",",1219296,",1,"[{'id': 1443574, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 11, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1443575, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 12, 'word': 'ἀπιστίᾳ', 'occurrence': 1, 'strong': 'G05700', 'lemma': 'ἀπιστία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ ἀπιστίᾳ",2,0,"[{'id': 1219296, 'book_id': 'mrk', 'chapter': '9', 'verse': '24', 'word_num': 14, 'word': 'unbelief', 'occurrence': 1}]","unbelief",1,"τῇ ἀπιστίᾳ = unbelief",0.0017985611510791368,0,0
