"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"468491","luk","1","6","7",",1449166,",",1226787,",0,"[{'id': 1449166, 'book_id': 'luk', 'chapter': '1', 'verse': '6', 'word_num': 16, 'word': 'ἄμεμπτοι', 'occurrence': 1, 'strong': 'G02730', 'lemma': 'ἄμεμπτος', 'morph': 'Gr,NS,,,,NMP,'}]","ἄμεμπτοι",1,0,"[{'id': 1226787, 'book_id': 'luk', 'chapter': '1', 'verse': '6', 'word_num': 8, 'word': 'blamelessly', 'occurrence': 1}]","blamelessly",1,"ἄμεμπτοι = blamelessly",0.037037037037037035,0,0
"517261","act","24","16","7",",1499930,",",1293096,1293097,",0,"[{'id': 1499930, 'book_id': 'act', 'chapter': '24', 'verse': '16', 'word_num': 5, 'word': 'ἀπρόσκοπον', 'occurrence': 1, 'strong': 'G06770', 'lemma': 'ἀπρόσκοπος', 'morph': 'Gr,AA,,,,AFS,'}]","ἀπρόσκοπον",1,1,"[{'id': 1293096, 'book_id': 'act', 'chapter': '24', 'verse': '16', 'word_num': 10, 'word': 'a', 'occurrence': 1}, {'id': 1293097, 'book_id': 'act', 'chapter': '24', 'verse': '16', 'word_num': 11, 'word': 'clear', 'occurrence': 1}]","a clear",2,"ἀπρόσκοπον = a clear",0.037037037037037035,0,0
"526526","1co","1","8","7",",1509859,",",1306994,1306995,1306996,1306997,1306998,1306999,",0,"[{'id': 1509859, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 6, 'word': 'ἀνεγκλήτους', 'occurrence': 1, 'strong': 'G04100', 'lemma': 'ἀνέγκλητος', 'morph': 'Gr,NS,,,,AMP,'}]","ἀνεγκλήτους",1,5,"[{'id': 1306994, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 8, 'word': 'so', 'occurrence': 1}, {'id': 1306995, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 9, 'word': 'that', 'occurrence': 1}, {'id': 1306996, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 10, 'word': 'you', 'occurrence': 2}, {'id': 1306997, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 11, 'word': 'will', 'occurrence': 2}, {'id': 1306998, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 12, 'word': 'be', 'occurrence': 1}, {'id': 1306999, 'book_id': '1co', 'chapter': '1', 'verse': '8', 'word_num': 13, 'word': 'blameless', 'occurrence': 1}]","so that you will be blameless",6,"ἀνεγκλήτους = so that you will be blameless",0.037037037037037035,0,0
"530127","1co","10","32","1",",1513572,",",1312345,1312346,",0,"[{'id': 1513572, 'book_id': '1co', 'chapter': '10', 'verse': '32', 'word_num': 0, 'word': 'ἀπρόσκοποι', 'occurrence': 1, 'strong': 'G06770', 'lemma': 'ἀπρόσκοπος', 'morph': 'Gr,NP,,,,NMP,'}]","ἀπρόσκοποι",1,1,"[{'id': 1312345, 'book_id': '1co', 'chapter': '10', 'verse': '32', 'word_num': 1, 'word': 'no', 'occurrence': 1}, {'id': 1312346, 'book_id': '1co', 'chapter': '10', 'verse': '32', 'word_num': 2, 'word': 'offense', 'occurrence': 1}]","no offense",2,"ἀπρόσκοποι = no offense",0.037037037037037035,0,0
"539586","eph","1","4","13",",1523329,",",1326335,",0,"[{'id': 1523329, 'book_id': 'eph', 'chapter': '1', 'verse': '4', 'word_num': 12, 'word': 'ἀμώμους', 'occurrence': 1, 'strong': 'G02990', 'lemma': 'ἄμωμος', 'morph': 'Gr,NS,,,,AMP,'}]","ἀμώμους",1,0,"[{'id': 1326335, 'book_id': 'eph', 'chapter': '1', 'verse': '4', 'word_num': 19, 'word': 'blameless', 'occurrence': 1}]","blameless",1,"ἀμώμους = blameless",0.07407407407407407,0,0
"541457","eph","5","27","22",",1525189,",",1328738,",0,"[{'id': 1525189, 'book_id': 'eph', 'chapter': '5', 'verse': '27', 'word_num': 21, 'word': 'ἄμωμος', 'occurrence': 1, 'strong': 'G02990', 'lemma': 'ἄμωμος', 'morph': 'Gr,NS,,,,NFS,'}]","ἄμωμος",1,0,"[{'id': 1328738, 'book_id': 'eph', 'chapter': '5', 'verse': '27', 'word_num': 29, 'word': 'blameless', 'occurrence': 1}]","blameless",1,"ἄμωμος = blameless",0.037037037037037035,0,0
"542085","php","1","10","9",",1525843,",",1329548,",0,"[{'id': 1525843, 'book_id': 'php', 'chapter': '1', 'verse': '10', 'word_num': 10, 'word': 'ἀπρόσκοποι', 'occurrence': 1, 'strong': 'G06770', 'lemma': 'ἀπρόσκοπος', 'morph': 'Gr,NS,,,,NMP,'}]","ἀπρόσκοποι",1,0,"[{'id': 1329548, 'book_id': 'php', 'chapter': '1', 'verse': '10', 'word_num': 15, 'word': 'blameless', 'occurrence': 1}]","blameless",1,"ἀπρόσκοποι = blameless",0.037037037037037035,0,0
"542593","php","2","15","2",",1526380,",",1330303,",0,"[{'id': 1526380, 'book_id': 'php', 'chapter': '2', 'verse': '15', 'word_num': 2, 'word': 'ἄμεμπτοι', 'occurrence': 1, 'strong': 'G02730', 'lemma': 'ἄμεμπτος', 'morph': 'Gr,AA,,,,NMP,'}]","ἄμεμπτοι",1,0,"[{'id': 1330303, 'book_id': 'php', 'chapter': '2', 'verse': '15', 'word_num': 5, 'word': 'blameless', 'occurrence': 1}]","blameless",1,"ἄμεμπτοι = blameless",0.037037037037037035,0,0
"542598","php","2","15","7",",1526385,",",1330309,1330310,",0,"[{'id': 1526385, 'book_id': 'php', 'chapter': '2', 'verse': '15', 'word_num': 7, 'word': 'ἄμωμα', 'occurrence': 1, 'strong': 'G02990', 'lemma': 'ἄμωμος', 'morph': 'Gr,NS,,,,NNP,'}]","ἄμωμα",1,1,"[{'id': 1330309, 'book_id': 'php', 'chapter': '2', 'verse': '15', 'word_num': 11, 'word': 'without', 'occurrence': 1}, {'id': 1330310, 'book_id': 'php', 'chapter': '2', 'verse': '15', 'word_num': 12, 'word': 'blemish', 'occurrence': 1}]","without blemish",2,"ἄμωμα = without blemish",0.037037037037037035,0,0
"542923","php","3","6","11",",1526702,",",1330811,",0,"[{'id': 1526702, 'book_id': 'php', 'chapter': '3', 'verse': '6', 'word_num': 11, 'word': 'ἄμεμπτος', 'occurrence': 1, 'strong': 'G02730', 'lemma': 'ἄμεμπτος', 'morph': 'Gr,NP,,,,NMS,'}]","ἄμεμπτος",1,0,"[{'id': 1330811, 'book_id': 'php', 'chapter': '3', 'verse': '6', 'word_num': 15, 'word': 'blameless', 'occurrence': 1}]","blameless",1,"ἄμεμπτος = blameless",0.037037037037037035,0,0
