"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458813","mrk","2","7","4",",1438553,",",1212778,1212779,",0,"[{'id': 1438553, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 4, 'word': 'βλασφημεῖ', 'occurrence': 1, 'strong': 'G09870', 'lemma': 'βλασφημέω', 'morph': 'Gr,V,IPA3,,S,'}]","βλασφημεῖ",1,1,"[{'id': 1212778, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 7, 'word': 'He', 'occurrence': 1}, {'id': 1212779, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 8, 'word': 'blasphemes', 'occurrence': 1}]","He blasphemes",2,"βλασφημεῖ = He blasphemes",0.02040816326530612,0,0
"459625","mrk","3","28","11",",1439433,1439434,",",1213915,",1,"[{'id': 1439433, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 13, 'word': 'αἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFP,'}, {'id': 1439434, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 14, 'word': 'βλασφημίαι', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,NFP,'}]","αἱ βλασφημίαι",2,0,"[{'id': 1213915, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 17, 'word': 'blasphemies', 'occurrence': 1}]","blasphemies",1,"αἱ βλασφημίαι = blasphemies",0.02040816326530612,0,0
"459626","mrk","3","28","12",",1439437,",",1213916,1213917,1213918,",0,"[{'id': 1439437, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 17, 'word': 'βλασφημήσωσιν', 'occurrence': 1, 'strong': 'G09870', 'lemma': 'βλασφημέω', 'morph': 'Gr,V,SAA3,,P,'}]","βλασφημήσωσιν",1,2,"[{'id': 1213916, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 18, 'word': 'they', 'occurrence': 1}, {'id': 1213917, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 19, 'word': 'may', 'occurrence': 1}, {'id': 1213918, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 20, 'word': 'speak', 'occurrence': 1}]","they may speak",3,"βλασφημήσωσιν = they may speak",0.02040816326530612,0,0
"459629","mrk","3","29","2",",1439440,1439441,",",1213921,",1,"[{'id': 1439440, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 2, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1439441, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 3, 'word': 'βλασφημήσῃ', 'occurrence': 1, 'strong': 'G09870', 'lemma': 'βλασφημέω', 'morph': 'Gr,V,SAA3,,S,'}]","ἂν βλασφημήσῃ",2,0,"[{'id': 1213921, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 2, 'word': 'blasphemes', 'occurrence': 1}]","blasphemes",1,"ἂν βλασφημήσῃ = blasphemes",0.02040816326530612,0,0
"462291","mrk","7","22","6",",1442263,",",1217591,",0,"[{'id': 1442263, 'book_id': 'mrk', 'chapter': '7', 'verse': '22', 'word_num': 7, 'word': 'βλασφημία', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,NFS,'}]","βλασφημία",1,0,"[{'id': 1217591, 'book_id': 'mrk', 'chapter': '7', 'verse': '22', 'word_num': 6, 'word': 'slander', 'occurrence': 1}]","slander",1,"βλασφημία = slander",0.02040816326530612,0,0
"467517","mrk","14","64","2",",1447940,",",1225059,",0,"[{'id': 1447940, 'book_id': 'mrk', 'chapter': '14', 'verse': '64', 'word_num': 2, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,GFS,'}]","βλασφημίας",1,0,"[{'id': 1225059, 'book_id': 'mrk', 'chapter': '14', 'verse': '64', 'word_num': 4, 'word': 'blasphemy', 'occurrence': 1}]","blasphemy",1,"βλασφημίας = blasphemy",0.04081632653061224,0,0
"467988","mrk","15","29","1",",1448464,",",1225776,",0,"[{'id': 1448464, 'book_id': 'mrk', 'chapter': '15', 'verse': '29', 'word_num': 3, 'word': 'ἐβλασφήμουν', 'occurrence': 1, 'strong': 'G09870', 'lemma': 'βλασφημέω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐβλασφήμουν",1,0,"[{'id': 1225776, 'book_id': 'mrk', 'chapter': '15', 'verse': '29', 'word_num': 4, 'word': 'insulted', 'occurrence': 1}]","insulted",1,"ἐβλασφήμουν = insulted",0.02040816326530612,0,0
"472118","luk","5","21","14",",1452882,",",1231677,",0,"[{'id': 1452882, 'book_id': 'luk', 'chapter': '5', 'verse': '21', 'word_num': 14, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,AFP,'}]","βλασφημίας",1,0,"[{'id': 1231677, 'book_id': 'luk', 'chapter': '5', 'verse': '21', 'word_num': 15, 'word': 'blasphemies', 'occurrence': 1}]","blasphemies",1,"βλασφημίας = blasphemies",0.04081632653061224,0,0
"478342","luk","12","10","14",",1459221,",",1240100,1240101,",0,"[{'id': 1459221, 'book_id': 'luk', 'chapter': '12', 'verse': '10', 'word_num': 18, 'word': 'βλασφημήσαντι', 'occurrence': 1, 'strong': 'G09870', 'lemma': 'βλασφημέω', 'morph': 'Gr,V,PAA,DMS,'}]","βλασφημήσαντι",1,1,"[{'id': 1240100, 'book_id': 'luk', 'chapter': '12', 'verse': '10', 'word_num': 19, 'word': 'who', 'occurrence': 2}, {'id': 1240101, 'book_id': 'luk', 'chapter': '12', 'verse': '10', 'word_num': 20, 'word': 'blasphemes', 'occurrence': 1}]","who blasphemes",2,"βλασφημήσαντι = who blasphemes",0.02040816326530612,0,0
"485811","luk","22","65","6",",1466772,",",1250450,1250451,",0,"[{'id': 1466772, 'book_id': 'luk', 'chapter': '22', 'verse': '65', 'word_num': 3, 'word': 'βλασφημοῦντες', 'occurrence': 1, 'strong': 'G09870', 'lemma': 'βλασφημέω', 'morph': 'Gr,V,PPA,NMP,'}]","βλασφημοῦντες",1,1,"[{'id': 1250450, 'book_id': 'luk', 'chapter': '22', 'verse': '65', 'word_num': 8, 'word': 'blaspheming', 'occurrence': 1}, {'id': 1250451, 'book_id': 'luk', 'chapter': '22', 'verse': '65', 'word_num': 9, 'word': 'him', 'occurrence': 2}]","blaspheming him",2,"βλασφημοῦντες = blaspheming him",0.02040816326530612,0,0
