"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"137681","act","3","25","22",",771543,",",755452,755459,755460,",0,"[{'id': 771543, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 25, 'word': 'ἐνευλογηθήσονται', 'occurrence': 1, 'strong': 'G17570', 'lemma': 'ἐνευλογέω', 'morph': 'Gr,V,IFP3,,P,'}]","ἐνευλογηθήσονται",1,8,"[{'id': 755452, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 24, 'word': 'will', 'occurrence': 1}, {'id': 755459, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 31, 'word': 'be', 'occurrence': 1}, {'id': 755460, 'book_id': 'act', 'chapter': '3', 'verse': '25', 'word_num': 32, 'word': 'blessed', 'occurrence': 1}]","will be blessed",3,"ἐνευλογηθήσονται = will be blessed",0.1,0,6
"137695","act","3","26","8",",771559,",",755473,",0,"[{'id': 771559, 'book_id': 'act', 'chapter': '3', 'verse': '26', 'word_num': 10, 'word': 'εὐλογοῦντα', 'occurrence': 1, 'strong': 'G21270', 'lemma': 'εὐλογέω', 'morph': 'Gr,V,PPA,AMS,'}]","εὐλογοῦντα",1,0,"[{'id': 755473, 'book_id': 'act', 'chapter': '3', 'verse': '26', 'word_num': 12, 'word': 'blessing', 'occurrence': 1}]","blessing",1,"εὐλογοῦντα = blessing",0.05,0,0
"148478","act","20","35","20",",783166,",",770664,",0,"[{'id': 783166, 'book_id': 'act', 'chapter': '20', 'verse': '35', 'word_num': 20, 'word': 'μακάριόν', 'occurrence': 1, 'strong': 'G31070', 'lemma': 'μακάριος', 'morph': 'Gr,NP,,,,NNS,'}]","μακάριόν",1,0,"[{'id': 770664, 'book_id': 'act', 'chapter': '20', 'verse': '35', 'word_num': 36, 'word': 'blessed', 'occurrence': 1}]","blessed",1,"μακάριόν = blessed",0.05,0,0
"151441","act","26","2","10",",786274,",",774902,",0,"[{'id': 786274, 'book_id': 'act', 'chapter': '26', 'verse': '2', 'word_num': 10, 'word': 'μακάριον', 'occurrence': 1, 'strong': 'G31070', 'lemma': 'μακάριος', 'morph': 'Gr,NS,,,,AMS,'}]","μακάριον",1,0,"[{'id': 774902, 'book_id': 'act', 'chapter': '26', 'verse': '2', 'word_num': 17, 'word': 'fortunate', 'occurrence': 1}]","fortunate",1,"μακάριον = fortunate",0.05,0,0
"153962","gal","3","8","15",",789047,",",778836,778837,778838,",0,"[{'id': 789047, 'book_id': 'gal', 'chapter': '3', 'verse': '8', 'word_num': 16, 'word': 'ἐνευλογηθήσονται', 'occurrence': 1, 'strong': 'G17570', 'lemma': 'ἐνευλογέω', 'morph': 'Gr,V,IFP3,,P,'}]","ἐνευλογηθήσονται",1,2,"[{'id': 778836, 'book_id': 'gal', 'chapter': '3', 'verse': '8', 'word_num': 24, 'word': 'will', 'occurrence': 1}, {'id': 778837, 'book_id': 'gal', 'chapter': '3', 'verse': '8', 'word_num': 25, 'word': 'be', 'occurrence': 1}, {'id': 778838, 'book_id': 'gal', 'chapter': '3', 'verse': '8', 'word_num': 26, 'word': 'blessed', 'occurrence': 1}]","will be blessed",3,"ἐνευλογηθήσονται = will be blessed",0.1,0,0
"153972","gal","3","9","4",",789057,",",778844,778845,",0,"[{'id': 789057, 'book_id': 'gal', 'chapter': '3', 'verse': '9', 'word_num': 4, 'word': 'εὐλογοῦνται', 'occurrence': 1, 'strong': 'G21270', 'lemma': 'εὐλογέω', 'morph': 'Gr,V,IPP3,,P,'}]","εὐλογοῦνται",1,1,"[{'id': 778844, 'book_id': 'gal', 'chapter': '3', 'verse': '9', 'word_num': 5, 'word': 'are', 'occurrence': 1}, {'id': 778845, 'book_id': 'gal', 'chapter': '3', 'verse': '9', 'word_num': 6, 'word': 'blessed', 'occurrence': 1}]","are blessed",2,"εὐλογοῦνται = are blessed",0.05,0,0
"154046","gal","3","14","5",",789145,",",778965,",0,"[{'id': 789145, 'book_id': 'gal', 'chapter': '3', 'verse': '14', 'word_num': 5, 'word': 'εὐλογία', 'occurrence': 1, 'strong': 'G21290', 'lemma': 'εὐλογία', 'morph': 'Gr,N,,,,,NFS,'}]","εὐλογία",1,0,"[{'id': 778965, 'book_id': 'gal', 'chapter': '3', 'verse': '14', 'word_num': 3, 'word': 'blessing', 'occurrence': 1}]","blessing",1,"εὐλογία = blessing",0.05,0,0
"155086","eph","1","3","0",",790457,",",780907,780908,",0,"[{'id': 790457, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 0, 'word': 'εὐλογητὸς', 'occurrence': 1, 'strong': 'G21280', 'lemma': 'εὐλογητός', 'morph': 'Gr,NP,,,,NMS,'}]","εὐλογητὸς",1,1,"[{'id': 780907, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 0, 'word': 'Blessed', 'occurrence': 1}, {'id': 780908, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 1, 'word': 'be', 'occurrence': 1}]","Blessed be",2,"εὐλογητὸς = Blessed be",0.1,0,0
"155097","eph","1","3","11",",790468,",",780919,780920,",0,"[{'id': 790468, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 11, 'word': 'εὐλογήσας', 'occurrence': 1, 'strong': 'G21270', 'lemma': 'εὐλογέω', 'morph': 'Gr,V,PAA,NMS,'}]","εὐλογήσας",1,1,"[{'id': 780919, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 12, 'word': 'has', 'occurrence': 1}, {'id': 780920, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 13, 'word': 'blessed', 'occurrence': 1}]","has blessed",2,"εὐλογήσας = has blessed",0.05,0,0
"155101","eph","1","3","15",",790472,",",780925,",0,"[{'id': 790472, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 15, 'word': 'εὐλογίᾳ', 'occurrence': 1, 'strong': 'G21290', 'lemma': 'εὐλογία', 'morph': 'Gr,N,,,,,DFS,'}]","εὐλογίᾳ",1,0,"[{'id': 780925, 'book_id': 'eph', 'chapter': '1', 'verse': '3', 'word_num': 18, 'word': 'blessing', 'occurrence': 1}]","blessing",1,"εὐλογίᾳ = blessing",0.05,0,0
