"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"460771","mrk","5","25","5",",1440628,",",1215498,1215499,",0,"[{'id': 1440628, 'book_id': 'mrk', 'chapter': '5', 'verse': '25', 'word_num': 5, 'word': 'αἵματος', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,GNS,'}]","αἵματος",1,1,"[{'id': 1215498, 'book_id': 'mrk', 'chapter': '5', 'verse': '25', 'word_num': 8, 'word': 'of', 'occurrence': 1}, {'id': 1215499, 'book_id': 'mrk', 'chapter': '5', 'verse': '25', 'word_num': 9, 'word': 'blood', 'occurrence': 1}]","of blood",2,"αἵματος = of blood",0.03488372093023256,3,0,0
"460814","mrk","5","29","2",",1440679,1440680,1440681,1440682,",",1215561,1215562,1215563,",3,"[{'id': 1440679, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 3, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1440680, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 4, 'word': 'πηγὴ', 'occurrence': 1, 'strong': 'G40770', 'lemma': 'πηγή', 'morph': 'Gr,N,,,,,NFS,'}, {'id': 1440681, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 5, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GNS,'}, {'id': 1440682, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 6, 'word': 'αἵματος', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,GNS,'}]","ἡ πηγὴ τοῦ αἵματος",4,2,"[{'id': 1215561, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 2, 'word': 'flow', 'occurrence': 1}, {'id': 1215562, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 3, 'word': 'of', 'occurrence': 1}, {'id': 1215563, 'book_id': 'mrk', 'chapter': '5', 'verse': '29', 'word_num': 4, 'word': 'blood', 'occurrence': 1}]","flow of blood",3,"ἡ πηγὴ τοῦ αἵματος = flow of blood",0.011627906976744186,1,0,0
"466936","mrk","14","24","5",",1447311,1447312,",",1224242,",1,"[{'id': 1447311, 'book_id': 'mrk', 'chapter': '14', 'verse': '24', 'word_num': 5, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1447312, 'book_id': 'mrk', 'chapter': '14', 'verse': '24', 'word_num': 6, 'word': 'αἷμά', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ αἷμά",2,0,"[{'id': 1224242, 'book_id': 'mrk', 'chapter': '14', 'verse': '24', 'word_num': 7, 'word': 'blood', 'occurrence': 1}]","blood",1,"τὸ αἷμά = blood",0.023255813953488372,2,0,0
"475108","luk","8","43","5",",1455900,",",1235764,1235765,",0,"[{'id': 1455900, 'book_id': 'luk', 'chapter': '8', 'verse': '43', 'word_num': 5, 'word': 'αἵματος', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,GNS,'}]","αἵματος",1,1,"[{'id': 1235764, 'book_id': 'luk', 'chapter': '8', 'verse': '43', 'word_num': 8, 'word': 'of', 'occurrence': 1}, {'id': 1235765, 'book_id': 'luk', 'chapter': '8', 'verse': '43', 'word_num': 9, 'word': 'blood', 'occurrence': 1}]","of blood",2,"αἵματος = of blood",0.03488372093023256,3,0,0
"475137","luk","8","44","13",",1455929,",",1235802,",0,"[{'id': 1455929, 'book_id': 'luk', 'chapter': '8', 'verse': '44', 'word_num': 14, 'word': 'αἵματος', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,GNS,'}]","αἵματος",1,0,"[{'id': 1235802, 'book_id': 'luk', 'chapter': '8', 'verse': '44', 'word_num': 17, 'word': 'blood', 'occurrence': 1}]","blood",1,"αἵματος = blood",0.19767441860465115,17,0,0
"478087","luk","11","50","7",",1458954,",",1239754,",0,"[{'id': 1458954, 'book_id': 'luk', 'chapter': '11', 'verse': '50', 'word_num': 3, 'word': 'αἷμα', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,NNS,'}]","αἷμα",1,0,"[{'id': 1239754, 'book_id': 'luk', 'chapter': '11', 'verse': '50', 'word_num': 9, 'word': 'blood', 'occurrence': 1}]","blood",1,"αἷμα = blood",0.29069767441860467,25,0,0
"478097","luk","11","51","1",",1458968,",",1239769,1239770,",0,"[{'id': 1458968, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 1, 'word': 'αἵματος', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,GNS,'}]","αἵματος",1,1,"[{'id': 1239769, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 1, 'word': 'the', 'occurrence': 1}, {'id': 1239770, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 2, 'word': 'blood', 'occurrence': 1}]","the blood",2,"αἵματος = the blood",0.03488372093023256,3,0,0
"478100","luk","11","51","4",",1458971,",",1239774,1239775,",0,"[{'id': 1458971, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 4, 'word': 'αἵματος', 'occurrence': 2, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,GNS,'}]","αἵματος",1,1,"[{'id': 1239774, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 6, 'word': 'the', 'occurrence': 2}, {'id': 1239775, 'book_id': 'luk', 'chapter': '11', 'verse': '51', 'word_num': 7, 'word': 'blood', 'occurrence': 2}]","the blood",2,"αἵματος = the blood",0.03488372093023256,3,0,0
"479190","luk","13","1","13",",1460086,1460087,",",1241290,",1,"[{'id': 1460086, 'book_id': 'luk', 'chapter': '13', 'verse': '1', 'word_num': 13, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1460087, 'book_id': 'luk', 'chapter': '13', 'verse': '1', 'word_num': 14, 'word': 'αἷμα', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ αἷμα",2,0,"[{'id': 1241290, 'book_id': 'luk', 'chapter': '13', 'verse': '1', 'word_num': 15, 'word': 'blood', 'occurrence': 1}]","blood",1,"τὸ αἷμα = blood",0.06976744186046512,6,0,0
"485105","luk","22","20","15",",1466065,1466066,",",1249484,",1,"[{'id': 1466065, 'book_id': 'luk', 'chapter': '22', 'verse': '20', 'word_num': 15, 'word': 'τῷ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DNS,'}, {'id': 1466066, 'book_id': 'luk', 'chapter': '22', 'verse': '20', 'word_num': 16, 'word': 'αἵματί', 'occurrence': 1, 'strong': 'G01290', 'lemma': 'αἷμα', 'morph': 'Gr,N,,,,,DNS,'}]","τῷ αἵματί",2,0,"[{'id': 1249484, 'book_id': 'luk', 'chapter': '22', 'verse': '20', 'word_num': 21, 'word': 'blood', 'occurrence': 1}]","blood",1,"τῷ αἵματί = blood",0.023255813953488372,2,0,0
