"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"520373","rom","1","30","4",",1503140,",",1297517,",0,"[{'id': 1503140, 'book_id': 'rom', 'chapter': '1', 'verse': '30', 'word_num': 4, 'word': 'ἀλαζόνας', 'occurrence': 1, 'strong': 'G02130', 'lemma': 'ἀλαζών', 'morph': 'Gr,N,,,,,AMP,'}]","ἀλαζόνας",1,0,"[{'id': 1297517, 'book_id': 'rom', 'chapter': '1', 'verse': '30', 'word_num': 6, 'word': 'boastful', 'occurrence': 1}]","boastful",1,"ἀλαζόνας = boastful",0.014492753623188406,1,0,0
"520652","rom","2","17","9",",1503445,",",1297971,",0,"[{'id': 1503445, 'book_id': 'rom', 'chapter': '2', 'verse': '17', 'word_num': 9, 'word': 'καυχᾶσαι', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,IPM2,,S,'}]","καυχᾶσαι",1,0,"[{'id': 1297971, 'book_id': 'rom', 'chapter': '2', 'verse': '17', 'word_num': 13, 'word': 'boast', 'occurrence': 1}]","boast",1,"καυχᾶσαι = boast",0.028985507246376812,2,0,0
"520708","rom","2","23","1",",1503510,",",1298080,",0,"[{'id': 1503510, 'book_id': 'rom', 'chapter': '2', 'verse': '23', 'word_num': 3, 'word': 'καυχᾶσαι', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,IPM2,,S,'}]","καυχᾶσαι",1,0,"[{'id': 1298080, 'book_id': 'rom', 'chapter': '2', 'verse': '23', 'word_num': 2, 'word': 'boast', 'occurrence': 1}]","boast",1,"καυχᾶσαι = boast",0.028985507246376812,2,0,0
"521132","rom","3","27","2",",1503992,1503993,",",1298751,1298752,",1,"[{'id': 1503992, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 2, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1503993, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 3, 'word': 'καύχησις', 'occurrence': 1, 'strong': 'G27460', 'lemma': 'καύχησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ καύχησις",2,1,"[{'id': 1298751, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 2, 'word': 'is', 'occurrence': 1}, {'id': 1298752, 'book_id': 'rom', 'chapter': '3', 'verse': '27', 'word_num': 3, 'word': 'boasting', 'occurrence': 1}]","is boasting",2,"ἡ καύχησις = is boasting",0.014492753623188406,1,0,0
"521200","rom","4","2","7",",1504066,",",1298863,1298864,1298865,1298866,",0,"[{'id': 1504066, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 7, 'word': 'καύχημα', 'occurrence': 1, 'strong': 'G27450', 'lemma': 'καύχημα', 'morph': 'Gr,N,,,,,ANS,'}]","καύχημα",1,3,"[{'id': 1298863, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 12, 'word': 'a', 'occurrence': 1}, {'id': 1298864, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 13, 'word': 'reason', 'occurrence': 1}, {'id': 1298865, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 14, 'word': 'to', 'occurrence': 1}, {'id': 1298866, 'book_id': 'rom', 'chapter': '4', 'verse': '2', 'word_num': 15, 'word': 'boast', 'occurrence': 1}]","a reason to boast",4,"καύχημα = a reason to boast",0.014492753623188406,1,0,0
"521572","rom","5","2","14",",1504481,",",1299454,1299455,",0,"[{'id': 1504481, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 16, 'word': 'καυχώμεθα', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,IPM1,,P,'}]","καυχώμεθα",1,1,"[{'id': 1299454, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 17, 'word': 'we', 'occurrence': 3}, {'id': 1299455, 'book_id': 'rom', 'chapter': '5', 'verse': '2', 'word_num': 18, 'word': 'rejoice', 'occurrence': 1}]","we rejoice",2,"καυχώμεθα = we rejoice",0.014492753623188406,1,0,0
"521581","rom","5","3","3",",1504493,",",1299469,",0,"[{'id': 1504493, 'book_id': 'rom', 'chapter': '5', 'verse': '3', 'word_num': 5, 'word': 'καυχώμεθα', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,IPM1,,P,'}]","καυχώμεθα",1,0,"[{'id': 1299469, 'book_id': 'rom', 'chapter': '5', 'verse': '3', 'word_num': 4, 'word': 'we', 'occurrence': 1}]","we",1,"καυχώμεθα = we",0.014492753623188406,1,0,0
"521692","rom","5","11","3",",1504618,",",1299622,",0,"[{'id': 1504618, 'book_id': 'rom', 'chapter': '5', 'verse': '11', 'word_num': 5, 'word': 'καυχώμενοι', 'occurrence': 1, 'strong': 'G27440', 'lemma': 'καυχάομαι', 'morph': 'Gr,V,PPM,NMP,'}]","καυχώμενοι",1,0,"[{'id': 1299622, 'book_id': 'rom', 'chapter': '5', 'verse': '11', 'word_num': 4, 'word': 'we', 'occurrence': 1}]","we",1,"καυχώμενοι = we",0.014492753623188406,1,0,0
"524393","rom","11","18","1",",1507528,",",1303747,1303748,",0,"[{'id': 1507528, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 1, 'word': 'κατακαυχῶ', 'occurrence': 1, 'strong': 'G26200', 'lemma': 'κατακαυχάομαι', 'morph': 'Gr,V,MPM2,,S,'}]","κατακαυχῶ",1,1,"[{'id': 1303747, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 2, 'word': 'boast', 'occurrence': 1}, {'id': 1303748, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 3, 'word': 'over', 'occurrence': 1}]","boast over",2,"κατακαυχῶ = boast over",0.014492753623188406,1,0,0
"524398","rom","11","18","6",",1507533,",",1303753,1303754,1303755,",0,"[{'id': 1507533, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 6, 'word': 'κατακαυχᾶσαι', 'occurrence': 1, 'strong': 'G26200', 'lemma': 'κατακαυχάομαι', 'morph': 'Gr,V,IPM2,,S,'}]","κατακαυχᾶσαι",1,2,"[{'id': 1303753, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 8, 'word': 'you', 'occurrence': 1}, {'id': 1303754, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 9, 'word': 'do', 'occurrence': 2}, {'id': 1303755, 'book_id': 'rom', 'chapter': '11', 'verse': '18', 'word_num': 10, 'word': 'boast', 'occurrence': 2}]","you do boast",3,"κατακαυχᾶσαι = you do boast",0.014492753623188406,1,0,0
