"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458265","mrk","1","14","3",",1437972,1437973,",",1212002,1212003,",1,"[{'id': 1437972, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 2, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,ANS,'}, {'id': 1437973, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'παραδοθῆναι', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,NAP,,,,,'}]","τὸ παραδοθῆναι",2,1,"[{'id': 1212002, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'was', 'occurrence': 1}, {'id': 1212003, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 4, 'word': 'arrested', 'occurrence': 1}]","was arrested",2,"τὸ παραδοθῆναι = was arrested",0.002785515320334262,1,0,0
"459499","mrk","3","19","5",",1439292,",",1213733,",0,"[{'id': 1439292, 'book_id': 'mrk', 'chapter': '3', 'verse': '19', 'word_num': 5, 'word': 'παρέδωκεν', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IAA3,,S,'}]","παρέδωκεν",1,0,"[{'id': 1213733, 'book_id': 'mrk', 'chapter': '3', 'verse': '19', 'word_num': 5, 'word': 'betrayed', 'occurrence': 1}]","betrayed",1,"παρέδωκεν = betrayed",0.002785515320334262,1,0,0
"459605","mrk","3","27","12",",1439413,",",1213885,1213886,",0,"[{'id': 1439413, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 19, 'word': 'δήσῃ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,SAA3,,S,'}]","δήσῃ",1,1,"[{'id': 1213885, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 17, 'word': 'tying', 'occurrence': 1}, {'id': 1213886, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 18, 'word': 'up', 'occurrence': 1}]","tying up",2,"δήσῃ = tying up",0.002785515320334262,1,0,0
"460173","mrk","4","29","4",",1440017,",",1214661,1214662,",0,"[{'id': 1440017, 'book_id': 'mrk', 'chapter': '4', 'verse': '29', 'word_num': 2, 'word': 'παραδοῖ', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,SAA3,,S,'}]","παραδοῖ",1,1,"[{'id': 1214661, 'book_id': 'mrk', 'chapter': '4', 'verse': '29', 'word_num': 4, 'word': 'is', 'occurrence': 1}, {'id': 1214662, 'book_id': 'mrk', 'chapter': '4', 'verse': '29', 'word_num': 5, 'word': 'ripe', 'occurrence': 1}]","is ripe",2,"παραδοῖ = is ripe",0.002785515320334262,1,0,0
"460426","mrk","5","3","7",",1440270,",",1215000,",0,"[{'id': 1440270, 'book_id': 'mrk', 'chapter': '5', 'verse': '3', 'word_num': 14, 'word': 'δῆσαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NAA,,,,,'}]","δῆσαι",1,0,"[{'id': 1215000, 'book_id': 'mrk', 'chapter': '5', 'verse': '3', 'word_num': 9, 'word': 'restrain', 'occurrence': 1}]","restrain",1,"δῆσαι = restrain",0.002785515320334262,1,0,0
"460433","mrk","5","4","2",",1440278,",",1215010,",0,"[{'id': 1440278, 'book_id': 'mrk', 'chapter': '5', 'verse': '4', 'word_num': 7, 'word': 'δεδέσθαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NEP,,,,,'}]","δεδέσθαι",1,0,"[{'id': 1215010, 'book_id': 'mrk', 'chapter': '5', 'verse': '4', 'word_num': 2, 'word': 'had', 'occurrence': 1}]","had",1,"δεδέσθαι = had",0.002785515320334262,1,0,0
"461315","mrk","6","17","7",",1441224,",",1216254,1216255,",0,"[{'id': 1441224, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 9, 'word': 'ἔδησεν', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδησεν",1,1,"[{'id': 1216254, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1216255, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 10, 'word': 'had', 'occurrence': 1}]","he had",2,"ἔδησεν = he had",0.002785515320334262,1,0,0
"462163","mrk","7","13","10",",1442125,",",1217414,1217415,1217416,1217417,",0,"[{'id': 1442125, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 9, 'word': 'παρεδώκατε', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IAA2,,P,'}]","παρεδώκατε",1,3,"[{'id': 1217414, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 12, 'word': 'you', 'occurrence': 1}, {'id': 1217415, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 13, 'word': 'have', 'occurrence': 1}, {'id': 1217416, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 14, 'word': 'handed', 'occurrence': 1}, {'id': 1217417, 'book_id': 'mrk', 'chapter': '7', 'verse': '13', 'word_num': 15, 'word': 'down', 'occurrence': 1}]","you have handed down",4,"παρεδώκατε = you have handed down",0.002785515320334262,1,0,0
"462494","mrk","7","35","6",",1442485,",",1217869,",0,"[{'id': 1442485, 'book_id': 'mrk', 'chapter': '7', 'verse': '35', 'word_num': 8, 'word': 'δεσμὸς', 'occurrence': 1, 'strong': 'G11990', 'lemma': 'δεσμός', 'morph': 'Gr,N,,,,,NMS,'}]","δεσμὸς",1,0,"[{'id': 1217869, 'book_id': 'mrk', 'chapter': '7', 'verse': '35', 'word_num': 7, 'word': 'band', 'occurrence': 1}]","band",1,"δεσμὸς = band",0.002785515320334262,1,0,0
"462978","mrk","8","31","8",",1442986,",",1218562,",0,"[{'id': 1442986, 'book_id': 'mrk', 'chapter': '8', 'verse': '31', 'word_num': 5, 'word': 'δεῖ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IPA3,,S,'}]","δεῖ",1,0,"[{'id': 1218562, 'book_id': 'mrk', 'chapter': '8', 'verse': '31', 'word_num': 11, 'word': 'must', 'occurrence': 1}]","must",1,"δεῖ = must",0.12813370473537605,46,0,0
"463302","mrk","9","11","10",",1443352,",",1218993,",0,"[{'id': 1443352, 'book_id': 'mrk', 'chapter': '9', 'verse': '11', 'word_num': 10, 'word': 'δεῖ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IPA3,,S,'}]","δεῖ",1,0,"[{'id': 1218993, 'book_id': 'mrk', 'chapter': '9', 'verse': '11', 'word_num': 12, 'word': 'must', 'occurrence': 1}]","must",1,"δεῖ = must",0.12813370473537605,46,0,0
"463613","mrk","9","31","10",",1443693,",",1219441,1219442,1219443,",0,"[{'id': 1443693, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 13, 'word': 'παραδίδοται', 'occurrence': 1, 'strong': 'G38600', 'lemma': 'παραδίδωμι', 'morph': 'Gr,V,IPP3,,S,'}]","παραδίδοται",1,2,"[{'id': 1219441, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 14, 'word': 'will', 'occurrence': 1}, {'id': 1219442, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 15, 'word': 'be', 'occurrence': 1}, {'id': 1219443, 'book_id': 'mrk', 'chapter': '9', 'verse': '31', 'word_num': 16, 'word': 'delivered', 'occurrence': 1}]","will be delivered",3,"παραδίδοται = will be delivered",0.002785515320334262,1,0,0
