"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"504568","act","5","11","7",",1486882,",",1275886,",0,"[{'id': 1486882, 'book_id': 'act', 'chapter': '5', 'verse': '11', 'word_num': 7, 'word': 'ἐκκλησίαν', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐκκλησίαν",1,0,"[{'id': 1275886, 'book_id': 'act', 'chapter': '5', 'verse': '11', 'word_num': 7, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίαν = church",0.14414414414414414,0,0
"506081","act","7","38","6",",1488434,",",1277915,",0,"[{'id': 1488434, 'book_id': 'act', 'chapter': '7', 'verse': '38', 'word_num': 6, 'word': 'ἐκκλησίᾳ', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐκκλησίᾳ",1,0,"[{'id': 1277915, 'book_id': 'act', 'chapter': '7', 'verse': '38', 'word_num': 8, 'word': 'assembly', 'occurrence': 1}]","assembly",1,"ἐκκλησίᾳ = assembly",0.018018018018018018,0,0
"506506","act","8","1","15",",1488867,",",1278499,",0,"[{'id': 1488867, 'book_id': 'act', 'chapter': '8', 'verse': '1', 'word_num': 17, 'word': 'ἐκκλησίαν', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐκκλησίαν",1,0,"[{'id': 1278499, 'book_id': 'act', 'chapter': '8', 'verse': '1', 'word_num': 18, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίαν = church",0.14414414414414414,0,0
"506537","act","8","3","4",",1488900,",",1278532,",0,"[{'id': 1488900, 'book_id': 'act', 'chapter': '8', 'verse': '3', 'word_num': 4, 'word': 'ἐκκλησίαν', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐκκλησίαν",1,0,"[{'id': 1278532, 'book_id': 'act', 'chapter': '8', 'verse': '3', 'word_num': 5, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίαν = church",0.14414414414414414,0,0
"507707","act","9","31","2",",1490106,",",1280081,",0,"[{'id': 1490106, 'book_id': 'act', 'chapter': '9', 'verse': '31', 'word_num': 3, 'word': 'ἐκκλησία', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,NFS,'}]","ἐκκλησία",1,0,"[{'id': 1280081, 'book_id': 'act', 'chapter': '9', 'verse': '31', 'word_num': 2, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησία = church",0.06306306306306306,0,0
"509136","act","11","22","9",",1491573,",",1282001,",0,"[{'id': 1491573, 'book_id': 'act', 'chapter': '11', 'verse': '22', 'word_num': 8, 'word': 'ἐκκλησίας', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,GFS,'}]","ἐκκλησίας",1,0,"[{'id': 1282001, 'book_id': 'act', 'chapter': '11', 'verse': '22', 'word_num': 9, 'word': 'of', 'occurrence': 1}]","of",1,"ἐκκλησίας = of",0.036036036036036036,0,0
"509209","act","11","26","13",",1491641,",",1282101,",0,"[{'id': 1491641, 'book_id': 'act', 'chapter': '11', 'verse': '26', 'word_num': 14, 'word': 'ἐκκλησίᾳ', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,DFS,'}]","ἐκκλησίᾳ",1,0,"[{'id': 1282101, 'book_id': 'act', 'chapter': '11', 'verse': '26', 'word_num': 23, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίᾳ = church",0.13513513513513514,0,0
"509298","act","12","1","13",",1491734,",",1282212,",0,"[{'id': 1491734, 'book_id': 'act', 'chapter': '12', 'verse': '1', 'word_num': 16, 'word': 'ἐκκλησίας', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,GFS,'}]","ἐκκλησίας",1,0,"[{'id': 1282212, 'book_id': 'act', 'chapter': '12', 'verse': '1', 'word_num': 15, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίας = church",0.16216216216216217,0,0
"509362","act","12","5","17",",1491793,",",1282305,",0,"[{'id': 1491793, 'book_id': 'act', 'chapter': '12', 'verse': '5', 'word_num': 15, 'word': 'ἐκκλησίας', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,GFS,'}]","ἐκκλησίας",1,0,"[{'id': 1282305, 'book_id': 'act', 'chapter': '12', 'verse': '5', 'word_num': 19, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίας = church",0.16216216216216217,0,0
"509769","act","13","1","8",",1492216,",",1282869,",0,"[{'id': 1492216, 'book_id': 'act', 'chapter': '13', 'verse': '1', 'word_num': 7, 'word': 'ἐκκλησίαν', 'occurrence': 1, 'strong': 'G15770', 'lemma': 'ἐκκλησία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐκκλησίαν",1,0,"[{'id': 1282869, 'book_id': 'act', 'chapter': '13', 'verse': '1', 'word_num': 9, 'word': 'church', 'occurrence': 1}]","church",1,"ἐκκλησίαν = church",0.14414414414414414,0,0
