"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458647","mrk","1","41","0",",1438381,1438382,",",1212537,1212538,1212539,",1,"[{'id': 1438381, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1438382, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 1, 'word': 'σπλαγχνισθεὶς', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,PAP,NMS,'}]","καὶ σπλαγχνισθεὶς",2,2,"[{'id': 1212537, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 0, 'word': 'Moved', 'occurrence': 1}, {'id': 1212538, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 1, 'word': 'with', 'occurrence': 1}, {'id': 1212539, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 2, 'word': 'compassion', 'occurrence': 1}]","Moved with compassion",3,"καὶ σπλαγχνισθεὶς = Moved with compassion",0.05,0,0
"461609","mrk","6","34","6",",1441538,",",1216661,1216662,1216663,",0,"[{'id': 1441538, 'book_id': 'mrk', 'chapter': '6', 'verse': '34', 'word_num': 6, 'word': 'ἐσπλαγχνίσθη', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐσπλαγχνίσθη",1,2,"[{'id': 1216661, 'book_id': 'mrk', 'chapter': '6', 'verse': '34', 'word_num': 10, 'word': 'he', 'occurrence': 2}, {'id': 1216662, 'book_id': 'mrk', 'chapter': '6', 'verse': '34', 'word_num': 11, 'word': 'had', 'occurrence': 1}, {'id': 1216663, 'book_id': 'mrk', 'chapter': '6', 'verse': '34', 'word_num': 12, 'word': 'compassion', 'occurrence': 1}]","he had compassion",3,"ἐσπλαγχνίσθη = he had compassion",0.05,0,0
"462550","mrk","8","2","0",",1442541,",",1217945,1217946,1217947,",0,"[{'id': 1442541, 'book_id': 'mrk', 'chapter': '8', 'verse': '2', 'word_num': 0, 'word': 'σπλαγχνίζομαι', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,IPM1,,S,'}]","σπλαγχνίζομαι",1,2,"[{'id': 1217945, 'book_id': 'mrk', 'chapter': '8', 'verse': '2', 'word_num': 0, 'word': 'I', 'occurrence': 1}, {'id': 1217946, 'book_id': 'mrk', 'chapter': '8', 'verse': '2', 'word_num': 1, 'word': 'have', 'occurrence': 1}, {'id': 1217947, 'book_id': 'mrk', 'chapter': '8', 'verse': '2', 'word_num': 2, 'word': 'compassion', 'occurrence': 1}]","I have compassion",3,"σπλαγχνίζομαι = I have compassion",0.05,0,0
"463485","mrk","9","22","17",",1443548,",",1219257,1219258,",0,"[{'id': 1443548, 'book_id': 'mrk', 'chapter': '9', 'verse': '22', 'word_num': 19, 'word': 'σπλαγχνισθεὶς', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,PAP,NMS,'}]","σπλαγχνισθεὶς",1,1,"[{'id': 1219257, 'book_id': 'mrk', 'chapter': '9', 'verse': '22', 'word_num': 26, 'word': 'have', 'occurrence': 1}, {'id': 1219258, 'book_id': 'mrk', 'chapter': '9', 'verse': '22', 'word_num': 27, 'word': 'compassion', 'occurrence': 1}]","have compassion",2,"σπλαγχνισθεὶς = have compassion",0.05,0,0
"473056","luk","6","36","1",",1453846,",",1232937,",0,"[{'id': 1453846, 'book_id': 'luk', 'chapter': '6', 'verse': '36', 'word_num': 1, 'word': 'οἰκτίρμονες', 'occurrence': 1, 'strong': 'G36290', 'lemma': 'οἰκτίρμων', 'morph': 'Gr,NP,,,,NMP,'}]","οἰκτίρμονες",1,0,"[{'id': 1232937, 'book_id': 'luk', 'chapter': '6', 'verse': '36', 'word_num': 1, 'word': 'merciful', 'occurrence': 1}]","merciful",1,"οἰκτίρμονες = merciful",0.05,0,0
"473061","luk","6","36","6",",1453851,",",1232943,",0,"[{'id': 1453851, 'book_id': 'luk', 'chapter': '6', 'verse': '36', 'word_num': 6, 'word': 'οἰκτίρμων', 'occurrence': 1, 'strong': 'G36290', 'lemma': 'οἰκτίρμων', 'morph': 'Gr,NP,,,,NMS,'}]","οἰκτίρμων",1,0,"[{'id': 1232943, 'book_id': 'luk', 'chapter': '6', 'verse': '36', 'word_num': 7, 'word': 'merciful', 'occurrence': 2}]","merciful",1,"οἰκτίρμων = merciful",0.1,0,0
"473596","luk","7","13","2",",1454383,",",1233681,",0,"[{'id': 1454383, 'book_id': 'luk', 'chapter': '7', 'verse': '13', 'word_num': 5, 'word': 'ἐσπλαγχνίσθη', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐσπλαγχνίσθη",1,0,"[{'id': 1233681, 'book_id': 'luk', 'chapter': '7', 'verse': '13', 'word_num': 2, 'word': 'he', 'occurrence': 1}]","he",1,"ἐσπλαγχνίσθη = he",0.05,0,0
"477027","luk","10","33","10",",1457880,",",1238299,1238300,1238301,1238302,1238303,",0,"[{'id': 1457880, 'book_id': 'luk', 'chapter': '10', 'verse': '33', 'word_num': 9, 'word': 'ἐσπλαγχνίσθη', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐσπλαγχνίσθη",1,4,"[{'id': 1238299, 'book_id': 'luk', 'chapter': '10', 'verse': '33', 'word_num': 15, 'word': 'he', 'occurrence': 3}, {'id': 1238300, 'book_id': 'luk', 'chapter': '10', 'verse': '33', 'word_num': 16, 'word': 'was', 'occurrence': 1}, {'id': 1238301, 'book_id': 'luk', 'chapter': '10', 'verse': '33', 'word_num': 17, 'word': 'moved', 'occurrence': 1}, {'id': 1238302, 'book_id': 'luk', 'chapter': '10', 'verse': '33', 'word_num': 18, 'word': 'with', 'occurrence': 1}, {'id': 1238303, 'book_id': 'luk', 'chapter': '10', 'verse': '33', 'word_num': 19, 'word': 'compassion', 'occurrence': 1}]","he was moved with compassion",5,"ἐσπλαγχνίσθη = he was moved with compassion",0.05,0,0
"480771","luk","15","20","19",",1461674,",",1243438,1243439,1243440,1243441,",0,"[{'id': 1461674, 'book_id': 'luk', 'chapter': '15', 'verse': '20', 'word_num': 18, 'word': 'ἐσπλαγχνίσθη', 'occurrence': 1, 'strong': 'G46970', 'lemma': 'σπλαγχνίζω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐσπλαγχνίσθη",1,3,"[{'id': 1243438, 'book_id': 'luk', 'chapter': '15', 'verse': '20', 'word_num': 22, 'word': 'was', 'occurrence': 2}, {'id': 1243439, 'book_id': 'luk', 'chapter': '15', 'verse': '20', 'word_num': 23, 'word': 'moved', 'occurrence': 1}, {'id': 1243440, 'book_id': 'luk', 'chapter': '15', 'verse': '20', 'word_num': 24, 'word': 'with', 'occurrence': 1}, {'id': 1243441, 'book_id': 'luk', 'chapter': '15', 'verse': '20', 'word_num': 25, 'word': 'compassion', 'occurrence': 1}]","was moved with compassion",4,"ἐσπλαγχνίσθη = was moved with compassion",0.05,0,0
"523535","rom","9","15","7",",1506594,",",1302425,1302426,1302427,1302428,",0,"[{'id': 1506594, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 9, 'word': 'οἰκτειρήσω', 'occurrence': 1, 'strong': 'G36270', 'lemma': 'οἰκτείρω', 'morph': 'Gr,V,IFA1,,S,'}]","οἰκτειρήσω",1,3,"[{'id': 1302425, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 16, 'word': 'I', 'occurrence': 3}, {'id': 1302426, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 17, 'word': 'will', 'occurrence': 3}, {'id': 1302427, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 18, 'word': 'have', 'occurrence': 3}, {'id': 1302428, 'book_id': 'rom', 'chapter': '9', 'verse': '15', 'word_num': 19, 'word': 'compassion', 'occurrence': 1}]","I will have compassion",4,"οἰκτειρήσω = I will have compassion",0.05,0,0
