"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458956","mrk","2","15","16",",1438711,1438712,",",1212987,",1,"[{'id': 1438711, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 17, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMP,'}, {'id': 1438712, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 18, 'word': 'μαθηταῖς', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,DMP,'}]","τοῖς μαθηταῖς",2,0,"[{'id': 1212987, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 25, 'word': 'disciples', 'occurrence': 1}]","disciples",1,"τοῖς μαθηταῖς = disciples",0.041666666666666664,8,0,0
"458976","mrk","2","16","13",",1438734,1438735,",",1213014,",1,"[{'id': 1438734, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 14, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMP,'}, {'id': 1438735, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 15, 'word': 'μαθηταῖς', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,DMP,'}]","τοῖς μαθηταῖς",2,0,"[{'id': 1213014, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 18, 'word': 'to', 'occurrence': 1}]","to",1,"τοῖς μαθηταῖς = to",0.03125,6,0,0
"459007","mrk","2","18","2",",1438769,",",1213062,",0,"[{'id': 1438769, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 3, 'word': 'μαθηταὶ', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,NMP,'}]","μαθηταὶ",1,0,"[{'id': 1213062, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 2, 'word': 'disciples', 'occurrence': 1}]","disciples",1,"μαθηταὶ = disciples",0.11979166666666667,23,0,0
"459021","mrk","2","18","16",",1438783,",",1213080,",0,"[{'id': 1438783, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 17, 'word': 'μαθηταὶ', 'occurrence': 2, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,NMP,'}]","μαθηταὶ",1,0,"[{'id': 1213080, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 20, 'word': 'disciples', 'occurrence': 2}]","disciples",1,"μαθηταὶ = disciples",0.11979166666666667,23,0,0
"459025","mrk","2","18","20",",1438787,",",1213085,",0,"[{'id': 1438787, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 21, 'word': 'μαθηταὶ', 'occurrence': 3, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,NMP,'}]","μαθηταὶ",1,0,"[{'id': 1213085, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 25, 'word': 'disciples', 'occurrence': 3}]","disciples",1,"μαθηταὶ = disciples",0.11979166666666667,23,0,0
"459031","mrk","2","18","26",",1438794,",",1213092,",0,"[{'id': 1438794, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 28, 'word': 'μαθηταὶ', 'occurrence': 4, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,NMP,'}]","μαθηταὶ",1,0,"[{'id': 1213092, 'book_id': 'mrk', 'chapter': '2', 'verse': '18', 'word_num': 32, 'word': 'disciples', 'occurrence': 4}]","disciples",1,"μαθηταὶ = disciples",0.11979166666666667,23,0,0
"459138","mrk","2","23","12",",1438906,1438907,",",1213227,",1,"[{'id': 1438906, 'book_id': 'mrk', 'chapter': '2', 'verse': '23', 'word_num': 11, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMP,'}, {'id': 1438907, 'book_id': 'mrk', 'chapter': '2', 'verse': '23', 'word_num': 12, 'word': 'μαθηταὶ', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,NMP,'}]","οἱ μαθηταὶ",2,0,"[{'id': 1213227, 'book_id': 'mrk', 'chapter': '2', 'verse': '23', 'word_num': 15, 'word': 'disciples', 'occurrence': 1}]","disciples",1,"οἱ μαθηταὶ = disciples",0.171875,33,0,0
"459325","mrk","3","7","4",",1439101,1439102,",",1213499,",1,"[{'id': 1439101, 'book_id': 'mrk', 'chapter': '3', 'verse': '7', 'word_num': 4, 'word': 'τῶν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMP,'}, {'id': 1439102, 'book_id': 'mrk', 'chapter': '3', 'verse': '7', 'word_num': 5, 'word': 'μαθητῶν', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,GMP,'}]","τῶν μαθητῶν",2,0,"[{'id': 1213499, 'book_id': 'mrk', 'chapter': '3', 'verse': '7', 'word_num': 4, 'word': 'disciples', 'occurrence': 1}]","disciples",1,"τῶν μαθητῶν = disciples",0.08854166666666667,17,0,0
"459367","mrk","3","9","3",",1439145,1439146,",",1213550,",1,"[{'id': 1439145, 'book_id': 'mrk', 'chapter': '3', 'verse': '9', 'word_num': 2, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMP,'}, {'id': 1439146, 'book_id': 'mrk', 'chapter': '3', 'verse': '9', 'word_num': 3, 'word': 'μαθηταῖς', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,DMP,'}]","τοῖς μαθηταῖς",2,0,"[{'id': 1213550, 'book_id': 'mrk', 'chapter': '3', 'verse': '9', 'word_num': 4, 'word': 'disciples', 'occurrence': 1}]","disciples",1,"τοῖς μαθηταῖς = disciples",0.041666666666666664,8,0,0
"460265","mrk","4","34","14",",1440107,",",1214793,",0,"[{'id': 1440107, 'book_id': 'mrk', 'chapter': '4', 'verse': '34', 'word_num': 11, 'word': 'μαθηταῖς', 'occurrence': 1, 'strong': 'G31010', 'lemma': 'μαθητής', 'morph': 'Gr,N,,,,,DMP,'}]","μαθηταῖς",1,0,"[{'id': 1214793, 'book_id': 'mrk', 'chapter': '4', 'verse': '34', 'word_num': 21, 'word': 'disciples', 'occurrence': 1}]","disciples",1,"μαθηταῖς = disciples",0.041666666666666664,8,0,0
