"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458642","mrk","1","40","12",",1438377,",",1212529,1212530,1212531,",0,"[{'id': 1438377, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 13, 'word': 'θέλῃς', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,SPA2,,S,'}]","θέλῃς",1,2,"[{'id': 1212529, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 16, 'word': 'you', 'occurrence': 1}, {'id': 1212530, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 17, 'word': 'are', 'occurrence': 1}, {'id': 1212531, 'book_id': 'mrk', 'chapter': '1', 'verse': '40', 'word_num': 18, 'word': 'willing', 'occurrence': 1}]","you are willing",3,"θέλῃς = you are willing",0.00784313725490196,0,0
"458655","mrk","1","41","8",",1438391,",",1212551,1212552,1212553,",0,"[{'id': 1438391, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 10, 'word': 'θέλω', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA1,,S,'}]","θέλω",1,2,"[{'id': 1212551, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 14, 'word': 'I', 'occurrence': 1}, {'id': 1212552, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 15, 'word': 'am', 'occurrence': 1}, {'id': 1212553, 'book_id': 'mrk', 'chapter': '1', 'verse': '41', 'word_num': 16, 'word': 'willing', 'occurrence': 1}]","I am willing",3,"θέλω = I am willing",0.00784313725490196,0,0
"459429","mrk","3","13","9",",1439208,",",1213637,1213638,",0,"[{'id': 1439208, 'book_id': 'mrk', 'chapter': '3', 'verse': '13', 'word_num': 8, 'word': 'ἤθελεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IIA3,,S,'}]","ἤθελεν",1,1,"[{'id': 1213637, 'book_id': 'mrk', 'chapter': '3', 'verse': '13', 'word_num': 13, 'word': 'he', 'occurrence': 2}, {'id': 1213638, 'book_id': 'mrk', 'chapter': '3', 'verse': '13', 'word_num': 14, 'word': 'wanted', 'occurrence': 1}]","he wanted",2,"ἤθελεν = he wanted",0.00784313725490196,0,0
"461349","mrk","6","19","4",",1441261,",",1216301,",0,"[{'id': 1441261, 'book_id': 'mrk', 'chapter': '6', 'verse': '19', 'word_num': 6, 'word': 'ἤθελεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IIA3,,S,'}]","ἤθελεν",1,0,"[{'id': 1216301, 'book_id': 'mrk', 'chapter': '6', 'verse': '19', 'word_num': 7, 'word': 'wanted', 'occurrence': 1}]","wanted",1,"ἤθελεν = wanted",0.00784313725490196,0,0
"461418","mrk","6","22","21",",1441337,",",1216395,1216396,",0,"[{'id': 1441337, 'book_id': 'mrk', 'chapter': '6', 'verse': '22', 'word_num': 24, 'word': 'θέλῃς', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,SPA2,,S,'}]","θέλῃς",1,1,"[{'id': 1216395, 'book_id': 'mrk', 'chapter': '6', 'verse': '22', 'word_num': 32, 'word': 'you', 'occurrence': 1}, {'id': 1216396, 'book_id': 'mrk', 'chapter': '6', 'verse': '22', 'word_num': 33, 'word': 'want', 'occurrence': 1}]","you want",2,"θέλῃς = you want",0.00392156862745098,0,0
"461459","mrk","6","25","10",",1441381,",",1216456,1216457,",0,"[{'id': 1441381, 'book_id': 'mrk', 'chapter': '6', 'verse': '25', 'word_num': 10, 'word': 'θέλω', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA1,,S,'}]","θέλω",1,1,"[{'id': 1216456, 'book_id': 'mrk', 'chapter': '6', 'verse': '25', 'word_num': 12, 'word': 'I', 'occurrence': 1}, {'id': 1216457, 'book_id': 'mrk', 'chapter': '6', 'verse': '25', 'word_num': 13, 'word': 'desire', 'occurrence': 1}]","I desire",2,"θέλω = I desire",0.011764705882352941,0,0
"461476","mrk","6","26","5",",1441405,",",1216479,",0,"[{'id': 1441405, 'book_id': 'mrk', 'chapter': '6', 'verse': '26', 'word_num': 12, 'word': 'ἠθέλησεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠθέλησεν",1,0,"[{'id': 1216479, 'book_id': 'mrk', 'chapter': '6', 'verse': '26', 'word_num': 6, 'word': 'he', 'occurrence': 1}]","he",1,"ἠθέλησεν = he",0.00392156862745098,0,0
"461834","mrk","6","48","25",",1441772,",",1216970,1216971,",0,"[{'id': 1441772, 'book_id': 'mrk', 'chapter': '6', 'verse': '48', 'word_num': 27, 'word': 'ἤθελεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IIA3,,S,'}]","ἤθελεν",1,1,"[{'id': 1216970, 'book_id': 'mrk', 'chapter': '6', 'verse': '48', 'word_num': 29, 'word': 'he', 'occurrence': 2}, {'id': 1216971, 'book_id': 'mrk', 'chapter': '6', 'verse': '48', 'word_num': 30, 'word': 'wanted', 'occurrence': 1}]","he wanted",2,"ἤθελεν = he wanted",0.00784313725490196,0,0
"462317","mrk","7","24","14",",1442291,",",1217627,",0,"[{'id': 1442291, 'book_id': 'mrk', 'chapter': '7', 'verse': '24', 'word_num': 15, 'word': 'ἤθελεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IIA3,,S,'}]","ἤθελεν",1,0,"[{'id': 1217627, 'book_id': 'mrk', 'chapter': '7', 'verse': '24', 'word_num': 22, 'word': 'wanting', 'occurrence': 1}]","wanting",1,"ἤθελεν = wanting",0.00784313725490196,0,0
"463046","mrk","8","34","11",",1443062,",",1218654,",0,"[{'id': 1443062, 'book_id': 'mrk', 'chapter': '8', 'verse': '34', 'word_num': 12, 'word': 'θέλει', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA3,,S,'}]","θέλει",1,0,"[{'id': 1218654, 'book_id': 'mrk', 'chapter': '8', 'verse': '34', 'word_num': 16, 'word': 'wants', 'occurrence': 1}]","wants",1,"θέλει = wants",0.0196078431372549,0,0
"463059","mrk","8","35","1",",1443079,",",1218672,",0,"[{'id': 1443079, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 3, 'word': 'θέλῃ', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,SPA3,,S,'}]","θέλῃ",1,0,"[{'id': 1218672, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 2, 'word': 'wants', 'occurrence': 1}]","wants",1,"θέλῃ = wants",0.00392156862745098,0,0
"463336","mrk","9","13","11",",1443389,",",1219041,1219042,",0,"[{'id': 1443389, 'book_id': 'mrk', 'chapter': '9', 'verse': '13', 'word_num': 11, 'word': 'ἤθελον', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IIA3,,P,'}]","ἤθελον",1,1,"[{'id': 1219041, 'book_id': 'mrk', 'chapter': '9', 'verse': '13', 'word_num': 14, 'word': 'they', 'occurrence': 2}, {'id': 1219042, 'book_id': 'mrk', 'chapter': '9', 'verse': '13', 'word_num': 15, 'word': 'wanted', 'occurrence': 1}]","they wanted",2,"ἤθελον = they wanted",0.011764705882352941,0,0
"463598","mrk","9","30","6",",1443676,1443677,",",1219419,",1,"[{'id': 1443676, 'book_id': 'mrk', 'chapter': '9', 'verse': '30', 'word_num': 8, 'word': 'ἤθελεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IIA3,,S,'}, {'id': 1443677, 'book_id': 'mrk', 'chapter': '9', 'verse': '30', 'word_num': 9, 'word': 'ἵνα', 'occurrence': 1, 'strong': 'G24430', 'lemma': 'ἵνα', 'morph': 'Gr,CS,,,,,,,,'}]","ἤθελεν ἵνα",2,0,"[{'id': 1219419, 'book_id': 'mrk', 'chapter': '9', 'verse': '30', 'word_num': 10, 'word': 'he', 'occurrence': 1}]","he",1,"ἤθελεν ἵνα = he",0.00392156862745098,0,0
"463673","mrk","9","35","11",",1443753,",",1219537,",0,"[{'id': 1443753, 'book_id': 'mrk', 'chapter': '9', 'verse': '35', 'word_num': 10, 'word': 'θέλει', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA3,,S,'}]","θέλει",1,0,"[{'id': 1219537, 'book_id': 'mrk', 'chapter': '9', 'verse': '35', 'word_num': 15, 'word': 'wants', 'occurrence': 1}]","wants",1,"θέλει = wants",0.0196078431372549,0,0
"464452","mrk","10","35","12",",1444617,",",1220672,1220673,",0,"[{'id': 1444617, 'book_id': 'mrk', 'chapter': '10', 'verse': '35', 'word_num': 12, 'word': 'θέλομεν', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA1,,P,'}]","θέλομεν",1,1,"[{'id': 1220672, 'book_id': 'mrk', 'chapter': '10', 'verse': '35', 'word_num': 16, 'word': 'we', 'occurrence': 1}, {'id': 1220673, 'book_id': 'mrk', 'chapter': '10', 'verse': '35', 'word_num': 17, 'word': 'desire', 'occurrence': 1}]","we desire",2,"θέλομεν = we desire",0.00392156862745098,0,0
"464464","mrk","10","36","5",",1444630,",",1220690,1220691,1220692,",0,"[{'id': 1444630, 'book_id': 'mrk', 'chapter': '10', 'verse': '36', 'word_num': 5, 'word': 'θέλετε', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA2,,P,'}]","θέλετε",1,2,"[{'id': 1220690, 'book_id': 'mrk', 'chapter': '10', 'verse': '36', 'word_num': 6, 'word': 'do', 'occurrence': 1}, {'id': 1220691, 'book_id': 'mrk', 'chapter': '10', 'verse': '36', 'word_num': 7, 'word': 'you', 'occurrence': 1}, {'id': 1220692, 'book_id': 'mrk', 'chapter': '10', 'verse': '36', 'word_num': 8, 'word': 'want', 'occurrence': 1}]","do you want",3,"θέλετε = do you want",0.00784313725490196,0,0
"464583","mrk","10","43","9",",1444757,",",1220882,",0,"[{'id': 1444757, 'book_id': 'mrk', 'chapter': '10', 'verse': '43', 'word_num': 9, 'word': 'θέλῃ', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,SPA3,,S,'}]","θέλῃ",1,0,"[{'id': 1220882, 'book_id': 'mrk', 'chapter': '10', 'verse': '43', 'word_num': 11, 'word': 'wishes', 'occurrence': 1}]","wishes",1,"θέλῃ = wishes",0.011764705882352941,0,0
"464593","mrk","10","44","2",",1444768,",",1220894,",0,"[{'id': 1444768, 'book_id': 'mrk', 'chapter': '10', 'verse': '44', 'word_num': 3, 'word': 'θέλῃ', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,SPA3,,S,'}]","θέλῃ",1,0,"[{'id': 1220894, 'book_id': 'mrk', 'chapter': '10', 'verse': '44', 'word_num': 2, 'word': 'wishes', 'occurrence': 1}]","wishes",1,"θέλῃ = wishes",0.011764705882352941,0,0
"464704","mrk","10","51","6",",1444888,",",1221054,1221055,1221056,",0,"[{'id': 1444888, 'book_id': 'mrk', 'chapter': '10', 'verse': '51', 'word_num': 8, 'word': 'θέλεις', 'occurrence': 1, 'strong': 'G23090', 'lemma': 'θέλω', 'morph': 'Gr,V,IPA2,,S,'}]","θέλεις",1,2,"[{'id': 1221054, 'book_id': 'mrk', 'chapter': '10', 'verse': '51', 'word_num': 7, 'word': 'do', 'occurrence': 1}, {'id': 1221055, 'book_id': 'mrk', 'chapter': '10', 'verse': '51', 'word_num': 8, 'word': 'you', 'occurrence': 1}, {'id': 1221056, 'book_id': 'mrk', 'chapter': '10', 'verse': '51', 'word_num': 9, 'word': 'want', 'occurrence': 1}]","do you want",3,"θέλεις = do you want",0.011764705882352941,0,0
