"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"463170","mrk","9","2","16",",1443205,",",1218812,",0,"[{'id': 1443205, 'book_id': 'mrk', 'chapter': '9', 'verse': '2', 'word_num': 20, 'word': 'ὑψηλὸν', 'occurrence': 1, 'strong': 'G53080', 'lemma': 'ὑψηλός', 'morph': 'Gr,AA,,,,ANS,'}]","ὑψηλὸν",1,0,"[{'id': 1218812, 'book_id': 'mrk', 'chapter': '9', 'verse': '2', 'word_num': 16, 'word': 'high', 'occurrence': 1}]","high",1,"ὑψηλὸν = high",0.014285714285714285,1,0,0
"469144","luk","1","46","5",",1449827,",",1227679,",0,"[{'id': 1449827, 'book_id': 'luk', 'chapter': '1', 'verse': '46', 'word_num': 3, 'word': 'μεγαλύνει', 'occurrence': 1, 'strong': 'G31700', 'lemma': 'μεγαλύνω', 'morph': 'Gr,V,IPA3,,S,'}]","μεγαλύνει",1,0,"[{'id': 1227679, 'book_id': 'luk', 'chapter': '1', 'verse': '46', 'word_num': 5, 'word': 'magnifies', 'occurrence': 1}]","magnifies",1,"μεγαλύνει = magnifies",0.014285714285714285,1,0,0
"469150","luk","1","47","3",",1449834,",",1227685,",0,"[{'id': 1449834, 'book_id': 'luk', 'chapter': '1', 'verse': '47', 'word_num': 1, 'word': 'ἠγαλλίασεν', 'occurrence': 1, 'strong': 'G00210', 'lemma': 'ἀγαλλιάω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠγαλλίασεν",1,0,"[{'id': 1227685, 'book_id': 'luk', 'chapter': '1', 'verse': '47', 'word_num': 3, 'word': 'rejoiced', 'occurrence': 1}]","rejoiced",1,"ἠγαλλίασεν = rejoiced",0.014285714285714285,1,0,0
"469208","luk","1","52","5",",1449899,",",1227771,1227772,1227773,1227774,",0,"[{'id': 1449899, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 5, 'word': 'ὕψωσεν', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IAA3,,S,'}]","ὕψωσεν",1,3,"[{'id': 1227771, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1227772, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 10, 'word': 'has', 'occurrence': 2}, {'id': 1227773, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 11, 'word': 'raised', 'occurrence': 1}, {'id': 1227774, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 12, 'word': 'up', 'occurrence': 1}]","he has raised up",4,"ὕψωσεν = he has raised up",0.014285714285714285,1,0,0
"469269","luk","1","58","9",",1449964,",",1227857,1227858,",0,"[{'id': 1449964, 'book_id': 'luk', 'chapter': '1', 'verse': '58', 'word_num': 9, 'word': 'ἐμεγάλυνεν', 'occurrence': 1, 'strong': 'G31700', 'lemma': 'μεγαλύνω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐμεγάλυνεν",1,1,"[{'id': 1227857, 'book_id': 'luk', 'chapter': '1', 'verse': '58', 'word_num': 10, 'word': 'had', 'occurrence': 1}, {'id': 1227858, 'book_id': 'luk', 'chapter': '1', 'verse': '58', 'word_num': 11, 'word': 'shown', 'occurrence': 1}]","had shown",2,"ἐμεγάλυνεν = had shown",0.014285714285714285,1,0,0
"469523","luk","1","78","10",",1450233,",",1228207,1228208,",0,"[{'id': 1450233, 'book_id': 'luk', 'chapter': '1', 'verse': '78', 'word_num': 11, 'word': 'ὕψους', 'occurrence': 1, 'strong': 'G53110', 'lemma': 'ὕψος', 'morph': 'Gr,N,,,,,GNS,'}]","ὕψους",1,1,"[{'id': 1228207, 'book_id': 'luk', 'chapter': '1', 'verse': '78', 'word_num': 13, 'word': 'on', 'occurrence': 1}, {'id': 1228208, 'book_id': 'luk', 'chapter': '1', 'verse': '78', 'word_num': 14, 'word': 'high', 'occurrence': 1}]","on high",2,"ὕψους = on high",0.02857142857142857,2,0,0
"472793","luk","6","20","2",",1453568,",",1232570,1232571,",0,"[{'id': 1453568, 'book_id': 'luk', 'chapter': '6', 'verse': '20', 'word_num': 2, 'word': 'ἐπάρας', 'occurrence': 1, 'strong': 'G18690', 'lemma': 'ἐπαίρω', 'morph': 'Gr,V,PAA,NMS,'}]","ἐπάρας",1,1,"[{'id': 1232570, 'book_id': 'luk', 'chapter': '6', 'verse': '20', 'word_num': 2, 'word': 'lifted', 'occurrence': 1}, {'id': 1232571, 'book_id': 'luk', 'chapter': '6', 'verse': '20', 'word_num': 3, 'word': 'up', 'occurrence': 1}]","lifted up",2,"ἐπάρας = lifted up",0.04285714285714286,3,0,0
"476692","luk","10","15","3",",1457526,",",1237843,1237844,",0,"[{'id': 1457526, 'book_id': 'luk', 'chapter': '10', 'verse': '15', 'word_num': 6, 'word': 'ὑψωθήσῃ', 'occurrence': 1, 'strong': 'G53120', 'lemma': 'ὑψόω', 'morph': 'Gr,V,IFP2,,S,'}]","ὑψωθήσῃ",1,1,"[{'id': 1237843, 'book_id': 'luk', 'chapter': '10', 'verse': '15', 'word_num': 3, 'word': 'you', 'occurrence': 2}, {'id': 1237844, 'book_id': 'luk', 'chapter': '10', 'verse': '15', 'word_num': 4, 'word': 'will', 'occurrence': 1}]","you will",2,"ὑψωθήσῃ = you will",0.014285714285714285,1,0,0
"476789","luk","10","21","3",",1457628,",",1237972,1237973,1237974,",0,"[{'id': 1457628, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 4, 'word': 'ἠγαλλιάσατο', 'occurrence': 1, 'strong': 'G00210', 'lemma': 'ἀγαλλιάω', 'morph': 'Gr,V,IAM3,,S,'}]","ἠγαλλιάσατο",1,2,"[{'id': 1237972, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 3, 'word': 'he', 'occurrence': 1}, {'id': 1237973, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 4, 'word': 'rejoiced', 'occurrence': 1}, {'id': 1237974, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 5, 'word': 'greatly', 'occurrence': 1}]","he rejoiced greatly",3,"ἠγαλλιάσατο = he rejoiced greatly",0.014285714285714285,1,0,0
"477647","luk","11","27","9",",1458514,",",1239164,",0,"[{'id': 1458514, 'book_id': 'luk', 'chapter': '11', 'verse': '27', 'word_num': 7, 'word': 'ἐπάρασά', 'occurrence': 1, 'strong': 'G18690', 'lemma': 'ἐπαίρω', 'morph': 'Gr,V,PAA,NFS,'}]","ἐπάρασά",1,0,"[{'id': 1239164, 'book_id': 'luk', 'chapter': '11', 'verse': '27', 'word_num': 12, 'word': 'raised', 'occurrence': 1}]","raised",1,"ἐπάρασά = raised",0.014285714285714285,1,0,0
