"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458789","mrk","2","5","4",",1438525,1438526,",",1212745,",1,"[{'id': 1438525, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 4, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1438526, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 5, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν πίστιν",2,0,"[{'id': 1212745, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 4, 'word': 'faith', 'occurrence': 1}]","faith",1,"τὴν πίστιν = faith",0.046610169491525424,0,0
"460367","mrk","4","40","10",",1440206,",",1214926,",0,"[{'id': 1440206, 'book_id': 'mrk', 'chapter': '4', 'verse': '40', 'word_num': 8, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","πίστιν",1,0,"[{'id': 1214926, 'book_id': 'mrk', 'chapter': '4', 'verse': '40', 'word_num': 14, 'word': 'faith', 'occurrence': 1}]","faith",1,"πίστιν = faith",0.13135593220338984,0,0
"460893","mrk","5","34","6",",1440762,1440763,",",1215664,",1,"[{'id': 1440762, 'book_id': 'mrk', 'chapter': '5', 'verse': '34', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1440763, 'book_id': 'mrk', 'chapter': '5', 'verse': '34', 'word_num': 6, 'word': 'πίστις', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ πίστις",2,0,"[{'id': 1215664, 'book_id': 'mrk', 'chapter': '5', 'verse': '34', 'word_num': 7, 'word': 'faith', 'occurrence': 1}]","faith",1,"ἡ πίστις = faith",0.09322033898305085,0,0
"464718","mrk","10","52","5",",1444904,1444905,",",1221082,",1,"[{'id': 1444904, 'book_id': 'mrk', 'chapter': '10', 'verse': '52', 'word_num': 6, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1444905, 'book_id': 'mrk', 'chapter': '10', 'verse': '52', 'word_num': 7, 'word': 'πίστις', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ πίστις",2,0,"[{'id': 1221082, 'book_id': 'mrk', 'chapter': '10', 'verse': '52', 'word_num': 7, 'word': 'faith', 'occurrence': 1}]","faith",1,"ἡ πίστις = faith",0.09322033898305085,0,0
"465069","mrk","11","22","5",",1445286,",",1221583,",0,"[{'id': 1445286, 'book_id': 'mrk', 'chapter': '11', 'verse': '22', 'word_num': 7, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","πίστιν",1,0,"[{'id': 1221583, 'book_id': 'mrk', 'chapter': '11', 'verse': '22', 'word_num': 7, 'word': 'faith', 'occurrence': 1}]","faith",1,"πίστιν = faith",0.13135593220338984,0,0
"472097","luk","5","20","3",",1452858,1452859,",",1231653,",1,"[{'id': 1452858, 'book_id': 'luk', 'chapter': '5', 'verse': '20', 'word_num': 2, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1452859, 'book_id': 'luk', 'chapter': '5', 'verse': '20', 'word_num': 3, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν πίστιν",2,0,"[{'id': 1231653, 'book_id': 'luk', 'chapter': '5', 'verse': '20', 'word_num': 5, 'word': 'faith', 'occurrence': 1}]","faith",1,"τὴν πίστιν = faith",0.046610169491525424,0,0
"473529","luk","7","9","22",",1454318,",",1233593,",0,"[{'id': 1454318, 'book_id': 'luk', 'chapter': '7', 'verse': '9', 'word_num': 21, 'word': 'πίστιν', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,AFS,'}]","πίστιν",1,0,"[{'id': 1233593, 'book_id': 'luk', 'chapter': '7', 'verse': '9', 'word_num': 33, 'word': 'faith', 'occurrence': 1}]","faith",1,"πίστιν = faith",0.13135593220338984,0,0
"474235","luk","7","50","6",",1455027,1455028,",",1234595,",1,"[{'id': 1455027, 'book_id': 'luk', 'chapter': '7', 'verse': '50', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1455028, 'book_id': 'luk', 'chapter': '7', 'verse': '50', 'word_num': 6, 'word': 'πίστις', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ πίστις",2,0,"[{'id': 1234595, 'book_id': 'luk', 'chapter': '7', 'verse': '50', 'word_num': 7, 'word': 'faith', 'occurrence': 1}]","faith",1,"ἡ πίστις = faith",0.09322033898305085,0,0
"474723","luk","8","25","5",",1455517,1455518,",",1235253,",1,"[{'id': 1455517, 'book_id': 'luk', 'chapter': '8', 'verse': '25', 'word_num': 4, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1455518, 'book_id': 'luk', 'chapter': '8', 'verse': '25', 'word_num': 5, 'word': 'πίστις', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ πίστις",2,0,"[{'id': 1235253, 'book_id': 'luk', 'chapter': '8', 'verse': '25', 'word_num': 8, 'word': 'faith', 'occurrence': 1}]","faith",1,"ἡ πίστις = faith",0.09322033898305085,0,0
"475208","luk","8","48","6",",1455997,1455998,",",1235897,",1,"[{'id': 1455997, 'book_id': 'luk', 'chapter': '8', 'verse': '48', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1455998, 'book_id': 'luk', 'chapter': '8', 'verse': '48', 'word_num': 6, 'word': 'πίστις', 'occurrence': 1, 'strong': 'G41020', 'lemma': 'πίστις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ πίστις",2,0,"[{'id': 1235897, 'book_id': 'luk', 'chapter': '8', 'verse': '48', 'word_num': 7, 'word': 'faith', 'occurrence': 1}]","faith",1,"ἡ πίστις = faith",0.09322033898305085,0,0
