"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"503143","act","2","42","10",",1485406,1485407,",",1274000,",1,"[{'id': 1485406, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 8, 'word': 'τῇ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1485407, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 9, 'word': 'κοινωνίᾳ', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ κοινωνίᾳ",2,0,"[{'id': 1274000, 'book_id': 'act', 'chapter': '2', 'verse': '42', 'word_num': 11, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"τῇ κοινωνίᾳ = fellowship",0.045454545454545456,1,0,0
"525911","rom","15","26","6",",1509187,",",1306134,",0,"[{'id': 1509187, 'book_id': 'rom', 'chapter': '15', 'verse': '26', 'word_num': 5, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1306134, 'book_id': 'rom', 'chapter': '15', 'verse': '26', 'word_num': 12, 'word': 'a', 'occurrence': 1}]","a",1,"κοινωνίαν = a",0.045454545454545456,1,0,0
"526541","1co","1","9","6",",1509875,",",1307017,1307018,",0,"[{'id': 1509875, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 7, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,1,"[{'id': 1307017, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 9, 'word': 'the', 'occurrence': 1}, {'id': 1307018, 'book_id': '1co', 'chapter': '1', 'verse': '9', 'word_num': 10, 'word': 'fellowship', 'occurrence': 1}]","the fellowship",2,"κοινωνίαν = the fellowship",0.09090909090909091,2,0,0
"529911","1co","10","16","7",",1513351,",",1312003,1312004,",0,"[{'id': 1513351, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 7, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,1,"[{'id': 1312003, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 10, 'word': 'a', 'occurrence': 1}, {'id': 1312004, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 11, 'word': 'sharing', 'occurrence': 1}]","a sharing",2,"κοινωνία = a sharing",0.09090909090909091,2,0,0
"529921","1co","10","16","17",",1513362,",",1312018,1312019,",0,"[{'id': 1513362, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 18, 'word': 'κοινωνία', 'occurrence': 2, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,1,"[{'id': 1312018, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 25, 'word': 'a', 'occurrence': 2}, {'id': 1312019, 'book_id': '1co', 'chapter': '10', 'verse': '16', 'word_num': 26, 'word': 'sharing', 'occurrence': 2}]","a sharing",2,"κοινωνία = a sharing",0.09090909090909091,2,0,0
"534887","2co","6","14","14",",1518479,",",1319226,",0,"[{'id': 1518479, 'book_id': '2co', 'chapter': '6', 'verse': '14', 'word_num': 12, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,0,"[{'id': 1319226, 'book_id': '2co', 'chapter': '6', 'verse': '14', 'word_num': 17, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνία = fellowship",0.18181818181818182,4,0,0
"535336","2co","8","4","9",",1518942,",",1319877,",0,"[{'id': 1518942, 'book_id': '2co', 'chapter': '8', 'verse': '4', 'word_num': 9, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1319877, 'book_id': '2co', 'chapter': '8', 'verse': '4', 'word_num': 12, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.18181818181818182,4,0,0
"535917","2co","9","13","21",",1519551,",",1320719,",0,"[{'id': 1519551, 'book_id': '2co', 'chapter': '9', 'verse': '13', 'word_num': 23, 'word': 'κοινωνίας', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,GFS,'}]","κοινωνίας",1,0,"[{'id': 1320719, 'book_id': '2co', 'chapter': '9', 'verse': '13', 'word_num': 26, 'word': 'sharing', 'occurrence': 1}]","sharing",1,"κοινωνίας = sharing",0.09090909090909091,2,0,0
"537391","2co","13","13","12",",1521032,",",1322928,",0,"[{'id': 1521032, 'book_id': '2co', 'chapter': '13', 'verse': '13', 'word_num': 13, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,0,"[{'id': 1322928, 'book_id': '2co', 'chapter': '13', 'verse': '13', 'word_num': 14, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνία = fellowship",0.18181818181818182,4,0,0
"537876","gal","2","9","15",",1521556,",",1323684,1323685,",0,"[{'id': 1521556, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 21, 'word': 'κοινωνίας', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,GFS,'}]","κοινωνίας",1,1,"[{'id': 1323684, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 24, 'word': 'of', 'occurrence': 1}, {'id': 1323685, 'book_id': 'gal', 'chapter': '2', 'verse': '9', 'word_num': 25, 'word': 'fellowship', 'occurrence': 1}]","of fellowship",2,"κοινωνίας = of fellowship",0.045454545454545456,1,0,0
"541234","eph","5","11","2",",1524971,",",1328465,1328466,",0,"[{'id': 1524971, 'book_id': 'eph', 'chapter': '5', 'verse': '11', 'word_num': 2, 'word': 'συνκοινωνεῖτε', 'occurrence': 1, 'strong': 'G47900', 'lemma': 'συνκοινωνέω', 'morph': 'Gr,V,MPA2,,P,'}]","συνκοινωνεῖτε",1,1,"[{'id': 1328465, 'book_id': 'eph', 'chapter': '5', 'verse': '11', 'word_num': 3, 'word': 'take', 'occurrence': 1}, {'id': 1328466, 'book_id': 'eph', 'chapter': '5', 'verse': '11', 'word_num': 4, 'word': 'part', 'occurrence': 1}]","take part",2,"συνκοινωνεῖτε = take part",0.045454545454545456,1,0,0
"541987","php","1","5","2",",1525738,1525739,",",1329417,",1,"[{'id': 1525738, 'book_id': 'php', 'chapter': '1', 'verse': '5', 'word_num': 1, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1525739, 'book_id': 'php', 'chapter': '1', 'verse': '5', 'word_num': 2, 'word': 'κοινωνίᾳ', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ κοινωνίᾳ",2,0,"[{'id': 1329417, 'book_id': 'php', 'chapter': '1', 'verse': '5', 'word_num': 3, 'word': 'partnership', 'occurrence': 1}]","partnership",1,"τῇ κοινωνίᾳ = partnership",0.045454545454545456,1,0,0
"542416","php","2","1","12",",1526196,",",1330038,",0,"[{'id': 1526196, 'book_id': 'php', 'chapter': '2', 'verse': '1', 'word_num': 12, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,0,"[{'id': 1330038, 'book_id': 'php', 'chapter': '2', 'verse': '1', 'word_num': 20, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνία = fellowship",0.18181818181818182,4,0,0
"542988","php","3","10","9",",1526774,",",1330917,1330918,",0,"[{'id': 1526774, 'book_id': 'php', 'chapter': '3', 'verse': '10', 'word_num': 10, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,1,"[{'id': 1330917, 'book_id': 'php', 'chapter': '3', 'verse': '10', 'word_num': 14, 'word': 'the', 'occurrence': 2}, {'id': 1330918, 'book_id': 'php', 'chapter': '3', 'verse': '10', 'word_num': 15, 'word': 'fellowship', 'occurrence': 1}]","the fellowship",2,"κοινωνίαν = the fellowship",0.09090909090909091,2,0,0
"543367","php","4","14","3",",1527167,",",1331503,1331504,1331505,1331506,",0,"[{'id': 1527167, 'book_id': 'php', 'chapter': '4', 'verse': '14', 'word_num': 3, 'word': 'συνκοινωνήσαντές', 'occurrence': 1, 'strong': 'G47900', 'lemma': 'συνκοινωνέω', 'morph': 'Gr,V,PAA,NMP,'}]","συνκοινωνήσαντές",1,3,"[{'id': 1331503, 'book_id': 'php', 'chapter': '4', 'verse': '14', 'word_num': 4, 'word': 'to', 'occurrence': 1}, {'id': 1331504, 'book_id': 'php', 'chapter': '4', 'verse': '14', 'word_num': 5, 'word': 'share', 'occurrence': 1}, {'id': 1331505, 'book_id': 'php', 'chapter': '4', 'verse': '14', 'word_num': 6, 'word': 'with', 'occurrence': 1}, {'id': 1331506, 'book_id': 'php', 'chapter': '4', 'verse': '14', 'word_num': 7, 'word': 'me', 'occurrence': 1}]","to share with me",4,"συνκοινωνήσαντές = to share with me",0.045454545454545456,1,0,0
"550721","phm","1","6","2",",1534752,",",1341895,",0,"[{'id': 1534752, 'book_id': 'phm', 'chapter': '1', 'verse': '6', 'word_num': 2, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","κοινωνία",1,0,"[{'id': 1341895, 'book_id': 'phm', 'chapter': '1', 'verse': '6', 'word_num': 4, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνία = fellowship",0.18181818181818182,4,0,0
"555549","heb","13","16","6",",1539798,",",1349228,",0,"[{'id': 1539798, 'book_id': 'heb', 'chapter': '13', 'verse': '16', 'word_num': 4, 'word': 'κοινωνίας', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,GFS,'}]","κοινωνίας",1,0,"[{'id': 1349228, 'book_id': 'heb', 'chapter': '13', 'verse': '16', 'word_num': 8, 'word': 'sharing', 'occurrence': 1}]","sharing",1,"κοινωνίας = sharing",0.09090909090909091,2,0,0
"559966","1jn","1","3","11",",1544532,",",1356102,",0,"[{'id': 1544532, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 10, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1356102, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 17, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.18181818181818182,4,0,0
"559971","1jn","1","3","16",",1544536,1544537,1544538,",",1356107,",2,"[{'id': 1544536, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 14, 'word': 'καὶ', 'occurrence': 4, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,D,,,,,,,,,'}, {'id': 1544537, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 15, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1544538, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 16, 'word': 'κοινωνία', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,NFS,'}]","καὶ ἡ κοινωνία",3,0,"[{'id': 1356107, 'book_id': '1jn', 'chapter': '1', 'verse': '3', 'word_num': 22, 'word': 'fellowship', 'occurrence': 2}]","fellowship",1,"καὶ ἡ κοινωνία = fellowship",0.045454545454545456,1,0,0
"560015","1jn","1","6","4",",1544589,",",1356166,",0,"[{'id': 1544589, 'book_id': '1jn', 'chapter': '1', 'verse': '6', 'word_num': 3, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1356166, 'book_id': '1jn', 'chapter': '1', 'verse': '6', 'word_num': 6, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.18181818181818182,4,0,0
"560042","1jn","1","7","13",",1544616,",",1356197,",0,"[{'id': 1544616, 'book_id': '1jn', 'chapter': '1', 'verse': '7', 'word_num': 12, 'word': 'κοινωνίαν', 'occurrence': 1, 'strong': 'G28420', 'lemma': 'κοινωνία', 'morph': 'Gr,N,,,,,AFS,'}]","κοινωνίαν",1,0,"[{'id': 1356197, 'book_id': '1jn', 'chapter': '1', 'verse': '7', 'word_num': 15, 'word': 'fellowship', 'occurrence': 1}]","fellowship",1,"κοινωνίαν = fellowship",0.18181818181818182,4,0,0
"569313","rev","18","4","13",",1554849,",",1368951,1368952,",0,"[{'id': 1554849, 'book_id': 'rev', 'chapter': '18', 'verse': '4', 'word_num': 16, 'word': 'συνκοινωνήσητε', 'occurrence': 1, 'strong': 'G47900', 'lemma': 'συνκοινωνέω', 'morph': 'Gr,V,SAA2,,P,'}]","συνκοινωνήσητε",1,1,"[{'id': 1368951, 'book_id': 'rev', 'chapter': '18', 'verse': '4', 'word_num': 16, 'word': 'you', 'occurrence': 1}, {'id': 1368952, 'book_id': 'rev', 'chapter': '18', 'verse': '4', 'word_num': 17, 'word': 'will', 'occurrence': 1}]","you will",2,"συνκοινωνήσητε = you will",0.045454545454545456,1,0,0
