"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"464006","mrk","10","8","5",",1444137,1444138,",",1220038,",1,"[{'id': 1444137, 'book_id': 'mrk', 'chapter': '10', 'verse': '8', 'word_num': 4, 'word': 'εἰς', 'occurrence': 1, 'strong': 'G15190', 'lemma': 'εἰς', 'morph': 'Gr,P,,,,,A,,,'}, {'id': 1444138, 'book_id': 'mrk', 'chapter': '10', 'verse': '8', 'word_num': 5, 'word': 'σάρκα', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,AFS,'}]","εἰς σάρκα",2,0,"[{'id': 1220038, 'book_id': 'mrk', 'chapter': '10', 'verse': '8', 'word_num': 6, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"εἰς σάρκα = flesh",0.0196078431372549,0,0
"464013","mrk","10","8","12",",1444146,",",1220047,",0,"[{'id': 1444146, 'book_id': 'mrk', 'chapter': '10', 'verse': '8', 'word_num': 13, 'word': 'σάρξ', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,NFS,'}]","σάρξ",1,0,"[{'id': 1220047, 'book_id': 'mrk', 'chapter': '10', 'verse': '8', 'word_num': 15, 'word': 'flesh', 'occurrence': 2}]","flesh",1,"σάρξ = flesh",0.0196078431372549,0,0
"466293","mrk","13","20","9",",1446632,1446633,",",1223316,",1,"[{'id': 1446632, 'book_id': 'mrk', 'chapter': '13', 'verse': '20', 'word_num': 10, 'word': 'πᾶσα', 'occurrence': 1, 'strong': 'G39560', 'lemma': 'πᾶς', 'morph': 'Gr,EQ,,,,NFS,'}, {'id': 1446633, 'book_id': 'mrk', 'chapter': '13', 'verse': '20', 'word_num': 11, 'word': 'σάρξ', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,NFS,'}]","πᾶσα σάρξ",2,0,"[{'id': 1223316, 'book_id': 'mrk', 'chapter': '13', 'verse': '20', 'word_num': 10, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"πᾶσα σάρξ = flesh",0.013071895424836602,0,0
"467152","mrk","14","38","15",",1447551,",",1224546,",0,"[{'id': 1447551, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 14, 'word': 'σὰρξ', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,NFS,'}]","σὰρξ",1,0,"[{'id': 1224546, 'book_id': 'mrk', 'chapter': '14', 'verse': '38', 'word_num': 19, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"σὰρξ = flesh",0.058823529411764705,0,0
"470480","luk","3","6","2",",1451225,",",1229517,",0,"[{'id': 1451225, 'book_id': 'luk', 'chapter': '3', 'verse': '6', 'word_num': 3, 'word': 'σὰρξ', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,NFS,'}]","σὰρξ",1,0,"[{'id': 1229517, 'book_id': 'luk', 'chapter': '3', 'verse': '6', 'word_num': 2, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"σὰρξ = flesh",0.058823529411764705,0,0
"487348","luk","24","39","18",",1468335,",",1252457,",0,"[{'id': 1468335, 'book_id': 'luk', 'chapter': '24', 'verse': '39', 'word_num': 18, 'word': 'σάρκα', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,AFS,'}]","σάρκα",1,0,"[{'id': 1252457, 'book_id': 'luk', 'chapter': '24', 'verse': '39', 'word_num': 21, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"σάρκα = flesh",0.05228758169934641,0,0
"487685","jhn","1","13","9",",1468685,",",1252898,1252899,1252900,",0,"[{'id': 1468685, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 7, 'word': 'σαρκὸς', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,GFS,'}]","σαρκὸς",1,2,"[{'id': 1252898, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 10, 'word': 'of', 'occurrence': 3}, {'id': 1252899, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 11, 'word': 'the', 'occurrence': 2}, {'id': 1252900, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 12, 'word': 'flesh', 'occurrence': 1}]","of the flesh",3,"σαρκὸς = of the flesh",0.006535947712418301,0,0
"487696","jhn","1","14","3",",1468697,",",1252913,",0,"[{'id': 1468697, 'book_id': 'jhn', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'σὰρξ', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,NFS,'}]","σὰρξ",1,0,"[{'id': 1252913, 'book_id': 'jhn', 'chapter': '1', 'verse': '14', 'word_num': 3, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"σὰρξ = flesh",0.058823529411764705,0,0
"488794","jhn","3","6","3",",1469899,",",1254370,",0,"[{'id': 1469899, 'book_id': 'jhn', 'chapter': '3', 'verse': '6', 'word_num': 4, 'word': 'σαρκὸς', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,GFS,'}]","σαρκὸς",1,0,"[{'id': 1254370, 'book_id': 'jhn', 'chapter': '3', 'verse': '6', 'word_num': 6, 'word': 'flesh', 'occurrence': 1}]","flesh",1,"σαρκὸς = flesh",0.06535947712418301,0,0
"488796","jhn","3","6","5",",1469900,",",1254372,",0,"[{'id': 1469900, 'book_id': 'jhn', 'chapter': '3', 'verse': '6', 'word_num': 5, 'word': 'σάρξ', 'occurrence': 1, 'strong': 'G45610', 'lemma': 'σάρξ', 'morph': 'Gr,N,,,,,NFS,'}]","σάρξ",1,0,"[{'id': 1254372, 'book_id': 'jhn', 'chapter': '3', 'verse': '6', 'word_num': 8, 'word': 'flesh', 'occurrence': 2}]","flesh",1,"σάρξ = flesh",0.0196078431372549,0,0
