"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"462224","mrk","7","18","6",",1442193,",",1217510,1217511,",0,"[{'id': 1442193, 'book_id': 'mrk', 'chapter': '7', 'verse': '18', 'word_num': 6, 'word': 'ἀσύνετοί', 'occurrence': 1, 'strong': 'G08010', 'lemma': 'ἀσύνετος', 'morph': 'Gr,NP,,,,NMP,'}]","ἀσύνετοί",1,1,"[{'id': 1217510, 'book_id': 'mrk', 'chapter': '7', 'verse': '18', 'word_num': 8, 'word': 'without', 'occurrence': 1}, {'id': 1217511, 'book_id': 'mrk', 'chapter': '7', 'verse': '18', 'word_num': 9, 'word': 'understanding', 'occurrence': 1}]","without understanding",2,"ἀσύνετοί = without understanding",0.016666666666666666,0,0
"462293","mrk","7","22","8",",1442265,",",1217593,",0,"[{'id': 1442265, 'book_id': 'mrk', 'chapter': '7', 'verse': '22', 'word_num': 9, 'word': 'ἀφροσύνη', 'occurrence': 1, 'strong': 'G08770', 'lemma': 'ἀφροσύνη', 'morph': 'Gr,N,,,,,NFS,'}]","ἀφροσύνη",1,0,"[{'id': 1217593, 'book_id': 'mrk', 'chapter': '7', 'verse': '22', 'word_num': 8, 'word': 'folly', 'occurrence': 1}]","folly",1,"ἀφροσύνη = folly",0.016666666666666666,0,0
"465299","mrk","12","3","6",",1445551,",",1221929,1221930,",0,"[{'id': 1445551, 'book_id': 'mrk', 'chapter': '12', 'verse': '3', 'word_num': 6, 'word': 'κενόν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMS,'}]","κενόν",1,1,"[{'id': 1221929, 'book_id': 'mrk', 'chapter': '12', 'verse': '3', 'word_num': 10, 'word': 'with', 'occurrence': 1}, {'id': 1221930, 'book_id': 'mrk', 'chapter': '12', 'verse': '3', 'word_num': 11, 'word': 'nothing', 'occurrence': 1}]","with nothing",2,"κενόν = with nothing",0.016666666666666666,0,0
"469216","luk","1","53","6",",1449907,",",1227792,",0,"[{'id': 1449907, 'book_id': 'luk', 'chapter': '1', 'verse': '53', 'word_num': 6, 'word': 'κενούς', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMP,'}]","κενούς",1,0,"[{'id': 1227792, 'book_id': 'luk', 'chapter': '1', 'verse': '53', 'word_num': 15, 'word': 'empty', 'occurrence': 1}]","empty",1,"κενούς = empty",0.016666666666666666,0,0
"472642","luk","6","11","3",",1453418,",",1232376,1232377,",0,"[{'id': 1453418, 'book_id': 'luk', 'chapter': '6', 'verse': '11', 'word_num': 3, 'word': 'ἀνοίας', 'occurrence': 1, 'strong': 'G04540', 'lemma': 'ἄνοια', 'morph': 'Gr,N,,,,,GFS,'}]","ἀνοίας",1,1,"[{'id': 1232376, 'book_id': 'luk', 'chapter': '6', 'verse': '11', 'word_num': 4, 'word': 'with', 'occurrence': 1}, {'id': 1232377, 'book_id': 'luk', 'chapter': '6', 'verse': '11', 'word_num': 5, 'word': 'rage', 'occurrence': 1}]","with rage",2,"ἀνοίας = with rage",0.016666666666666666,0,0
"477908","luk","11","40","0",",1458777,",",1239511,1239512,1239513,",0,"[{'id': 1458777, 'book_id': 'luk', 'chapter': '11', 'verse': '40', 'word_num': 0, 'word': 'ἄφρονες', 'occurrence': 1, 'strong': 'G08780', 'lemma': 'ἄφρων', 'morph': 'Gr,NS,,,,VMP,'}]","ἄφρονες",1,2,"[{'id': 1239511, 'book_id': 'luk', 'chapter': '11', 'verse': '40', 'word_num': 0, 'word': 'You', 'occurrence': 1}, {'id': 1239512, 'book_id': 'luk', 'chapter': '11', 'verse': '40', 'word_num': 1, 'word': 'foolish', 'occurrence': 1}, {'id': 1239513, 'book_id': 'luk', 'chapter': '11', 'verse': '40', 'word_num': 2, 'word': 'ones', 'occurrence': 1}]","You foolish ones",3,"ἄφρονες = You foolish ones",0.016666666666666666,0,0
"478502","luk","12","20","4",",1459383,",",1240313,1240314,",0,"[{'id': 1459383, 'book_id': 'luk', 'chapter': '12', 'verse': '20', 'word_num': 5, 'word': 'ἄφρων', 'occurrence': 1, 'strong': 'G08780', 'lemma': 'ἄφρων', 'morph': 'Gr,NS,,,,VMS,'}]","ἄφρων",1,1,"[{'id': 1240313, 'book_id': 'luk', 'chapter': '12', 'verse': '20', 'word_num': 5, 'word': 'Foolish', 'occurrence': 1}, {'id': 1240314, 'book_id': 'luk', 'chapter': '12', 'verse': '20', 'word_num': 6, 'word': 'man', 'occurrence': 1}]","Foolish man",2,"ἄφρων = Foolish man",0.016666666666666666,0,0
"480421","luk","14","34","8",",1461323,",",1242954,1242955,1242956,1242957,",0,"[{'id': 1461323, 'book_id': 'luk', 'chapter': '14', 'verse': '34', 'word_num': 9, 'word': 'μωρανθῇ', 'occurrence': 1, 'strong': 'G34710', 'lemma': 'μωραίνω', 'morph': 'Gr,V,SAP3,,S,'}]","μωρανθῇ",1,3,"[{'id': 1242954, 'book_id': 'luk', 'chapter': '14', 'verse': '34', 'word_num': 9, 'word': 'has', 'occurrence': 1}, {'id': 1242955, 'book_id': 'luk', 'chapter': '14', 'verse': '34', 'word_num': 10, 'word': 'lost', 'occurrence': 1}, {'id': 1242956, 'book_id': 'luk', 'chapter': '14', 'verse': '34', 'word_num': 11, 'word': 'its', 'occurrence': 1}, {'id': 1242957, 'book_id': 'luk', 'chapter': '14', 'verse': '34', 'word_num': 12, 'word': 'taste', 'occurrence': 1}]","has lost its taste",4,"μωρανθῇ = has lost its taste",0.016666666666666666,0,0
"483711","luk","20","10","23",",1464661,",",1247555,1247556,",0,"[{'id': 1464661, 'book_id': 'luk', 'chapter': '20', 'verse': '10', 'word_num': 21, 'word': 'κενόν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMS,'}]","κενόν",1,1,"[{'id': 1247555, 'book_id': 'luk', 'chapter': '20', 'verse': '10', 'word_num': 35, 'word': 'empty', 'occurrence': 1}, {'id': 1247556, 'book_id': 'luk', 'chapter': '20', 'verse': '10', 'word_num': 36, 'word': 'handed', 'occurrence': 1}]","empty handed",2,"κενόν = empty handed",0.03333333333333333,0,0
"483725","luk","20","11","13",",1464674,",",1247578,1247579,",0,"[{'id': 1464674, 'book_id': 'luk', 'chapter': '20', 'verse': '11', 'word_num': 12, 'word': 'κενόν', 'occurrence': 1, 'strong': 'G27560', 'lemma': 'κενός', 'morph': 'Gr,NS,,,,AMS,'}]","κενόν",1,1,"[{'id': 1247578, 'book_id': 'luk', 'chapter': '20', 'verse': '11', 'word_num': 21, 'word': 'empty', 'occurrence': 1}, {'id': 1247579, 'book_id': 'luk', 'chapter': '20', 'verse': '11', 'word_num': 22, 'word': 'handed', 'occurrence': 1}]","empty handed",2,"κενόν = empty handed",0.03333333333333333,0,0
