"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458111","mrk","1","4","11",",1437810,",",1211798,1211799,",0,"[{'id': 1437810, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 12, 'word': 'ἄφεσιν', 'occurrence': 1, 'strong': 'G08590', 'lemma': 'ἄφεσις', 'morph': 'Gr,N,,,,,AFS,'}]","ἄφεσιν",1,1,"[{'id': 1211798, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 13, 'word': 'the', 'occurrence': 2}, {'id': 1211799, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 14, 'word': 'forgiveness', 'occurrence': 1}]","the forgiveness",2,"ἄφεσιν = the forgiveness",0.01639344262295082,0,0
"458324","mrk","1","18","2",",1438042,",",1212080,1212081,",0,"[{'id': 1438042, 'book_id': 'mrk', 'chapter': '1', 'verse': '18', 'word_num': 2, 'word': 'ἀφέντες', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,PAA,NMP,'}]","ἀφέντες",1,1,"[{'id': 1212080, 'book_id': 'mrk', 'chapter': '1', 'verse': '18', 'word_num': 2, 'word': 'they', 'occurrence': 1}, {'id': 1212081, 'book_id': 'mrk', 'chapter': '1', 'verse': '18', 'word_num': 3, 'word': 'left', 'occurrence': 1}]","they left",2,"ἀφέντες = they left",0.0273224043715847,0,0
"458351","mrk","1","20","5",",1438073,",",1212120,1212121,",0,"[{'id': 1438073, 'book_id': 'mrk', 'chapter': '1', 'verse': '20', 'word_num': 5, 'word': 'ἀφέντες', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,PAA,NMP,'}]","ἀφέντες",1,1,"[{'id': 1212120, 'book_id': 'mrk', 'chapter': '1', 'verse': '20', 'word_num': 6, 'word': 'they', 'occurrence': 1}, {'id': 1212121, 'book_id': 'mrk', 'chapter': '1', 'verse': '20', 'word_num': 7, 'word': 'left', 'occurrence': 1}]","they left",2,"ἀφέντες = they left",0.0273224043715847,0,0
"458519","mrk","1","31","11",",1438248,",",1212351,",0,"[{'id': 1438248, 'book_id': 'mrk', 'chapter': '1', 'verse': '31', 'word_num': 8, 'word': 'ἀφῆκεν', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IAA3,,S,'}]","ἀφῆκεν",1,0,"[{'id': 1212351, 'book_id': 'mrk', 'chapter': '1', 'verse': '31', 'word_num': 15, 'word': 'left', 'occurrence': 1}]","left",1,"ἀφῆκεν = left",0.01639344262295082,0,0
"458559","mrk","1","34","12",",1438294,",",1212408,1212409,",0,"[{'id': 1438294, 'book_id': 'mrk', 'chapter': '1', 'verse': '34', 'word_num': 13, 'word': 'ἤφιεν', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IIA3,,S,'}]","ἤφιεν",1,1,"[{'id': 1212408, 'book_id': 'mrk', 'chapter': '1', 'verse': '34', 'word_num': 16, 'word': 'he', 'occurrence': 2}, {'id': 1212409, 'book_id': 'mrk', 'chapter': '1', 'verse': '34', 'word_num': 17, 'word': 'did', 'occurrence': 1}]","he did",2,"ἤφιεν = he did",0.00546448087431694,0,0
"458796","mrk","2","5","11",",1438532,",",1212755,1212756,",0,"[{'id': 1438532, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 11, 'word': 'ἀφέωνται', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IEP3,,P,'}]","ἀφέωνται",1,1,"[{'id': 1212755, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 14, 'word': 'are', 'occurrence': 1}, {'id': 1212756, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 15, 'word': 'forgiven', 'occurrence': 1}]","are forgiven",2,"ἀφέωνται = are forgiven",0.01639344262295082,0,0
"458816","mrk","2","7","7",",1438556,",",1212782,",0,"[{'id': 1438556, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 7, 'word': 'ἀφιέναι', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,NPA,,,,,'}]","ἀφιέναι",1,0,"[{'id': 1212782, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 11, 'word': 'forgive', 'occurrence': 1}]","forgive",1,"ἀφιέναι = forgive",0.00546448087431694,0,0
"458848","mrk","2","9","8",",1438591,",",1212825,1212826,",0,"[{'id': 1438591, 'book_id': 'mrk', 'chapter': '2', 'verse': '9', 'word_num': 6, 'word': 'ἀφίενταί', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IPP3,,P,'}]","ἀφίενταί",1,1,"[{'id': 1212825, 'book_id': 'mrk', 'chapter': '2', 'verse': '9', 'word_num': 11, 'word': 'are', 'occurrence': 1}, {'id': 1212826, 'book_id': 'mrk', 'chapter': '2', 'verse': '9', 'word_num': 12, 'word': 'forgiven', 'occurrence': 1}]","are forgiven",2,"ἀφίενταί = are forgiven",0.00546448087431694,0,0
"458868","mrk","2","10","11",",1438618,",",1212854,1212855,",0,"[{'id': 1438618, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 13, 'word': 'ἀφιέναι', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,NPA,,,,,'}]","ἀφιέναι",1,1,"[{'id': 1212854, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 16, 'word': 'to', 'occurrence': 1}, {'id': 1212855, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 17, 'word': 'forgive', 'occurrence': 1}]","to forgive",2,"ἀφιέναι = to forgive",0.01639344262295082,0,0
"459622","mrk","3","28","8",",1439425,",",1213910,1213911,1213912,",0,"[{'id': 1439425, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 5, 'word': 'ἀφεθήσεται', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IFP3,,S,'}]","ἀφεθήσεται",1,2,"[{'id': 1213910, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 12, 'word': 'will', 'occurrence': 1}, {'id': 1213911, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 13, 'word': 'be', 'occurrence': 1}, {'id': 1213912, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 14, 'word': 'forgiven', 'occurrence': 1}]","will be forgiven",3,"ἀφεθήσεται = will be forgiven",0.00546448087431694,0,0
"459638","mrk","3","29","11",",1439449,",",1213930,",0,"[{'id': 1439449, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 11, 'word': 'ἄφεσιν', 'occurrence': 1, 'strong': 'G08590', 'lemma': 'ἄφεσις', 'morph': 'Gr,N,,,,,AFS,'}]","ἄφεσιν",1,0,"[{'id': 1213930, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 11, 'word': 'forgiveness', 'occurrence': 1}]","forgiveness",1,"ἄφεσιν = forgiveness",0.03825136612021858,0,0
"459909","mrk","4","12","17",",1439746,1439747,",",1214293,1214294,",1,"[{'id': 1439746, 'book_id': 'mrk', 'chapter': '4', 'verse': '12', 'word_num': 15, 'word': 'ἀφεθῇ', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,SAP3,,S,'}, {'id': 1439747, 'book_id': 'mrk', 'chapter': '4', 'verse': '12', 'word_num': 16, 'word': 'αὐτοῖς', 'occurrence': 1, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3DMP,'}]","ἀφεθῇ αὐτοῖς",2,1,"[{'id': 1214293, 'book_id': 'mrk', 'chapter': '4', 'verse': '12', 'word_num': 28, 'word': 'be', 'occurrence': 1}, {'id': 1214294, 'book_id': 'mrk', 'chapter': '4', 'verse': '12', 'word_num': 29, 'word': 'forgiven', 'occurrence': 1}]","be forgiven",2,"ἀφεθῇ αὐτοῖς = be forgiven",0.00546448087431694,0,0
"460279","mrk","4","36","1",",1440124,",",1214814,1214815,",0,"[{'id': 1440124, 'book_id': 'mrk', 'chapter': '4', 'verse': '36', 'word_num': 1, 'word': 'ἀφέντες', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,PAA,NMP,'}]","ἀφέντες",1,1,"[{'id': 1214814, 'book_id': 'mrk', 'chapter': '4', 'verse': '36', 'word_num': 1, 'word': 'they', 'occurrence': 1}, {'id': 1214815, 'book_id': 'mrk', 'chapter': '4', 'verse': '36', 'word_num': 2, 'word': 'left', 'occurrence': 1}]","they left",2,"ἀφέντες = they left",0.0273224043715847,0,0
"460659","mrk","5","19","1",",1440513,",",1215340,",0,"[{'id': 1440513, 'book_id': 'mrk', 'chapter': '5', 'verse': '19', 'word_num': 2, 'word': 'ἀφῆκεν', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IAA3,,S,'}]","ἀφῆκεν",1,0,"[{'id': 1215340, 'book_id': 'mrk', 'chapter': '5', 'verse': '19', 'word_num': 1, 'word': 'Jesus', 'occurrence': 1}]","Jesus",1,"ἀφῆκεν = Jesus",0.00546448087431694,0,0
"460937","mrk","5","37","0",",1440811,",",1215723,",0,"[{'id': 1440811, 'book_id': 'mrk', 'chapter': '5', 'verse': '37', 'word_num': 2, 'word': 'ἀφῆκεν', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IAA3,,S,'}]","ἀφῆκεν",1,0,"[{'id': 1215723, 'book_id': 'mrk', 'chapter': '5', 'verse': '37', 'word_num': 0, 'word': 'He', 'occurrence': 1}]","He",1,"ἀφῆκεν = He",0.00546448087431694,0,0
"461643","mrk","6","36","0",",1441573,",",1216706,",0,"[{'id': 1441573, 'book_id': 'mrk', 'chapter': '6', 'verse': '36', 'word_num': 0, 'word': 'ἀπόλυσον', 'occurrence': 1, 'strong': 'G06300', 'lemma': 'ἀπολύω', 'morph': 'Gr,V,MAA2,,S,'}]","ἀπόλυσον",1,0,"[{'id': 1216706, 'book_id': 'mrk', 'chapter': '6', 'verse': '36', 'word_num': 0, 'word': 'Send', 'occurrence': 1}]","Send",1,"ἀπόλυσον = Send",0.01092896174863388,0,0
"461781","mrk","6","45","17",",1441718,",",1216907,",0,"[{'id': 1441718, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 19, 'word': 'ἀπολύει', 'occurrence': 1, 'strong': 'G06300', 'lemma': 'ἀπολύω', 'morph': 'Gr,V,IPA3,,S,'}]","ἀπολύει",1,0,"[{'id': 1216907, 'book_id': 'mrk', 'chapter': '6', 'verse': '45', 'word_num': 22, 'word': 'sent', 'occurrence': 1}]","sent",1,"ἀπολύει = sent",0.00546448087431694,0,0
"462088","mrk","7","8","0",",1442043,",",1217306,1217307,",0,"[{'id': 1442043, 'book_id': 'mrk', 'chapter': '7', 'verse': '8', 'word_num': 0, 'word': 'ἀφέντες', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,PAA,NMP,'}]","ἀφέντες",1,1,"[{'id': 1217306, 'book_id': 'mrk', 'chapter': '7', 'verse': '8', 'word_num': 0, 'word': 'You', 'occurrence': 1}, {'id': 1217307, 'book_id': 'mrk', 'chapter': '7', 'verse': '8', 'word_num': 1, 'word': 'abandon', 'occurrence': 1}]","You abandon",2,"ἀφέντες = You abandon",0.00546448087431694,0,0
"462142","mrk","7","12","0",",1442107,",",1217388,",0,"[{'id': 1442107, 'book_id': 'mrk', 'chapter': '7', 'verse': '12', 'word_num': 1, 'word': 'ἀφίετε', 'occurrence': 1, 'strong': 'G08630', 'lemma': 'ἀφίημι', 'morph': 'Gr,V,IPA2,,P,'}]","ἀφίετε",1,0,"[{'id': 1217388, 'book_id': 'mrk', 'chapter': '7', 'verse': '12', 'word_num': 0, 'word': 'you', 'occurrence': 1}]","you",1,"ἀφίετε = you",0.00546448087431694,0,0
