"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"462141","mrk","7","11","17",",1442100,",",1217385,1217386,1217387,",0,"[{'id': 1442100, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 14, 'word': 'δῶρον', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,NNS,'}]","δῶρον",1,2,"[{'id': 1217385, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 23, 'word': 'Given', 'occurrence': 1}, {'id': 1217386, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 24, 'word': 'to', 'occurrence': 2}, {'id': 1217387, 'book_id': 'mrk', 'chapter': '7', 'verse': '11', 'word_num': 25, 'word': 'God', 'occurrence': 1}]","Given to God",3,"δῶρον = Given to God",0.019230769230769232,0,0
"477410","luk","11","13","8",",1458269,",",1238837,",0,"[{'id': 1458269, 'book_id': 'luk', 'chapter': '11', 'verse': '13', 'word_num': 6, 'word': 'δόματα', 'occurrence': 1, 'strong': 'G13900', 'lemma': 'δόμα', 'morph': 'Gr,N,,,,,ANP,'}]","δόματα",1,0,"[{'id': 1238837, 'book_id': 'luk', 'chapter': '11', 'verse': '13', 'word_num': 11, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δόματα = gifts",0.038461538461538464,0,0
"484259","luk","21","1","7",",1465209,1465210,",",1248307,",1,"[{'id': 1465209, 'book_id': 'luk', 'chapter': '21', 'verse': '1', 'word_num': 8, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1465210, 'book_id': 'luk', 'chapter': '21', 'verse': '1', 'word_num': 9, 'word': 'δῶρα', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ δῶρα",2,0,"[{'id': 1248307, 'book_id': 'luk', 'chapter': '21', 'verse': '1', 'word_num': 12, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"τὰ δῶρα = gifts",0.019230769230769232,0,0
"484290","luk","21","4","6",",1465246,",",1248346,",0,"[{'id': 1465246, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 10, 'word': 'δῶρα', 'occurrence': 1, 'strong': 'G14350', 'lemma': 'δῶρον', 'morph': 'Gr,N,,,,,ANP,'}]","δῶρα",1,0,"[{'id': 1248346, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 6, 'word': 'gifts', 'occurrence': 1}]","gifts",1,"δῶρα = gifts",0.038461538461538464,0,0
"489426","jhn","4","10","8",",1470582,",",1255202,",0,"[{'id': 1470582, 'book_id': 'jhn', 'chapter': '4', 'verse': '10', 'word_num': 8, 'word': 'δωρεὰν', 'occurrence': 1, 'strong': 'G14310', 'lemma': 'δωρεά', 'morph': 'Gr,N,,,,,AFS,'}]","δωρεὰν",1,0,"[{'id': 1255202, 'book_id': 'jhn', 'chapter': '4', 'verse': '10', 'word_num': 11, 'word': 'gift', 'occurrence': 1}]","gift",1,"δωρεὰν = gift",0.09615384615384616,0,0
"498289","jhn","15","25","12",",1480276,",",1267343,1267344,1267345,",0,"[{'id': 1480276, 'book_id': 'jhn', 'chapter': '15', 'verse': '25', 'word_num': 14, 'word': 'δωρεάν', 'occurrence': 1, 'strong': 'G14320', 'lemma': 'δωρεάν', 'morph': 'Gr,D,,,,,,,,,'}]","δωρεάν",1,2,"[{'id': 1267343, 'book_id': 'jhn', 'chapter': '15', 'verse': '25', 'word_num': 18, 'word': 'without', 'occurrence': 1}, {'id': 1267344, 'book_id': 'jhn', 'chapter': '15', 'verse': '25', 'word_num': 19, 'word': 'a', 'occurrence': 1}, {'id': 1267345, 'book_id': 'jhn', 'chapter': '15', 'verse': '25', 'word_num': 20, 'word': 'cause', 'occurrence': 1}]","without a cause",3,"δωρεάν = without a cause",0.019230769230769232,0,0
"503080","act","2","38","23",",1485340,",",1273922,",0,"[{'id': 1485340, 'book_id': 'act', 'chapter': '2', 'verse': '38', 'word_num': 23, 'word': 'δωρεὰν', 'occurrence': 1, 'strong': 'G14310', 'lemma': 'δωρεά', 'morph': 'Gr,N,,,,,AFS,'}]","δωρεὰν",1,0,"[{'id': 1273922, 'book_id': 'act', 'chapter': '2', 'verse': '38', 'word_num': 29, 'word': 'gift', 'occurrence': 1}]","gift",1,"δωρεὰν = gift",0.09615384615384616,0,0
"506807","act","8","20","15",",1489171,",",1278895,",0,"[{'id': 1489171, 'book_id': 'act', 'chapter': '8', 'verse': '20', 'word_num': 15, 'word': 'δωρεὰν', 'occurrence': 1, 'strong': 'G14310', 'lemma': 'δωρεά', 'morph': 'Gr,N,,,,,AFS,'}]","δωρεὰν",1,0,"[{'id': 1278895, 'book_id': 'act', 'chapter': '8', 'verse': '20', 'word_num': 18, 'word': 'gift', 'occurrence': 1}]","gift",1,"δωρεὰν = gift",0.09615384615384616,0,0
"508720","act","10","45","11",",1491140,",",1281458,",0,"[{'id': 1491140, 'book_id': 'act', 'chapter': '10', 'verse': '45', 'word_num': 16, 'word': 'δωρεὰ', 'occurrence': 1, 'strong': 'G14310', 'lemma': 'δωρεά', 'morph': 'Gr,N,,,,,NFS,'}]","δωρεὰ",1,0,"[{'id': 1281458, 'book_id': 'act', 'chapter': '10', 'verse': '45', 'word_num': 15, 'word': 'gift', 'occurrence': 1}]","gift",1,"δωρεὰ = gift",0.038461538461538464,0,0
"509033","act","11","17","7",",1491461,",",1281871,",0,"[{'id': 1491461, 'book_id': 'act', 'chapter': '11', 'verse': '17', 'word_num': 4, 'word': 'δωρεὰν', 'occurrence': 1, 'strong': 'G14310', 'lemma': 'δωρεά', 'morph': 'Gr,N,,,,,AFS,'}]","δωρεὰν",1,0,"[{'id': 1281871, 'book_id': 'act', 'chapter': '11', 'verse': '17', 'word_num': 8, 'word': 'gift', 'occurrence': 1}]","gift",1,"δωρεὰν = gift",0.09615384615384616,0,0
