"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458899","mrk","2","12","15",",1438650,",",1212900,1212901,",0,"[{'id': 1438650, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 14, 'word': 'δοξάζειν', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,NPA,,,,,'}]","δοξάζειν",1,1,"[{'id': 1212900, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 23, 'word': 'they', 'occurrence': 2}, {'id': 1212901, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 24, 'word': 'glorified', 'occurrence': 1}]","they glorified",2,"δοξάζειν = they glorified",0.003205128205128205,1,0,0
"461844","mrk","6","49","7",",1441783,",",1216985,1216986,",0,"[{'id': 1441783, 'book_id': 'mrk', 'chapter': '6', 'verse': '49', 'word_num': 8, 'word': 'ἔδοξαν', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IAA3,,P,'}]","ἔδοξαν",1,1,"[{'id': 1216985, 'book_id': 'mrk', 'chapter': '6', 'verse': '49', 'word_num': 9, 'word': 'they', 'occurrence': 2}, {'id': 1216986, 'book_id': 'mrk', 'chapter': '6', 'verse': '49', 'word_num': 10, 'word': 'thought', 'occurrence': 1}]","they thought",2,"ἔδοξαν = they thought",0.003205128205128205,1,0,0
"463122","mrk","8","38","25",",1443149,",",1218754,",0,"[{'id': 1443149, 'book_id': 'mrk', 'chapter': '8', 'verse': '38', 'word_num': 28, 'word': 'δόξῃ', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,DFS,'}]","δόξῃ",1,0,"[{'id': 1218754, 'book_id': 'mrk', 'chapter': '8', 'verse': '38', 'word_num': 31, 'word': 'glory', 'occurrence': 1}]","glory",1,"δόξῃ = glory",0.035256410256410256,11,0,0
"464476","mrk","10","37","9",",1444651,1444652,",",1220711,",1,"[{'id': 1444651, 'book_id': 'mrk', 'chapter': '10', 'verse': '37', 'word_num': 18, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1444652, 'book_id': 'mrk', 'chapter': '10', 'verse': '37', 'word_num': 19, 'word': 'δόξῃ', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ δόξῃ",2,0,"[{'id': 1220711, 'book_id': 'mrk', 'chapter': '10', 'verse': '37', 'word_num': 13, 'word': 'glory', 'occurrence': 1}]","glory",1,"τῇ δόξῃ = glory",0.009615384615384616,3,0,0
"464563","mrk","10","42","9",",1444735,1444736,",",1220853,1220854,1220855,1220856,",1,"[{'id': 1444735, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 9, 'word': 'οἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMP,'}, {'id': 1444736, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 10, 'word': 'δοκοῦντες', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,PPA,NMP,'}]","οἱ δοκοῦντες",2,3,"[{'id': 1220853, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 13, 'word': 'those', 'occurrence': 1}, {'id': 1220854, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 14, 'word': 'who', 'occurrence': 1}, {'id': 1220855, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 15, 'word': 'are', 'occurrence': 1}, {'id': 1220856, 'book_id': 'mrk', 'chapter': '10', 'verse': '42', 'word_num': 16, 'word': 'considered', 'occurrence': 1}]","those who are considered",4,"οἱ δοκοῦντες = those who are considered",0.003205128205128205,1,0,0
"466387","mrk","13","26","12",",1446731,",",1223447,",0,"[{'id': 1446731, 'book_id': 'mrk', 'chapter': '13', 'verse': '26', 'word_num': 14, 'word': 'δόξης', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,GFS,'}]","δόξης",1,0,"[{'id': 1223447, 'book_id': 'mrk', 'chapter': '13', 'verse': '26', 'word_num': 16, 'word': 'glory', 'occurrence': 1}]","glory",1,"δόξης = glory",0.07371794871794872,23,0,0
"468437","luk","1","3","0",",1449104,",",1226707,1226708,1226709,",0,"[{'id': 1449104, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 0, 'word': 'ἔδοξε', 'occurrence': 1, 'strong': 'G13800', 'lemma': 'δοκέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδοξε",1,2,"[{'id': 1226707, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 0, 'word': 'it', 'occurrence': 1}, {'id': 1226708, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 1, 'word': 'seemed', 'occurrence': 1}, {'id': 1226709, 'book_id': 'luk', 'chapter': '1', 'verse': '3', 'word_num': 2, 'word': 'good', 'occurrence': 1}]","it seemed good",3,"ἔδοξε = it seemed good",0.003205128205128205,1,0,0
"469676","luk","2","9","6",",1450397,",",1228427,1228428,",0,"[{'id': 1450397, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 6, 'word': 'δόξα', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,NFS,'}]","δόξα",1,1,"[{'id': 1228427, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 10, 'word': 'the', 'occurrence': 2}, {'id': 1228428, 'book_id': 'luk', 'chapter': '2', 'verse': '9', 'word_num': 11, 'word': 'glory', 'occurrence': 1}]","the glory",2,"δόξα = the glory",0.009615384615384616,3,0,0
"469742","luk","2","14","0",",1450461,",",1228526,",0,"[{'id': 1450461, 'book_id': 'luk', 'chapter': '2', 'verse': '14', 'word_num': 0, 'word': 'δόξα', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,NFS,'}]","δόξα",1,0,"[{'id': 1228526, 'book_id': 'luk', 'chapter': '2', 'verse': '14', 'word_num': 0, 'word': 'Glory', 'occurrence': 1}]","Glory",1,"δόξα = Glory",0.003205128205128205,1,0,0
"469838","luk","2","20","4",",1450565,",",1228662,",0,"[{'id': 1450565, 'book_id': 'luk', 'chapter': '2', 'verse': '20', 'word_num': 4, 'word': 'δοξάζοντες', 'occurrence': 1, 'strong': 'G13920', 'lemma': 'δοξάζω', 'morph': 'Gr,V,PPA,NMP,'}]","δοξάζοντες",1,0,"[{'id': 1228662, 'book_id': 'luk', 'chapter': '2', 'verse': '20', 'word_num': 4, 'word': 'glorifying', 'occurrence': 1}]","glorifying",1,"δοξάζοντες = glorifying",0.003205128205128205,1,0,0
"470036","luk","2","32","5",",1450772,",",1228928,",0,"[{'id': 1450772, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 5, 'word': 'δόξαν', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,AFS,'}]","δόξαν",1,0,"[{'id': 1228928, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 8, 'word': 'glory', 'occurrence': 1}]","glory",1,"δόξαν = glory",0.10256410256410256,32,0,0
"471048","luk","4","6","12",",1451794,1451795,",",1230227,",1,"[{'id': 1451794, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 12, 'word': 'τὴν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1451795, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 13, 'word': 'δόξαν', 'occurrence': 1, 'strong': 'G13910', 'lemma': 'δόξα', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν δόξαν",2,0,"[{'id': 1230227, 'book_id': 'luk', 'chapter': '4', 'verse': '6', 'word_num': 16, 'word': 'glory', 'occurrence': 1}]","glory",1,"τὴν δόξαν = glory",0.028846153846153848,9,0,0
