"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458069","mrk","1","1","6",",1437763,",",1211739,1211740,",0,"[{'id': 1437763, 'book_id': 'mrk', 'chapter': '1', 'verse': '1', 'word_num': 6, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","Θεοῦ",1,1,"[{'id': 1211739, 'book_id': 'mrk', 'chapter': '1', 'verse': '1', 'word_num': 12, 'word': 'of', 'occurrence': 3}, {'id': 1211740, 'book_id': 'mrk', 'chapter': '1', 'verse': '1', 'word_num': 13, 'word': 'God', 'occurrence': 1}]","of God",2,"Θεοῦ = of God",0.05834885164494103,0,0
"458273","mrk","1","14","11",",1437985,1437986,",",1212011,1212012,",1,"[{'id': 1437985, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 15, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1437986, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 16, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 1212011, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 12, 'word': 'of', 'occurrence': 1}, {'id': 1212012, 'book_id': 'mrk', 'chapter': '1', 'verse': '14', 'word_num': 13, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1266294227188082,0,0
"458281","mrk","1","15","7",",1437997,1437998,",",1212022,1212023,",1,"[{'id': 1437997, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 10, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1437998, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 11, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 1212022, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 9, 'word': 'of', 'occurrence': 1}, {'id': 1212023, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 10, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1266294227188082,0,0
"458353","mrk","1","20","7",",1438074,1438075,",",1212123,",1,"[{'id': 1438074, 'book_id': 'mrk', 'chapter': '1', 'verse': '20', 'word_num': 6, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1438075, 'book_id': 'mrk', 'chapter': '1', 'verse': '20', 'word_num': 7, 'word': 'πατέρα', 'occurrence': 1, 'strong': 'G39620', 'lemma': 'πατήρ', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν πατέρα",2,0,"[{'id': 1212123, 'book_id': 'mrk', 'chapter': '1', 'verse': '20', 'word_num': 9, 'word': 'father', 'occurrence': 1}]","father",1,"τὸν πατέρα = father",0.008069522036002483,0,0
"458418","mrk","1","24","14",",1438147,1438148,",",1212217,1212218,",1,"[{'id': 1438147, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 16, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1438148, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 17, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 1212217, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 26, 'word': 'of', 'occurrence': 2}, {'id': 1212218, 'book_id': 'mrk', 'chapter': '1', 'verse': '24', 'word_num': 27, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1266294227188082,0,0
"458819","mrk","2","7","10",",1438561,1438562,",",1212785,",1,"[{'id': 1438561, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 12, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1438562, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 13, 'word': 'Θεός', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Θεός",2,0,"[{'id': 1212785, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 14, 'word': 'God', 'occurrence': 1}]","God",1,"ὁ Θεός = God",0.032898820608317815,0,0
"458900","mrk","2","12","16",",1438651,1438652,",",1212902,",1,"[{'id': 1438651, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 15, 'word': 'τὸν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1438652, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 16, 'word': 'Θεὸν', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν Θεὸν",2,0,"[{'id': 1212902, 'book_id': 'mrk', 'chapter': '2', 'verse': '12', 'word_num': 25, 'word': 'God', 'occurrence': 1}]","God",1,"τὸν Θεὸν = God",0.0260707635009311,0,0
"459181","mrk","2","26","5",",1438951,1438952,",",1213291,1213292,",1,"[{'id': 1438951, 'book_id': 'mrk', 'chapter': '2', 'verse': '26', 'word_num': 5, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1438952, 'book_id': 'mrk', 'chapter': '2', 'verse': '26', 'word_num': 6, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 1213291, 'book_id': 'mrk', 'chapter': '2', 'verse': '26', 'word_num': 6, 'word': 'of', 'occurrence': 1}, {'id': 1213292, 'book_id': 'mrk', 'chapter': '2', 'verse': '26', 'word_num': 7, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1266294227188082,0,0
"459408","mrk","3","11","15",",1439189,1439190,",",1213609,1213610,",1,"[{'id': 1439189, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 18, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1439190, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 19, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 1213609, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 20, 'word': 'of', 'occurrence': 1}, {'id': 1213610, 'book_id': 'mrk', 'chapter': '3', 'verse': '11', 'word_num': 21, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1266294227188082,0,0
"459713","mrk","3","35","5",",1439534,1439535,",",1214026,1214027,",1,"[{'id': 1439534, 'book_id': 'mrk', 'chapter': '3', 'verse': '35', 'word_num': 6, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1439535, 'book_id': 'mrk', 'chapter': '3', 'verse': '35', 'word_num': 7, 'word': 'Θεοῦ', 'occurrence': 1, 'strong': 'G23160', 'lemma': 'θεός', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Θεοῦ",2,1,"[{'id': 1214026, 'book_id': 'mrk', 'chapter': '3', 'verse': '35', 'word_num': 5, 'word': 'of', 'occurrence': 1}, {'id': 1214027, 'book_id': 'mrk', 'chapter': '3', 'verse': '35', 'word_num': 6, 'word': 'God', 'occurrence': 1}]","of God",2,"τοῦ Θεοῦ = of God",0.1266294227188082,0,0
