"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"462071","mrk","7","6","15",",1442026,",",1217283,",0,"[{'id': 1442026, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 22, 'word': 'τιμᾷ', 'occurrence': 1, 'strong': 'G50910', 'lemma': 'τιμάω', 'morph': 'Gr,V,IPA3,,S,'}]","τιμᾷ",1,0,"[{'id': 1217283, 'book_id': 'mrk', 'chapter': '7', 'verse': '6', 'word_num': 19, 'word': 'honors', 'occurrence': 1}]","honors",1,"τιμᾷ = honors",0.011764705882352941,1,0,0
"462112","mrk","7","10","3",",1442070,",",1217343,",0,"[{'id': 1442070, 'book_id': 'mrk', 'chapter': '7', 'verse': '10', 'word_num': 3, 'word': 'τίμα', 'occurrence': 1, 'strong': 'G50910', 'lemma': 'τιμάω', 'morph': 'Gr,V,MPA2,,S,'}]","τίμα",1,0,"[{'id': 1217343, 'book_id': 'mrk', 'chapter': '7', 'verse': '10', 'word_num': 3, 'word': 'Honor', 'occurrence': 1}]","Honor",1,"τίμα = Honor",0.03529411764705882,3,0,0
"464165","mrk","10","19","13",",1444305,",",1220267,",0,"[{'id': 1444305, 'book_id': 'mrk', 'chapter': '10', 'verse': '19', 'word_num': 13, 'word': 'τίμα', 'occurrence': 1, 'strong': 'G50910', 'lemma': 'τιμάω', 'morph': 'Gr,V,MPA2,,S,'}]","τίμα",1,0,"[{'id': 1220267, 'book_id': 'mrk', 'chapter': '10', 'verse': '19', 'word_num': 21, 'word': 'honor', 'occurrence': 1}]","honor",1,"τίμα = honor",0.023529411764705882,2,0,0
"468205","mrk","15","43","2",",1448690,",",1226090,1226091,",0,"[{'id': 1448690, 'book_id': 'mrk', 'chapter': '15', 'verse': '43', 'word_num': 5, 'word': 'εὐσχήμων', 'occurrence': 1, 'strong': 'G21580', 'lemma': 'εὐσχήμων', 'morph': 'Gr,AA,,,,NMS,'}]","εὐσχήμων",1,1,"[{'id': 1226090, 'book_id': 'mrk', 'chapter': '15', 'verse': '43', 'word_num': 3, 'word': 'a', 'occurrence': 1}, {'id': 1226091, 'book_id': 'mrk', 'chapter': '15', 'verse': '43', 'word_num': 4, 'word': 'respected', 'occurrence': 1}]","a respected",2,"εὐσχήμων = a respected",0.011764705882352941,1,0,0
"473379","luk","7","2","7",",1454170,",",1233387,1233388,",0,"[{'id': 1454170, 'book_id': 'luk', 'chapter': '7', 'verse': '2', 'word_num': 11, 'word': 'ἔντιμος', 'occurrence': 1, 'strong': 'G17840', 'lemma': 'ἔντιμος', 'morph': 'Gr,NP,,,,NMS,'}]","ἔντιμος",1,1,"[{'id': 1233387, 'book_id': 'luk', 'chapter': '7', 'verse': '2', 'word_num': 9, 'word': 'highly', 'occurrence': 1}, {'id': 1233388, 'book_id': 'luk', 'chapter': '7', 'verse': '2', 'word_num': 10, 'word': 'regarded', 'occurrence': 1}]","highly regarded",2,"ἔντιμος = highly regarded",0.011764705882352941,1,0,0
"473806","luk","7","25","12",",1454595,",",1233995,",0,"[{'id': 1454595, 'book_id': 'luk', 'chapter': '7', 'verse': '25', 'word_num': 13, 'word': 'ἐνδόξῳ', 'occurrence': 1, 'strong': 'G17410', 'lemma': 'ἔνδοξος', 'morph': 'Gr,AA,,,,DMS,'}]","ἐνδόξῳ",1,0,"[{'id': 1233995, 'book_id': 'luk', 'chapter': '7', 'verse': '25', 'word_num': 17, 'word': 'expensive', 'occurrence': 1}]","expensive",1,"ἐνδόξῳ = expensive",0.011764705882352941,1,0,0
"479493","luk","13","17","18",",1460397,",",1241683,1241684,",0,"[{'id': 1460397, 'book_id': 'luk', 'chapter': '13', 'verse': '17', 'word_num': 17, 'word': 'ἐνδόξοις', 'occurrence': 1, 'strong': 'G17410', 'lemma': 'ἔνδοξος', 'morph': 'Gr,NS,,,,DNP,'}]","ἐνδόξοις",1,1,"[{'id': 1241683, 'book_id': 'luk', 'chapter': '13', 'verse': '17', 'word_num': 23, 'word': 'glorious', 'occurrence': 1}, {'id': 1241684, 'book_id': 'luk', 'chapter': '13', 'verse': '17', 'word_num': 24, 'word': 'things', 'occurrence': 2}]","glorious things",2,"ἐνδόξοις = glorious things",0.011764705882352941,1,0,0
"479946","luk","14","8","12",",1460843,",",1242307,1242308,1242309,",0,"[{'id': 1460843, 'book_id': 'luk', 'chapter': '14', 'verse': '8', 'word_num': 12, 'word': 'ἐντιμότερός', 'occurrence': 1, 'strong': 'G17845', 'lemma': 'ἐντιμότερος', 'morph': 'Gr,NS,,,,NMSC'}]","ἐντιμότερός",1,2,"[{'id': 1242307, 'book_id': 'luk', 'chapter': '14', 'verse': '8', 'word_num': 19, 'word': 'someone', 'occurrence': 2}, {'id': 1242308, 'book_id': 'luk', 'chapter': '14', 'verse': '8', 'word_num': 20, 'word': 'more', 'occurrence': 1}, {'id': 1242309, 'book_id': 'luk', 'chapter': '14', 'verse': '8', 'word_num': 21, 'word': 'honorable', 'occurrence': 1}]","someone more honorable",3,"ἐντιμότερός = someone more honorable",0.011764705882352941,1,0,0
"482485","luk","18","20","11",",1463423,",",1245807,",0,"[{'id': 1463423, 'book_id': 'luk', 'chapter': '18', 'verse': '20', 'word_num': 11, 'word': 'τίμα', 'occurrence': 1, 'strong': 'G50910', 'lemma': 'τιμάω', 'morph': 'Gr,V,MPA2,,S,'}]","τίμα",1,0,"[{'id': 1245807, 'book_id': 'luk', 'chapter': '18', 'verse': '20', 'word_num': 18, 'word': 'honor', 'occurrence': 1}]","honor",1,"τίμα = honor",0.023529411764705882,2,0,0
"489972","jhn","4","44","8",",1471175,",",1255924,",0,"[{'id': 1471175, 'book_id': 'jhn', 'chapter': '4', 'verse': '44', 'word_num': 10, 'word': 'τιμὴν', 'occurrence': 1, 'strong': 'G50920', 'lemma': 'τιμή', 'morph': 'Gr,N,,,,,AFS,'}]","τιμὴν",1,0,"[{'id': 1255924, 'book_id': 'jhn', 'chapter': '4', 'verse': '44', 'word_num': 9, 'word': 'honor', 'occurrence': 1}]","honor",1,"τιμὴν = honor",0.10588235294117647,9,0,0
