"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"473012","luk","6","34","5",",1453801,",",1232876,1232877,",0,"[{'id': 1453801, 'book_id': 'luk', 'chapter': '6', 'verse': '34', 'word_num': 5, 'word': 'ἐλπίζετε', 'occurrence': 1, 'strong': 'G16790', 'lemma': 'ἐλπίζω', 'morph': 'Gr,V,IPA2,,P,'}]","ἐλπίζετε",1,1,"[{'id': 1232876, 'book_id': 'luk', 'chapter': '6', 'verse': '34', 'word_num': 8, 'word': 'you', 'occurrence': 2}, {'id': 1232877, 'book_id': 'luk', 'chapter': '6', 'verse': '34', 'word_num': 9, 'word': 'expect', 'occurrence': 1}]","you expect",2,"ἐλπίζετε = you expect",0.011904761904761904,0,0
"486042","luk","23","8","20",",1467011,",",1250739,1250740,1250741,",0,"[{'id': 1467011, 'book_id': 'luk', 'chapter': '23', 'verse': '8', 'word_num': 22, 'word': 'ἤλπιζέν', 'occurrence': 1, 'strong': 'G16790', 'lemma': 'ἐλπίζω', 'morph': 'Gr,V,IIA3,,S,'}]","ἤλπιζέν",1,2,"[{'id': 1250739, 'book_id': 'luk', 'chapter': '23', 'verse': '8', 'word_num': 27, 'word': 'he', 'occurrence': 4}, {'id': 1250740, 'book_id': 'luk', 'chapter': '23', 'verse': '8', 'word_num': 28, 'word': 'was', 'occurrence': 2}, {'id': 1250741, 'book_id': 'luk', 'chapter': '23', 'verse': '8', 'word_num': 29, 'word': 'hoping', 'occurrence': 1}]","he was hoping",3,"ἤλπιζέν = he was hoping",0.011904761904761904,0,0
"487051","luk","24","21","2",",1468031,",",1252059,1252060,",0,"[{'id': 1468031, 'book_id': 'luk', 'chapter': '24', 'verse': '21', 'word_num': 2, 'word': 'ἠλπίζομεν', 'occurrence': 1, 'strong': 'G16790', 'lemma': 'ἐλπίζω', 'morph': 'Gr,V,IIA1,,P,'}]","ἠλπίζομεν",1,1,"[{'id': 1252059, 'book_id': 'luk', 'chapter': '24', 'verse': '21', 'word_num': 2, 'word': 'were', 'occurrence': 1}, {'id': 1252060, 'book_id': 'luk', 'chapter': '24', 'verse': '21', 'word_num': 3, 'word': 'hoping', 'occurrence': 1}]","were hoping",2,"ἠλπίζομεν = were hoping",0.011904761904761904,0,0
"490883","jhn","5","45","16",",1472174,",",1257173,1257174,1257175,1257176,",0,"[{'id': 1472174, 'book_id': 'jhn', 'chapter': '5', 'verse': '45', 'word_num': 17, 'word': 'ἠλπίκατε', 'occurrence': 1, 'strong': 'G16790', 'lemma': 'ἐλπίζω', 'morph': 'Gr,V,IEA2,,P,'}]","ἠλπίκατε",1,3,"[{'id': 1257173, 'book_id': 'jhn', 'chapter': '5', 'verse': '45', 'word_num': 22, 'word': 'have', 'occurrence': 1}, {'id': 1257174, 'book_id': 'jhn', 'chapter': '5', 'verse': '45', 'word_num': 23, 'word': 'put', 'occurrence': 1}, {'id': 1257175, 'book_id': 'jhn', 'chapter': '5', 'verse': '45', 'word_num': 24, 'word': 'your', 'occurrence': 1}, {'id': 1257176, 'book_id': 'jhn', 'chapter': '5', 'verse': '45', 'word_num': 25, 'word': 'hope', 'occurrence': 1}]","have put your hope",4,"ἠλπίκατε = have put your hope",0.011904761904761904,0,0
"502866","act","2","26","15",",1485119,",",1273637,1273638,",0,"[{'id': 1485119, 'book_id': 'act', 'chapter': '2', 'verse': '26', 'word_num': 19, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,1,"[{'id': 1273637, 'book_id': 'act', 'chapter': '2', 'verse': '26', 'word_num': 18, 'word': 'certain', 'occurrence': 1}, {'id': 1273638, 'book_id': 'act', 'chapter': '2', 'verse': '26', 'word_num': 19, 'word': 'hope', 'occurrence': 1}]","certain hope",2,"ἐλπίδι = certain hope",0.03571428571428571,0,0
"512159","act","16","19","7",",1494674,1494675,",",1286127,",1,"[{'id': 1494674, 'book_id': 'act', 'chapter': '16', 'verse': '19', 'word_num': 7, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1494675, 'book_id': 'act', 'chapter': '16', 'verse': '19', 'word_num': 8, 'word': 'ἐλπὶς', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ ἐλπὶς",2,0,"[{'id': 1286127, 'book_id': 'act', 'chapter': '16', 'verse': '19', 'word_num': 7, 'word': 'opportunity', 'occurrence': 1}]","opportunity",1,"ἡ ἐλπὶς = opportunity",0.011904761904761904,0,0
"516467","act","23","6","28",",1499125,",",1291955,1291956,1291957,",0,"[{'id': 1499125, 'book_id': 'act', 'chapter': '23', 'verse': '6', 'word_num': 26, 'word': 'ἐλπίδος', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,GFS,'}]","ἐλπίδος",1,2,"[{'id': 1291955, 'book_id': 'act', 'chapter': '23', 'verse': '6', 'word_num': 34, 'word': 'the', 'occurrence': 4}, {'id': 1291956, 'book_id': 'act', 'chapter': '23', 'verse': '6', 'word_num': 35, 'word': 'certain', 'occurrence': 1}, {'id': 1291957, 'book_id': 'act', 'chapter': '23', 'verse': '6', 'word_num': 36, 'word': 'hope', 'occurrence': 1}]","the certain hope",3,"ἐλπίδος = the certain hope",0.011904761904761904,0,0
"517239","act","24","15","1",",1499908,",",1293059,1293060,1293061,1293062,",0,"[{'id': 1499908, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 0, 'word': 'ἐλπίδα', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,AFS,'}]","ἐλπίδα",1,3,"[{'id': 1293059, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 2, 'word': 'the', 'occurrence': 1}, {'id': 1293060, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 3, 'word': 'same', 'occurrence': 1}, {'id': 1293061, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 4, 'word': 'confident', 'occurrence': 1}, {'id': 1293062, 'book_id': 'act', 'chapter': '24', 'verse': '15', 'word_num': 5, 'word': 'hope', 'occurrence': 1}]","the same confident hope",4,"ἐλπίδα = the same confident hope",0.011904761904761904,0,0
"517425","act","24","26","1",",1500108,",",1293335,",0,"[{'id': 1500108, 'book_id': 'act', 'chapter': '24', 'verse': '26', 'word_num': 2, 'word': 'ἐλπίζων', 'occurrence': 1, 'strong': 'G16790', 'lemma': 'ἐλπίζω', 'morph': 'Gr,V,PPA,NMS,'}]","ἐλπίζων",1,0,"[{'id': 1293335, 'book_id': 'act', 'chapter': '24', 'verse': '26', 'word_num': 4, 'word': 'he', 'occurrence': 1}]","he",1,"ἐλπίζων = he",0.011904761904761904,0,0
"518087","act","26","6","4",",1500767,",",1294263,1294264,1294265,",0,"[{'id': 1500767, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 3, 'word': 'ἐλπίδι', 'occurrence': 1, 'strong': 'G16800', 'lemma': 'ἐλπίς', 'morph': 'Gr,N,,,,,DFS,'}]","ἐλπίδι",1,2,"[{'id': 1294263, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 8, 'word': 'my', 'occurrence': 1}, {'id': 1294264, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 9, 'word': 'certain', 'occurrence': 1}, {'id': 1294265, 'book_id': 'act', 'chapter': '26', 'verse': '6', 'word_num': 10, 'word': 'hope', 'occurrence': 1}]","my certain hope",3,"ἐλπίδι = my certain hope",0.011904761904761904,0,0
