"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"469159","luk","1","48","4",",1449848,",",1227696,1227697,",0,"[{'id': 1449848, 'book_id': 'luk', 'chapter': '1', 'verse': '48', 'word_num': 4, 'word': 'ταπείνωσιν', 'occurrence': 1, 'strong': 'G50140', 'lemma': 'ταπείνωσις', 'morph': 'Gr,N,,,,,AFS,'}]","ταπείνωσιν",1,1,"[{'id': 1227696, 'book_id': 'luk', 'chapter': '1', 'verse': '48', 'word_num': 6, 'word': 'low', 'occurrence': 1}, {'id': 1227697, 'book_id': 'luk', 'chapter': '1', 'verse': '48', 'word_num': 7, 'word': 'condition', 'occurrence': 1}]","low condition",2,"ταπείνωσιν = low condition",0.024390243902439025,1,0,0
"469209","luk","1","52","6",",1449900,",",1227775,1227776,",0,"[{'id': 1449900, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 6, 'word': 'ταπεινούς', 'occurrence': 1, 'strong': 'G50110', 'lemma': 'ταπεινός', 'morph': 'Gr,NS,,,,AMP,'}]","ταπεινούς",1,1,"[{'id': 1227775, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 13, 'word': 'the', 'occurrence': 1}, {'id': 1227776, 'book_id': 'luk', 'chapter': '1', 'verse': '52', 'word_num': 14, 'word': 'lowly', 'occurrence': 1}]","the lowly",2,"ταπεινούς = the lowly",0.024390243902439025,1,0,0
"470467","luk","3","5","8",",1451209,",",1229500,1229501,1229502,1229503,",0,"[{'id': 1451209, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 8, 'word': 'ταπεινωθήσεται', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IFP3,,S,'}]","ταπεινωθήσεται",1,3,"[{'id': 1229500, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 10, 'word': 'will', 'occurrence': 2}, {'id': 1229501, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 11, 'word': 'be', 'occurrence': 2}, {'id': 1229502, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 12, 'word': 'made', 'occurrence': 1}, {'id': 1229503, 'book_id': 'luk', 'chapter': '3', 'verse': '5', 'word_num': 13, 'word': 'low', 'occurrence': 1}]","will be made low",4,"ταπεινωθήσεται = will be made low",0.024390243902439025,1,0,0
"480009","luk","14","11","5",",1460904,",",1242403,1242404,1242405,",0,"[{'id': 1460904, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 5, 'word': 'ταπεινωθήσεται', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IFP3,,S,'}]","ταπεινωθήσεται",1,2,"[{'id': 1242403, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 5, 'word': 'will', 'occurrence': 1}, {'id': 1242404, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 6, 'word': 'be', 'occurrence': 1}, {'id': 1242405, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 7, 'word': 'humbled', 'occurrence': 1}]","will be humbled",3,"ταπεινωθήσεται = will be humbled",0.04878048780487805,2,0,0
"480012","luk","14","11","8",",1460907,",",1242410,",0,"[{'id': 1460907, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 8, 'word': 'ταπεινῶν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,PPA,NMS,'}]","ταπεινῶν",1,0,"[{'id': 1242410, 'book_id': 'luk', 'chapter': '14', 'verse': '11', 'word_num': 12, 'word': 'humbles', 'occurrence': 1}]","humbles",1,"ταπεινῶν = humbles",0.04878048780487805,2,0,0
"482382","luk","18","14","15",",1463320,",",1245666,1245667,1245668,",0,"[{'id': 1463320, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 16, 'word': 'ταπεινωθήσεται', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,IFP3,,S,'}]","ταπεινωθήσεται",1,2,"[{'id': 1245666, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 22, 'word': 'will', 'occurrence': 1}, {'id': 1245667, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 23, 'word': 'be', 'occurrence': 1}, {'id': 1245668, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 24, 'word': 'humbled', 'occurrence': 1}]","will be humbled",3,"ταπεινωθήσεται = will be humbled",0.04878048780487805,2,0,0
"482385","luk","18","14","18",",1463323,",",1245673,",0,"[{'id': 1463323, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 19, 'word': 'ταπεινῶν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,PPA,NMS,'}]","ταπεινῶν",1,0,"[{'id': 1245673, 'book_id': 'luk', 'chapter': '18', 'verse': '14', 'word_num': 29, 'word': 'humbles', 'occurrence': 1}]","humbles",1,"ταπεινῶν = humbles",0.04878048780487805,2,0,0
"507033","act","8","33","1",",1489406,1489407,",",1279184,",1,"[{'id': 1489406, 'book_id': 'act', 'chapter': '8', 'verse': '33', 'word_num': 1, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1489407, 'book_id': 'act', 'chapter': '8', 'verse': '33', 'word_num': 2, 'word': 'ταπεινώσει', 'occurrence': 1, 'strong': 'G50140', 'lemma': 'ταπείνωσις', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ ταπεινώσει",2,0,"[{'id': 1279184, 'book_id': 'act', 'chapter': '8', 'verse': '33', 'word_num': 1, 'word': 'humiliation', 'occurrence': 1}]","humiliation",1,"τῇ ταπεινώσει = humiliation",0.024390243902439025,1,0,0
"514689","act","20","19","5",",1497303,",",1289549,",0,"[{'id': 1497303, 'book_id': 'act', 'chapter': '20', 'verse': '19', 'word_num': 5, 'word': 'ταπεινοφροσύνης', 'occurrence': 1, 'strong': 'G50120', 'lemma': 'ταπεινοφροσύνη', 'morph': 'Gr,N,,,,,GFS,'}]","ταπεινοφροσύνης",1,0,"[{'id': 1289549, 'book_id': 'act', 'chapter': '20', 'verse': '19', 'word_num': 7, 'word': 'humility', 'occurrence': 1}]","humility",1,"ταπεινοφροσύνης = humility",0.04878048780487805,2,0,0
"524861","rom","12","16","10",",1508040,1508041,",",1304488,1304489,",1,"[{'id': 1508040, 'book_id': 'rom', 'chapter': '12', 'verse': '16', 'word_num': 10, 'word': 'τοῖς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DMP,'}, {'id': 1508041, 'book_id': 'rom', 'chapter': '12', 'verse': '16', 'word_num': 11, 'word': 'ταπεινοῖς', 'occurrence': 1, 'strong': 'G50110', 'lemma': 'ταπεινός', 'morph': 'Gr,NS,,,,DMP,'}]","τοῖς ταπεινοῖς",2,1,"[{'id': 1304488, 'book_id': 'rom', 'chapter': '12', 'verse': '16', 'word_num': 16, 'word': 'lowly', 'occurrence': 1}, {'id': 1304489, 'book_id': 'rom', 'chapter': '12', 'verse': '16', 'word_num': 17, 'word': 'people', 'occurrence': 1}]","lowly people",2,"τοῖς ταπεινοῖς = lowly people",0.024390243902439025,1,0,0
"527824","1co","4","21","12",",1511213,",",1308858,1308859,",0,"[{'id': 1511213, 'book_id': '1co', 'chapter': '4', 'verse': '21', 'word_num': 12, 'word': 'πραΰτητος', 'occurrence': 1, 'strong': 'G42400', 'lemma': 'πραΰτης', 'morph': 'Gr,N,,,,,GFS,'}]","πραΰτητος",1,1,"[{'id': 1308858, 'book_id': '1co', 'chapter': '4', 'verse': '21', 'word_num': 18, 'word': 'of', 'occurrence': 1}, {'id': 1308859, 'book_id': '1co', 'chapter': '4', 'verse': '21', 'word_num': 19, 'word': 'gentleness', 'occurrence': 1}]","of gentleness",2,"πραΰτητος = of gentleness",0.04878048780487805,2,0,0
"535058","2co","7","6","4",",1518648,",",1319469,",0,"[{'id': 1518648, 'book_id': '2co', 'chapter': '7', 'verse': '6', 'word_num': 4, 'word': 'ταπεινοὺς', 'occurrence': 1, 'strong': 'G50110', 'lemma': 'ταπεινός', 'morph': 'Gr,NS,,,,AMP,'}]","ταπεινοὺς",1,0,"[{'id': 1319469, 'book_id': '2co', 'chapter': '7', 'verse': '6', 'word_num': 7, 'word': 'discouraged', 'occurrence': 1}]","discouraged",1,"ταπεινοὺς = discouraged",0.024390243902439025,1,0,0
"535952","2co","10","1","8",",1519588,",",1320760,",0,"[{'id': 1519588, 'book_id': '2co', 'chapter': '10', 'verse': '1', 'word_num': 8, 'word': 'πραΰτητος', 'occurrence': 1, 'strong': 'G42400', 'lemma': 'πραΰτης', 'morph': 'Gr,N,,,,,GFS,'}]","πραΰτητος",1,0,"[{'id': 1320760, 'book_id': '2co', 'chapter': '10', 'verse': '1', 'word_num': 9, 'word': 'meekness', 'occurrence': 1}]","meekness",1,"πραΰτητος = meekness",0.04878048780487805,2,0,0
"535956","2co","10","1","12",",1519596,1519597,",",1320765,",1,"[{'id': 1519596, 'book_id': '2co', 'chapter': '10', 'verse': '1', 'word_num': 16, 'word': 'μὲν', 'occurrence': 1, 'strong': 'G33030', 'lemma': 'μέν', 'morph': 'Gr,D,,,,,,,,,'}, {'id': 1519597, 'book_id': '2co', 'chapter': '10', 'verse': '1', 'word_num': 17, 'word': 'ταπεινὸς', 'occurrence': 1, 'strong': 'G50110', 'lemma': 'ταπεινός', 'morph': 'Gr,NP,,,,NMS,'}]","μὲν ταπεινὸς",2,0,"[{'id': 1320765, 'book_id': '2co', 'chapter': '10', 'verse': '1', 'word_num': 14, 'word': 'I', 'occurrence': 2}]","I",1,"μὲν ταπεινὸς = I",0.024390243902439025,1,0,0
"536356","2co","11","7","3",",1519999,",",1321368,1321369,",0,"[{'id': 1519999, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 4, 'word': 'ταπεινῶν', 'occurrence': 1, 'strong': 'G50130', 'lemma': 'ταπεινόω', 'morph': 'Gr,V,PPA,NMS,'}]","ταπεινῶν",1,1,"[{'id': 1321368, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 6, 'word': 'by', 'occurrence': 1}, {'id': 1321369, 'book_id': '2co', 'chapter': '11', 'verse': '7', 'word_num': 7, 'word': 'humbling', 'occurrence': 1}]","by humbling",2,"ταπεινῶν = by humbling",0.024390243902439025,1,0,0
