"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"464137","mrk","10","17","17",",1444275,",",1220226,",0,"[{'id': 1444275, 'book_id': 'mrk', 'chapter': '10', 'verse': '17', 'word_num': 19, 'word': 'κληρονομήσω', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,SAA1,,S,'}]","κληρονομήσω",1,0,"[{'id': 1220226, 'book_id': 'mrk', 'chapter': '10', 'verse': '17', 'word_num': 28, 'word': 'inherit', 'occurrence': 1}]","inherit",1,"κληρονομήσω = inherit",0.02564102564102564,0,0
"465353","mrk","12","7","15",",1445612,",",1222012,",0,"[{'id': 1445612, 'book_id': 'mrk', 'chapter': '12', 'verse': '7', 'word_num': 19, 'word': 'κληρονομία', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,NFS,'}]","κληρονομία",1,0,"[{'id': 1222012, 'book_id': 'mrk', 'chapter': '12', 'verse': '7', 'word_num': 19, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομία = inheritance",0.07692307692307693,0,0
"467946","mrk","15","24","8",",1448412,",",1225708,",0,"[{'id': 1448412, 'book_id': 'mrk', 'chapter': '15', 'verse': '24', 'word_num': 9, 'word': 'κλῆρον', 'occurrence': 1, 'strong': 'G28190', 'lemma': 'κλῆρος', 'morph': 'Gr,N,,,,,AMS,'}]","κλῆρον",1,0,"[{'id': 1225708, 'book_id': 'mrk', 'chapter': '15', 'verse': '24', 'word_num': 10, 'word': 'lots', 'occurrence': 1}]","lots",1,"κλῆρον = lots",0.07692307692307693,0,0
"476903","luk","10","25","12",",1457749,",",1238126,1238127,",0,"[{'id': 1457749, 'book_id': 'luk', 'chapter': '10', 'verse': '25', 'word_num': 13, 'word': 'κληρονομήσω', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA1,,S,'}]","κληρονομήσω",1,1,"[{'id': 1238126, 'book_id': 'luk', 'chapter': '10', 'verse': '25', 'word_num': 20, 'word': 'to', 'occurrence': 2}, {'id': 1238127, 'book_id': 'luk', 'chapter': '10', 'verse': '25', 'word_num': 21, 'word': 'inherit', 'occurrence': 1}]","to inherit",2,"κληρονομήσω = to inherit",0.05128205128205128,0,0
"478396","luk","12","13","13",",1459275,",",1240172,",0,"[{'id': 1459275, 'book_id': 'luk', 'chapter': '12', 'verse': '13', 'word_num': 16, 'word': 'κληρονομίαν', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,AFS,'}]","κληρονομίαν",1,0,"[{'id': 1240172, 'book_id': 'luk', 'chapter': '12', 'verse': '13', 'word_num': 15, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομίαν = inheritance",0.07692307692307693,0,0
"482458","luk","18","18","11",",1463395,",",1245767,1245768,",0,"[{'id': 1463395, 'book_id': 'luk', 'chapter': '18', 'verse': '18', 'word_num': 12, 'word': 'κληρονομήσω', 'occurrence': 1, 'strong': 'G28160', 'lemma': 'κληρονομέω', 'morph': 'Gr,V,IFA1,,S,'}]","κληρονομήσω",1,1,"[{'id': 1245767, 'book_id': 'luk', 'chapter': '18', 'verse': '18', 'word_num': 13, 'word': 'to', 'occurrence': 1}, {'id': 1245768, 'book_id': 'luk', 'chapter': '18', 'verse': '18', 'word_num': 14, 'word': 'inherit', 'occurrence': 1}]","to inherit",2,"κληρονομήσω = to inherit",0.05128205128205128,0,0
"483770","luk","20","14","18",",1464721,",",1247642,",0,"[{'id': 1464721, 'book_id': 'luk', 'chapter': '20', 'verse': '14', 'word_num': 19, 'word': 'κληρονομία', 'occurrence': 1, 'strong': 'G28170', 'lemma': 'κληρονομία', 'morph': 'Gr,N,,,,,NFS,'}]","κληρονομία",1,0,"[{'id': 1247642, 'book_id': 'luk', 'chapter': '20', 'verse': '14', 'word_num': 23, 'word': 'inheritance', 'occurrence': 1}]","inheritance",1,"κληρονομία = inheritance",0.07692307692307693,0,0
"486412","luk","23","34","5",",1467391,",",1251235,",0,"[{'id': 1467391, 'book_id': 'luk', 'chapter': '23', 'verse': '34', 'word_num': 6, 'word': 'κλῆρον', 'occurrence': 1, 'strong': 'G28190', 'lemma': 'κλῆρος', 'morph': 'Gr,N,,,,,AMS,'}]","κλῆρον",1,0,"[{'id': 1251235, 'book_id': 'luk', 'chapter': '23', 'verse': '34', 'word_num': 21, 'word': 'lots', 'occurrence': 1}]","lots",1,"κλῆρον = lots",0.07692307692307693,0,0
"500531","jhn","19","24","25",",1482647,",",1270476,",0,"[{'id': 1482647, 'book_id': 'jhn', 'chapter': '19', 'verse': '24', 'word_num': 30, 'word': 'κλῆρον', 'occurrence': 1, 'strong': 'G28190', 'lemma': 'κλῆρος', 'morph': 'Gr,N,,,,,AMS,'}]","κλῆρον",1,0,"[{'id': 1270476, 'book_id': 'jhn', 'chapter': '19', 'verse': '24', 'word_num': 44, 'word': 'lots', 'occurrence': 2}]","lots",1,"κλῆρον = lots",0.07692307692307693,0,0
"502267","act","1","17","8",",1484493,",",1272855,",0,"[{'id': 1484493, 'book_id': 'act', 'chapter': '1', 'verse': '17', 'word_num': 8, 'word': 'κλῆρον', 'occurrence': 1, 'strong': 'G28190', 'lemma': 'κλῆρος', 'morph': 'Gr,N,,,,,AMS,'}]","κλῆρον",1,0,"[{'id': 1272855, 'book_id': 'act', 'chapter': '1', 'verse': '17', 'word_num': 9, 'word': 'share', 'occurrence': 1}]","share",1,"κλῆρον = share",0.02564102564102564,0,0
