"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"488561","jhn","2","17","6",",1469644,1469645,",",1254067,",1,"[{'id': 1469644, 'book_id': 'jhn', 'chapter': '2', 'verse': '17', 'word_num': 7, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1469645, 'book_id': 'jhn', 'chapter': '2', 'verse': '17', 'word_num': 8, 'word': 'ζῆλος', 'occurrence': 1, 'strong': 'G22050', 'lemma': 'ζῆλος', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ ζῆλος",2,0,"[{'id': 1254067, 'book_id': 'jhn', 'chapter': '2', 'verse': '17', 'word_num': 7, 'word': 'Zeal', 'occurrence': 1}]","Zeal",1,"ὁ ζῆλος = Zeal",0.03225806451612903,0,0
"504682","act","5","17","16",",1486991,",",1276038,1276039,",0,"[{'id': 1486991, 'book_id': 'act', 'chapter': '5', 'verse': '17', 'word_num': 15, 'word': 'ζήλου', 'occurrence': 1, 'strong': 'G22050', 'lemma': 'ζῆλος', 'morph': 'Gr,N,,,,,GMS,'}]","ζήλου",1,1,"[{'id': 1276038, 'book_id': 'act', 'chapter': '5', 'verse': '17', 'word_num': 24, 'word': 'with', 'occurrence': 2}, {'id': 1276039, 'book_id': 'act', 'chapter': '5', 'verse': '17', 'word_num': 25, 'word': 'jealousy', 'occurrence': 1}]","with jealousy",2,"ζήλου = with jealousy",0.06451612903225806,0,0
"505581","act","7","9","3",",1487915,",",1277237,1277238,",0,"[{'id': 1487915, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 3, 'word': 'ζηλώσαντες', 'occurrence': 1, 'strong': 'G22060', 'lemma': 'ζηλόω', 'morph': 'Gr,V,PAA,NMP,'}]","ζηλώσαντες",1,1,"[{'id': 1277237, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 3, 'word': 'were', 'occurrence': 1}, {'id': 1277238, 'book_id': 'act', 'chapter': '7', 'verse': '9', 'word_num': 4, 'word': 'jealous', 'occurrence': 1}]","were jealous",2,"ζηλώσαντες = were jealous",0.03225806451612903,0,0
"510543","act","13","45","8",",1493001,",",1283926,1283927,",0,"[{'id': 1493001, 'book_id': 'act', 'chapter': '13', 'verse': '45', 'word_num': 7, 'word': 'ζήλου', 'occurrence': 1, 'strong': 'G22050', 'lemma': 'ζῆλος', 'morph': 'Gr,N,,,,,GMS,'}]","ζήλου",1,1,"[{'id': 1283926, 'book_id': 'act', 'chapter': '13', 'verse': '45', 'word_num': 10, 'word': 'with', 'occurrence': 1}, {'id': 1283927, 'book_id': 'act', 'chapter': '13', 'verse': '45', 'word_num': 11, 'word': 'jealousy', 'occurrence': 1}]","with jealousy",2,"ζήλου = with jealousy",0.06451612903225806,0,0
"512586","act","17","5","3",",1495112,",",1286712,1286713,",0,"[{'id': 1495112, 'book_id': 'act', 'chapter': '17', 'verse': '5', 'word_num': 0, 'word': 'ζηλώσαντες', 'occurrence': 1, 'strong': 'G22060', 'lemma': 'ζηλόω', 'morph': 'Gr,V,PAA,NMP,'}]","ζηλώσαντες",1,1,"[{'id': 1286712, 'book_id': 'act', 'chapter': '17', 'verse': '5', 'word_num': 4, 'word': 'became', 'occurrence': 1}, {'id': 1286713, 'book_id': 'act', 'chapter': '17', 'verse': '5', 'word_num': 5, 'word': 'jealous', 'occurrence': 1}]","became jealous",2,"ζηλώσαντες = became jealous",0.03225806451612903,0,0
"523834","rom","10","2","5",",1506917,",",1302900,1302901,",0,"[{'id': 1506917, 'book_id': 'rom', 'chapter': '10', 'verse': '2', 'word_num': 4, 'word': 'ζῆλον', 'occurrence': 1, 'strong': 'G22050', 'lemma': 'ζῆλος', 'morph': 'Gr,N,,,,,AMS,'}]","ζῆλον",1,1,"[{'id': 1302900, 'book_id': 'rom', 'chapter': '10', 'verse': '2', 'word_num': 8, 'word': 'a', 'occurrence': 1}, {'id': 1302901, 'book_id': 'rom', 'chapter': '10', 'verse': '2', 'word_num': 9, 'word': 'zeal', 'occurrence': 1}]","a zeal",2,"ζῆλον = a zeal",0.03225806451612903,0,0
"524084","rom","10","19","8",",1507191,",",1303261,1303262,",0,"[{'id': 1507191, 'book_id': 'rom', 'chapter': '10', 'verse': '19', 'word_num': 10, 'word': 'παραζηλώσω', 'occurrence': 1, 'strong': 'G38630', 'lemma': 'παραζηλόω', 'morph': 'Gr,V,IFA1,,S,'}]","παραζηλώσω",1,1,"[{'id': 1303261, 'book_id': 'rom', 'chapter': '10', 'verse': '19', 'word_num': 11, 'word': 'will', 'occurrence': 1}, {'id': 1303262, 'book_id': 'rom', 'chapter': '10', 'verse': '19', 'word_num': 12, 'word': 'provoke', 'occurrence': 1}]","will provoke",2,"παραζηλώσω = will provoke",0.03225806451612903,0,0
"524302","rom","11","11","13",",1507426,",",1303591,1303592,",0,"[{'id': 1507426, 'book_id': 'rom', 'chapter': '11', 'verse': '11', 'word_num': 18, 'word': 'παραζηλῶσαι', 'occurrence': 1, 'strong': 'G38630', 'lemma': 'παραζηλόω', 'morph': 'Gr,V,NAA,,,,,'}]","παραζηλῶσαι",1,1,"[{'id': 1303591, 'book_id': 'rom', 'chapter': '11', 'verse': '11', 'word_num': 26, 'word': 'to', 'occurrence': 3}, {'id': 1303592, 'book_id': 'rom', 'chapter': '11', 'verse': '11', 'word_num': 27, 'word': 'provoke', 'occurrence': 1}]","to provoke",2,"παραζηλῶσαι = to provoke",0.03225806451612903,0,0
"524335","rom","11","14","1",",1507465,",",1303649,1303650,1303651,1303652,1303653,",0,"[{'id': 1507465, 'book_id': 'rom', 'chapter': '11', 'verse': '14', 'word_num': 2, 'word': 'παραζηλώσω', 'occurrence': 1, 'strong': 'G38630', 'lemma': 'παραζηλόω', 'morph': 'Gr,V,SAA1,,S,'}]","παραζηλώσω",1,4,"[{'id': 1303649, 'book_id': 'rom', 'chapter': '11', 'verse': '14', 'word_num': 1, 'word': 'I', 'occurrence': 1}, {'id': 1303650, 'book_id': 'rom', 'chapter': '11', 'verse': '14', 'word_num': 2, 'word': 'will', 'occurrence': 1}, {'id': 1303651, 'book_id': 'rom', 'chapter': '11', 'verse': '14', 'word_num': 3, 'word': 'provoke', 'occurrence': 1}, {'id': 1303652, 'book_id': 'rom', 'chapter': '11', 'verse': '14', 'word_num': 4, 'word': 'to', 'occurrence': 1}, {'id': 1303653, 'book_id': 'rom', 'chapter': '11', 'verse': '14', 'word_num': 5, 'word': 'jealousy', 'occurrence': 1}]","I will provoke to jealousy",5,"παραζηλώσω = I will provoke to jealousy",0.03225806451612903,0,0
"525153","rom","13","13","16",",1508371,",",1304952,",0,"[{'id': 1508371, 'book_id': 'rom', 'chapter': '13', 'verse': '13', 'word_num': 16, 'word': 'ζήλῳ', 'occurrence': 1, 'strong': 'G22050', 'lemma': 'ζῆλος', 'morph': 'Gr,N,,,,,DMS,'}]","ζήλῳ",1,0,"[{'id': 1304952, 'book_id': 'rom', 'chapter': '13', 'verse': '13', 'word_num': 31, 'word': 'jealousy', 'occurrence': 1}]","jealousy",1,"ζήλῳ = jealousy",0.03225806451612903,0,0
