"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"465088","mrk","11","23","17",",1445306,",",1221608,",0,"[{'id': 1445306, 'book_id': 'mrk', 'chapter': '11', 'verse': '23', 'word_num': 18, 'word': 'διακριθῇ', 'occurrence': 1, 'strong': 'G12520', 'lemma': 'διακρίνω', 'morph': 'Gr,V,SAP3,,S,'}]","διακριθῇ",1,0,"[{'id': 1221608, 'book_id': 'mrk', 'chapter': '11', 'verse': '23', 'word_num': 22, 'word': 'doubt', 'occurrence': 1}]","doubt",1,"διακριθῇ = doubt",0.0048543689320388345,1,0,0
"465921","mrk","12","40","12",",1446221,",",1222773,",0,"[{'id': 1446221, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 13, 'word': 'κρίμα', 'occurrence': 1, 'strong': 'G29170', 'lemma': 'κρίμα', 'morph': 'Gr,N,,,,,ANS,'}]","κρίμα",1,0,"[{'id': 1222773, 'book_id': 'mrk', 'chapter': '12', 'verse': '40', 'word_num': 18, 'word': 'condemnation', 'occurrence': 1}]","condemnation",1,"κρίμα = condemnation",0.019417475728155338,4,0,0
"473064","luk","6","37","2",",1453855,",",1232947,",0,"[{'id': 1453855, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 2, 'word': 'κρίνετε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,MPA2,,P,'}]","κρίνετε",1,0,"[{'id': 1232947, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 3, 'word': 'judge', 'occurrence': 1}]","judge",1,"κρίνετε = judge",0.024271844660194174,5,0,0
"473066","luk","6","37","4",",1453859,",",1232949,1232950,",0,"[{'id': 1453859, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 6, 'word': 'κριθῆτε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,SAP2,,P,'}]","κριθῆτε",1,1,"[{'id': 1232949, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 5, 'word': 'you', 'occurrence': 1}, {'id': 1232950, 'book_id': 'luk', 'chapter': '6', 'verse': '37', 'word_num': 6, 'word': 'will', 'occurrence': 1}]","you will",2,"κριθῆτε = you will",0.0048543689320388345,1,0,0
"474128","luk","7","43","13",",1454917,",",1234449,1234450,1234451,",0,"[{'id': 1454917, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 14, 'word': 'ἔκρινας', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IAA2,,S,'}]","ἔκρινας",1,2,"[{'id': 1234449, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 20, 'word': 'You', 'occurrence': 1}, {'id': 1234450, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 21, 'word': 'have', 'occurrence': 1}, {'id': 1234451, 'book_id': 'luk', 'chapter': '7', 'verse': '43', 'word_num': 22, 'word': 'judged', 'occurrence': 1}]","You have judged",3,"ἔκρινας = You have judged",0.0048543689320388345,1,0,0
"476686","luk","10","14","8",",1457517,",",1237836,",0,"[{'id': 1457517, 'book_id': 'luk', 'chapter': '10', 'verse': '14', 'word_num': 8, 'word': 'κρίσει', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,DFS,'}]","κρίσει",1,0,"[{'id': 1237836, 'book_id': 'luk', 'chapter': '10', 'verse': '14', 'word_num': 12, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσει = judgment",0.014563106796116505,3,0,0
"477724","luk","11","31","5",",1458592,",",1239268,",0,"[{'id': 1458592, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 5, 'word': 'κρίσει', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,DFS,'}]","κρίσει",1,0,"[{'id': 1239268, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 10, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσει = judgment",0.014563106796116505,3,0,0
"477756","luk","11","32","5",",1458623,",",1239310,",0,"[{'id': 1458623, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 5, 'word': 'κρίσει', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,DFS,'}]","κρίσει",1,0,"[{'id': 1239310, 'book_id': 'luk', 'chapter': '11', 'verse': '32', 'word_num': 9, 'word': 'judgment', 'occurrence': 1}]","judgment",1,"κρίσει = judgment",0.014563106796116505,3,0,0
"477946","luk","11","42","17",",1458816,",",1239563,",0,"[{'id': 1458816, 'book_id': 'luk', 'chapter': '11', 'verse': '42', 'word_num': 18, 'word': 'κρίσιν', 'occurrence': 1, 'strong': 'G29200', 'lemma': 'κρίσις', 'morph': 'Gr,N,,,,,AFS,'}]","κρίσιν",1,0,"[{'id': 1239563, 'book_id': 'luk', 'chapter': '11', 'verse': '42', 'word_num': 21, 'word': 'justice', 'occurrence': 1}]","justice",1,"κρίσιν = justice",0.0048543689320388345,1,0,0
"479121","luk","12","57","3",",1460021,",",1241197,",0,"[{'id': 1460021, 'book_id': 'luk', 'chapter': '12', 'verse': '57', 'word_num': 6, 'word': 'κρίνετε', 'occurrence': 1, 'strong': 'G29190', 'lemma': 'κρίνω', 'morph': 'Gr,V,IPA2,,P,'}]","κρίνετε",1,0,"[{'id': 1241197, 'book_id': 'luk', 'chapter': '12', 'verse': '57', 'word_num': 3, 'word': 'you', 'occurrence': 1}]","you",1,"κρίνετε = you",0.0048543689320388345,1,0,0
