"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458280","mrk","1","15","6",",1437996,",",1212021,",0,"[{'id': 1437996, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 9, 'word': 'Βασιλεία', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,NFS,'}]","Βασιλεία",1,0,"[{'id': 1212021, 'book_id': 'mrk', 'chapter': '1', 'verse': '15', 'word_num': 8, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλεία = kingdom",0.16822429906542055,18,0,0
"459559","mrk","3","24","1",",1439357,",",1213820,1213821,",0,"[{'id': 1439357, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 2, 'word': 'βασιλεία', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,NFS,'}]","βασιλεία",1,1,"[{'id': 1213820, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 1, 'word': 'a', 'occurrence': 1}, {'id': 1213821, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 2, 'word': 'kingdom', 'occurrence': 1}]","a kingdom",2,"βασιλεία = a kingdom",0.009345794392523364,1,0,0
"459564","mrk","3","24","6",",1439364,1439365,",",1213827,",1,"[{'id': 1439364, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 9, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1439365, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 10, 'word': 'βασιλεία', 'occurrence': 2, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ βασιλεία",2,0,"[{'id': 1213827, 'book_id': 'mrk', 'chapter': '3', 'verse': '24', 'word_num': 8, 'word': 'kingdom', 'occurrence': 2}]","kingdom",1,"ἡ βασιλεία = kingdom",0.06542056074766354,7,0,0
"459882","mrk","4","11","8",",1439719,",",1214252,",0,"[{'id': 1439719, 'book_id': 'mrk', 'chapter': '4', 'verse': '11', 'word_num': 8, 'word': 'Βασιλείας', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,GFS,'}]","Βασιλείας",1,0,"[{'id': 1214252, 'book_id': 'mrk', 'chapter': '4', 'verse': '11', 'word_num': 13, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλείας = kingdom",0.07476635514018691,8,0,0
"460126","mrk","4","26","4",",1439973,",",1214604,",0,"[{'id': 1439973, 'book_id': 'mrk', 'chapter': '4', 'verse': '26', 'word_num': 5, 'word': 'Βασιλεία', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,NFS,'}]","Βασιλεία",1,0,"[{'id': 1214604, 'book_id': 'mrk', 'chapter': '4', 'verse': '26', 'word_num': 4, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλεία = kingdom",0.16822429906542055,18,0,0
"460188","mrk","4","30","5",",1440033,",",1214683,",0,"[{'id': 1440033, 'book_id': 'mrk', 'chapter': '4', 'verse': '30', 'word_num': 5, 'word': 'Βασιλείαν', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,AFS,'}]","Βασιλείαν",1,0,"[{'id': 1214683, 'book_id': 'mrk', 'chapter': '4', 'verse': '30', 'word_num': 9, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλείαν = kingdom",0.21495327102803738,23,0,0
"461431","mrk","6","23","9",",1441352,1441353,",",1216420,",1,"[{'id': 1441352, 'book_id': 'mrk', 'chapter': '6', 'verse': '23', 'word_num': 11, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1441353, 'book_id': 'mrk', 'chapter': '6', 'verse': '23', 'word_num': 12, 'word': 'βασιλείας', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς βασιλείας",2,0,"[{'id': 1216420, 'book_id': 'mrk', 'chapter': '6', 'verse': '23', 'word_num': 16, 'word': 'of', 'occurrence': 2}]","of",1,"τῆς βασιλείας = of",0.018691588785046728,2,0,0
"463149","mrk","9","1","19",",1443179,",",1218790,",0,"[{'id': 1443179, 'book_id': 'mrk', 'chapter': '9', 'verse': '1', 'word_num': 21, 'word': 'Βασιλείαν', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,AFS,'}]","Βασιλείαν",1,0,"[{'id': 1218790, 'book_id': 'mrk', 'chapter': '9', 'verse': '1', 'word_num': 28, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλείαν = kingdom",0.21495327102803738,23,0,0
"463876","mrk","9","47","16",",1443997,",",1219841,",0,"[{'id': 1443997, 'book_id': 'mrk', 'chapter': '9', 'verse': '47', 'word_num': 16, 'word': 'Βασιλείαν', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,AFS,'}]","Βασιλείαν",1,0,"[{'id': 1219841, 'book_id': 'mrk', 'chapter': '9', 'verse': '47', 'word_num': 20, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλείαν = kingdom",0.21495327102803738,23,0,0
"464087","mrk","10","14","20",",1444226,",",1220147,",0,"[{'id': 1444226, 'book_id': 'mrk', 'chapter': '10', 'verse': '14', 'word_num': 23, 'word': 'Βασιλεία', 'occurrence': 1, 'strong': 'G09320', 'lemma': 'βασιλεία', 'morph': 'Gr,N,,,,,NFS,'}]","Βασιλεία",1,0,"[{'id': 1220147, 'book_id': 'mrk', 'chapter': '10', 'verse': '14', 'word_num': 28, 'word': 'kingdom', 'occurrence': 1}]","kingdom",1,"Βασιλεία = kingdom",0.16822429906542055,18,0,0
