"alignment_key","book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong"
1667,"mat","5","18","1","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
1850,"mat","5","26","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
2250,"mat","6","2","23","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
2307,"mat","6","5","23","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
2464,"mat","6","16","16","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
3408,"mat","8","10","8","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
4588,"mat","10","15","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
4726,"mat","10","23","11","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
5034,"mat","10","42","13","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
5179,"mat","11","11","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
6567,"mat","13","17","1","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
8774,"mat","16","28","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
9110,"mat","17","20","8","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
9277,"mat","18","3","2","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
9488,"mat","18","13","4","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
9581,"mat","18","18","0","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
9603,"mat","18","19","2","ἀμὴν",1,0,"truly",1,0,"ἀμὴν = truly",33.33333333333333,"ἀμὴν","ἀμήν","G02810"
10218,"mat","19","23","5","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
10291,"mat","19","28","3","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
11193,"mat","21","21","4","ἀμὴν",1,0,"Truly",1,0,"ἀμὴν = Truly",65.65656565656566,"ἀμὴν","ἀμήν","G02810"
