"originalWord","frequency","counts","countsSeries","total","ratio"
"ἀμὴν","ἀμὴν = Truly       65
ἀμὴν = truly       33
ἀμὴν δὲ = Truly     1
Name: alignmentTxt, dtype: int64","[65, 33, 1]","count     3.0
mean     33.0
std      32.0
min       1.0
25%      17.0
50%      33.0
75%      49.0
max      65.0
Name: alignmentTxt, dtype: float64",99,"[0.6565656565656566, 0.3333333333333333, 0.010101010101010102]"
"ἄγγελος","ἄγγελος = angel          29
ἄγγελος = an angel       15
ἄγγελος = An angel        1
ἄγγελος = a messenger     1
Name: alignmentTxt, dtype: int64","[29, 15, 1, 1]","count     4.00000
mean     11.50000
std      13.40398
min       1.00000
25%       1.00000
50%       8.00000
75%      18.50000
max      29.00000
Name: alignmentTxt, dtype: float64",46,"[0.6304347826086957, 0.32608695652173914, 0.021739130434782608, 0.021739130434782608]"
"ἐποίησεν","ἐποίησεν = did                        11
ἐποίησεν = had done                    8
ἐποίησεν = made                        8
ἐποίησεν = he did                      6
ἐποίησεν = has done                    5
ἐποίησεν = make                        2
ἐποίησεν = prepared                    2
ἐποίησεν = has made                    2
ἐποίησεν = and did                     2
ἐποίησεν = has he done                 2
ἐποίησεν = when                        1
ἐποίησεν = it produced                 1
ἐποίησεν = he has done                 1
ἐποίησεν = He has done                 1
ἐποίησεν = he had acted                1
ἐποίησεν = he                          1
ἐποίησεν = he had done                 1
ἐποίησεν = do                          1
ἐποίησεν = she did it                  1
ἐποίησεν = he accomplished             1
ἐποίησεν = he made                     1
ἑαυτὸν ἐποίησεν = he claimed to be     1
καὶ ἐποίησεν = He appointed            1
ἐποίησεν = done                        1
ἐποίησεν = Jesus did                   1
ἐποίησεν = She has done                1
ἐποίησεν = God made                    1
ἐποίησεν = has                         1
ἐποίησεν = had worked                  1
ἐποίησεν = has accomplished            1
ἐποίησεν = committed                   1
καὶ ἐποίησεν = he has made             1
ἐποίησεν = you                         1
ἐποίησεν = He did                      1
ἐποίησεν = he had made                 1
ἐποίησεν = he appointed                1
ἐποίησεν = did so                      1
ἐποίησεν = produced                    1
Name: alignmentTxt, dtype: int64","[11, 8, 8, 6, 5, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    38.000000
mean      2.000000
std       2.359569
min       1.000000
25%       1.000000
50%       1.000000
75%       1.750000
max      11.000000
Name: alignmentTxt, dtype: float64",76,"[0.14473684210526316, 0.10526315789473684, 0.10526315789473684, 0.07894736842105263, 0.06578947368421052, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.02631578947368421, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105, 0.013157894736842105]"
"ποιῆσαι","ποιῆσαι = to do                      14
ποιῆσαι = to make                     6
ποιῆσαι = do                          3
τοῦ ποιῆσαι = to do                   3
ποιῆσαι = to wage                     3
ποιῆσαι = make                        2
καὶ ποιῆσαι = and to do               1
ποιῆσαι = can                         1
ποιῆσαι = to obey                     1
ποιῆσαι = He is coming to execute     1
ποιῆσαι = act                         1
ποιῆσαι = produce                     1
ποιῆσαι = may                         1
ποιῆσαι = to                          1
τὸ ποιῆσαι = to do this               1
ποιῆσαι = to become                   1
ποιῆσαι = to show                     1
ποιῆσαι = to have done                1
τοῦ ποιῆσαι αὐτοὺς = to do            1
ποιῆσαι = to accomplish               1
ποιῆσαι = to be put                   1
τὸ ποιῆσαι = to do                    1
τὸ ποιῆσαι = doing it                 1
ποιῆσαι ἵνα = could have caused       1
Name: alignmentTxt, dtype: int64","[14, 6, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","count    24.000000
mean      2.041667
std       2.804952
min       1.000000
25%       1.000000
50%       1.000000
75%       1.250000
max      14.000000
Name: alignmentTxt, dtype: float64",49,"[0.2857142857142857, 0.12244897959183673, 0.061224489795918366, 0.061224489795918366, 0.061224489795918366, 0.04081632653061224, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612]"
"ἐξουσίαν","ἐξουσίαν = authority                           31
τὴν ἐξουσίαν = authority                        8
ἐξουσίαν = the right                            6
ἐξουσίαν = the power                            3
ἐξουσίαν = power                                2
ἐξουσίαν = his                                  1
ὡς ἐξουσίαν ἔχων = as one who had authority     1
ἐξουσίαν = in authority                         1
ἐξουσίαν = a symbol of authority                1
ἐξουσίαν = authority to rule                    1
καὶ ἐξουσίαν = power                            1
τὴν ἐξουσίαν = authority over                   1
Name: alignmentTxt, dtype: int64","[31, 8, 6, 3, 2, 1, 1, 1, 1, 1, 1, 1]","count    12.000000
mean      4.750000
std       8.582487
min       1.000000
25%       1.000000
50%       1.000000
75%       3.750000
max      31.000000
Name: alignmentTxt, dtype: float64",57,"[0.543859649122807, 0.14035087719298245, 0.10526315789473684, 0.05263157894736842, 0.03508771929824561, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806]"
"πίστιν","πίστιν = faith               33
τὴν πίστιν = faith           15
τὴν πίστιν = of               1
πίστιν = proof                1
τὴν πίστιν = to faith         1
πίστιν ἣν = The faith         1
τὴν πίστιν = faithfulness     1
πίστιν = of faith             1
πίστιν = pledge               1
πίστιν = the faith            1
Name: alignmentTxt, dtype: int64","[33, 15, 1, 1, 1, 1, 1, 1, 1, 1]","count    10.000000
mean      5.600000
std      10.585105
min       1.000000
25%       1.000000
50%       1.000000
75%       1.000000
max      33.000000
Name: alignmentTxt, dtype: float64",56,"[0.5892857142857143, 0.26785714285714285, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856, 0.017857142857142856]"
"πίστει","πίστει = faith               22
πίστει = By faith            18
τῇ πίστει = in faith          5
πίστει = in                   4
τῇ πίστει = faith             4
πίστει = the faith            3
πίστει = by faith             2
τῇ πίστει = by faith          1
πίστει = to                   1
πίστει = in faith             1
πίστει = belief               1
τῇ πίστει = in your faith     1
πίστει = for                  1
Name: alignmentTxt, dtype: int64","[22, 18, 5, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1]","count    13.000000
mean      4.923077
std       6.885511
min       1.000000
25%       1.000000
50%       2.000000
75%       4.000000
max      22.000000
Name: alignmentTxt, dtype: float64",64,"[0.34375, 0.28125, 0.078125, 0.0625, 0.0625, 0.046875, 0.03125, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625]"
"πίστεως","πίστεως = faith                      55
τῆς πίστεως = faith                  17
πίστεως = of faith                   13
πίστεως = of                          6
τῆς πίστεως = of faith                4
τῆς πίστεως = of                      3
πίστεως = the faith                   2
πίστεως = of those who have faith     1
ἐκ πίστεως = who share the faith      1
πίστεως = a                           1
τῆς πίστεως = in                      1
πίστεως = in                          1
Name: alignmentTxt, dtype: int64","[55, 17, 13, 6, 4, 3, 2, 1, 1, 1, 1, 1]","count    12.000000
mean      8.750000
std      15.475053
min       1.000000
25%       1.000000
50%       2.500000
75%       7.750000
max      55.000000
Name: alignmentTxt, dtype: float64",105,"[0.5238095238095238, 0.1619047619047619, 0.12380952380952381, 0.05714285714285714, 0.0380952380952381, 0.02857142857142857, 0.01904761904761905, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525, 0.009523809523809525]"
"αἷμα","αἷμα = blood           28
τὸ αἷμα = blood         7
αἷμα = the blood        2
αἷμα = The blood        1
αἷμα = from blood       1
τὸ αἷμα = the blood     1
αἷμα = the              1
Name: alignmentTxt, dtype: int64","[28, 7, 2, 1, 1, 1, 1]","count     7.000000
mean      5.857143
std      10.007140
min       1.000000
25%       1.000000
50%       1.000000
75%       4.500000
max      28.000000
Name: alignmentTxt, dtype: float64",41,"[0.6829268292682927, 0.17073170731707318, 0.04878048780487805, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025]"
"σῶμα","σῶμα = body         40
τὸ σῶμα = body      10
σῶμα = a             3
σῶμα = a body        2
μὲν σῶμα = body      1
τὸ σῶμα = his        1
σῶμα = the body      1
τὸ σῶμα = bodies     1
σῶμα = bodies        1
Name: alignmentTxt, dtype: int64","[40, 10, 3, 2, 1, 1, 1, 1, 1]","count     9.000000
mean      6.666667
std      12.835498
min       1.000000
25%       1.000000
50%       1.000000
75%       3.000000
max      40.000000
Name: alignmentTxt, dtype: float64",60,"[0.6666666666666666, 0.16666666666666666, 0.05, 0.03333333333333333, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666]"
