"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"476506","luk","10","3","6",",1457326,",",1237598,",0,"[{'id': 1457326, 'book_id': 'luk', 'chapter': '10', 'verse': '3', 'word_num': 5, 'word': 'ἄρνας', 'occurrence': 1, 'strong': 'G07040', 'lemma': 'ἀρήν', 'morph': 'Gr,N,,,,,AMP,'}]","ἄρνας",1,0,"[{'id': 1237598, 'book_id': 'luk', 'chapter': '10', 'verse': '3', 'word_num': 10, 'word': 'lambs', 'occurrence': 1}]","lambs",1,"ἄρνας = lambs",0.02857142857142857,1,0,0
"487933","jhn","1","29","11",",1468948,",",1253235,",0,"[{'id': 1468948, 'book_id': 'jhn', 'chapter': '1', 'verse': '29', 'word_num': 12, 'word': 'Ἀμνὸς', 'occurrence': 1, 'strong': 'G02860', 'lemma': 'ἀμνός', 'morph': 'Gr,N,,,,,NMS,'}]","Ἀμνὸς",1,0,"[{'id': 1253235, 'book_id': 'jhn', 'chapter': '1', 'verse': '29', 'word_num': 15, 'word': 'Lamb', 'occurrence': 1}]","Lamb",1,"Ἀμνὸς = Lamb",0.05714285714285714,2,0,0
"488048","jhn","1","36","7",",1469071,",",1253385,",0,"[{'id': 1469071, 'book_id': 'jhn', 'chapter': '1', 'verse': '36', 'word_num': 8, 'word': 'Ἀμνὸς', 'occurrence': 1, 'strong': 'G02860', 'lemma': 'ἀμνός', 'morph': 'Gr,N,,,,,NMS,'}]","Ἀμνὸς",1,0,"[{'id': 1253385, 'book_id': 'jhn', 'chapter': '1', 'verse': '36', 'word_num': 11, 'word': 'Lamb', 'occurrence': 1}]","Lamb",1,"Ἀμνὸς = Lamb",0.05714285714285714,2,0,0
"501726","jhn","21","15","27",",1483913,1483914,",",1272080,",1,"[{'id': 1483913, 'book_id': 'jhn', 'chapter': '21', 'verse': '15', 'word_num': 27, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1483914, 'book_id': 'jhn', 'chapter': '21', 'verse': '15', 'word_num': 28, 'word': 'ἀρνία', 'occurrence': 1, 'strong': 'G07210', 'lemma': 'ἀρνίον', 'morph': 'Gr,N,,,,,ANPD'}]","τὰ ἀρνία",2,0,"[{'id': 1272080, 'book_id': 'jhn', 'chapter': '21', 'verse': '15', 'word_num': 39, 'word': 'lambs', 'occurrence': 1}]","lambs",1,"τὰ ἀρνία = lambs",0.02857142857142857,1,0,0
"507021","act","8","32","17",",1489393,",",1279169,1279170,",0,"[{'id': 1489393, 'book_id': 'act', 'chapter': '8', 'verse': '32', 'word_num': 16, 'word': 'ἀμνὸς', 'occurrence': 1, 'strong': 'G02860', 'lemma': 'ἀμνός', 'morph': 'Gr,N,,,,,NMS,'}]","ἀμνὸς",1,1,"[{'id': 1279169, 'book_id': 'act', 'chapter': '8', 'verse': '32', 'word_num': 23, 'word': 'a', 'occurrence': 2}, {'id': 1279170, 'book_id': 'act', 'chapter': '8', 'verse': '32', 'word_num': 24, 'word': 'lamb', 'occurrence': 1}]","a lamb",2,"ἀμνὸς = a lamb",0.02857142857142857,1,0,0
"557629","1pe","1","19","5",",1541996,",",1352302,1352303,",0,"[{'id': 1541996, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 4, 'word': 'ἀμνοῦ', 'occurrence': 1, 'strong': 'G02860', 'lemma': 'ἀμνός', 'morph': 'Gr,N,,,,,GMS,'}]","ἀμνοῦ",1,1,"[{'id': 1352302, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 14, 'word': 'a', 'occurrence': 1}, {'id': 1352303, 'book_id': '1pe', 'chapter': '1', 'verse': '19', 'word_num': 15, 'word': 'lamb', 'occurrence': 1}]","a lamb",2,"ἀμνοῦ = a lamb",0.02857142857142857,1,0,0
"564501","rev","5","6","2",",1549554,",",1362472,1362473,",0,"[{'id': 1549554, 'book_id': 'rev', 'chapter': '5', 'verse': '6', 'word_num': 15, 'word': 'Ἀρνίον', 'occurrence': 1, 'strong': 'G07210', 'lemma': 'ἀρνίον', 'morph': 'Gr,N,,,,,NNSD'}]","Ἀρνίον",1,1,"[{'id': 1362472, 'book_id': 'rev', 'chapter': '5', 'verse': '6', 'word_num': 3, 'word': 'a', 'occurrence': 1}, {'id': 1362473, 'book_id': 'rev', 'chapter': '5', 'verse': '6', 'word_num': 4, 'word': 'Lamb', 'occurrence': 1}]","a Lamb",2,"Ἀρνίον = a Lamb",0.02857142857142857,1,0,0
"564559","rev","5","8","15",",1549604,",",1362557,",0,"[{'id': 1549604, 'book_id': 'rev', 'chapter': '5', 'verse': '8', 'word_num': 16, 'word': 'Ἀρνίου', 'occurrence': 1, 'strong': 'G07210', 'lemma': 'ἀρνίον', 'morph': 'Gr,N,,,,,GNSD'}]","Ἀρνίου",1,0,"[{'id': 1362557, 'book_id': 'rev', 'chapter': '5', 'verse': '8', 'word_num': 19, 'word': 'Lamb', 'occurrence': 1}]","Lamb",1,"Ἀρνίου = Lamb",0.42857142857142855,15,0,0
"564649","rev","5","12","7",",1549699,",",1362678,",0,"[{'id': 1549699, 'book_id': 'rev', 'chapter': '5', 'verse': '12', 'word_num': 6, 'word': 'Ἀρνίον', 'occurrence': 1, 'strong': 'G07210', 'lemma': 'ἀρνίον', 'morph': 'Gr,N,,,,,NNSD'}]","Ἀρνίον",1,0,"[{'id': 1362678, 'book_id': 'rev', 'chapter': '5', 'verse': '12', 'word_num': 9, 'word': 'Lamb', 'occurrence': 1}]","Lamb",1,"Ἀρνίον = Lamb",0.2,7,0,0
"564696","rev","5","13","31",",1549750,",",1362738,",0,"[{'id': 1549750, 'book_id': 'rev', 'chapter': '5', 'verse': '13', 'word_num': 33, 'word': 'Ἀρνίῳ', 'occurrence': 1, 'strong': 'G07210', 'lemma': 'ἀρνίον', 'morph': 'Gr,N,,,,,DNSD'}]","Ἀρνίῳ",1,0,"[{'id': 1362738, 'book_id': 'rev', 'chapter': '5', 'verse': '13', 'word_num': 40, 'word': 'Lamb', 'occurrence': 1}]","Lamb",1,"Ἀρνίῳ = Lamb",0.11428571428571428,4,0,0
