"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459277","mrk","3","4","10",",1439049,",",1213430,1213431,",0,"[{'id': 1439049, 'book_id': 'mrk', 'chapter': '3', 'verse': '4', 'word_num': 9, 'word': 'ψυχὴν', 'occurrence': 1, 'strong': 'G55900', 'lemma': 'ψυχή', 'morph': 'Gr,N,,,,,AFS,'}]","ψυχὴν",1,1,"[{'id': 1213430, 'book_id': 'mrk', 'chapter': '3', 'verse': '4', 'word_num': 22, 'word': 'a', 'occurrence': 1}, {'id': 1213431, 'book_id': 'mrk', 'chapter': '3', 'verse': '4', 'word_num': 23, 'word': 'life', 'occurrence': 1}]","a life",2,"ψυχὴν = a life",0.005208333333333333,2,0,0
"460752","mrk","5","23","16",",1440610,",",1215473,",0,"[{'id': 1440610, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 20, 'word': 'ζήσῃ', 'occurrence': 1, 'strong': 'G21980', 'lemma': 'ζάω', 'morph': 'Gr,V,SAA3,,S,'}]","ζήσῃ",1,0,"[{'id': 1215473, 'book_id': 'mrk', 'chapter': '5', 'verse': '23', 'word_num': 28, 'word': 'live', 'occurrence': 1}]","live",1,"ζήσῃ = live",0.0026041666666666665,1,0,0
"463062","mrk","8","35","4",",1443080,1443081,",",1218676,",1,"[{'id': 1443080, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 4, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1443081, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 5, 'word': 'ψυχὴν', 'occurrence': 1, 'strong': 'G55900', 'lemma': 'ψυχή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ψυχὴν",2,0,"[{'id': 1218676, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 6, 'word': 'soul', 'occurrence': 1}]","soul",1,"τὴν ψυχὴν = soul",0.010416666666666666,4,0,0
"463068","mrk","8","35","10",",1443090,1443091,",",1218684,",1,"[{'id': 1443090, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 14, 'word': 'τὴν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1443091, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 15, 'word': 'ψυχὴν', 'occurrence': 2, 'strong': 'G55900', 'lemma': 'ψυχή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ψυχὴν",2,0,"[{'id': 1218684, 'book_id': 'mrk', 'chapter': '8', 'verse': '35', 'word_num': 14, 'word': 'soul', 'occurrence': 2}]","soul",1,"τὴν ψυχὴν = soul",0.010416666666666666,4,0,0
"463088","mrk","8","36","11",",1443110,1443111,",",1218711,",1,"[{'id': 1443110, 'book_id': 'mrk', 'chapter': '8', 'verse': '36', 'word_num': 10, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1443111, 'book_id': 'mrk', 'chapter': '8', 'verse': '36', 'word_num': 11, 'word': 'ψυχὴν', 'occurrence': 1, 'strong': 'G55900', 'lemma': 'ψυχή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ψυχὴν",2,0,"[{'id': 1218711, 'book_id': 'mrk', 'chapter': '8', 'verse': '36', 'word_num': 16, 'word': 'soul', 'occurrence': 1}]","soul",1,"τὴν ψυχὴν = soul",0.010416666666666666,4,0,0
"463096","mrk","8","37","7",",1443118,1443119,",",1218722,",1,"[{'id': 1443118, 'book_id': 'mrk', 'chapter': '8', 'verse': '37', 'word_num': 5, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1443119, 'book_id': 'mrk', 'chapter': '8', 'verse': '37', 'word_num': 6, 'word': 'ψυχῆς', 'occurrence': 1, 'strong': 'G55900', 'lemma': 'ψυχή', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς ψυχῆς",2,0,"[{'id': 1218722, 'book_id': 'mrk', 'chapter': '8', 'verse': '37', 'word_num': 10, 'word': 'soul', 'occurrence': 1}]","soul",1,"τῆς ψυχῆς = soul",0.005208333333333333,2,0,0
"463822","mrk","9","43","14",",1443917,1443918,",",1219747,",1,"[{'id': 1443917, 'book_id': 'mrk', 'chapter': '9', 'verse': '43', 'word_num': 15, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1443918, 'book_id': 'mrk', 'chapter': '9', 'verse': '43', 'word_num': 16, 'word': 'ζωὴν', 'occurrence': 1, 'strong': 'G22220', 'lemma': 'ζωή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ζωὴν",2,0,"[{'id': 1219747, 'book_id': 'mrk', 'chapter': '9', 'verse': '43', 'word_num': 18, 'word': 'life', 'occurrence': 1}]","life",1,"τὴν ζωὴν = life",0.010416666666666666,4,0,0
"463850","mrk","9","45","15",",1443958,1443959,",",1219795,",1,"[{'id': 1443958, 'book_id': 'mrk', 'chapter': '9', 'verse': '45', 'word_num': 14, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1443959, 'book_id': 'mrk', 'chapter': '9', 'verse': '45', 'word_num': 15, 'word': 'ζωὴν', 'occurrence': 1, 'strong': 'G22220', 'lemma': 'ζωή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν ζωὴν",2,0,"[{'id': 1219795, 'book_id': 'mrk', 'chapter': '9', 'verse': '45', 'word_num': 19, 'word': 'life', 'occurrence': 1}]","life",1,"τὴν ζωὴν = life",0.010416666666666666,4,0,0
"464139","mrk","10","17","19",",1444273,",",1220228,",0,"[{'id': 1444273, 'book_id': 'mrk', 'chapter': '10', 'verse': '17', 'word_num': 17, 'word': 'ζωὴν', 'occurrence': 1, 'strong': 'G22220', 'lemma': 'ζωή', 'morph': 'Gr,N,,,,,AFS,'}]","ζωὴν",1,0,"[{'id': 1220228, 'book_id': 'mrk', 'chapter': '10', 'verse': '17', 'word_num': 30, 'word': 'life', 'occurrence': 1}]","life",1,"ζωὴν = life",0.1015625,39,0,0
"464367","mrk","10","30","28",",1444523,",",1220543,",0,"[{'id': 1444523, 'book_id': 'mrk', 'chapter': '10', 'verse': '30', 'word_num': 28, 'word': 'ζωὴν', 'occurrence': 1, 'strong': 'G22220', 'lemma': 'ζωή', 'morph': 'Gr,N,,,,,AFS,'}]","ζωὴν",1,0,"[{'id': 1220543, 'book_id': 'mrk', 'chapter': '10', 'verse': '30', 'word_num': 33, 'word': 'life', 'occurrence': 1}]","life",1,"ζωὴν = life",0.1015625,39,0,0
