"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"464184","mrk","10","21","3",",1444328,",",1220293,1220294,",0,"[{'id': 1444328, 'book_id': 'mrk', 'chapter': '10', 'verse': '21', 'word_num': 5, 'word': 'ἠγάπησεν', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,IAA3,,S,'}]","ἠγάπησεν",1,1,"[{'id': 1220293, 'book_id': 'mrk', 'chapter': '10', 'verse': '21', 'word_num': 5, 'word': 'and', 'occurrence': 1}, {'id': 1220294, 'book_id': 'mrk', 'chapter': '10', 'verse': '21', 'word_num': 6, 'word': 'loved', 'occurrence': 1}]","and loved",2,"ἠγάπησεν = and loved",0.0035587188612099642,1,0,0
"465722","mrk","12","30","0",",1445997,1445998,",",1222519,1222520,1222521,",1,"[{'id': 1445997, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1445998, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 1, 'word': 'ἀγαπήσεις', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,IFA2,,S,'}]","καὶ ἀγαπήσεις",2,2,"[{'id': 1222519, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 0, 'word': 'You', 'occurrence': 1}, {'id': 1222520, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 1, 'word': 'must', 'occurrence': 1}, {'id': 1222521, 'book_id': 'mrk', 'chapter': '12', 'verse': '30', 'word_num': 2, 'word': 'love', 'occurrence': 1}]","You must love",3,"καὶ ἀγαπήσεις = You must love",0.0035587188612099642,1,0,0
"465745","mrk","12","31","2",",1446028,",",1222548,1222549,1222550,",0,"[{'id': 1446028, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 2, 'word': 'ἀγαπήσεις', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,IFA2,,S,'}]","ἀγαπήσεις",1,2,"[{'id': 1222548, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 5, 'word': 'You', 'occurrence': 1}, {'id': 1222549, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 6, 'word': 'must', 'occurrence': 1}, {'id': 1222550, 'book_id': 'mrk', 'chapter': '12', 'verse': '31', 'word_num': 7, 'word': 'love', 'occurrence': 1}]","You must love",3,"ἀγαπήσεις = You must love",0.0035587188612099642,1,0,0
"465774","mrk","12","33","0",",1446059,1446060,1446061,",",1222585,1222586,",2,"[{'id': 1446059, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1446060, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 1, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NNS,'}, {'id': 1446061, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 2, 'word': 'ἀγαπᾶν', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,NPA,,,,,'}]","καὶ τὸ ἀγαπᾶν",3,1,"[{'id': 1222585, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 0, 'word': 'To', 'occurrence': 1}, {'id': 1222586, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 1, 'word': 'love', 'occurrence': 1}]","To love",2,"καὶ τὸ ἀγαπᾶν = To love",0.0035587188612099642,1,0,0
"465791","mrk","12","33","17",",1446078,1446079,",",1222603,1222604,",1,"[{'id': 1446078, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 19, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NNS,'}, {'id': 1446079, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 20, 'word': 'ἀγαπᾶν', 'occurrence': 2, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,NPA,,,,,'}]","τὸ ἀγαπᾶν",2,1,"[{'id': 1222603, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 18, 'word': 'to', 'occurrence': 1}, {'id': 1222604, 'book_id': 'mrk', 'chapter': '12', 'verse': '33', 'word_num': 19, 'word': 'love', 'occurrence': 2}]","to love",2,"τὸ ἀγαπᾶν = to love",0.0071174377224199285,2,0,0
"467244","mrk","14","44","8",",1447650,",",1224673,1224674,",0,"[{'id': 1447650, 'book_id': 'mrk', 'chapter': '14', 'verse': '44', 'word_num': 10, 'word': 'φιλήσω', 'occurrence': 1, 'strong': 'G53680', 'lemma': 'φιλέω', 'morph': 'Gr,V,SAA1,,S,'}]","φιλήσω",1,1,"[{'id': 1224673, 'book_id': 'mrk', 'chapter': '14', 'verse': '44', 'word_num': 10, 'word': 'I', 'occurrence': 1}, {'id': 1224674, 'book_id': 'mrk', 'chapter': '14', 'verse': '44', 'word_num': 11, 'word': 'kiss', 'occurrence': 1}]","I kiss",2,"φιλήσω = I kiss",0.0035587188612099642,1,0,0
"472912","luk","6","27","5",",1453698,",",1232731,",0,"[{'id': 1453698, 'book_id': 'luk', 'chapter': '6', 'verse': '27', 'word_num': 5, 'word': 'ἀγαπᾶτε', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,MPA2,,P,'}]","ἀγαπᾶτε",1,0,"[{'id': 1232731, 'book_id': 'luk', 'chapter': '6', 'verse': '27', 'word_num': 8, 'word': 'love', 'occurrence': 1}]","love",1,"ἀγαπᾶτε = love",0.017793594306049824,5,0,0
"472974","luk","6","32","2",",1453763,",",1232822,1232823,",0,"[{'id': 1453763, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 2, 'word': 'ἀγαπᾶτε', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,IPA2,,P,'}]","ἀγαπᾶτε",1,1,"[{'id': 1232822, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 2, 'word': 'you', 'occurrence': 1}, {'id': 1232823, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 3, 'word': 'love', 'occurrence': 1}]","you love",2,"ἀγαπᾶτε = you love",0.014234875444839857,4,0,0
"472976","luk","6","32","4",",1453765,",",1232826,",0,"[{'id': 1453765, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 4, 'word': 'ἀγαπῶντας', 'occurrence': 1, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,PPA,AMP,'}]","ἀγαπῶντας",1,0,"[{'id': 1232826, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 6, 'word': 'love', 'occurrence': 2}]","love",1,"ἀγαπῶντας = love",0.0071174377224199285,2,0,0
"472988","luk","6","32","16",",1453776,",",1232841,",0,"[{'id': 1453776, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 15, 'word': 'ἀγαπῶντας', 'occurrence': 2, 'strong': 'G00250', 'lemma': 'ἀγαπάω', 'morph': 'Gr,V,PPA,AMP,'}]","ἀγαπῶντας",1,0,"[{'id': 1232841, 'book_id': 'luk', 'chapter': '6', 'verse': '32', 'word_num': 21, 'word': 'love', 'occurrence': 4}]","love",1,"ἀγαπῶντας = love",0.0071174377224199285,2,0,0
