"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458260","mrk","1","13","16",",1437968,",",1211997,",0,"[{'id': 1437968, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 19, 'word': 'διηκόνουν', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,IIA3,,P,'}]","διηκόνουν",1,0,"[{'id': 1211997, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 20, 'word': 'served', 'occurrence': 1}]","served",1,"διηκόνουν = served",0.01818181818181818,2,0,0
"458522","mrk","1","31","14",",1438253,",",1212354,1212355,1212356,",0,"[{'id': 1438253, 'book_id': 'mrk', 'chapter': '1', 'verse': '31', 'word_num': 13, 'word': 'διηκόνει', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,IIA3,,S,'}]","διηκόνει",1,2,"[{'id': 1212354, 'book_id': 'mrk', 'chapter': '1', 'verse': '31', 'word_num': 18, 'word': 'she', 'occurrence': 1}, {'id': 1212355, 'book_id': 'mrk', 'chapter': '1', 'verse': '31', 'word_num': 19, 'word': 'started', 'occurrence': 1}, {'id': 1212356, 'book_id': 'mrk', 'chapter': '1', 'verse': '31', 'word_num': 20, 'word': 'serving', 'occurrence': 1}]","she started serving",3,"διηκόνει = she started serving",0.00909090909090909,1,0,0
"463680","mrk","9","35","18",",1443761,",",1219548,",0,"[{'id': 1443761, 'book_id': 'mrk', 'chapter': '9', 'verse': '35', 'word_num': 18, 'word': 'διάκονος', 'occurrence': 1, 'strong': 'G12490', 'lemma': 'διάκονος', 'morph': 'Gr,N,,,,,NMS,'}]","διάκονος",1,0,"[{'id': 1219548, 'book_id': 'mrk', 'chapter': '9', 'verse': '35', 'word_num': 26, 'word': 'servant', 'occurrence': 1}]","servant",1,"διάκονος = servant",0.03636363636363636,4,0,0
"464590","mrk","10","43","16",",1444764,",",1220891,",0,"[{'id': 1444764, 'book_id': 'mrk', 'chapter': '10', 'verse': '43', 'word_num': 16, 'word': 'διάκονος', 'occurrence': 1, 'strong': 'G12490', 'lemma': 'διάκονος', 'morph': 'Gr,N,,,,,NMS,'}]","διάκονος",1,0,"[{'id': 1220891, 'book_id': 'mrk', 'chapter': '10', 'verse': '43', 'word_num': 20, 'word': 'servant', 'occurrence': 1}]","servant",1,"διάκονος = servant",0.03636363636363636,4,0,0
"464608","mrk","10","45","7",",1444784,",",1220915,1220916,1220917,",0,"[{'id': 1444784, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 8, 'word': 'διακονηθῆναι', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,NAP,,,,,'}]","διακονηθῆναι",1,2,"[{'id': 1220915, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 9, 'word': 'to', 'occurrence': 1}, {'id': 1220916, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 10, 'word': 'be', 'occurrence': 1}, {'id': 1220917, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 11, 'word': 'served', 'occurrence': 1}]","to be served",3,"διακονηθῆναι = to be served",0.00909090909090909,1,0,0
"464610","mrk","10","45","9",",1444786,",",1220919,1220920,",0,"[{'id': 1444786, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 10, 'word': 'διακονῆσαι', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,NAA,,,,,'}]","διακονῆσαι",1,1,"[{'id': 1220919, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 13, 'word': 'to', 'occurrence': 2}, {'id': 1220920, 'book_id': 'mrk', 'chapter': '10', 'verse': '45', 'word_num': 14, 'word': 'serve', 'occurrence': 1}]","to serve",2,"διακονῆσαι = to serve",0.00909090909090909,1,0,0
"468182","mrk","15","41","8",",1448665,",",1226051,",0,"[{'id': 1448665, 'book_id': 'mrk', 'chapter': '15', 'verse': '41', 'word_num': 9, 'word': 'διηκόνουν', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,IIA3,,P,'}]","διηκόνουν",1,0,"[{'id': 1226051, 'book_id': 'mrk', 'chapter': '15', 'verse': '41', 'word_num': 9, 'word': 'served', 'occurrence': 1}]","served",1,"διηκόνουν = served",0.01818181818181818,2,0,0
"468796","luk","1","23","7",",1449463,",",1227205,1227206,",0,"[{'id': 1449463, 'book_id': 'luk', 'chapter': '1', 'verse': '23', 'word_num': 7, 'word': 'λειτουργίας', 'occurrence': 1, 'strong': 'G30090', 'lemma': 'λειτουργία', 'morph': 'Gr,N,,,,,GFS,'}]","λειτουργίας",1,1,"[{'id': 1227205, 'book_id': 'luk', 'chapter': '1', 'verse': '23', 'word_num': 10, 'word': 'priestly', 'occurrence': 1}, {'id': 1227206, 'book_id': 'luk', 'chapter': '1', 'verse': '23', 'word_num': 11, 'word': 'service', 'occurrence': 1}]","priestly service",2,"λειτουργίας = priestly service",0.00909090909090909,1,0,0
"471598","luk","4","39","13",",1452362,",",1230983,1230984,1230985,",0,"[{'id': 1452362, 'book_id': 'luk', 'chapter': '4', 'verse': '39', 'word_num': 13, 'word': 'διηκόνει', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,IIA3,,S,'}]","διηκόνει",1,2,"[{'id': 1230983, 'book_id': 'luk', 'chapter': '4', 'verse': '39', 'word_num': 17, 'word': 'and', 'occurrence': 3}, {'id': 1230984, 'book_id': 'luk', 'chapter': '4', 'verse': '39', 'word_num': 18, 'word': 'was', 'occurrence': 1}, {'id': 1230985, 'book_id': 'luk', 'chapter': '4', 'verse': '39', 'word_num': 19, 'word': 'serving', 'occurrence': 1}]","and was serving",3,"διηκόνει = and was serving",0.00909090909090909,1,0,0
"474296","luk","8","3","12",",1455091,",",1234672,1234673,",0,"[{'id': 1455091, 'book_id': 'luk', 'chapter': '8', 'verse': '3', 'word_num': 12, 'word': 'διηκόνουν', 'occurrence': 1, 'strong': 'G12470', 'lemma': 'διακονέω', 'morph': 'Gr,V,IIA3,,P,'}]","διηκόνουν",1,1,"[{'id': 1234672, 'book_id': 'luk', 'chapter': '8', 'verse': '3', 'word_num': 15, 'word': 'were', 'occurrence': 1}, {'id': 1234673, 'book_id': 'luk', 'chapter': '8', 'verse': '3', 'word_num': 16, 'word': 'serving', 'occurrence': 1}]","were serving",2,"διηκόνουν = were serving",0.00909090909090909,1,0,0
