"alignment_key","book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong"
9,"mat","1","2","0","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
191,"mat","1","17","5","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
3431,"mat","8","11","12","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
12081,"mat","22","32","4","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
24280,"mrk","12","26","24","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
27830,"luk","1","55","5","τῷ Ἀβραὰμ",2,0,"to Abraham",2,0,"τῷ Ἀβραὰμ = to Abraham",8.51063829787234,"Ἀβραὰμ","Ἀβραάμ","G00110"
28065,"luk","1","73","4","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
29446,"luk","3","34","2","τοῦ Ἀβραὰμ",2,0,"of Abraham",2,0,"τοῦ Ἀβραὰμ = of Abraham",8.51063829787234,"Ἀβραὰμ","Ἀβραάμ","G00110"
37936,"luk","13","16","4","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
38154,"luk","13","28","9","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
39896,"luk","16","23","10","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
42594,"luk","20","37","16","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
51784,"jhn","8","39","18","τοῦ Ἀβραὰμ",2,0,"of Abraham",2,0,"τοῦ Ἀβραὰμ = of Abraham",8.51063829787234,"Ἀβραὰμ","Ἀβραάμ","G00110"
51800,"jhn","8","40","15","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
52014,"jhn","8","52","9","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
52098,"jhn","8","56","2","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
52120,"jhn","8","57","12","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
52129,"jhn","8","58","8","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
61924,"act","3","13","2","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
63921,"act","7","2","15","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
64191,"act","7","16","10","Ἀβραὰμ",1,0,"Abraham",1,0,"Ἀβραὰμ = Abraham",57.446808510638306,"Ἀβραὰμ","Ἀβραάμ","G00110"
64447,"act","7","32","8","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
68719,"act","13","26","4","Ἀβραὰμ",1,0,"of Abraham",2,0,"Ἀβραὰμ = of Abraham",19.148936170212767,"Ἀβραὰμ","Ἀβραάμ","G00110"
