"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458581","mrk","1","35","13",",1438313,",",1212442,1212443,",0,"[{'id': 1438313, 'book_id': 'mrk', 'chapter': '1', 'verse': '35', 'word_num': 12, 'word': 'προσηύχετο', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,IIM3,,S,'}]","προσηύχετο",1,1,"[{'id': 1212442, 'book_id': 'mrk', 'chapter': '1', 'verse': '35', 'word_num': 22, 'word': 'he', 'occurrence': 2}, {'id': 1212443, 'book_id': 'mrk', 'chapter': '1', 'verse': '35', 'word_num': 23, 'word': 'prayed', 'occurrence': 1}]","he prayed",2,"προσηύχετο = he prayed",0.002932551319648094,0,0
"459605","mrk","3","27","12",",1439413,",",1213885,1213886,",0,"[{'id': 1439413, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 19, 'word': 'δήσῃ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,SAA3,,S,'}]","δήσῃ",1,1,"[{'id': 1213885, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 17, 'word': 'tying', 'occurrence': 1}, {'id': 1213886, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 18, 'word': 'up', 'occurrence': 1}]","tying up",2,"δήσῃ = tying up",0.002932551319648094,0,0
"459870","mrk","4","10","9",",1439701,",",1214234,",0,"[{'id': 1439701, 'book_id': 'mrk', 'chapter': '4', 'verse': '10', 'word_num': 5, 'word': 'ἠρώτων', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,P,'}]","ἠρώτων",1,0,"[{'id': 1214234, 'book_id': 'mrk', 'chapter': '4', 'verse': '10', 'word_num': 13, 'word': 'asked', 'occurrence': 1}]","asked",1,"ἠρώτων = asked",0.008797653958944282,0,0
"460426","mrk","5","3","7",",1440270,",",1215000,",0,"[{'id': 1440270, 'book_id': 'mrk', 'chapter': '5', 'verse': '3', 'word_num': 14, 'word': 'δῆσαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NAA,,,,,'}]","δῆσαι",1,0,"[{'id': 1215000, 'book_id': 'mrk', 'chapter': '5', 'verse': '3', 'word_num': 9, 'word': 'restrain', 'occurrence': 1}]","restrain",1,"δῆσαι = restrain",0.002932551319648094,0,0
"460433","mrk","5","4","2",",1440278,",",1215010,",0,"[{'id': 1440278, 'book_id': 'mrk', 'chapter': '5', 'verse': '4', 'word_num': 7, 'word': 'δεδέσθαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NEP,,,,,'}]","δεδέσθαι",1,0,"[{'id': 1215010, 'book_id': 'mrk', 'chapter': '5', 'verse': '4', 'word_num': 2, 'word': 'had', 'occurrence': 1}]","had",1,"δεδέσθαι = had",0.002932551319648094,0,0
"461315","mrk","6","17","7",",1441224,",",1216254,1216255,",0,"[{'id': 1441224, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 9, 'word': 'ἔδησεν', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδησεν",1,1,"[{'id': 1216254, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1216255, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 10, 'word': 'had', 'occurrence': 1}]","he had",2,"ἔδησεν = he had",0.002932551319648094,0,0
"461792","mrk","6","46","7",",1441728,",",1216920,1216921,",0,"[{'id': 1441728, 'book_id': 'mrk', 'chapter': '6', 'verse': '46', 'word_num': 7, 'word': 'προσεύξασθαι', 'occurrence': 1, 'strong': 'G43360', 'lemma': 'προσεύχομαι', 'morph': 'Gr,V,NAM,,,,,'}]","προσεύξασθαι",1,1,"[{'id': 1216920, 'book_id': 'mrk', 'chapter': '6', 'verse': '46', 'word_num': 9, 'word': 'to', 'occurrence': 2}, {'id': 1216921, 'book_id': 'mrk', 'chapter': '6', 'verse': '46', 'word_num': 10, 'word': 'pray', 'occurrence': 1}]","to pray",2,"προσεύξασθαι = to pray",0.01466275659824047,0,0
"462349","mrk","7","26","8",",1442324,1442325,",",1217672,1217673,",1,"[{'id': 1442324, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 8, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1442325, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 9, 'word': 'ἠρώτα', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,S,'}]","καὶ ἠρώτα",2,1,"[{'id': 1217672, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 10, 'word': 'She', 'occurrence': 1}, {'id': 1217673, 'book_id': 'mrk', 'chapter': '7', 'verse': '26', 'word_num': 11, 'word': 'begged', 'occurrence': 1}]","She begged",2,"καὶ ἠρώτα = She begged",0.002932551319648094,0,0
"462599","mrk","8","5","1",",1442590,",",1218014,1218015,",0,"[{'id': 1442590, 'book_id': 'mrk', 'chapter': '8', 'verse': '5', 'word_num': 1, 'word': 'ἠρώτα', 'occurrence': 1, 'strong': 'G20650', 'lemma': 'ἐρωτάω', 'morph': 'Gr,V,IIA3,,S,'}]","ἠρώτα",1,1,"[{'id': 1218014, 'book_id': 'mrk', 'chapter': '8', 'verse': '5', 'word_num': 1, 'word': 'he', 'occurrence': 1}, {'id': 1218015, 'book_id': 'mrk', 'chapter': '8', 'verse': '5', 'word_num': 2, 'word': 'asked', 'occurrence': 1}]","he asked",2,"ἠρώτα = he asked",0.002932551319648094,0,0
"462978","mrk","8","31","8",",1442986,",",1218562,",0,"[{'id': 1442986, 'book_id': 'mrk', 'chapter': '8', 'verse': '31', 'word_num': 5, 'word': 'δεῖ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IPA3,,S,'}]","δεῖ",1,0,"[{'id': 1218562, 'book_id': 'mrk', 'chapter': '8', 'verse': '31', 'word_num': 11, 'word': 'must', 'occurrence': 1}]","must",1,"δεῖ = must",0.1348973607038123,0,0
