"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"466725","mrk","14","11","5",",1447084,",",1223931,",0,"[{'id': 1447084, 'book_id': 'mrk', 'chapter': '14', 'verse': '11', 'word_num': 5, 'word': 'ἐπηγγείλαντο', 'occurrence': 1, 'strong': 'G18610', 'lemma': 'ἐπαγγέλλω', 'morph': 'Gr,V,IAM3,,P,'}]","ἐπηγγείλαντο",1,0,"[{'id': 1223931, 'book_id': 'mrk', 'chapter': '14', 'verse': '11', 'word_num': 10, 'word': 'promised', 'occurrence': 1}]","promised",1,"ἐπηγγείλαντο = promised",0.010752688172043012,0,0
"478299","luk","12","8","5",",1459170,1459171,",",1240049,",1,"[{'id': 1459170, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 5, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1459171, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 6, 'word': 'ὁμολογήσῃ', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,SAA3,,S,'}]","ἂν ὁμολογήσῃ",2,0,"[{'id': 1240049, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 7, 'word': 'confesses', 'occurrence': 1}]","confesses",1,"ἂν ὁμολογήσῃ = confesses",0.010752688172043012,0,0
"478307","luk","12","8","13",",1459182,",",1240057,",0,"[{'id': 1459182, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 17, 'word': 'ὁμολογήσει', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IFA3,,S,'}]","ὁμολογήσει",1,0,"[{'id': 1240057, 'book_id': 'luk', 'chapter': '12', 'verse': '8', 'word_num': 15, 'word': 'will', 'occurrence': 1}]","will",1,"ὁμολογήσει = will",0.010752688172043012,0,0
"487474","luk","24","49","6",",1468463,",",1252628,",0,"[{'id': 1468463, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 4, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1252628, 'book_id': 'luk', 'chapter': '24', 'verse': '49', 'word_num': 7, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.12903225806451613,0,0
"487795","jhn","1","20","0",",1468803,1468804,",",1253044,1253045,",1,"[{'id': 1468803, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 0, 'word': 'καὶ', 'occurrence': 1, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1468804, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 1, 'word': 'ὡμολόγησεν', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IAA3,,S,'}]","καὶ ὡμολόγησεν",2,1,"[{'id': 1253044, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 0, 'word': 'He', 'occurrence': 1}, {'id': 1253045, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 1, 'word': 'confessed', 'occurrence': 1}]","He confessed",2,"καὶ ὡμολόγησεν = He confessed",0.010752688172043012,0,0
"487801","jhn","1","20","6",",1468809,",",1253052,",0,"[{'id': 1468809, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 6, 'word': 'ὡμολόγησεν', 'occurrence': 2, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IAA3,,S,'}]","ὡμολόγησεν",1,0,"[{'id': 1253052, 'book_id': 'jhn', 'chapter': '1', 'verse': '20', 'word_num': 8, 'word': 'confessed', 'occurrence': 2}]","confessed",1,"ὡμολόγησεν = confessed",0.010752688172043012,0,0
"494057","jhn","9","22","17",",1475743,",",1261566,1261567,",0,"[{'id': 1475743, 'book_id': 'jhn', 'chapter': '9', 'verse': '22', 'word_num': 18, 'word': 'ὁμολογήσῃ', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,SAA3,,S,'}]","ὁμολογήσῃ",1,1,"[{'id': 1261566, 'book_id': 'jhn', 'chapter': '9', 'verse': '22', 'word_num': 21, 'word': 'would', 'occurrence': 1}, {'id': 1261567, 'book_id': 'jhn', 'chapter': '9', 'verse': '22', 'word_num': 22, 'word': 'confess', 'occurrence': 1}]","would confess",2,"ὁμολογήσῃ = would confess",0.010752688172043012,0,0
"496557","jhn","12","42","14",",1478426,",",1264950,",0,"[{'id': 1478426, 'book_id': 'jhn', 'chapter': '12', 'verse': '42', 'word_num': 15, 'word': 'ὡμολόγουν', 'occurrence': 1, 'strong': 'G36700', 'lemma': 'ὁμολογέω', 'morph': 'Gr,V,IIA3,,P,'}]","ὡμολόγουν",1,0,"[{'id': 1264950, 'book_id': 'jhn', 'chapter': '12', 'verse': '42', 'word_num': 15, 'word': 'they', 'occurrence': 1}]","they",1,"ὡμολόγουν = they",0.010752688172043012,0,0
"502012","act","1","4","9",",1484220,",",1272510,",0,"[{'id': 1484220, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 11, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1272510, 'book_id': 'act', 'chapter': '1', 'verse': '4', 'word_num': 19, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.12903225806451613,0,0
"502975","act","2","33","10",",1485232,",",1273791,",0,"[{'id': 1485232, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 8, 'word': 'ἐπαγγελίαν', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,AFS,'}]","ἐπαγγελίαν",1,0,"[{'id': 1273791, 'book_id': 'act', 'chapter': '2', 'verse': '33', 'word_num': 14, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελίαν = promise",0.12903225806451613,0,0
"503087","act","2","39","2",",1485348,",",1273929,",0,"[{'id': 1485348, 'book_id': 'act', 'chapter': '2', 'verse': '39', 'word_num': 4, 'word': 'ἐπαγγελία', 'occurrence': 1, 'strong': 'G18600', 'lemma': 'ἐπαγγελία', 'morph': 'Gr,N,,,,,NFS,'}]","ἐπαγγελία",1,0,"[{'id': 1273929, 'book_id': 'act', 'chapter': '2', 'verse': '39', 'word_num': 2, 'word': 'promise', 'occurrence': 1}]","promise",1,"ἐπαγγελία = promise",0.053763440860215055,0,0
"505494","act","7","5","12",",1487827,",",1277115,1277116,",0,"[{'id': 1487827, 'book_id': 'act', 'chapter': '7', 'verse': '5', 'word_num': 11, 'word': 'ἐπηγγείλατο', 'occurrence': 1, 'strong': 'G18610', 'lemma': 'ἐπαγγέλλω', 'morph': 'Gr,V,IAM3,,S,'}]","ἐπηγγείλατο",1,1,"[{'id': 1277115, 'book_id': 'act', 'chapter': '7', 'verse': '5', 'word_num': 18, 'word': 'he', 'occurrence': 2}, {'id': 1277116, 'book_id': 'act', 'chapter': '7', 'verse': '5', 'word_num': 19, 'word': 'promised', 'occurrence': 1}]","he promised",2,"ἐπηγγείλατο = he promised",0.021505376344086023,0,0
