"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"484174","luk","20","42","6",",1465122,",",1248200,1248201,",0,"[{'id': 1465122, 'book_id': 'luk', 'chapter': '20', 'verse': '42', 'word_num': 6, 'word': 'Ψαλμῶν', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,GMP,'}]","Ψαλμῶν",1,1,"[{'id': 1248200, 'book_id': 'luk', 'chapter': '20', 'verse': '42', 'word_num': 7, 'word': 'of', 'occurrence': 1}, {'id': 1248201, 'book_id': 'luk', 'chapter': '20', 'verse': '42', 'word_num': 8, 'word': 'Psalms', 'occurrence': 1}]","of Psalms",2,"Ψαλμῶν = of Psalms",0.16666666666666666,2,0,0
"487423","luk","24","44","29",",1468411,",",1252559,1252560,",0,"[{'id': 1468411, 'book_id': 'luk', 'chapter': '24', 'verse': '44', 'word_num': 30, 'word': 'ψαλμοῖς', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,DMP,'}]","ψαλμοῖς",1,1,"[{'id': 1252559, 'book_id': 'luk', 'chapter': '24', 'verse': '44', 'word_num': 36, 'word': 'the', 'occurrence': 3}, {'id': 1252560, 'book_id': 'luk', 'chapter': '24', 'verse': '44', 'word_num': 37, 'word': 'Psalms', 'occurrence': 1}]","the Psalms",2,"ψαλμοῖς = the Psalms",0.08333333333333333,1,0,0
"502316","act","1","20","4",",1484542,",",1272919,1272920,",0,"[{'id': 1484542, 'book_id': 'act', 'chapter': '1', 'verse': '20', 'word_num': 4, 'word': 'Ψαλμῶν', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,GMP,'}]","Ψαλμῶν",1,1,"[{'id': 1272919, 'book_id': 'act', 'chapter': '1', 'verse': '20', 'word_num': 7, 'word': 'of', 'occurrence': 1}, {'id': 1272920, 'book_id': 'act', 'chapter': '1', 'verse': '20', 'word_num': 8, 'word': 'Psalms', 'occurrence': 1}]","of Psalms",2,"Ψαλμῶν = of Psalms",0.16666666666666666,2,0,0
"510348","act","13","33","16",",1492805,",",1283655,",0,"[{'id': 1492805, 'book_id': 'act', 'chapter': '13', 'verse': '33', 'word_num': 14, 'word': 'ψαλμῷ', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,DMS,'}]","ψαλμῷ",1,0,"[{'id': 1283655, 'book_id': 'act', 'chapter': '13', 'verse': '33', 'word_num': 21, 'word': 'Psalm', 'occurrence': 1}]","Psalm",1,"ψαλμῷ = Psalm",0.08333333333333333,1,0,0
"525647","rom","15","9","15",",1508913,",",1305725,1305726,",0,"[{'id': 1508913, 'book_id': 'rom', 'chapter': '15', 'verse': '9', 'word_num': 20, 'word': 'ψαλῶ', 'occurrence': 1, 'strong': 'G55670', 'lemma': 'ψάλλω', 'morph': 'Gr,V,IFA1,,S,'}]","ψαλῶ",1,1,"[{'id': 1305725, 'book_id': 'rom', 'chapter': '15', 'verse': '9', 'word_num': 25, 'word': 'sing', 'occurrence': 1}, {'id': 1305726, 'book_id': 'rom', 'chapter': '15', 'verse': '9', 'word_num': 26, 'word': 'praise', 'occurrence': 2}]","sing praise",2,"ψαλῶ = sing praise",0.08333333333333333,1,0,0
"531532","1co","14","15","12",",1515022,",",1314419,1314420,1314421,",0,"[{'id': 1515022, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 11, 'word': 'ψαλῶ', 'occurrence': 1, 'strong': 'G55670', 'lemma': 'ψάλλω', 'morph': 'Gr,V,IFA1,,S,'}]","ψαλῶ",1,2,"[{'id': 1314419, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 19, 'word': 'I', 'occurrence': 4}, {'id': 1314420, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 20, 'word': 'will', 'occurrence': 3}, {'id': 1314421, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 21, 'word': 'sing', 'occurrence': 1}]","I will sing",3,"ψαλῶ = I will sing",0.08333333333333333,1,0,0
"531536","1co","14","15","16",",1515025,",",1314426,1314427,",0,"[{'id': 1515025, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 14, 'word': 'ψαλῶ', 'occurrence': 2, 'strong': 'G55670', 'lemma': 'ψάλλω', 'morph': 'Gr,V,IFA1,,S,'}]","ψαλῶ",1,1,"[{'id': 1314426, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 26, 'word': 'I', 'occurrence': 5}, {'id': 1314427, 'book_id': '1co', 'chapter': '14', 'verse': '15', 'word_num': 27, 'word': 'will', 'occurrence': 4}]","I will",2,"ψαλῶ = I will",0.08333333333333333,1,0,0
"531723","1co","14","26","8",",1515216,",",1314695,1314696,",0,"[{'id': 1515216, 'book_id': '1co', 'chapter': '14', 'verse': '26', 'word_num': 7, 'word': 'ψαλμὸν', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,AMS,'}]","ψαλμὸν",1,1,"[{'id': 1314695, 'book_id': '1co', 'chapter': '14', 'verse': '26', 'word_num': 13, 'word': 'a', 'occurrence': 1}, {'id': 1314696, 'book_id': '1co', 'chapter': '14', 'verse': '26', 'word_num': 14, 'word': 'psalm', 'occurrence': 1}]","a psalm",2,"ψαλμὸν = a psalm",0.08333333333333333,1,0,0
"541329","eph","5","19","3",",1525067,",",1328580,",0,"[{'id': 1525067, 'book_id': 'eph', 'chapter': '5', 'verse': '19', 'word_num': 3, 'word': 'ψαλμοῖς', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,DMP,'}]","ψαλμοῖς",1,0,"[{'id': 1328580, 'book_id': 'eph', 'chapter': '5', 'verse': '19', 'word_num': 5, 'word': 'psalms', 'occurrence': 1}]","psalms",1,"ψαλμοῖς = psalms",0.08333333333333333,1,0,0
"541337","eph","5","19","11",",1525075,",",1328588,1328589,",0,"[{'id': 1525075, 'book_id': 'eph', 'chapter': '5', 'verse': '19', 'word_num': 11, 'word': 'ψάλλοντες', 'occurrence': 1, 'strong': 'G55670', 'lemma': 'ψάλλω', 'morph': 'Gr,V,PPA,NMP,'}]","ψάλλοντες",1,1,"[{'id': 1328588, 'book_id': 'eph', 'chapter': '5', 'verse': '19', 'word_num': 13, 'word': 'singing', 'occurrence': 2}, {'id': 1328589, 'book_id': 'eph', 'chapter': '5', 'verse': '19', 'word_num': 14, 'word': 'psalms', 'occurrence': 2}]","singing psalms",2,"ψάλλοντες = singing psalms",0.08333333333333333,1,0,0
"544568","col","3","16","15",",1528470,",",1333264,1333265,",0,"[{'id': 1528470, 'book_id': 'col', 'chapter': '3', 'verse': '16', 'word_num': 15, 'word': 'ψαλμοῖς', 'occurrence': 1, 'strong': 'G55680', 'lemma': 'ψαλμός', 'morph': 'Gr,N,,,,,DMP,'}]","ψαλμοῖς",1,1,"[{'id': 1333264, 'book_id': 'col', 'chapter': '3', 'verse': '16', 'word_num': 17, 'word': 'with', 'occurrence': 1}, {'id': 1333265, 'book_id': 'col', 'chapter': '3', 'verse': '16', 'word_num': 18, 'word': 'psalms', 'occurrence': 1}]","with psalms",2,"ψαλμοῖς = with psalms",0.08333333333333333,1,0,0
"557200","jas","5","13","7",",1541574,",",1351631,1351632,1351633,1351634,",0,"[{'id': 1541574, 'book_id': 'jas', 'chapter': '5', 'verse': '13', 'word_num': 7, 'word': 'ψαλλέτω', 'occurrence': 1, 'strong': 'G55670', 'lemma': 'ψάλλω', 'morph': 'Gr,V,MPA3,,S,'}]","ψαλλέτω",1,3,"[{'id': 1351631, 'book_id': 'jas', 'chapter': '5', 'verse': '13', 'word_num': 12, 'word': 'Let', 'occurrence': 2}, {'id': 1351632, 'book_id': 'jas', 'chapter': '5', 'verse': '13', 'word_num': 13, 'word': 'him', 'occurrence': 2}, {'id': 1351633, 'book_id': 'jas', 'chapter': '5', 'verse': '13', 'word_num': 14, 'word': 'sing', 'occurrence': 1}, {'id': 1351634, 'book_id': 'jas', 'chapter': '5', 'verse': '13', 'word_num': 15, 'word': 'praise', 'occurrence': 1}]","Let him sing praise",4,"ψαλλέτω = Let him sing praise",0.08333333333333333,1,0,0
