"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"521674","rom","5","10","4",",1504596,",",1299594,1299595,1299596,",0,"[{'id': 1504596, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 4, 'word': 'κατηλλάγημεν', 'occurrence': 1, 'strong': 'G26440', 'lemma': 'καταλλάσσω', 'morph': 'Gr,V,IAP1,,P,'}]","κατηλλάγημεν",1,2,"[{'id': 1299594, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 6, 'word': 'we', 'occurrence': 2}, {'id': 1299595, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 7, 'word': 'were', 'occurrence': 2}, {'id': 1299596, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 8, 'word': 'reconciled', 'occurrence': 1}]","we were reconciled",3,"κατηλλάγημεν = we were reconciled",0.07692307692307693,0,0
"521684","rom","5","10","14",",1504607,",",1299607,1299608,1299609,1299610,",0,"[{'id': 1504607, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 15, 'word': 'καταλλαγέντες', 'occurrence': 1, 'strong': 'G26440', 'lemma': 'καταλλάσσω', 'morph': 'Gr,V,PAP,NMP,'}]","καταλλαγέντες",1,3,"[{'id': 1299607, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 19, 'word': 'after', 'occurrence': 1}, {'id': 1299608, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 20, 'word': 'having', 'occurrence': 1}, {'id': 1299609, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 21, 'word': 'been', 'occurrence': 1}, {'id': 1299610, 'book_id': 'rom', 'chapter': '5', 'verse': '10', 'word_num': 22, 'word': 'reconciled', 'occurrence': 2}]","after having been reconciled",4,"καταλλαγέντες = after having been reconciled",0.07692307692307693,0,0
"521708","rom","5","11","19",",1504632,",",1299639,",0,"[{'id': 1504632, 'book_id': 'rom', 'chapter': '5', 'verse': '11', 'word_num': 19, 'word': 'καταλλαγὴν', 'occurrence': 1, 'strong': 'G26430', 'lemma': 'καταλλαγή', 'morph': 'Gr,N,,,,,AFS,'}]","καταλλαγὴν",1,0,"[{'id': 1299639, 'book_id': 'rom', 'chapter': '5', 'verse': '11', 'word_num': 21, 'word': 'reconciliation', 'occurrence': 1}]","reconciliation",1,"καταλλαγὴν = reconciliation",0.07692307692307693,0,0
"524348","rom","11","15","4",",1507479,",",1303672,1303673,1303674,",0,"[{'id': 1507479, 'book_id': 'rom', 'chapter': '11', 'verse': '15', 'word_num': 5, 'word': 'καταλλαγὴ', 'occurrence': 1, 'strong': 'G26430', 'lemma': 'καταλλαγή', 'morph': 'Gr,N,,,,,NFS,'}]","καταλλαγὴ",1,2,"[{'id': 1303672, 'book_id': 'rom', 'chapter': '11', 'verse': '15', 'word_num': 4, 'word': 'means', 'occurrence': 1}, {'id': 1303673, 'book_id': 'rom', 'chapter': '11', 'verse': '15', 'word_num': 5, 'word': 'the', 'occurrence': 1}, {'id': 1303674, 'book_id': 'rom', 'chapter': '11', 'verse': '15', 'word_num': 6, 'word': 'reconciliation', 'occurrence': 1}]","means the reconciliation",3,"καταλλαγὴ = means the reconciliation",0.07692307692307693,0,0
"528525","1co","7","11","7",",1511939,",",1309904,1309905,",0,"[{'id': 1511939, 'book_id': '1co', 'chapter': '7', 'verse': '11', 'word_num': 9, 'word': 'καταλλαγήτω', 'occurrence': 1, 'strong': 'G26440', 'lemma': 'καταλλάσσω', 'morph': 'Gr,V,MAP3,,S,'}]","καταλλαγήτω",1,1,"[{'id': 1309904, 'book_id': '1co', 'chapter': '7', 'verse': '11', 'word_num': 11, 'word': 'be', 'occurrence': 1}, {'id': 1309905, 'book_id': '1co', 'chapter': '7', 'verse': '11', 'word_num': 12, 'word': 'reconciled', 'occurrence': 1}]","be reconciled",2,"καταλλαγήτω = be reconciled",0.07692307692307693,0,0
"534636","2co","5","18","5",",1518226,1518227,",",1318881,1318882,1318883,1318884,",1,"[{'id': 1518226, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 6, 'word': 'τοῦ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,GMS,'}, {'id': 1518227, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 7, 'word': 'καταλλάξαντος', 'occurrence': 1, 'strong': 'G26440', 'lemma': 'καταλλάσσω', 'morph': 'Gr,V,PAA,GMS,'}]","τοῦ καταλλάξαντος",2,3,"[{'id': 1318881, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 7, 'word': 'the', 'occurrence': 1}, {'id': 1318882, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 8, 'word': 'one', 'occurrence': 1}, {'id': 1318883, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 9, 'word': 'who', 'occurrence': 1}, {'id': 1318884, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 10, 'word': 'reconciled', 'occurrence': 1}]","the one who reconciled",4,"τοῦ καταλλάξαντος = the one who reconciled",0.07692307692307693,0,0
"534646","2co","5","18","15",",1518237,1518238,",",1318896,1318897,",1,"[{'id': 1518237, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 17, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1518238, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 18, 'word': 'καταλλαγῆς', 'occurrence': 1, 'strong': 'G26430', 'lemma': 'καταλλαγή', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς καταλλαγῆς",2,1,"[{'id': 1318896, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 22, 'word': 'of', 'occurrence': 1}, {'id': 1318897, 'book_id': '2co', 'chapter': '5', 'verse': '18', 'word_num': 23, 'word': 'reconciliation', 'occurrence': 1}]","of reconciliation",2,"τῆς καταλλαγῆς = of reconciliation",0.15384615384615385,0,0
"534653","2co","5","19","6",",1518246,",",1318904,",0,"[{'id': 1518246, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 7, 'word': 'καταλλάσσων', 'occurrence': 1, 'strong': 'G26440', 'lemma': 'καταλλάσσω', 'morph': 'Gr,V,PPA,NMS,'}]","καταλλάσσων",1,0,"[{'id': 1318904, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 6, 'word': 'reconciling', 'occurrence': 1}]","reconciling",1,"καταλλάσσων = reconciling",0.07692307692307693,0,0
"534667","2co","5","19","20",",1518260,1518261,",",1318921,1318922,",1,"[{'id': 1518260, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 21, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1518261, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 22, 'word': 'καταλλαγῆς', 'occurrence': 1, 'strong': 'G26430', 'lemma': 'καταλλαγή', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς καταλλαγῆς",2,1,"[{'id': 1318921, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 23, 'word': 'of', 'occurrence': 1}, {'id': 1318922, 'book_id': '2co', 'chapter': '5', 'verse': '19', 'word_num': 24, 'word': 'reconciliation', 'occurrence': 1}]","of reconciliation",2,"τῆς καταλλαγῆς = of reconciliation",0.15384615384615385,0,0
"534680","2co","5","20","12",",1518275,",",1318946,1318947,",0,"[{'id': 1518275, 'book_id': '2co', 'chapter': '5', 'verse': '20', 'word_num': 13, 'word': 'καταλλάγητε', 'occurrence': 1, 'strong': 'G26440', 'lemma': 'καταλλάσσω', 'morph': 'Gr,V,MAP2,,P,'}]","καταλλάγητε",1,1,"[{'id': 1318946, 'book_id': '2co', 'chapter': '5', 'verse': '20', 'word_num': 23, 'word': 'Be', 'occurrence': 1}, {'id': 1318947, 'book_id': '2co', 'chapter': '5', 'verse': '20', 'word_num': 24, 'word': 'reconciled', 'occurrence': 1}]","Be reconciled",2,"καταλλάγητε = Be reconciled",0.07692307692307693,0,0
