"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"459419","mrk","3","12","10",",1439198,",",1213623,",0,"[{'id': 1439198, 'book_id': 'mrk', 'chapter': '3', 'verse': '12', 'word_num': 7, 'word': 'φανερὸν', 'occurrence': 1, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NS,,,,AMS,'}]","φανερὸν",1,0,"[{'id': 1213623, 'book_id': 'mrk', 'chapter': '3', 'verse': '12', 'word_num': 12, 'word': 'known', 'occurrence': 1}]","known",1,"φανερὸν = known",0.016129032258064516,0,0
"460076","mrk","4","22","6",",1439923,",",1214519,1214520,1214521,1214522,",0,"[{'id': 1439923, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 7, 'word': 'φανερωθῇ', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,SAP3,,S,'}]","φανερωθῇ",1,3,"[{'id': 1214519, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 7, 'word': 'it', 'occurrence': 1}, {'id': 1214520, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 8, 'word': 'will', 'occurrence': 1}, {'id': 1214521, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 9, 'word': 'be', 'occurrence': 1}, {'id': 1214522, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 10, 'word': 'revealed', 'occurrence': 1}]","it will be revealed",4,"φανερωθῇ = it will be revealed",0.008064516129032258,0,0
"460084","mrk","4","22","14",",1439931,",",1214536,",0,"[{'id': 1439931, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 15, 'word': 'φανερόν', 'occurrence': 1, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NS,,,,ANS,'}]","φανερόν",1,0,"[{'id': 1214536, 'book_id': 'mrk', 'chapter': '4', 'verse': '22', 'word_num': 24, 'word': 'light', 'occurrence': 1}]","light",1,"φανερόν = light",0.008064516129032258,0,0
"461270","mrk","6","14","8",",1441165,",",1216186,1216187,",0,"[{'id': 1441165, 'book_id': 'mrk', 'chapter': '6', 'verse': '14', 'word_num': 5, 'word': 'φανερὸν', 'occurrence': 1, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NP,,,,NNS,'}]","φανερὸν",1,1,"[{'id': 1216186, 'book_id': 'mrk', 'chapter': '6', 'verse': '14', 'word_num': 10, 'word': 'well', 'occurrence': 1}, {'id': 1216187, 'book_id': 'mrk', 'chapter': '6', 'verse': '14', 'word_num': 11, 'word': 'known', 'occurrence': 1}]","well known",2,"φανερὸν = well known",0.008064516129032258,0,0
"469954","luk","2","26","2",",1450685,",",1228825,",0,"[{'id': 1450685, 'book_id': 'luk', 'chapter': '2', 'verse': '26', 'word_num': 3, 'word': 'κεχρηματισμένον', 'occurrence': 1, 'strong': 'G55370', 'lemma': 'χρηματίζω', 'morph': 'Gr,V,PEP,NNS,'}]","κεχρηματισμένον",1,0,"[{'id': 1228825, 'book_id': 'luk', 'chapter': '2', 'verse': '26', 'word_num': 4, 'word': 'revealed', 'occurrence': 1}]","revealed",1,"κεχρηματισμένον = revealed",0.008064516129032258,0,0
"470033","luk","2","32","2",",1450769,",",1228923,",0,"[{'id': 1450769, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 2, 'word': 'ἀποκάλυψιν', 'occurrence': 1, 'strong': 'G06020', 'lemma': 'ἀποκάλυψις', 'morph': 'Gr,N,,,,,AFS,'}]","ἀποκάλυψιν",1,0,"[{'id': 1228923, 'book_id': 'luk', 'chapter': '2', 'verse': '32', 'word_num': 3, 'word': 'revelation', 'occurrence': 1}]","revelation",1,"ἀποκάλυψιν = revelation",0.016129032258064516,0,0
"470090","luk","2","35","13",",1450825,1450826,",",1228995,1228996,1228997,",1,"[{'id': 1450825, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 9, 'word': 'ἂν', 'occurrence': 1, 'strong': 'G03020', 'lemma': 'ἄν', 'morph': 'Gr,T,,,,,,,,,'}, {'id': 1450826, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 10, 'word': 'ἀποκαλυφθῶσιν', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,SAP3,,P,'}]","ἂν ἀποκαλυφθῶσιν",2,2,"[{'id': 1228995, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 16, 'word': 'may', 'occurrence': 1}, {'id': 1228996, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 17, 'word': 'be', 'occurrence': 1}, {'id': 1228997, 'book_id': 'luk', 'chapter': '2', 'verse': '35', 'word_num': 18, 'word': 'revealed', 'occurrence': 1}]","may be revealed",3,"ἂν ἀποκαλυφθῶσιν = may be revealed",0.008064516129032258,0,0
"474567","luk","8","17","7",",1455359,",",1235042,1235043,",0,"[{'id': 1455359, 'book_id': 'luk', 'chapter': '8', 'verse': '17', 'word_num': 6, 'word': 'φανερὸν', 'occurrence': 1, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NP,,,,NNS,'}]","φανερὸν",1,1,"[{'id': 1235042, 'book_id': 'luk', 'chapter': '8', 'verse': '17', 'word_num': 7, 'word': 'become', 'occurrence': 1}, {'id': 1235043, 'book_id': 'luk', 'chapter': '8', 'verse': '17', 'word_num': 8, 'word': 'visible', 'occurrence': 1}]","become visible",2,"φανερὸν = become visible",0.008064516129032258,0,0
"474577","luk","8","17","17",",1455369,",",1235054,",0,"[{'id': 1455369, 'book_id': 'luk', 'chapter': '8', 'verse': '17', 'word_num': 16, 'word': 'φανερὸν', 'occurrence': 2, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NS,,,,ANS,'}]","φανερὸν",1,0,"[{'id': 1235054, 'book_id': 'luk', 'chapter': '8', 'verse': '17', 'word_num': 19, 'word': 'visibility', 'occurrence': 1}]","visibility",1,"φανερὸν = visibility",0.008064516129032258,0,0
"476812","luk","10","21","26",",1457652,",",1238001,",0,"[{'id': 1457652, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 28, 'word': 'ἀπεκάλυψας', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IAA2,,S,'}]","ἀπεκάλυψας",1,0,"[{'id': 1238001, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 32, 'word': 'revealed', 'occurrence': 1}]","revealed",1,"ἀπεκάλυψας = revealed",0.008064516129032258,0,0
"476853","luk","10","22","29",",1457697,",",1238052,1238053,1238054,",0,"[{'id': 1457697, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 33, 'word': 'ἀποκαλύψαι', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,NAA,,,,,'}]","ἀποκαλύψαι",1,2,"[{'id': 1238052, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 35, 'word': 'to', 'occurrence': 3}, {'id': 1238053, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 36, 'word': 'reveal', 'occurrence': 1}, {'id': 1238054, 'book_id': 'luk', 'chapter': '10', 'verse': '22', 'word_num': 37, 'word': 'him', 'occurrence': 1}]","to reveal him",3,"ἀποκαλύψαι = to reveal him",0.008064516129032258,0,0
"478190","luk","12","2","5",",1459063,",",1239902,",0,"[{'id': 1459063, 'book_id': 'luk', 'chapter': '12', 'verse': '2', 'word_num': 6, 'word': 'ἀποκαλυφθήσεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IFP3,,S,'}]","ἀποκαλυφθήσεται",1,0,"[{'id': 1239902, 'book_id': 'luk', 'chapter': '12', 'verse': '2', 'word_num': 5, 'word': 'will', 'occurrence': 1}]","will",1,"ἀποκαλυφθήσεται = will",0.008064516129032258,0,0
"482039","luk","17","30","6",",1462964,",",1245205,",0,"[{'id': 1462964, 'book_id': 'luk', 'chapter': '17', 'verse': '30', 'word_num': 9, 'word': 'ἀποκαλύπτεται', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IPP3,,S,'}]","ἀποκαλύπτεται",1,0,"[{'id': 1245205, 'book_id': 'luk', 'chapter': '17', 'verse': '30', 'word_num': 11, 'word': 'when', 'occurrence': 1}]","when",1,"ἀποκαλύπτεται = when",0.008064516129032258,0,0
"484113","luk","20","37","7",",1465063,",",1248114,",0,"[{'id': 1465063, 'book_id': 'luk', 'chapter': '20', 'verse': '37', 'word_num': 7, 'word': 'ἐμήνυσεν', 'occurrence': 1, 'strong': 'G33770', 'lemma': 'μηνύω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐμήνυσεν",1,0,"[{'id': 1248114, 'book_id': 'luk', 'chapter': '20', 'verse': '37', 'word_num': 8, 'word': 'showed', 'occurrence': 1}]","showed",1,"ἐμήνυσεν = showed",0.008064516129032258,0,0
"487965","jhn","1","31","6",",1468981,",",1253279,1253280,1253281,1253282,",0,"[{'id': 1468981, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 6, 'word': 'φανερωθῇ', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,SAP3,,S,'}]","φανερωθῇ",1,3,"[{'id': 1253279, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 10, 'word': 'he', 'occurrence': 1}, {'id': 1253280, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 11, 'word': 'could', 'occurrence': 1}, {'id': 1253281, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 12, 'word': 'be', 'occurrence': 1}, {'id': 1253282, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 13, 'word': 'revealed', 'occurrence': 1}]","he could be revealed",4,"φανερωθῇ = he could be revealed",0.008064516129032258,0,0
"488461","jhn","2","11","9",",1469530,",",1253937,1253938,",0,"[{'id': 1469530, 'book_id': 'jhn', 'chapter': '2', 'verse': '11', 'word_num': 12, 'word': 'ἐφανέρωσεν', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐφανέρωσεν",1,1,"[{'id': 1253937, 'book_id': 'jhn', 'chapter': '2', 'verse': '11', 'word_num': 10, 'word': 'he', 'occurrence': 1}, {'id': 1253938, 'book_id': 'jhn', 'chapter': '2', 'verse': '11', 'word_num': 11, 'word': 'revealed', 'occurrence': 1}]","he revealed",2,"ἐφανέρωσεν = he revealed",0.016129032258064516,0,0
"489049","jhn","3","21","10",",1470171,",",1254703,1254704,1254705,1254706,1254707,",0,"[{'id': 1470171, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 10, 'word': 'φανερωθῇ', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,SAP3,,S,'}]","φανερωθῇ",1,4,"[{'id': 1254703, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 12, 'word': 'it', 'occurrence': 1}, {'id': 1254704, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 13, 'word': 'may', 'occurrence': 1}, {'id': 1254705, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 14, 'word': 'be', 'occurrence': 1}, {'id': 1254706, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 15, 'word': 'plainly', 'occurrence': 1}, {'id': 1254707, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 16, 'word': 'seen', 'occurrence': 1}]","it may be plainly seen",5,"φανερωθῇ = it may be plainly seen",0.008064516129032258,0,0
"492094","jhn","7","4","15",",1473507,",",1258811,",0,"[{'id': 1473507, 'book_id': 'jhn', 'chapter': '7', 'verse': '4', 'word_num': 15, 'word': 'φανέρωσον', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,MAA2,,S,'}]","φανέρωσον",1,0,"[{'id': 1258811, 'book_id': 'jhn', 'chapter': '7', 'verse': '4', 'word_num': 20, 'word': 'show', 'occurrence': 1}]","show",1,"φανέρωσον = show",0.008064516129032258,0,0
"493730","jhn","9","3","14",",1475391,",",1261120,1261121,1261122,",0,"[{'id': 1475391, 'book_id': 'jhn', 'chapter': '9', 'verse': '3', 'word_num': 11, 'word': 'φανερωθῇ', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,SAP3,,S,'}]","φανερωθῇ",1,2,"[{'id': 1261120, 'book_id': 'jhn', 'chapter': '9', 'verse': '3', 'word_num': 17, 'word': 'would', 'occurrence': 1}, {'id': 1261121, 'book_id': 'jhn', 'chapter': '9', 'verse': '3', 'word_num': 18, 'word': 'be', 'occurrence': 1}, {'id': 1261122, 'book_id': 'jhn', 'chapter': '9', 'verse': '3', 'word_num': 19, 'word': 'revealed', 'occurrence': 1}]","would be revealed",3,"φανερωθῇ = would be revealed",0.008064516129032258,0,0
"495874","jhn","11","57","14",",1477681,",",1264018,1264019,1264020,1264021,",0,"[{'id': 1477681, 'book_id': 'jhn', 'chapter': '11', 'verse': '57', 'word_num': 14, 'word': 'μηνύσῃ', 'occurrence': 1, 'strong': 'G33770', 'lemma': 'μηνύω', 'morph': 'Gr,V,SAA3,,S,'}]","μηνύσῃ",1,3,"[{'id': 1264018, 'book_id': 'jhn', 'chapter': '11', 'verse': '57', 'word_num': 18, 'word': 'he', 'occurrence': 1}, {'id': 1264019, 'book_id': 'jhn', 'chapter': '11', 'verse': '57', 'word_num': 19, 'word': 'should', 'occurrence': 1}, {'id': 1264020, 'book_id': 'jhn', 'chapter': '11', 'verse': '57', 'word_num': 20, 'word': 'report', 'occurrence': 1}, {'id': 1264021, 'book_id': 'jhn', 'chapter': '11', 'verse': '57', 'word_num': 21, 'word': 'it', 'occurrence': 1}]","he should report it",4,"μηνύσῃ = he should report it",0.008064516129032258,0,0
"496497","jhn","12","38","16",",1478366,",",1264870,",0,"[{'id': 1478366, 'book_id': 'jhn', 'chapter': '12', 'verse': '38', 'word_num': 20, 'word': 'ἀπεκαλύφθη', 'occurrence': 1, 'strong': 'G06010', 'lemma': 'ἀποκαλύπτω', 'morph': 'Gr,V,IAP3,,S,'}]","ἀπεκαλύφθη",1,0,"[{'id': 1264870, 'book_id': 'jhn', 'chapter': '12', 'verse': '38', 'word_num': 24, 'word': 'has', 'occurrence': 2}]","has",1,"ἀπεκαλύφθη = has",0.008064516129032258,0,0
"498976","jhn","17","6","0",",1480980,",",1268335,1268336,",0,"[{'id': 1480980, 'book_id': 'jhn', 'chapter': '17', 'verse': '6', 'word_num': 0, 'word': 'ἐφανέρωσά', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,IAA1,,S,'}]","ἐφανέρωσά",1,1,"[{'id': 1268335, 'book_id': 'jhn', 'chapter': '17', 'verse': '6', 'word_num': 0, 'word': 'I', 'occurrence': 1}, {'id': 1268336, 'book_id': 'jhn', 'chapter': '17', 'verse': '6', 'word_num': 1, 'word': 'revealed', 'occurrence': 1}]","I revealed",2,"ἐφανέρωσά = I revealed",0.008064516129032258,0,0
"501437","jhn","21","1","3",",1483610,",",1271691,",0,"[{'id': 1483610, 'book_id': 'jhn', 'chapter': '21', 'verse': '1', 'word_num': 2, 'word': 'ἐφανέρωσεν', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐφανέρωσεν",1,0,"[{'id': 1271691, 'book_id': 'jhn', 'chapter': '21', 'verse': '1', 'word_num': 4, 'word': 'showed', 'occurrence': 1}]","showed",1,"ἐφανέρωσεν = showed",0.008064516129032258,0,0
"501447","jhn","21","1","13",",1483622,",",1271705,1271706,1271707,",0,"[{'id': 1483622, 'book_id': 'jhn', 'chapter': '21', 'verse': '1', 'word_num': 14, 'word': 'ἐφανέρωσεν', 'occurrence': 2, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐφανέρωσεν",1,2,"[{'id': 1271705, 'book_id': 'jhn', 'chapter': '21', 'verse': '1', 'word_num': 18, 'word': 'he', 'occurrence': 1}, {'id': 1271706, 'book_id': 'jhn', 'chapter': '21', 'verse': '1', 'word_num': 19, 'word': 'showed', 'occurrence': 2}, {'id': 1271707, 'book_id': 'jhn', 'chapter': '21', 'verse': '1', 'word_num': 20, 'word': 'himself', 'occurrence': 2}]","he showed himself",3,"ἐφανέρωσεν = he showed himself",0.008064516129032258,0,0
"501693","jhn","21","14","4",",1483879,",",1272029,1272030,",0,"[{'id': 1483879, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 3, 'word': 'ἐφανερώθη', 'occurrence': 1, 'strong': 'G53190', 'lemma': 'φανερόω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐφανερώθη",1,1,"[{'id': 1272029, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 8, 'word': 'showed', 'occurrence': 1}, {'id': 1272030, 'book_id': 'jhn', 'chapter': '21', 'verse': '14', 'word_num': 9, 'word': 'himself', 'occurrence': 1}]","showed himself",2,"ἐφανερώθη = showed himself",0.008064516129032258,0,0
"503966","act","4","16","7",",1486276,",",1275092,1275093,1275094,",0,"[{'id': 1486276, 'book_id': 'act', 'chapter': '4', 'verse': '16', 'word_num': 18, 'word': 'φανερόν', 'occurrence': 1, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NP,,,,NNS,'}]","φανερόν",1,2,"[{'id': 1275092, 'book_id': 'act', 'chapter': '4', 'verse': '16', 'word_num': 10, 'word': 'it', 'occurrence': 1}, {'id': 1275093, 'book_id': 'act', 'chapter': '4', 'verse': '16', 'word_num': 11, 'word': 'is', 'occurrence': 1}, {'id': 1275094, 'book_id': 'act', 'chapter': '4', 'verse': '16', 'word_num': 12, 'word': 'evident', 'occurrence': 1}]","it is evident",3,"φανερόν = it is evident",0.008064516129032258,0,0
"505661","act","7","13","13",",1487997,",",1277339,",0,"[{'id': 1487997, 'book_id': 'act', 'chapter': '7', 'verse': '13', 'word_num': 10, 'word': 'φανερὸν', 'occurrence': 1, 'strong': 'G53180', 'lemma': 'φανερός', 'morph': 'Gr,NP,,,,NNS,'}]","φανερὸν",1,0,"[{'id': 1277339, 'book_id': 'act', 'chapter': '7', 'verse': '13', 'word_num': 17, 'word': 'known', 'occurrence': 2}]","known",1,"φανερὸν = known",0.016129032258064516,0,0
