"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"477234","luk","11","2","7",",1458090,",",1238570,",0,"[{'id': 1458090, 'book_id': 'luk', 'chapter': '11', 'verse': '2', 'word_num': 7, 'word': 'ἁγιασθήτω', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,MAP3,,S,'}]","ἁγιασθήτω",1,0,"[{'id': 1238570, 'book_id': 'luk', 'chapter': '11', 'verse': '2', 'word_num': 10, 'word': 'may', 'occurrence': 1}]","may",1,"ἁγιασθήτω = may",0.04,0,0
"494900","jhn","10","36","6",",1476633,",",1262700,1262701,",0,"[{'id': 1476633, 'book_id': 'jhn', 'chapter': '10', 'verse': '36', 'word_num': 3, 'word': 'ἡγίασεν', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,IAA3,,S,'}]","ἡγίασεν",1,1,"[{'id': 1262700, 'book_id': 'jhn', 'chapter': '10', 'verse': '36', 'word_num': 8, 'word': 'set', 'occurrence': 1}, {'id': 1262701, 'book_id': 'jhn', 'chapter': '10', 'verse': '36', 'word_num': 9, 'word': 'apart', 'occurrence': 1}]","set apart",2,"ἡγίασεν = set apart",0.04,0,0
"499187","jhn","17","17","0",",1481201,",",1268617,",0,"[{'id': 1481201, 'book_id': 'jhn', 'chapter': '17', 'verse': '17', 'word_num': 0, 'word': 'ἁγίασον', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,MAA2,,S,'}]","ἁγίασον",1,0,"[{'id': 1268617, 'book_id': 'jhn', 'chapter': '17', 'verse': '17', 'word_num': 0, 'word': 'Set', 'occurrence': 1}]","Set",1,"ἁγίασον = Set",0.04,0,0
"499212","jhn","17","19","3",",1481228,",",1268647,1268648,",0,"[{'id': 1481228, 'book_id': 'jhn', 'chapter': '17', 'verse': '19', 'word_num': 4, 'word': 'ἁγιάζω', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,IPA1,,S,'}]","ἁγιάζω",1,1,"[{'id': 1268647, 'book_id': 'jhn', 'chapter': '17', 'verse': '19', 'word_num': 4, 'word': 'have', 'occurrence': 1}, {'id': 1268648, 'book_id': 'jhn', 'chapter': '17', 'verse': '19', 'word_num': 5, 'word': 'set', 'occurrence': 1}]","have set",2,"ἁγιάζω = have set",0.04,0,0
"499221","jhn","17","19","12",",1481234,",",1268658,1268659,",0,"[{'id': 1481234, 'book_id': 'jhn', 'chapter': '17', 'verse': '19', 'word_num': 10, 'word': 'ἡγιασμένοι', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,PEP,NMP,'}]","ἡγιασμένοι",1,1,"[{'id': 1268658, 'book_id': 'jhn', 'chapter': '17', 'verse': '19', 'word_num': 15, 'word': 'set', 'occurrence': 2}, {'id': 1268659, 'book_id': 'jhn', 'chapter': '17', 'verse': '19', 'word_num': 16, 'word': 'apart', 'occurrence': 2}]","set apart",2,"ἡγιασμένοι = set apart",0.04,0,0
"514932","act","20","32","22",",1497550,",",1289861,1289862,1289863,",0,"[{'id': 1497550, 'book_id': 'act', 'chapter': '20', 'verse': '32', 'word_num': 22, 'word': 'ἡγιασμένοις', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,PEP,DMP,'}]","ἡγιασμένοις",1,2,"[{'id': 1289861, 'book_id': 'act', 'chapter': '20', 'verse': '32', 'word_num': 30, 'word': 'are', 'occurrence': 1}, {'id': 1289862, 'book_id': 'act', 'chapter': '20', 'verse': '32', 'word_num': 31, 'word': 'being', 'occurrence': 1}, {'id': 1289863, 'book_id': 'act', 'chapter': '20', 'verse': '32', 'word_num': 32, 'word': 'sanctified', 'occurrence': 1}]","are being sanctified",3,"ἡγιασμένοις = are being sanctified",0.04,0,0
"518325","act","26","18","25",",1501012,",",1294602,1294603,1294604,",0,"[{'id': 1501012, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 26, 'word': 'ἡγιασμένοις', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,PEP,DMP,'}]","ἡγιασμένοις",1,2,"[{'id': 1294602, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 33, 'word': 'have', 'occurrence': 1}, {'id': 1294603, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 34, 'word': 'been', 'occurrence': 1}, {'id': 1294604, 'book_id': 'act', 'chapter': '26', 'verse': '18', 'word_num': 35, 'word': 'sanctified', 'occurrence': 1}]","have been sanctified",3,"ἡγιασμένοις = have been sanctified",0.04,0,0
"525768","rom","15","16","20",",1509042,",",1305900,",0,"[{'id': 1509042, 'book_id': 'rom', 'chapter': '15', 'verse': '16', 'word_num': 22, 'word': 'ἡγιασμένη', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,PEP,NFS,'}]","ἡγιασμένη",1,0,"[{'id': 1305900, 'book_id': 'rom', 'chapter': '15', 'verse': '16', 'word_num': 39, 'word': 'consecrated', 'occurrence': 1}]","consecrated",1,"ἡγιασμένη = consecrated",0.04,0,0
"526433","1co","1","2","5",",1509761,",",1306864,1306865,1306866,1306867,1306868,1306869,",0,"[{'id': 1509761, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 4, 'word': 'ἡγιασμένοις', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,PEP,DMP,'}]","ἡγιασμένοις",1,5,"[{'id': 1306864, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 7, 'word': 'to', 'occurrence': 2}, {'id': 1306865, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 8, 'word': 'those', 'occurrence': 1}, {'id': 1306866, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 9, 'word': 'who', 'occurrence': 1}, {'id': 1306867, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 10, 'word': 'have', 'occurrence': 1}, {'id': 1306868, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 11, 'word': 'been', 'occurrence': 1}, {'id': 1306869, 'book_id': '1co', 'chapter': '1', 'verse': '2', 'word_num': 12, 'word': 'sanctified', 'occurrence': 1}]","to those who have been sanctified",6,"ἡγιασμένοις = to those who have been sanctified",0.04,0,0
"528200","1co","6","11","6",",1511592,1511593,",",1309427,1309428,1309429,",1,"[{'id': 1511592, 'book_id': '1co', 'chapter': '6', 'verse': '11', 'word_num': 6, 'word': 'ἀλλὰ', 'occurrence': 2, 'strong': 'G02350', 'lemma': 'ἀλλά', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1511593, 'book_id': '1co', 'chapter': '6', 'verse': '11', 'word_num': 7, 'word': 'ἡγιάσθητε', 'occurrence': 1, 'strong': 'G00370', 'lemma': 'ἁγιάζω', 'morph': 'Gr,V,IAP2,,P,'}]","ἀλλὰ ἡγιάσθητε",2,2,"[{'id': 1309427, 'book_id': '1co', 'chapter': '6', 'verse': '11', 'word_num': 12, 'word': 'you', 'occurrence': 3}, {'id': 1309428, 'book_id': '1co', 'chapter': '6', 'verse': '11', 'word_num': 13, 'word': 'were', 'occurrence': 3}, {'id': 1309429, 'book_id': '1co', 'chapter': '6', 'verse': '11', 'word_num': 14, 'word': 'sanctified', 'occurrence': 1}]","you were sanctified",3,"ἀλλὰ ἡγιάσθητε = you were sanctified",0.04,0,0
