"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458112","mrk","1","4","12",",1437811,",",1211800,1211801,",0,"[{'id': 1437811, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 13, 'word': 'ἁμαρτιῶν', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,GFP,'}]","ἁμαρτιῶν",1,1,"[{'id': 1211800, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 15, 'word': 'of', 'occurrence': 2}, {'id': 1211801, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 16, 'word': 'sins', 'occurrence': 1}]","of sins",2,"ἁμαρτιῶν = of sins",0.039525691699604744,0,0
"458133","mrk","1","5","20",",1437833,1437834,",",1211828,",1,"[{'id': 1437833, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 21, 'word': 'τὰς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFP,'}, {'id': 1437834, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 22, 'word': 'ἁμαρτίας', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,AFP,'}]","τὰς ἁμαρτίας",2,0,"[{'id': 1211828, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 26, 'word': 'sins', 'occurrence': 1}]","sins",1,"τὰς ἁμαρτίας = sins",0.03557312252964427,0,0
"458795","mrk","2","5","10",",1438534,1438535,",",1212754,",1,"[{'id': 1438534, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 13, 'word': 'αἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFP,'}, {'id': 1438535, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 14, 'word': 'ἁμαρτίαι', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,NFP,'}]","αἱ ἁμαρτίαι",2,0,"[{'id': 1212754, 'book_id': 'mrk', 'chapter': '2', 'verse': '5', 'word_num': 13, 'word': 'sins', 'occurrence': 1}]","sins",1,"αἱ ἁμαρτίαι = sins",0.03557312252964427,0,0
"458817","mrk","2","7","8",",1438557,",",1212783,",0,"[{'id': 1438557, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 8, 'word': 'ἁμαρτίας', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,AFP,'}]","ἁμαρτίας",1,0,"[{'id': 1212783, 'book_id': 'mrk', 'chapter': '2', 'verse': '7', 'word_num': 12, 'word': 'sins', 'occurrence': 1}]","sins",1,"ἁμαρτίας = sins",0.05533596837944664,0,0
"458847","mrk","2","9","7",",1438593,1438594,",",1212824,",1,"[{'id': 1438593, 'book_id': 'mrk', 'chapter': '2', 'verse': '9', 'word_num': 8, 'word': 'αἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFP,'}, {'id': 1438594, 'book_id': 'mrk', 'chapter': '2', 'verse': '9', 'word_num': 9, 'word': 'ἁμαρτίαι', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,NFP,'}]","αἱ ἁμαρτίαι",2,0,"[{'id': 1212824, 'book_id': 'mrk', 'chapter': '2', 'verse': '9', 'word_num': 10, 'word': 'sins', 'occurrence': 1}]","sins",1,"αἱ ἁμαρτίαι = sins",0.03557312252964427,0,0
"458869","mrk","2","10","12",",1438619,",",1212856,",0,"[{'id': 1438619, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 14, 'word': 'ἁμαρτίας', 'occurrence': 1, 'strong': 'G02660', 'lemma': 'ἁμαρτία', 'morph': 'Gr,N,,,,,AFP,'}]","ἁμαρτίας",1,0,"[{'id': 1212856, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 18, 'word': 'sins', 'occurrence': 1}]","sins",1,"ἁμαρτίας = sins",0.05533596837944664,0,0
"458951","mrk","2","15","11",",1438706,",",1212980,",0,"[{'id': 1438706, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 12, 'word': 'ἁμαρτωλοὶ', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,NMP,'}]","ἁμαρτωλοὶ",1,0,"[{'id': 1212980, 'book_id': 'mrk', 'chapter': '2', 'verse': '15', 'word_num': 18, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλοὶ = sinners",0.02766798418972332,0,0
"458972","mrk","2","16","9",",1438729,1438730,",",1213008,",1,"[{'id': 1438729, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 9, 'word': 'τῶν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMP,'}, {'id': 1438730, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 10, 'word': 'ἁμαρτωλῶν', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,GMP,'}]","τῶν ἁμαρτωλῶν",2,0,"[{'id': 1213008, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 12, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"τῶν ἁμαρτωλῶν = sinners",0.011857707509881422,0,0
"458984","mrk","2","16","21",",1438742,",",1213025,",0,"[{'id': 1438742, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 22, 'word': 'ἁμαρτωλῶν', 'occurrence': 2, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,GMP,'}]","ἁμαρτωλῶν",1,0,"[{'id': 1213025, 'book_id': 'mrk', 'chapter': '2', 'verse': '16', 'word_num': 29, 'word': 'sinners', 'occurrence': 2}]","sinners",1,"ἁμαρτωλῶν = sinners",0.011857707509881422,0,0
"459004","mrk","2","17","19",",1438765,",",1213059,",0,"[{'id': 1438765, 'book_id': 'mrk', 'chapter': '2', 'verse': '17', 'word_num': 21, 'word': 'ἁμαρτωλούς', 'occurrence': 1, 'strong': 'G02680', 'lemma': 'ἁμαρτωλός', 'morph': 'Gr,NS,,,,AMP,'}]","ἁμαρτωλούς",1,0,"[{'id': 1213059, 'book_id': 'mrk', 'chapter': '2', 'verse': '17', 'word_num': 33, 'word': 'sinners', 'occurrence': 1}]","sinners",1,"ἁμαρτωλούς = sinners",0.003952569169960474,0,0
