"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458693","mrk","1","44","22",",1438431,",",1212604,1212605,",0,"[{'id': 1438431, 'book_id': 'mrk', 'chapter': '1', 'verse': '44', 'word_num': 23, 'word': 'μαρτύριον', 'occurrence': 1, 'strong': 'G31420', 'lemma': 'μαρτύριον', 'morph': 'Gr,N,,,,,ANS,'}]","μαρτύριον",1,1,"[{'id': 1212604, 'book_id': 'mrk', 'chapter': '1', 'verse': '44', 'word_num': 28, 'word': 'a', 'occurrence': 1}, {'id': 1212605, 'book_id': 'mrk', 'chapter': '1', 'verse': '44', 'word_num': 29, 'word': 'testimony', 'occurrence': 1}]","a testimony",2,"μαρτύριον = a testimony",0.03664921465968586,0,0
"461245","mrk","6","11","19",",1441142,",",1216147,1216148,",0,"[{'id': 1441142, 'book_id': 'mrk', 'chapter': '6', 'verse': '11', 'word_num': 21, 'word': 'μαρτύριον', 'occurrence': 1, 'strong': 'G31420', 'lemma': 'μαρτύριον', 'morph': 'Gr,N,,,,,ANS,'}]","μαρτύριον",1,1,"[{'id': 1216147, 'book_id': 'mrk', 'chapter': '6', 'verse': '11', 'word_num': 26, 'word': 'a', 'occurrence': 1}, {'id': 1216148, 'book_id': 'mrk', 'chapter': '6', 'verse': '11', 'word_num': 27, 'word': 'testimony', 'occurrence': 1}]","a testimony",2,"μαρτύριον = a testimony",0.03664921465968586,0,0
"466129","mrk","13","9","21",",1446451,",",1223081,1223082,",0,"[{'id': 1446451, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 21, 'word': 'μαρτύριον', 'occurrence': 1, 'strong': 'G31420', 'lemma': 'μαρτύριον', 'morph': 'Gr,N,,,,,ANS,'}]","μαρτύριον",1,1,"[{'id': 1223081, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 32, 'word': 'a', 'occurrence': 1}, {'id': 1223082, 'book_id': 'mrk', 'chapter': '13', 'verse': '9', 'word_num': 33, 'word': 'testimony', 'occurrence': 1}]","a testimony",2,"μαρτύριον = a testimony",0.03664921465968586,0,0
"467391","mrk","14","55","8",",1447807,",",1224884,",0,"[{'id': 1447807, 'book_id': 'mrk', 'chapter': '14', 'verse': '55', 'word_num': 11, 'word': 'μαρτυρίαν', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,AFS,'}]","μαρτυρίαν",1,0,"[{'id': 1224884, 'book_id': 'mrk', 'chapter': '14', 'verse': '55', 'word_num': 11, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"μαρτυρίαν = testimony",0.04712041884816754,0,0
"467409","mrk","14","56","7",",1447823,",",1224908,",0,"[{'id': 1447823, 'book_id': 'mrk', 'chapter': '14', 'verse': '56', 'word_num': 8, 'word': 'μαρτυρίαι', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,NFP,'}]","μαρτυρίαι",1,0,"[{'id': 1224908, 'book_id': 'mrk', 'chapter': '14', 'verse': '56', 'word_num': 10, 'word': 'testimony', 'occurrence': 2}]","testimony",1,"μαρτυρίαι = testimony",0.005235602094240838,0,0
"467438","mrk","14","59","3",",1447858,1447859,",",1224950,",1,"[{'id': 1447858, 'book_id': 'mrk', 'chapter': '14', 'verse': '59', 'word_num': 5, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1447859, 'book_id': 'mrk', 'chapter': '14', 'verse': '59', 'word_num': 6, 'word': 'μαρτυρία', 'occurrence': 1, 'strong': 'G31410', 'lemma': 'μαρτυρία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ μαρτυρία",2,0,"[{'id': 1224950, 'book_id': 'mrk', 'chapter': '14', 'verse': '59', 'word_num': 5, 'word': 'testimony', 'occurrence': 1}]","testimony",1,"ἡ μαρτυρία = testimony",0.031413612565445025,0,0
"467457","mrk","14","60","15",",1447877,",",1224977,1224978,",0,"[{'id': 1447877, 'book_id': 'mrk', 'chapter': '14', 'verse': '60', 'word_num': 16, 'word': 'καταμαρτυροῦσιν', 'occurrence': 1, 'strong': 'G26490', 'lemma': 'καταμαρτυρέω', 'morph': 'Gr,V,IPA3,,P,'}]","καταμαρτυροῦσιν",1,1,"[{'id': 1224977, 'book_id': 'mrk', 'chapter': '14', 'verse': '60', 'word_num': 23, 'word': 'testify', 'occurrence': 1}, {'id': 1224978, 'book_id': 'mrk', 'chapter': '14', 'verse': '60', 'word_num': 24, 'word': 'against', 'occurrence': 1}]","testify against",2,"καταμαρτυροῦσιν = testify against",0.005235602094240838,0,0
"467514","mrk","14","63","13",",1447937,",",1225053,1225054,",0,"[{'id': 1447937, 'book_id': 'mrk', 'chapter': '14', 'verse': '63', 'word_num': 12, 'word': 'μαρτύρων', 'occurrence': 1, 'strong': 'G31440', 'lemma': 'μάρτυρος', 'morph': 'Gr,N,,,,,GMP,'}]","μαρτύρων",1,1,"[{'id': 1225053, 'book_id': 'mrk', 'chapter': '14', 'verse': '63', 'word_num': 15, 'word': 'for', 'occurrence': 1}, {'id': 1225054, 'book_id': 'mrk', 'chapter': '14', 'verse': '63', 'word_num': 16, 'word': 'witnesses', 'occurrence': 1}]","for witnesses",2,"μαρτύρων = for witnesses",0.005235602094240838,0,0
"468429","luk","1","2","5",",1449098,",",1226696,",0,"[{'id': 1449098, 'book_id': 'luk', 'chapter': '1', 'verse': '2', 'word_num': 6, 'word': 'αὐτόπται', 'occurrence': 1, 'strong': 'G08450', 'lemma': 'αὐτόπτης', 'morph': 'Gr,N,,,,,NMP,'}]","αὐτόπται",1,0,"[{'id': 1226696, 'book_id': 'luk', 'chapter': '1', 'verse': '2', 'word_num': 8, 'word': 'eyewitnesses', 'occurrence': 1}]","eyewitnesses",1,"αὐτόπται = eyewitnesses",0.005235602094240838,0,0
"471280","luk","4","22","2",",1452038,",",1230567,1230568,",0,"[{'id': 1452038, 'book_id': 'luk', 'chapter': '4', 'verse': '22', 'word_num': 2, 'word': 'ἐμαρτύρουν', 'occurrence': 1, 'strong': 'G31400', 'lemma': 'μαρτυρέω', 'morph': 'Gr,V,IIA3,,P,'}]","ἐμαρτύρουν",1,1,"[{'id': 1230567, 'book_id': 'luk', 'chapter': '4', 'verse': '22', 'word_num': 2, 'word': 'spoke', 'occurrence': 1}, {'id': 1230568, 'book_id': 'luk', 'chapter': '4', 'verse': '22', 'word_num': 3, 'word': 'well', 'occurrence': 1}]","spoke well",2,"ἐμαρτύρουν = spoke well",0.005235602094240838,0,0
