"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459712","mrk","3","35","4",",1439533,",",1214025,",0,"[{'id': 1439533, 'book_id': 'mrk', 'chapter': '3', 'verse': '35', 'word_num': 5, 'word': 'θέλημα', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","θέλημα",1,0,"[{'id': 1214025, 'book_id': 'mrk', 'chapter': '3', 'verse': '35', 'word_num': 4, 'word': 'will', 'occurrence': 1}]","will",1,"θέλημα = will",0.30357142857142855,17,0,0
"478950","luk","12","47","6",",1459847,",",1240944,",0,"[{'id': 1459847, 'book_id': 'luk', 'chapter': '12', 'verse': '47', 'word_num': 7, 'word': 'θέλημα', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","θέλημα",1,0,"[{'id': 1240944, 'book_id': 'luk', 'chapter': '12', 'verse': '47', 'word_num': 8, 'word': 'will', 'occurrence': 1}]","will",1,"θέλημα = will",0.30357142857142855,17,0,0
"478961","luk","12","47","17",",1459857,1459858,",",1240957,",1,"[{'id': 1459857, 'book_id': 'luk', 'chapter': '12', 'verse': '47', 'word_num': 17, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1459858, 'book_id': 'luk', 'chapter': '12', 'verse': '47', 'word_num': 18, 'word': 'θέλημα', 'occurrence': 2, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ θέλημα",2,0,"[{'id': 1240957, 'book_id': 'luk', 'chapter': '12', 'verse': '47', 'word_num': 21, 'word': 'will', 'occurrence': 2}]","will",1,"τὸ θέλημα = will",0.17857142857142858,10,0,0
"485457","luk","22","42","12",",1466423,1466424,",",1249975,",1,"[{'id': 1466423, 'book_id': 'luk', 'chapter': '22', 'verse': '42', 'word_num': 12, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNS,'}, {'id': 1466424, 'book_id': 'luk', 'chapter': '22', 'verse': '42', 'word_num': 13, 'word': 'θέλημά', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,NNS,'}]","τὸ θέλημά",2,0,"[{'id': 1249975, 'book_id': 'luk', 'chapter': '22', 'verse': '42', 'word_num': 14, 'word': 'will', 'occurrence': 1}]","will",1,"τὸ θέλημά = will",0.07142857142857142,4,0,0
"486270","luk","23","25","17",",1467249,",",1251038,",0,"[{'id': 1467249, 'book_id': 'luk', 'chapter': '23', 'verse': '25', 'word_num': 17, 'word': 'θελήματι', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,DNS,'}]","θελήματι",1,0,"[{'id': 1251038, 'book_id': 'luk', 'chapter': '23', 'verse': '25', 'word_num': 26, 'word': 'will', 'occurrence': 1}]","will",1,"θελήματι = will",0.05357142857142857,3,0,0
"487684","jhn","1","13","8",",1468684,",",1252896,1252897,",0,"[{'id': 1468684, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 6, 'word': 'θελήματος', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,GNS,'}]","θελήματος",1,1,"[{'id': 1252896, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 8, 'word': 'the', 'occurrence': 1}, {'id': 1252897, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 9, 'word': 'will', 'occurrence': 1}]","the will",2,"θελήματος = the will",0.16071428571428573,9,0,0
"487688","jhn","1","13","12",",1468688,",",1252903,1252904,",0,"[{'id': 1468688, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 10, 'word': 'θελήματος', 'occurrence': 2, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,GNS,'}]","θελήματος",1,1,"[{'id': 1252903, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 15, 'word': 'the', 'occurrence': 3}, {'id': 1252904, 'book_id': 'jhn', 'chapter': '1', 'verse': '13', 'word_num': 16, 'word': 'will', 'occurrence': 2}]","the will",2,"θελήματος = the will",0.16071428571428573,9,0,0
"489812","jhn","4","34","9",",1470995,",",1255714,",0,"[{'id': 1470995, 'book_id': 'jhn', 'chapter': '4', 'verse': '34', 'word_num': 10, 'word': 'θέλημα', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","θέλημα",1,0,"[{'id': 1255714, 'book_id': 'jhn', 'chapter': '4', 'verse': '34', 'word_num': 11, 'word': 'will', 'occurrence': 1}]","will",1,"θέλημα = will",0.30357142857142855,17,0,0
"490645","jhn","5","30","20",",1471928,1471929,",",1256865,",1,"[{'id': 1471928, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 20, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1471929, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 21, 'word': 'θέλημα', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ θέλημα",2,0,"[{'id': 1256865, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 23, 'word': 'will', 'occurrence': 1}]","will",1,"τὸ θέλημα = will",0.17857142857142858,10,0,0
"490648","jhn","5","30","23",",1471934,",",1256868,",0,"[{'id': 1471934, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 26, 'word': 'θέλημα', 'occurrence': 2, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","θέλημα",1,0,"[{'id': 1256868, 'book_id': 'jhn', 'chapter': '5', 'verse': '30', 'word_num': 26, 'word': 'will', 'occurrence': 2}]","will",1,"θέλημα = will",0.30357142857142855,17,0,0
"491506","jhn","6","38","9",",1472847,1472848,",",1258043,",1,"[{'id': 1472847, 'book_id': 'jhn', 'chapter': '6', 'verse': '38', 'word_num': 8, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1472848, 'book_id': 'jhn', 'chapter': '6', 'verse': '38', 'word_num': 9, 'word': 'θέλημα', 'occurrence': 1, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ θέλημα",2,0,"[{'id': 1258043, 'book_id': 'jhn', 'chapter': '6', 'verse': '38', 'word_num': 14, 'word': 'will', 'occurrence': 1}]","will",1,"τὸ θέλημα = will",0.17857142857142858,10,0,0
"491509","jhn","6","38","12",",1472853,",",1258046,",0,"[{'id': 1472853, 'book_id': 'jhn', 'chapter': '6', 'verse': '38', 'word_num': 14, 'word': 'θέλημα', 'occurrence': 2, 'strong': 'G23070', 'lemma': 'θέλημα', 'morph': 'Gr,N,,,,,ANS,'}]","θέλημα",1,0,"[{'id': 1258046, 'book_id': 'jhn', 'chapter': '6', 'verse': '38', 'word_num': 17, 'word': 'will', 'occurrence': 2}]","will",1,"θέλημα = will",0.30357142857142855,17,0,0
