"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"461083","mrk","6","2","18",",1440963,",",1215931,",0,"[{'id': 1440963, 'book_id': 'mrk', 'chapter': '6', 'verse': '2', 'word_num': 20, 'word': 'σοφία', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,NFS,'}]","σοφία",1,0,"[{'id': 1215931, 'book_id': 'mrk', 'chapter': '6', 'verse': '2', 'word_num': 29, 'word': 'wisdom', 'occurrence': 1}]","wisdom",1,"σοφία = wisdom",0.10526315789473684,0,0
"468677","luk","1","17","20",",1449340,",",1227034,1227035,",0,"[{'id': 1449340, 'book_id': 'luk', 'chapter': '1', 'verse': '17', 'word_num': 18, 'word': 'φρονήσει', 'occurrence': 1, 'strong': 'G54280', 'lemma': 'φρόνησις', 'morph': 'Gr,N,,,,,DFS,'}]","φρονήσει",1,1,"[{'id': 1227034, 'book_id': 'luk', 'chapter': '1', 'verse': '17', 'word_num': 28, 'word': 'the', 'occurrence': 4}, {'id': 1227035, 'book_id': 'luk', 'chapter': '1', 'verse': '17', 'word_num': 29, 'word': 'wisdom', 'occurrence': 1}]","the wisdom",2,"φρονήσει = the wisdom",0.013157894736842105,0,0
"470173","luk","2","40","7",",1450914,",",1229116,1229117,",0,"[{'id': 1450914, 'book_id': 'luk', 'chapter': '2', 'verse': '40', 'word_num': 7, 'word': 'σοφίᾳ', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,DFS,'}]","σοφίᾳ",1,1,"[{'id': 1229116, 'book_id': 'luk', 'chapter': '2', 'verse': '40', 'word_num': 9, 'word': 'with', 'occurrence': 1}, {'id': 1229117, 'book_id': 'luk', 'chapter': '2', 'verse': '40', 'word_num': 10, 'word': 'wisdom', 'occurrence': 1}]","with wisdom",2,"σοφίᾳ = with wisdom",0.013157894736842105,0,0
"470364","luk","2","52","4",",1451107,",",1229361,",0,"[{'id': 1451107, 'book_id': 'luk', 'chapter': '2', 'verse': '52', 'word_num': 4, 'word': 'σοφίᾳ', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,DFS,'}]","σοφίᾳ",1,0,"[{'id': 1229361, 'book_id': 'luk', 'chapter': '2', 'verse': '52', 'word_num': 5, 'word': 'wisdom', 'occurrence': 1}]","wisdom",1,"σοφίᾳ = wisdom",0.13157894736842105,0,0
"473965","luk","7","35","1",",1454755,1454756,",",1234225,",1,"[{'id': 1454755, 'book_id': 'luk', 'chapter': '7', 'verse': '35', 'word_num': 2, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1454756, 'book_id': 'luk', 'chapter': '7', 'verse': '35', 'word_num': 3, 'word': 'σοφία', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ σοφία",2,0,"[{'id': 1234225, 'book_id': 'luk', 'chapter': '7', 'verse': '35', 'word_num': 1, 'word': 'wisdom', 'occurrence': 1}]","wisdom",1,"ἡ σοφία = wisdom",0.02631578947368421,0,0
"476808","luk","10","21","22",",1457648,",",1237996,1237997,",0,"[{'id': 1457648, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 24, 'word': 'σοφῶν', 'occurrence': 1, 'strong': 'G46800', 'lemma': 'σοφός', 'morph': 'Gr,NS,,,,GMP,'}]","σοφῶν",1,1,"[{'id': 1237996, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 27, 'word': 'the', 'occurrence': 2}, {'id': 1237997, 'book_id': 'luk', 'chapter': '10', 'verse': '21', 'word_num': 28, 'word': 'wise', 'occurrence': 1}]","the wise",2,"σοφῶν = the wise",0.013157894736842105,0,0
"477744","luk","11","31","25",",1458611,",",1239290,",0,"[{'id': 1458611, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 24, 'word': 'σοφίαν', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,AFS,'}]","σοφίαν",1,0,"[{'id': 1239290, 'book_id': 'luk', 'chapter': '11', 'verse': '31', 'word_num': 32, 'word': 'wisdom', 'occurrence': 1}]","wisdom",1,"σοφίαν = wisdom",0.15789473684210525,0,0
"478064","luk","11","49","4",",1458935,",",1239722,",0,"[{'id': 1458935, 'book_id': 'luk', 'chapter': '11', 'verse': '49', 'word_num': 4, 'word': 'σοφία', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,NFS,'}]","σοφία",1,0,"[{'id': 1239722, 'book_id': 'luk', 'chapter': '11', 'verse': '49', 'word_num': 5, 'word': 'wisdom', 'occurrence': 1}]","wisdom",1,"σοφία = wisdom",0.10526315789473684,0,0
"478853","luk","12","42","9",",1459744,1459745,",",1240810,1240811,",1,"[{'id': 1459744, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 10, 'word': 'ὁ', 'occurrence': 3, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1459745, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 11, 'word': 'φρόνιμος', 'occurrence': 1, 'strong': 'G54290', 'lemma': 'φρόνιμος', 'morph': 'Gr,AR,,,,NMS,'}]","ὁ φρόνιμος",2,1,"[{'id': 1240810, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 9, 'word': 'and', 'occurrence': 1}, {'id': 1240811, 'book_id': 'luk', 'chapter': '12', 'verse': '42', 'word_num': 10, 'word': 'wise', 'occurrence': 1}]","and wise",2,"ὁ φρόνιμος = and wise",0.013157894736842105,0,0
"484472","luk","21","15","6",",1465421,",",1248596,",0,"[{'id': 1465421, 'book_id': 'luk', 'chapter': '21', 'verse': '15', 'word_num': 6, 'word': 'σοφίαν', 'occurrence': 1, 'strong': 'G46780', 'lemma': 'σοφία', 'morph': 'Gr,N,,,,,AFS,'}]","σοφίαν",1,0,"[{'id': 1248596, 'book_id': 'luk', 'chapter': '21', 'verse': '15', 'word_num': 7, 'word': 'wisdom', 'occurrence': 1}]","wisdom",1,"σοφίαν = wisdom",0.15789473684210525,0,0
