"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"466506","mrk","13","34","14",",1446865,1446866,",",1223610,",1,"[{'id': 1446865, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 15, 'word': 'τὸ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1446866, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 16, 'word': 'ἔργον', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ ἔργον",2,0,"[{'id': 1223610, 'book_id': 'mrk', 'chapter': '13', 'verse': '34', 'word_num': 23, 'word': 'work', 'occurrence': 1}]","work",1,"τὸ ἔργον = work",0.041666666666666664,0,0
"466649","mrk","14","6","9",",1447009,",",1223825,",0,"[{'id': 1447009, 'book_id': 'mrk', 'chapter': '14', 'verse': '6', 'word_num': 11, 'word': 'ἔργον', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANS,'}]","ἔργον",1,0,"[{'id': 1223825, 'book_id': 'mrk', 'chapter': '14', 'verse': '6', 'word_num': 14, 'word': 'a', 'occurrence': 1}]","a",1,"ἔργον = a",0.011904761904761904,0,0
"478046","luk","11","48","4",",1458919,",",1239701,",0,"[{'id': 1458919, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 5, 'word': 'ἔργοις', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,DNP,'}]","ἔργοις",1,0,"[{'id': 1239701, 'book_id': 'luk', 'chapter': '11', 'verse': '48', 'word_num': 7, 'word': 'to', 'occurrence': 1}]","to",1,"ἔργοις = to",0.005952380952380952,0,0
"486658","luk","23","51","8",",1467634,1467635,",",1251539,",1,"[{'id': 1467634, 'book_id': 'luk', 'chapter': '23', 'verse': '51', 'word_num': 7, 'word': 'τῇ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1467635, 'book_id': 'luk', 'chapter': '23', 'verse': '51', 'word_num': 8, 'word': 'πράξει', 'occurrence': 1, 'strong': 'G42340', 'lemma': 'πρᾶξις', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ πράξει",2,0,"[{'id': 1251539, 'book_id': 'luk', 'chapter': '23', 'verse': '51', 'word_num': 9, 'word': 'action', 'occurrence': 1}]","action",1,"τῇ πράξει = action",0.005952380952380952,0,0
"487024","luk","24","19","19",",1468003,",",1252029,",0,"[{'id': 1468003, 'book_id': 'luk', 'chapter': '24', 'verse': '19', 'word_num': 19, 'word': 'ἔργῳ', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,DNS,'}]","ἔργῳ",1,0,"[{'id': 1252029, 'book_id': 'luk', 'chapter': '24', 'verse': '19', 'word_num': 26, 'word': 'deed', 'occurrence': 1}]","deed",1,"ἔργῳ = deed",0.017857142857142856,0,0
"489017","jhn","3","19","23",",1470139,1470140,",",1254665,",1,"[{'id': 1470139, 'book_id': 'jhn', 'chapter': '3', 'verse': '19', 'word_num': 26, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1470140, 'book_id': 'jhn', 'chapter': '3', 'verse': '19', 'word_num': 27, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ ἔργα",2,0,"[{'id': 1254665, 'book_id': 'jhn', 'chapter': '3', 'verse': '19', 'word_num': 26, 'word': 'deeds', 'occurrence': 1}]","deeds",1,"τὰ ἔργα = deeds",0.05357142857142857,0,0
"489035","jhn","3","20","15",",1470158,1470159,",",1254686,",1,"[{'id': 1470158, 'book_id': 'jhn', 'chapter': '3', 'verse': '20', 'word_num': 17, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1470159, 'book_id': 'jhn', 'chapter': '3', 'verse': '20', 'word_num': 18, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ ἔργα",2,0,"[{'id': 1254686, 'book_id': 'jhn', 'chapter': '3', 'verse': '20', 'word_num': 18, 'word': 'deeds', 'occurrence': 1}]","deeds",1,"τὰ ἔργα = deeds",0.05357142857142857,0,0
"489052","jhn","3","21","13",",1470173,1470174,",",1254710,",1,"[{'id': 1470173, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 12, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1470174, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 13, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ ἔργα",2,0,"[{'id': 1254710, 'book_id': 'jhn', 'chapter': '3', 'verse': '21', 'word_num': 19, 'word': 'deeds', 'occurrence': 1}]","deeds",1,"τὰ ἔργα = deeds",0.05357142857142857,0,0
"489818","jhn","4","34","15",",1471002,1471003,",",1255723,",1,"[{'id': 1471002, 'book_id': 'jhn', 'chapter': '4', 'verse': '34', 'word_num': 17, 'word': 'τὸ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANS,'}, {'id': 1471003, 'book_id': 'jhn', 'chapter': '4', 'verse': '34', 'word_num': 18, 'word': 'ἔργον', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANS,'}]","τὸ ἔργον",2,0,"[{'id': 1255723, 'book_id': 'jhn', 'chapter': '4', 'verse': '34', 'word_num': 20, 'word': 'work', 'occurrence': 1}]","work",1,"τὸ ἔργον = work",0.041666666666666664,0,0
"490463","jhn","5","20","17",",1471738,",",1256615,",0,"[{'id': 1471738, 'book_id': 'jhn', 'chapter': '5', 'verse': '20', 'word_num': 18, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANP,'}]","ἔργα",1,0,"[{'id': 1256615, 'book_id': 'jhn', 'chapter': '5', 'verse': '20', 'word_num': 21, 'word': 'things', 'occurrence': 1}]","things",1,"ἔργα = things",0.005952380952380952,0,0
"490725","jhn","5","36","9",",1472016,",",1256973,",0,"[{'id': 1472016, 'book_id': 'jhn', 'chapter': '5', 'verse': '36', 'word_num': 10, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","ἔργα",1,0,"[{'id': 1256973, 'book_id': 'jhn', 'chapter': '5', 'verse': '36', 'word_num': 14, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
"490736","jhn","5","36","20",",1472027,",",1256987,",0,"[{'id': 1472027, 'book_id': 'jhn', 'chapter': '5', 'verse': '36', 'word_num': 21, 'word': 'ἔργα', 'occurrence': 2, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","ἔργα",1,0,"[{'id': 1256987, 'book_id': 'jhn', 'chapter': '5', 'verse': '36', 'word_num': 28, 'word': 'works', 'occurrence': 2}]","works",1,"ἔργα = works",0.125,0,0
"491349","jhn","6","28","9",",1472672,",",1257834,",0,"[{'id': 1472672, 'book_id': 'jhn', 'chapter': '6', 'verse': '28', 'word_num': 9, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANP,'}]","ἔργα",1,0,"[{'id': 1257834, 'book_id': 'jhn', 'chapter': '6', 'verse': '28', 'word_num': 15, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
"491359","jhn","6","29","8",",1472684,",",1257846,",0,"[{'id': 1472684, 'book_id': 'jhn', 'chapter': '6', 'verse': '29', 'word_num': 9, 'word': 'ἔργον', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNS,'}]","ἔργον",1,0,"[{'id': 1257846, 'book_id': 'jhn', 'chapter': '6', 'verse': '29', 'word_num': 9, 'word': 'work', 'occurrence': 1}]","work",1,"ἔργον = work",0.09523809523809523,0,0
"492075","jhn","7","3","18",",1473489,",",1258787,",0,"[{'id': 1473489, 'book_id': 'jhn', 'chapter': '7', 'verse': '3', 'word_num': 22, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANP,'}]","ἔργα",1,0,"[{'id': 1258787, 'book_id': 'jhn', 'chapter': '7', 'verse': '3', 'word_num': 21, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
"492137","jhn","7","7","15",",1473553,1473554,",",1258858,",1,"[{'id': 1473553, 'book_id': 'jhn', 'chapter': '7', 'verse': '7', 'word_num': 15, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1473554, 'book_id': 'jhn', 'chapter': '7', 'verse': '7', 'word_num': 16, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ ἔργα",2,0,"[{'id': 1258858, 'book_id': 'jhn', 'chapter': '7', 'verse': '7', 'word_num': 16, 'word': 'works', 'occurrence': 1}]","works",1,"τὰ ἔργα = works",0.08928571428571429,0,0
"492340","jhn","7","21","7",",1473768,",",1259113,",0,"[{'id': 1473768, 'book_id': 'jhn', 'chapter': '7', 'verse': '21', 'word_num': 6, 'word': 'ἔργον', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANS,'}]","ἔργον",1,0,"[{'id': 1259113, 'book_id': 'jhn', 'chapter': '7', 'verse': '21', 'word_num': 9, 'word': 'work', 'occurrence': 1}]","work",1,"ἔργον = work",0.09523809523809523,0,0
"493328","jhn","8","39","17",",1474958,",",1260607,",0,"[{'id': 1474958, 'book_id': 'jhn', 'chapter': '8', 'verse': '39', 'word_num': 19, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANP,'}]","ἔργα",1,0,"[{'id': 1260607, 'book_id': 'jhn', 'chapter': '8', 'verse': '39', 'word_num': 24, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
"493352","jhn","8","41","3",",1474985,",",1260638,",0,"[{'id': 1474985, 'book_id': 'jhn', 'chapter': '8', 'verse': '41', 'word_num': 3, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANP,'}]","ἔργα",1,0,"[{'id': 1260638, 'book_id': 'jhn', 'chapter': '8', 'verse': '41', 'word_num': 3, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
"493728","jhn","9","3","12",",1475393,",",1261117,",0,"[{'id': 1475393, 'book_id': 'jhn', 'chapter': '9', 'verse': '3', 'word_num': 13, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,NNP,'}]","ἔργα",1,0,"[{'id': 1261117, 'book_id': 'jhn', 'chapter': '9', 'verse': '3', 'word_num': 14, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
"493737","jhn","9","4","4",",1475402,",",1261129,",0,"[{'id': 1475402, 'book_id': 'jhn', 'chapter': '9', 'verse': '4', 'word_num': 4, 'word': 'ἔργα', 'occurrence': 1, 'strong': 'G20410', 'lemma': 'ἔργον', 'morph': 'Gr,N,,,,,ANP,'}]","ἔργα",1,0,"[{'id': 1261129, 'book_id': 'jhn', 'chapter': '9', 'verse': '4', 'word_num': 4, 'word': 'works', 'occurrence': 1}]","works",1,"ἔργα = works",0.125,0,0
