"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458867","mrk","2","10","10",",1438616,1438617,",",1212853,",1,"[{'id': 1438616, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 11, 'word': 'τῆς', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GFS,'}, {'id': 1438617, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 12, 'word': 'γῆς', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,GFS,'}]","τῆς γῆς",2,0,"[{'id': 1212853, 'book_id': 'mrk', 'chapter': '2', 'verse': '10', 'word_num': 15, 'word': 'earth', 'occurrence': 1}]","earth",1,"τῆς γῆς = earth",0.014925373134328358,0,0
"459750","mrk","4","1","28",",1439576,",",1214072,",0,"[{'id': 1439576, 'book_id': 'mrk', 'chapter': '4', 'verse': '1', 'word_num': 32, 'word': 'γῆς', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,GFS,'}]","γῆς",1,0,"[{'id': 1214072, 'book_id': 'mrk', 'chapter': '4', 'verse': '1', 'word_num': 35, 'word': 'shore', 'occurrence': 1}]","shore",1,"γῆς = shore",0.0024875621890547263,0,0
"459796","mrk","4","5","10",",1439624,",",1214133,",0,"[{'id': 1439624, 'book_id': 'mrk', 'chapter': '4', 'verse': '5', 'word_num': 9, 'word': 'γῆν', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,AFS,'}]","γῆν",1,0,"[{'id': 1214133, 'book_id': 'mrk', 'chapter': '4', 'verse': '5', 'word_num': 13, 'word': 'soil', 'occurrence': 1}]","soil",1,"γῆν = soil",0.009950248756218905,0,0
"459805","mrk","4","5","19",",1439634,",",1214144,",0,"[{'id': 1439634, 'book_id': 'mrk', 'chapter': '4', 'verse': '5', 'word_num': 19, 'word': 'γῆς', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,GFS,'}]","γῆς",1,0,"[{'id': 1214144, 'book_id': 'mrk', 'chapter': '4', 'verse': '5', 'word_num': 24, 'word': 'soil', 'occurrence': 2}]","soil",1,"γῆς = soil",0.004975124378109453,0,0
"459840","mrk","4","8","5",",1439670,",",1214191,",0,"[{'id': 1439670, 'book_id': 'mrk', 'chapter': '4', 'verse': '8', 'word_num': 5, 'word': 'γῆν', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,AFS,'}]","γῆν",1,0,"[{'id': 1214191, 'book_id': 'mrk', 'chapter': '4', 'verse': '8', 'word_num': 6, 'word': 'soil', 'occurrence': 1}]","soil",1,"γῆν = soil",0.009950248756218905,0,0
"460030","mrk","4","20","8",",1439874,",",1214453,",0,"[{'id': 1439874, 'book_id': 'mrk', 'chapter': '4', 'verse': '20', 'word_num': 6, 'word': 'γῆν', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,AFS,'}]","γῆν",1,0,"[{'id': 1214453, 'book_id': 'mrk', 'chapter': '4', 'verse': '20', 'word_num': 11, 'word': 'soil', 'occurrence': 1}]","soil",1,"γῆν = soil",0.009950248756218905,0,0
"460136","mrk","4","26","14",",1439983,",",1214617,",0,"[{'id': 1439983, 'book_id': 'mrk', 'chapter': '4', 'verse': '26', 'word_num': 15, 'word': 'γῆς', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,GFS,'}]","γῆς",1,0,"[{'id': 1214617, 'book_id': 'mrk', 'chapter': '4', 'verse': '26', 'word_num': 17, 'word': 'ground', 'occurrence': 1}]","ground",1,"γῆς = ground",0.017412935323383085,0,0
"460156","mrk","4","28","1",",1440003,",",1214639,",0,"[{'id': 1440003, 'book_id': 'mrk', 'chapter': '4', 'verse': '28', 'word_num': 2, 'word': 'γῆ', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,NFS,'}]","γῆ",1,0,"[{'id': 1214639, 'book_id': 'mrk', 'chapter': '4', 'verse': '28', 'word_num': 1, 'word': 'soil', 'occurrence': 1}]","soil",1,"γῆ = soil",0.0024875621890547263,0,0
"460205","mrk","4","31","9",",1440050,",",1214707,",0,"[{'id': 1440050, 'book_id': 'mrk', 'chapter': '4', 'verse': '31', 'word_num': 8, 'word': 'γῆς', 'occurrence': 1, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,GFS,'}]","γῆς",1,0,"[{'id': 1214707, 'book_id': 'mrk', 'chapter': '4', 'verse': '31', 'word_num': 13, 'word': 'soil', 'occurrence': 1}]","soil",1,"γῆς = soil",0.004975124378109453,0,0
"460214","mrk","4","31","18",",1440059,",",1214719,",0,"[{'id': 1440059, 'book_id': 'mrk', 'chapter': '4', 'verse': '31', 'word_num': 17, 'word': 'γῆς', 'occurrence': 2, 'strong': 'G10930', 'lemma': 'γῆ', 'morph': 'Gr,N,,,,,GFS,'}]","γῆς",1,0,"[{'id': 1214719, 'book_id': 'mrk', 'chapter': '4', 'verse': '31', 'word_num': 25, 'word': 'earth', 'occurrence': 1}]","earth",1,"γῆς = earth",0.1791044776119403,0,0
