"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"458252","mrk","1","13","8",",1437958,1437959,",",1211987,",1,"[{'id': 1437958, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 9, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1437959, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 10, 'word': 'Σατανᾶ', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ Σατανᾶ",2,0,"[{'id': 1211987, 'book_id': 'mrk', 'chapter': '1', 'verse': '13', 'word_num': 10, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"τοῦ Σατανᾶ = Satan",0.09375,0,0
"459555","mrk","3","23","10",",1439352,",",1213815,",0,"[{'id': 1439352, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 9, 'word': 'Σατανᾶς', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,NMS,'}]","Σατανᾶς",1,0,"[{'id': 1213815, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 14, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"Σατανᾶς = Satan",0.0625,0,0
"459557","mrk","3","23","12",",1439353,",",1213818,",0,"[{'id': 1439353, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 10, 'word': 'Σατανᾶν', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,AMS,'}]","Σατανᾶν",1,0,"[{'id': 1213818, 'book_id': 'mrk', 'chapter': '3', 'verse': '23', 'word_num': 17, 'word': 'Satan', 'occurrence': 2}]","Satan",1,"Σατανᾶν = Satan",0.03125,0,0
"459580","mrk","3","26","2",",1439381,1439382,",",1213847,",1,"[{'id': 1439381, 'book_id': 'mrk', 'chapter': '3', 'verse': '26', 'word_num': 2, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1439382, 'book_id': 'mrk', 'chapter': '3', 'verse': '26', 'word_num': 3, 'word': 'Σατανᾶς', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Σατανᾶς",2,0,"[{'id': 1213847, 'book_id': 'mrk', 'chapter': '3', 'verse': '26', 'word_num': 2, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"ὁ Σατανᾶς = Satan",0.4375,0,0
"459943","mrk","4","15","13",",1439783,1439784,",",1214337,",1,"[{'id': 1439783, 'book_id': 'mrk', 'chapter': '4', 'verse': '15', 'word_num': 16, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1439784, 'book_id': 'mrk', 'chapter': '4', 'verse': '15', 'word_num': 17, 'word': 'Σατανᾶς', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Σατανᾶς",2,0,"[{'id': 1214337, 'book_id': 'mrk', 'chapter': '4', 'verse': '15', 'word_num': 17, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"ὁ Σατανᾶς = Satan",0.4375,0,0
"463025","mrk","8","33","14",",1443039,",",1218619,",0,"[{'id': 1443039, 'book_id': 'mrk', 'chapter': '8', 'verse': '33', 'word_num': 15, 'word': 'Σατανᾶ', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,VMS,'}]","Σατανᾶ",1,0,"[{'id': 1218619, 'book_id': 'mrk', 'chapter': '8', 'verse': '33', 'word_num': 16, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"Σατανᾶ = Satan",0.0625,0,0
"476739","luk","10","18","3",",1457572,1457573,",",1237913,",1,"[{'id': 1457572, 'book_id': 'luk', 'chapter': '10', 'verse': '18', 'word_num': 4, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1457573, 'book_id': 'luk', 'chapter': '10', 'verse': '18', 'word_num': 5, 'word': 'Σατανᾶν', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν Σατανᾶν",2,0,"[{'id': 1237913, 'book_id': 'luk', 'chapter': '10', 'verse': '18', 'word_num': 7, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"τὸν Σατανᾶν = Satan",0.0625,0,0
"477488","luk","11","18","2",",1458350,1458351,",",1238944,",1,"[{'id': 1458350, 'book_id': 'luk', 'chapter': '11', 'verse': '18', 'word_num': 3, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1458351, 'book_id': 'luk', 'chapter': '11', 'verse': '18', 'word_num': 4, 'word': 'Σατανᾶς', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Σατανᾶς",2,0,"[{'id': 1238944, 'book_id': 'luk', 'chapter': '11', 'verse': '18', 'word_num': 2, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"ὁ Σατανᾶς = Satan",0.4375,0,0
"479460","luk","13","16","7",",1460362,1460363,",",1241643,",1,"[{'id': 1460362, 'book_id': 'luk', 'chapter': '13', 'verse': '16', 'word_num': 7, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NMS,'}, {'id': 1460363, 'book_id': 'luk', 'chapter': '13', 'verse': '16', 'word_num': 8, 'word': 'Σατανᾶς', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,NMS,'}]","ὁ Σατανᾶς",2,0,"[{'id': 1241643, 'book_id': 'luk', 'chapter': '13', 'verse': '16', 'word_num': 10, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"ὁ Σατανᾶς = Satan",0.4375,0,0
"484857","luk","22","3","1",",1465814,",",1249131,",0,"[{'id': 1465814, 'book_id': 'luk', 'chapter': '22', 'verse': '3', 'word_num': 2, 'word': 'Σατανᾶς', 'occurrence': 1, 'strong': 'G45660', 'lemma': 'Σατανᾶς', 'morph': 'Gr,N,,,,,NMS,'}]","Σατανᾶς",1,0,"[{'id': 1249131, 'book_id': 'luk', 'chapter': '22', 'verse': '3', 'word_num': 1, 'word': 'Satan', 'occurrence': 1}]","Satan",1,"Σατανᾶς = Satan",0.0625,0,0
