"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"467964","mrk","15","26","4",",1448430,",",1225733,",0,"[{'id': 1448430, 'book_id': 'mrk', 'chapter': '15', 'verse': '26', 'word_num': 5, 'word': 'αἰτίας', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,GFS,'}]","αἰτίας",1,0,"[{'id': 1225733, 'book_id': 'mrk', 'chapter': '15', 'verse': '26', 'word_num': 5, 'word': 'charge', 'occurrence': 1}]","charge",1,"αἰτίας = charge",0.5,1,0,0
"517993","act","25","27","11",",1500672,",",1294125,",0,"[{'id': 1500672, 'book_id': 'act', 'chapter': '25', 'verse': '27', 'word_num': 11, 'word': 'αἰτίας', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFP,'}]","αἰτίας",1,0,"[{'id': 1294125, 'book_id': 'act', 'chapter': '25', 'verse': '27', 'word_num': 15, 'word': 'charges', 'occurrence': 1}]","charges",1,"αἰτίας = charges",0.5,1,0,0
"475194","luk","8","47","22",",1455980,",",1235878,",0,"[{'id': 1455980, 'book_id': 'luk', 'chapter': '8', 'verse': '47', 'word_num': 14, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1235878, 'book_id': 'luk', 'chapter': '8', 'verse': '47', 'word_num': 29, 'word': 'reason', 'occurrence': 1}]","reason",1,"αἰτίαν = reason",0.5,7,0,0
"500071","jhn","18","38","20",",1482140,",",1269820,",0,"[{'id': 1482140, 'book_id': 'jhn', 'chapter': '18', 'verse': '38', 'word_num': 20, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1269820, 'book_id': 'jhn', 'chapter': '18', 'verse': '38', 'word_num': 26, 'word': 'guilt', 'occurrence': 1}]","guilt",1,"αἰτίαν = guilt",0.21428571428571427,3,0,0
"500157","jhn","19","4","18",",1482233,",",1269941,",0,"[{'id': 1482233, 'book_id': 'jhn', 'chapter': '19', 'verse': '4', 'word_num': 16, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1269941, 'book_id': 'jhn', 'chapter': '19', 'verse': '4', 'word_num': 26, 'word': 'guilt', 'occurrence': 1}]","guilt",1,"αἰτίαν = guilt",0.21428571428571427,3,0,0
"500202","jhn","19","6","25",",1482285,",",1269998,",0,"[{'id': 1482285, 'book_id': 'jhn', 'chapter': '19', 'verse': '6', 'word_num': 28, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1269998, 'book_id': 'jhn', 'chapter': '19', 'verse': '6', 'word_num': 32, 'word': 'guilt', 'occurrence': 1}]","guilt",1,"αἰτίαν = guilt",0.21428571428571427,3,0,0
"510275","act","13","28","3",",1492731,",",1283554,",0,"[{'id': 1492731, 'book_id': 'act', 'chapter': '13', 'verse': '28', 'word_num': 2, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1283554, 'book_id': 'act', 'chapter': '13', 'verse': '28', 'word_num': 5, 'word': 'reason', 'occurrence': 1}]","reason",1,"αἰτίαν = reason",0.5,7,0,0
"516224","act","22","24","16",",1498881,",",1291613,",0,"[{'id': 1498881, 'book_id': 'act', 'chapter': '22', 'verse': '24', 'word_num': 16, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1291613, 'book_id': 'act', 'chapter': '22', 'verse': '24', 'word_num': 28, 'word': 'reason', 'occurrence': 1}]","reason",1,"αἰτίαν = reason",0.5,7,0,0
"516883","act","23","28","4",",1499550,",",1292545,",0,"[{'id': 1499550, 'book_id': 'act', 'chapter': '23', 'verse': '28', 'word_num': 4, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1292545, 'book_id': 'act', 'chapter': '23', 'verse': '28', 'word_num': 5, 'word': 'charge', 'occurrence': 1}]","charge",1,"αἰτίαν = charge",0.14285714285714285,2,0,0
"517789","act","25","18","6",",1500472,",",1293853,",0,"[{'id': 1500472, 'book_id': 'act', 'chapter': '25', 'verse': '18', 'word_num': 6, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1293853, 'book_id': 'act', 'chapter': '25', 'verse': '18', 'word_num': 8, 'word': 'charge', 'occurrence': 1}]","charge",1,"αἰτίαν = charge",0.14285714285714285,2,0,0
"519643","act","28","18","10",",1502359,",",1296459,",0,"[{'id': 1502359, 'book_id': 'act', 'chapter': '28', 'verse': '18', 'word_num': 8, 'word': 'αἰτίαν', 'occurrence': 1, 'strong': 'G01560', 'lemma': 'αἰτία', 'morph': 'Gr,N,,,,,AFS,'}]","αἰτίαν",1,0,"[{'id': 1296459, 'book_id': 'act', 'chapter': '28', 'verse': '18', 'word_num': 13, 'word': 'reason', 'occurrence': 1}]","reason",1,"αἰτίαν = reason",0.5,7,0,0
