"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459642","mrk","3","29","15",",1439456,",",1213934,",0,"[{'id': 1439456, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 18, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GNS,'}]","αἰωνίου",1,0,"[{'id': 1213934, 'book_id': 'mrk', 'chapter': '3', 'verse': '29', 'word_num': 15, 'word': 'of', 'occurrence': 1}]","of",1,"αἰωνίου = of",0.07142857142857142,1,0,0
"491989","jhn","6","68","10",",1473391,",",1258675,1258676,",0,"[{'id': 1473391, 'book_id': 'jhn', 'chapter': '6', 'verse': '68', 'word_num': 10, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,1,"[{'id': 1258675, 'book_id': 'jhn', 'chapter': '6', 'verse': '68', 'word_num': 13, 'word': 'of', 'occurrence': 1}, {'id': 1258676, 'book_id': 'jhn', 'chapter': '6', 'verse': '68', 'word_num': 14, 'word': 'eternal', 'occurrence': 1}]","of eternal",2,"αἰωνίου = of eternal",0.07142857142857142,1,0,0
"510577","act","13","46","26",",1493035,",",1283977,",0,"[{'id': 1493035, 'book_id': 'act', 'chapter': '13', 'verse': '46', 'word_num': 26, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,0,"[{'id': 1283977, 'book_id': 'act', 'chapter': '13', 'verse': '46', 'word_num': 36, 'word': 'eternal', 'occurrence': 1}]","eternal",1,"αἰωνίου = eternal",0.7142857142857143,10,0,0
"526400","rom","16","26","14",",1509722,",",1306818,",0,"[{'id': 1509722, 'book_id': 'rom', 'chapter': '16', 'verse': '26', 'word_num': 10, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GMS,'}]","αἰωνίου",1,0,"[{'id': 1306818, 'book_id': 'rom', 'chapter': '16', 'verse': '26', 'word_num': 20, 'word': 'eternal', 'occurrence': 1}]","eternal",1,"αἰωνίου = eternal",0.7142857142857143,10,0,0
"548616","1ti","6","12","10",",1532631,",",1338949,",0,"[{'id': 1532631, 'book_id': '1ti', 'chapter': '6', 'verse': '12', 'word_num': 8, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,0,"[{'id': 1338949, 'book_id': '1ti', 'chapter': '6', 'verse': '12', 'word_num': 11, 'word': 'eternal', 'occurrence': 1}]","eternal",1,"αἰωνίου = eternal",0.7142857142857143,10,0,0
"549208","2ti","2","10","17",",1533223,",",1339769,",0,"[{'id': 1533223, 'book_id': '2ti', 'chapter': '2', 'verse': '10', 'word_num': 18, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,0,"[{'id': 1339769, 'book_id': '2ti', 'chapter': '2', 'verse': '10', 'word_num': 24, 'word': 'eternal', 'occurrence': 1}]","eternal",1,"αἰωνίου = eternal",0.7142857142857143,10,0,0
"550007","tit","1","2","3",",1534039,",",1340887,",0,"[{'id': 1534039, 'book_id': 'tit', 'chapter': '1', 'verse': '2', 'word_num': 3, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,0,"[{'id': 1340887, 'book_id': 'tit', 'chapter': '1', 'verse': '2', 'word_num': 5, 'word': 'everlasting', 'occurrence': 1}]","everlasting",1,"αἰωνίου = everlasting",0.14285714285714285,2,0,0
"550534","tit","3","7","10",",1534559,",",1341641,",0,"[{'id': 1534559, 'book_id': 'tit', 'chapter': '3', 'verse': '7', 'word_num': 10, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,0,"[{'id': 1341641, 'book_id': 'tit', 'chapter': '3', 'verse': '7', 'word_num': 18, 'word': 'everlasting', 'occurrence': 1}]","everlasting",1,"αἰωνίου = everlasting",0.14285714285714285,2,0,0
"552187","heb","5","9","8",",1536300,",",1344117,",0,"[{'id': 1536300, 'book_id': 'heb', 'chapter': '5', 'verse': '9', 'word_num': 9, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GFS,'}]","αἰωνίου",1,0,"[{'id': 1344117, 'book_id': 'heb', 'chapter': '5', 'verse': '9', 'word_num': 14, 'word': 'eternal', 'occurrence': 1}]","eternal",1,"αἰωνίου = eternal",0.7142857142857143,10,0,0
"552298","heb","6","2","8",",1536420,",",1344278,",0,"[{'id': 1536420, 'book_id': 'heb', 'chapter': '6', 'verse': '2', 'word_num': 10, 'word': 'αἰωνίου', 'occurrence': 1, 'strong': 'G01660', 'lemma': 'αἰώνιος', 'morph': 'Gr,AA,,,,GNS,'}]","αἰωνίου",1,0,"[{'id': 1344278, 'book_id': 'heb', 'chapter': '6', 'verse': '2', 'word_num': 13, 'word': 'eternal', 'occurrence': 1}]","eternal",1,"αἰωνίου = eternal",0.7142857142857143,10,0,0
