"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"465984","mrk","12","44","15",",1446294,1446295,1446296,",",1222869,1222870,1222871,1222872,1222873,",2,"[{'id': 1446294, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 18, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1446295, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 19, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}, {'id': 1446296, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 20, 'word': 'αὐτῆς', 'occurrence': 2, 'strong': 'G08460', 'lemma': 'αὐτός', 'morph': 'Gr,RP,,,3GFS,'}]","τὸν βίον αὐτῆς",3,4,"[{'id': 1222869, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 22, 'word': 'she', 'occurrence': 2}, {'id': 1222870, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 23, 'word': 'had', 'occurrence': 2}, {'id': 1222871, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 24, 'word': 'to', 'occurrence': 1}, {'id': 1222872, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 25, 'word': 'live', 'occurrence': 1}, {'id': 1222873, 'book_id': 'mrk', 'chapter': '12', 'verse': '44', 'word_num': 26, 'word': 'on', 'occurrence': 1}]","she had to live on",5,"τὸν βίον αὐτῆς = she had to live on",0.1,0,0
"474509","luk","8","14","19",",1455304,",",1234961,",0,"[{'id': 1455304, 'book_id': 'luk', 'chapter': '8', 'verse': '14', 'word_num': 18, 'word': 'βίου', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,GMS,'}]","βίου",1,0,"[{'id': 1234961, 'book_id': 'luk', 'chapter': '8', 'verse': '14', 'word_num': 30, 'word': 'of', 'occurrence': 1}]","of",1,"βίου = of",0.2,0,0
"475116","luk","8","43","13",",1455909,",",1235774,",0,"[{'id': 1455909, 'book_id': 'luk', 'chapter': '8', 'verse': '43', 'word_num': 14, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}]","βίον",1,0,"[{'id': 1235774, 'book_id': 'luk', 'chapter': '8', 'verse': '43', 'word_num': 18, 'word': 'living', 'occurrence': 1}]","living",1,"βίον = living",0.1,0,0
"480634","luk","15","12","20",",1461539,",",1243251,",0,"[{'id': 1461539, 'book_id': 'luk', 'chapter': '15', 'verse': '12', 'word_num': 19, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}]","βίον",1,0,"[{'id': 1243251, 'book_id': 'luk', 'chapter': '15', 'verse': '12', 'word_num': 25, 'word': 'property', 'occurrence': 1}]","property",1,"βίον = property",0.1,0,0
"480947","luk","15","30","9",",1461859,1461860,",",1243674,",1,"[{'id': 1461859, 'book_id': 'luk', 'chapter': '15', 'verse': '30', 'word_num': 9, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1461860, 'book_id': 'luk', 'chapter': '15', 'verse': '30', 'word_num': 10, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν βίον",2,0,"[{'id': 1243674, 'book_id': 'luk', 'chapter': '15', 'verse': '30', 'word_num': 11, 'word': 'living', 'occurrence': 1}]","living",1,"τὸν βίον = living",0.1,0,0
"484305","luk","21","4","21",",1465254,1465255,",",1248363,1248364,1248365,",1,"[{'id': 1465254, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 18, 'word': 'τὸν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AMS,'}, {'id': 1465255, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 19, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}]","τὸν βίον",2,2,"[{'id': 1248363, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 23, 'word': 'to', 'occurrence': 1}, {'id': 1248364, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 24, 'word': 'live', 'occurrence': 1}, {'id': 1248365, 'book_id': 'luk', 'chapter': '21', 'verse': '4', 'word_num': 25, 'word': 'on', 'occurrence': 1}]","to live on",3,"τὸν βίον = to live on",0.1,0,0
"547477","1ti","2","2","11",",1531522,",",1337338,",0,"[{'id': 1531522, 'book_id': '1ti', 'chapter': '2', 'verse': '2', 'word_num': 12, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}]","βίον",1,0,"[{'id': 1337338, 'book_id': '1ti', 'chapter': '2', 'verse': '2', 'word_num': 18, 'word': 'life', 'occurrence': 1}]","life",1,"βίον = life",0.1,0,0
"549125","2ti","2","4","6",",1533142,",",1339648,",0,"[{'id': 1533142, 'book_id': '2ti', 'chapter': '2', 'verse': '4', 'word_num': 5, 'word': 'βίου', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,GMS,'}]","βίου",1,0,"[{'id': 1339648, 'book_id': '2ti', 'chapter': '2', 'verse': '4', 'word_num': 11, 'word': 'of', 'occurrence': 1}]","of",1,"βίου = of",0.2,0,0
"560402","1jn","2","16","18",",1544994,1544995,",",1356684,1356685,",1,"[{'id': 1544994, 'book_id': '1jn', 'chapter': '2', 'verse': '16', 'word_num': 18, 'word': 'τοῦ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,GMS,'}, {'id': 1544995, 'book_id': '1jn', 'chapter': '2', 'verse': '16', 'word_num': 19, 'word': 'βίου', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,GMS,'}]","τοῦ βίου",2,1,"[{'id': 1356684, 'book_id': '1jn', 'chapter': '2', 'verse': '16', 'word_num': 21, 'word': 'of', 'occurrence': 3}, {'id': 1356685, 'book_id': '1jn', 'chapter': '2', 'verse': '16', 'word_num': 22, 'word': 'life', 'occurrence': 1}]","of life",2,"τοῦ βίου = of life",0.1,0,0
"560937","1jn","3","17","4",",1545588,",",1357430,",0,"[{'id': 1545588, 'book_id': '1jn', 'chapter': '3', 'verse': '17', 'word_num': 5, 'word': 'βίον', 'occurrence': 1, 'strong': 'G09790', 'lemma': 'βίος', 'morph': 'Gr,N,,,,,AMS,'}]","βίον",1,0,"[{'id': 1357430, 'book_id': '1jn', 'chapter': '3', 'verse': '17', 'word_num': 6, 'word': 'goods', 'occurrence': 1}]","goods",1,"βίον = goods",0.1,0,0
