"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"458102","mrk","1","4","2",",1437800,1437801,",",1211787,",1,"[{'id': 1437800, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 2, 'word': 'ὁ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1437801, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 3, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","ὁ βαπτίζων",2,0,"[{'id': 1211787, 'book_id': 'mrk', 'chapter': '1', 'verse': '4', 'word_num': 2, 'word': 'baptizing', 'occurrence': 1}]","baptizing",1,"ὁ βαπτίζων = baptizing",0.14285714285714285,1,0,0
"461274","mrk","6","14","12",",1441176,",",1216193,",0,"[{'id': 1441176, 'book_id': 'mrk', 'chapter': '6', 'verse': '14', 'word_num': 16, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","βαπτίζων",1,0,"[{'id': 1216193, 'book_id': 'mrk', 'chapter': '6', 'verse': '14', 'word_num': 17, 'word': 'Baptist', 'occurrence': 1}]","Baptist",1,"βαπτίζων = Baptist",0.14285714285714285,1,0,0
"487921","jhn","1","28","10",",1468935,",",1253219,",0,"[{'id': 1468935, 'book_id': 'jhn', 'chapter': '1', 'verse': '28', 'word_num': 11, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","βαπτίζων",1,0,"[{'id': 1253219, 'book_id': 'jhn', 'chapter': '1', 'verse': '28', 'word_num': 16, 'word': 'baptizing', 'occurrence': 1}]","baptizing",1,"βαπτίζων = baptizing",0.42857142857142855,3,0,0
"487970","jhn","1","31","11",",1468990,",",1253288,",0,"[{'id': 1468990, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 15, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","βαπτίζων",1,0,"[{'id': 1253288, 'book_id': 'jhn', 'chapter': '1', 'verse': '31', 'word_num': 19, 'word': 'baptizing', 'occurrence': 1}]","baptizing",1,"βαπτίζων = baptizing",0.42857142857142855,3,0,0
"488013","jhn","1","33","25",",1469035,1469036,",",1253341,1253342,1253343,",1,"[{'id': 1469035, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 27, 'word': 'ὁ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RD,,,,NMS,'}, {'id': 1469036, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 28, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","ὁ βαπτίζων",2,2,"[{'id': 1253341, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 32, 'word': 'the', 'occurrence': 2}, {'id': 1253342, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 33, 'word': 'one', 'occurrence': 1}, {'id': 1253343, 'book_id': 'jhn', 'chapter': '1', 'verse': '33', 'word_num': 34, 'word': 'baptizing', 'occurrence': 1}]","the one baptizing",3,"ὁ βαπτίζων = the one baptizing",0.14285714285714285,1,0,0
"489078","jhn","3","23","4",",1470205,",",1254741,",0,"[{'id': 1470205, 'book_id': 'jhn', 'chapter': '3', 'verse': '23', 'word_num': 5, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","βαπτίζων",1,0,"[{'id': 1254741, 'book_id': 'jhn', 'chapter': '3', 'verse': '23', 'word_num': 4, 'word': 'baptizing', 'occurrence': 1}]","baptizing",1,"βαπτίζων = baptizing",0.42857142857142855,3,0,0
"494968","jhn","10","40","10",",1476708,",",1262798,",0,"[{'id': 1476708, 'book_id': 'jhn', 'chapter': '10', 'verse': '40', 'word_num': 14, 'word': 'βαπτίζων', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,PPA,NMS,'}]","βαπτίζων",1,0,"[{'id': 1262798, 'book_id': 'jhn', 'chapter': '10', 'verse': '40', 'word_num': 13, 'word': 'had', 'occurrence': 1}]","had",1,"βαπτίζων = had",0.14285714285714285,1,0,0
"458124","mrk","1","5","11",",1437824,1437825,",",1211817,1211818,1211819,",1,"[{'id': 1437824, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 12, 'word': 'καὶ', 'occurrence': 3, 'strong': 'G25320', 'lemma': 'καί', 'morph': 'Gr,CC,,,,,,,,'}, {'id': 1437825, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 13, 'word': 'ἐβαπτίζοντο', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,IIP3,,P,'}]","καὶ ἐβαπτίζοντο",2,2,"[{'id': 1211817, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 15, 'word': 'They', 'occurrence': 1}, {'id': 1211818, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 16, 'word': 'were', 'occurrence': 1}, {'id': 1211819, 'book_id': 'mrk', 'chapter': '1', 'verse': '5', 'word_num': 17, 'word': 'baptized', 'occurrence': 1}]","They were baptized",3,"καὶ ἐβαπτίζοντο = They were baptized",0.25,1,0,0
"489090","jhn","3","23","16",",1470219,",",1254758,1254759,1254760,",0,"[{'id': 1470219, 'book_id': 'jhn', 'chapter': '3', 'verse': '23', 'word_num': 19, 'word': 'ἐβαπτίζοντο', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,IIP3,,P,'}]","ἐβαπτίζοντο",1,2,"[{'id': 1254758, 'book_id': 'jhn', 'chapter': '3', 'verse': '23', 'word_num': 21, 'word': 'were', 'occurrence': 2}, {'id': 1254759, 'book_id': 'jhn', 'chapter': '3', 'verse': '23', 'word_num': 22, 'word': 'being', 'occurrence': 1}, {'id': 1254760, 'book_id': 'jhn', 'chapter': '3', 'verse': '23', 'word_num': 23, 'word': 'baptized', 'occurrence': 1}]","were being baptized",3,"ἐβαπτίζοντο = were being baptized",0.25,1,0,0
"506673","act","8","12","15",",1489042,",",1278724,1278725,1278726,",0,"[{'id': 1489042, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 16, 'word': 'ἐβαπτίζοντο', 'occurrence': 1, 'strong': 'G09070', 'lemma': 'βαπτίζω', 'morph': 'Gr,V,IIP3,,P,'}]","ἐβαπτίζοντο",1,2,"[{'id': 1278724, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 20, 'word': 'they', 'occurrence': 2}, {'id': 1278725, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 21, 'word': 'were', 'occurrence': 1}, {'id': 1278726, 'book_id': 'act', 'chapter': '8', 'verse': '12', 'word_num': 22, 'word': 'baptized', 'occurrence': 1}]","they were baptized",3,"ἐβαπτίζοντο = they were baptized",0.25,1,0,0
