"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459625","mrk","3","28","11",",1439433,1439434,",",1213915,",1,"[{'id': 1439433, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 13, 'word': 'αἱ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFP,'}, {'id': 1439434, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 14, 'word': 'βλασφημίαι', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,NFP,'}]","αἱ βλασφημίαι",2,0,"[{'id': 1213915, 'book_id': 'mrk', 'chapter': '3', 'verse': '28', 'word_num': 17, 'word': 'blasphemies', 'occurrence': 1}]","blasphemies",1,"αἱ βλασφημίαι = blasphemies",0.5,1,0,0
"548510","1ti","6","4","15",",1532522,",",1338799,",0,"[{'id': 1532522, 'book_id': '1ti', 'chapter': '6', 'verse': '4', 'word_num': 14, 'word': 'βλασφημίαι', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,NFP,'}]","βλασφημίαι",1,0,"[{'id': 1338799, 'book_id': '1ti', 'chapter': '6', 'verse': '4', 'word_num': 22, 'word': 'insults', 'occurrence': 1}]","insults",1,"βλασφημίαι = insults",0.5,1,0,0
"462291","mrk","7","22","6",",1442263,",",1217591,",0,"[{'id': 1442263, 'book_id': 'mrk', 'chapter': '7', 'verse': '22', 'word_num': 7, 'word': 'βλασφημία', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,NFS,'}]","βλασφημία",1,0,"[{'id': 1217591, 'book_id': 'mrk', 'chapter': '7', 'verse': '22', 'word_num': 6, 'word': 'slander', 'occurrence': 1}]","slander",1,"βλασφημία = slander",0.5,1,0,0
"541068","eph","4","31","10",",1524811,",",1328267,",0,"[{'id': 1524811, 'book_id': 'eph', 'chapter': '4', 'verse': '31', 'word_num': 9, 'word': 'βλασφημία', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,NFS,'}]","βλασφημία",1,0,"[{'id': 1328267, 'book_id': 'eph', 'chapter': '4', 'verse': '31', 'word_num': 10, 'word': 'insults', 'occurrence': 1}]","insults",1,"βλασφημία = insults",0.5,1,0,0
"467517","mrk","14","64","2",",1447940,",",1225059,",0,"[{'id': 1447940, 'book_id': 'mrk', 'chapter': '14', 'verse': '64', 'word_num': 2, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,GFS,'}]","βλασφημίας",1,0,"[{'id': 1225059, 'book_id': 'mrk', 'chapter': '14', 'verse': '64', 'word_num': 4, 'word': 'blasphemy', 'occurrence': 1}]","blasphemy",1,"βλασφημίας = blasphemy",0.25,2,0,0
"472118","luk","5","21","14",",1452882,",",1231677,",0,"[{'id': 1452882, 'book_id': 'luk', 'chapter': '5', 'verse': '21', 'word_num': 14, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,AFP,'}]","βλασφημίας",1,0,"[{'id': 1231677, 'book_id': 'luk', 'chapter': '5', 'verse': '21', 'word_num': 15, 'word': 'blasphemies', 'occurrence': 1}]","blasphemies",1,"βλασφημίας = blasphemies",0.25,2,0,0
"494857","jhn","10","33","13",",1476588,",",1262649,",0,"[{'id': 1476588, 'book_id': 'jhn', 'chapter': '10', 'verse': '33', 'word_num': 12, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,GFS,'}]","βλασφημίας",1,0,"[{'id': 1262649, 'book_id': 'jhn', 'chapter': '10', 'verse': '33', 'word_num': 15, 'word': 'blasphemy', 'occurrence': 1}]","blasphemy",1,"βλασφημίας = blasphemy",0.25,2,0,0
"562457","jud","1","9","16",",1547254,",",1359534,",0,"[{'id': 1547254, 'book_id': 'jud', 'chapter': '1', 'verse': '9', 'word_num': 18, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,GFS,'}]","βλασφημίας",1,0,"[{'id': 1359534, 'book_id': 'jud', 'chapter': '1', 'verse': '9', 'word_num': 27, 'word': 'slanderous', 'occurrence': 1}]","slanderous",1,"βλασφημίας = slanderous",0.125,1,0,0
"567308","rev","13","1","23",",1552660,",",1366294,",0,"[{'id': 1552660, 'book_id': 'rev', 'chapter': '13', 'verse': '1', 'word_num': 26, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,GFS,'}]","βλασφημίας",1,0,"[{'id': 1366294, 'book_id': 'rev', 'chapter': '13', 'verse': '1', 'word_num': 32, 'word': 'blasphemous', 'occurrence': 1}]","blasphemous",1,"βλασφημίας = blasphemous",0.25,2,0,0
"567394","rev","13","5","7",",1552754,",",1366410,",0,"[{'id': 1552754, 'book_id': 'rev', 'chapter': '13', 'verse': '5', 'word_num': 7, 'word': 'βλασφημίας', 'occurrence': 1, 'strong': 'G09880', 'lemma': 'βλασφημία', 'morph': 'Gr,N,,,,,AFP,'}]","βλασφημίας",1,0,"[{'id': 1366410, 'book_id': 'rev', 'chapter': '13', 'verse': '5', 'word_num': 12, 'word': 'blasphemies', 'occurrence': 1}]","blasphemies",1,"βλασφημίας = blasphemies",0.25,2,0,0
