"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"466899","mrk","14","21","26",",1447273,",",1224188,",0,"[{'id': 1447273, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 28, 'word': 'ἐγεννήθη', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐγεννήθη",1,0,"[{'id': 1224188, 'book_id': 'mrk', 'chapter': '14', 'verse': '21', 'word_num': 37, 'word': 'had', 'occurrence': 1}]","had",1,"ἐγεννήθη = had",0.2,1,0,0
"493993","jhn","9","19","11",",1475679,",",1261487,1261488,1261489,",0,"[{'id': 1475679, 'book_id': 'jhn', 'chapter': '9', 'verse': '19', 'word_num': 14, 'word': 'ἐγεννήθη', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐγεννήθη",1,2,"[{'id': 1261487, 'book_id': 'jhn', 'chapter': '9', 'verse': '19', 'word_num': 14, 'word': 'he', 'occurrence': 1}, {'id': 1261488, 'book_id': 'jhn', 'chapter': '9', 'verse': '19', 'word_num': 15, 'word': 'was', 'occurrence': 1}, {'id': 1261489, 'book_id': 'jhn', 'chapter': '9', 'verse': '19', 'word_num': 16, 'word': 'born', 'occurrence': 1}]","he was born",3,"ἐγεννήθη = he was born",0.4,2,0,0
"494014","jhn","9","20","14",",1475701,",",1261512,1261513,1261514,",0,"[{'id': 1475701, 'book_id': 'jhn', 'chapter': '9', 'verse': '20', 'word_num': 17, 'word': 'ἐγεννήθη', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐγεννήθη",1,2,"[{'id': 1261512, 'book_id': 'jhn', 'chapter': '9', 'verse': '20', 'word_num': 15, 'word': 'he', 'occurrence': 1}, {'id': 1261513, 'book_id': 'jhn', 'chapter': '9', 'verse': '20', 'word_num': 16, 'word': 'was', 'occurrence': 1}, {'id': 1261514, 'book_id': 'jhn', 'chapter': '9', 'verse': '20', 'word_num': 17, 'word': 'born', 'occurrence': 1}]","he was born",3,"ἐγεννήθη = he was born",0.4,2,0,0
"498672","jhn","16","21","24",",1480661,",",1267908,1267909,1267910,",0,"[{'id': 1480661, 'book_id': 'jhn', 'chapter': '16', 'verse': '21', 'word_num': 24, 'word': 'ἐγεννήθη', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐγεννήθη",1,2,"[{'id': 1267908, 'book_id': 'jhn', 'chapter': '16', 'verse': '21', 'word_num': 35, 'word': 'has', 'occurrence': 4}, {'id': 1267909, 'book_id': 'jhn', 'chapter': '16', 'verse': '21', 'word_num': 36, 'word': 'been', 'occurrence': 1}, {'id': 1267910, 'book_id': 'jhn', 'chapter': '16', 'verse': '21', 'word_num': 37, 'word': 'born', 'occurrence': 1}]","has been born",3,"ἐγεννήθη = has been born",0.2,1,0,0
"505758","act","7","20","4",",1488105,",",1277461,1277462,",0,"[{'id': 1488105, 'book_id': 'act', 'chapter': '7', 'verse': '20', 'word_num': 3, 'word': 'ἐγεννήθη', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAP3,,S,'}]","ἐγεννήθη",1,1,"[{'id': 1277461, 'book_id': 'act', 'chapter': '7', 'verse': '20', 'word_num': 4, 'word': 'was', 'occurrence': 1}, {'id': 1277462, 'book_id': 'act', 'chapter': '7', 'verse': '20', 'word_num': 5, 'word': 'born', 'occurrence': 1}]","was born",2,"ἐγεννήθη = was born",0.2,1,0,0
"468601","luk","1","13","17",",1449267,",",1226927,1226928,",0,"[{'id': 1449267, 'book_id': 'luk', 'chapter': '1', 'verse': '13', 'word_num': 19, 'word': 'γεννήσει', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IFA3,,S,'}]","γεννήσει",1,1,"[{'id': 1226927, 'book_id': 'luk', 'chapter': '1', 'verse': '13', 'word_num': 21, 'word': 'will', 'occurrence': 1}, {'id': 1226928, 'book_id': 'luk', 'chapter': '1', 'verse': '13', 'word_num': 22, 'word': 'bear', 'occurrence': 1}]","will bear",2,"γεννήσει = will bear",1.0,1,0,0
"468984","luk","1","35","21",",1449657,",",1227465,1227466,1227467,",0,"[{'id': 1449657, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 19, 'word': 'γεννώμενον', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,PPP,NNS,'}]","γεννώμενον",1,2,"[{'id': 1227465, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 30, 'word': 'will', 'occurrence': 3}, {'id': 1227466, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 31, 'word': 'be', 'occurrence': 1}, {'id': 1227467, 'book_id': 'luk', 'chapter': '1', 'verse': '35', 'word_num': 32, 'word': 'born', 'occurrence': 1}]","will be born",3,"γεννώμενον = will be born",1.0,1,0,0
"469258","luk","1","57","10",",1449953,",",1227841,1227842,1227843,1227844,",0,"[{'id': 1449953, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 10, 'word': 'ἐγέννησεν', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐγέννησεν",1,3,"[{'id': 1227841, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 12, 'word': 'she', 'occurrence': 1}, {'id': 1227842, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 13, 'word': 'gave', 'occurrence': 1}, {'id': 1227843, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 14, 'word': 'birth', 'occurrence': 1}, {'id': 1227844, 'book_id': 'luk', 'chapter': '1', 'verse': '57', 'word_num': 15, 'word': 'to', 'occurrence': 2}]","she gave birth to",4,"ἐγέννησεν = she gave birth to",0.034482758620689655,1,0,0
"505559","act","7","8","7",",1487893,",",1277205,1277206,1277207,1277208,",0,"[{'id': 1487893, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 7, 'word': 'ἐγέννησεν', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐγέννησεν",1,3,"[{'id': 1277205, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 10, 'word': 'he', 'occurrence': 1}, {'id': 1277206, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 11, 'word': 'became', 'occurrence': 1}, {'id': 1277207, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 12, 'word': 'the', 'occurrence': 2}, {'id': 1277208, 'book_id': 'act', 'chapter': '7', 'verse': '8', 'word_num': 13, 'word': 'father', 'occurrence': 1}]","he became the father",4,"ἐγέννησεν = he became the father",0.034482758620689655,1,0,0
"505908","act","7","29","13",",1488259,",",1277675,1277676,1277677,1277678,1277679,",0,"[{'id': 1488259, 'book_id': 'act', 'chapter': '7', 'verse': '29', 'word_num': 14, 'word': 'ἐγέννησεν', 'occurrence': 1, 'strong': 'G10800', 'lemma': 'γεννάω', 'morph': 'Gr,V,IAA3,,S,'}]","ἐγέννησεν",1,4,"[{'id': 1277675, 'book_id': 'act', 'chapter': '7', 'verse': '29', 'word_num': 18, 'word': 'he', 'occurrence': 2}, {'id': 1277676, 'book_id': 'act', 'chapter': '7', 'verse': '29', 'word_num': 19, 'word': 'became', 'occurrence': 2}, {'id': 1277677, 'book_id': 'act', 'chapter': '7', 'verse': '29', 'word_num': 20, 'word': 'the', 'occurrence': 2}, {'id': 1277678, 'book_id': 'act', 'chapter': '7', 'verse': '29', 'word_num': 21, 'word': 'father', 'occurrence': 1}, {'id': 1277679, 'book_id': 'act', 'chapter': '7', 'verse': '29', 'word_num': 22, 'word': 'of', 'occurrence': 2}]","he became the father of",5,"ἐγέννησεν = he became the father of",0.034482758620689655,1,0,0
