"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"481099","luk","16","6","12",",1462012,1462013,",",1243884,",1,"[{'id': 1462012, 'book_id': 'luk', 'chapter': '16', 'verse': '6', 'word_num': 12, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1462013, 'book_id': 'luk', 'chapter': '16', 'verse': '6', 'word_num': 13, 'word': 'γράμματα', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ γράμματα",2,0,"[{'id': 1243884, 'book_id': 'luk', 'chapter': '16', 'verse': '6', 'word_num': 15, 'word': 'bill', 'occurrence': 1}]","bill",1,"τὰ γράμματα = bill",0.3333333333333333,2,0,0
"481122","luk","16","7","17",",1462036,1462037,",",1243916,",1,"[{'id': 1462036, 'book_id': 'luk', 'chapter': '16', 'verse': '7', 'word_num': 17, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,ANP,'}, {'id': 1462037, 'book_id': 'luk', 'chapter': '16', 'verse': '7', 'word_num': 18, 'word': 'γράμματα', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,ANP,'}]","τὰ γράμματα",2,0,"[{'id': 1243916, 'book_id': 'luk', 'chapter': '16', 'verse': '7', 'word_num': 24, 'word': 'bill', 'occurrence': 1}]","bill",1,"τὰ γράμματα = bill",0.3333333333333333,2,0,0
"492247","jhn","7","15","9",",1473669,",",1258993,1258994,",0,"[{'id': 1473669, 'book_id': 'jhn', 'chapter': '7', 'verse': '15', 'word_num': 7, 'word': 'γράμματα', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,ANP,'}]","γράμματα",1,1,"[{'id': 1258993, 'book_id': 'jhn', 'chapter': '7', 'verse': '15', 'word_num': 10, 'word': 'the', 'occurrence': 2}, {'id': 1258994, 'book_id': 'jhn', 'chapter': '7', 'verse': '15', 'word_num': 11, 'word': 'scriptures', 'occurrence': 1}]","the scriptures",2,"γράμματα = the scriptures",0.16666666666666666,1,0,0
"518443","act","26","24","15",",1501124,1501127,",",1294756,",3,"[{'id': 1501124, 'book_id': 'act', 'chapter': '26', 'verse': '24', 'word_num': 12, 'word': 'τὰ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NNP,'}, {'id': 1501127, 'book_id': 'act', 'chapter': '26', 'verse': '24', 'word_num': 15, 'word': 'γράμματα', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,NNP,'}]","τὰ γράμματα",2,0,"[{'id': 1294756, 'book_id': 'act', 'chapter': '26', 'verse': '24', 'word_num': 20, 'word': 'learning', 'occurrence': 1}]","learning",1,"τὰ γράμματα = learning",0.16666666666666666,1,2,0
"519689","act","28","21","8",",1502406,",",1296530,",0,"[{'id': 1502406, 'book_id': 'act', 'chapter': '28', 'verse': '21', 'word_num': 7, 'word': 'γράμματα', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,ANP,'}]","γράμματα",1,0,"[{'id': 1296530, 'book_id': 'act', 'chapter': '28', 'verse': '21', 'word_num': 8, 'word': 'letters', 'occurrence': 1}]","letters",1,"γράμματα = letters",0.16666666666666666,1,0,0
"549631","2ti","3","15","6",",1533651,",",1340379,",0,"[{'id': 1533651, 'book_id': '2ti', 'chapter': '3', 'verse': '15', 'word_num': 5, 'word': 'γράμματα', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,ANP,'}]","γράμματα",1,0,"[{'id': 1340379, 'book_id': '2ti', 'chapter': '3', 'verse': '15', 'word_num': 9, 'word': 'writings', 'occurrence': 1}]","writings",1,"γράμματα = writings",0.16666666666666666,1,0,0
"490901","jhn","5","47","6",",1472191,",",1257198,",0,"[{'id': 1472191, 'book_id': 'jhn', 'chapter': '5', 'verse': '47', 'word_num': 4, 'word': 'γράμμασιν', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,DNP,'}]","γράμμασιν",1,0,"[{'id': 1257198, 'book_id': 'jhn', 'chapter': '5', 'verse': '47', 'word_num': 7, 'word': 'writings', 'occurrence': 1}]","writings",1,"γράμμασιν = writings",0.3333333333333333,1,0,0
"533892","2co","3","7","7",",1517448,",",1317791,",0,"[{'id': 1517448, 'book_id': '2co', 'chapter': '3', 'verse': '7', 'word_num': 7, 'word': 'γράμμασιν', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,DNP,'}]","γράμμασιν",1,0,"[{'id': 1317791, 'book_id': '2co', 'chapter': '3', 'verse': '7', 'word_num': 9, 'word': 'letters', 'occurrence': 1}]","letters",1,"γράμμασιν = letters",0.6666666666666666,2,0,0
"539408","gal","6","11","2",",1523146,",",1326090,",0,"[{'id': 1523146, 'book_id': 'gal', 'chapter': '6', 'verse': '11', 'word_num': 3, 'word': 'γράμμασιν', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,DNP,'}]","γράμμασιν",1,0,"[{'id': 1326090, 'book_id': 'gal', 'chapter': '6', 'verse': '11', 'word_num': 3, 'word': 'letters', 'occurrence': 1}]","letters",1,"γράμμασιν = letters",0.6666666666666666,2,0,0
"520771","rom","2","27","10",",1503577,",",1298170,1298171,1298172,",0,"[{'id': 1503577, 'book_id': 'rom', 'chapter': '2', 'verse': '27', 'word_num': 12, 'word': 'γράμματος', 'occurrence': 1, 'strong': 'G11210', 'lemma': 'γράμμα', 'morph': 'Gr,N,,,,,GNS,'}]","γράμματος",1,2,"[{'id': 1298170, 'book_id': 'rom', 'chapter': '2', 'verse': '27', 'word_num': 20, 'word': 'the', 'occurrence': 3}, {'id': 1298171, 'book_id': 'rom', 'chapter': '2', 'verse': '27', 'word_num': 21, 'word': 'written', 'occurrence': 1}, {'id': 1298172, 'book_id': 'rom', 'chapter': '2', 'verse': '27', 'word_num': 22, 'word': 'law', 'occurrence': 2}]","the written law",3,"γράμματος = the written law",0.3333333333333333,1,0,0
