"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"465389","mrk","12","10","4",",1445641,1445642,",",1222058,",1,"[{'id': 1445641, 'book_id': 'mrk', 'chapter': '12', 'verse': '10', 'word_num': 1, 'word': 'τὴν', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,AFS,'}, {'id': 1445642, 'book_id': 'mrk', 'chapter': '12', 'verse': '10', 'word_num': 2, 'word': 'Γραφὴν', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,AFS,'}]","τὴν Γραφὴν",2,0,"[{'id': 1222058, 'book_id': 'mrk', 'chapter': '12', 'verse': '10', 'word_num': 5, 'word': 'scripture', 'occurrence': 1}]","scripture",1,"τὴν Γραφὴν = scripture",0.021739130434782608,0,0
"465627","mrk","12","24","11",",1445899,",",1222386,",0,"[{'id': 1445899, 'book_id': 'mrk', 'chapter': '12', 'verse': '24', 'word_num': 11, 'word': 'Γραφὰς', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,AFP,'}]","Γραφὰς",1,0,"[{'id': 1222386, 'book_id': 'mrk', 'chapter': '12', 'verse': '24', 'word_num': 18, 'word': 'scriptures', 'occurrence': 1}]","scriptures",1,"Γραφὰς = scriptures",0.043478260869565216,0,0
"467318","mrk","14","49","17",",1447728,",",1224782,",0,"[{'id': 1447728, 'book_id': 'mrk', 'chapter': '14', 'verse': '49', 'word_num': 17, 'word': 'Γραφαί', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,NFP,'}]","Γραφαί",1,0,"[{'id': 1224782, 'book_id': 'mrk', 'chapter': '14', 'verse': '49', 'word_num': 22, 'word': 'scriptures', 'occurrence': 1}]","scriptures",1,"Γραφαί = scriptures",0.021739130434782608,0,0
"471273","luk","4","21","7",",1452029,1452030,",",1230558,",1,"[{'id': 1452029, 'book_id': 'luk', 'chapter': '4', 'verse': '21', 'word_num': 8, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1452030, 'book_id': 'luk', 'chapter': '4', 'verse': '21', 'word_num': 9, 'word': 'Γραφὴ', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ Γραφὴ",2,0,"[{'id': 1230558, 'book_id': 'luk', 'chapter': '4', 'verse': '21', 'word_num': 9, 'word': 'scripture', 'occurrence': 1}]","scripture",1,"ἡ Γραφὴ = scripture",0.021739130434782608,0,0
"487170","luk","24","27","17",",1468149,",",1252210,",0,"[{'id': 1468149, 'book_id': 'luk', 'chapter': '24', 'verse': '27', 'word_num': 14, 'word': 'Γραφαῖς', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,DFP,'}]","Γραφαῖς",1,0,"[{'id': 1252210, 'book_id': 'luk', 'chapter': '24', 'verse': '27', 'word_num': 20, 'word': 'scriptures', 'occurrence': 1}]","scriptures",1,"Γραφαῖς = scriptures",0.021739130434782608,0,0
"487252","luk","24","32","20",",1468237,",",1252324,",0,"[{'id': 1468237, 'book_id': 'luk', 'chapter': '24', 'verse': '32', 'word_num': 20, 'word': 'Γραφάς', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,AFP,'}]","Γραφάς",1,0,"[{'id': 1252324, 'book_id': 'luk', 'chapter': '24', 'verse': '32', 'word_num': 25, 'word': 'scriptures', 'occurrence': 1}]","scriptures",1,"Γραφάς = scriptures",0.10869565217391304,0,0
"487432","luk","24","45","6",",1468422,",",1252572,",0,"[{'id': 1468422, 'book_id': 'luk', 'chapter': '24', 'verse': '45', 'word_num': 8, 'word': 'Γραφάς', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,AFP,'}]","Γραφάς",1,0,"[{'id': 1252572, 'book_id': 'luk', 'chapter': '24', 'verse': '45', 'word_num': 8, 'word': 'scriptures', 'occurrence': 1}]","scriptures",1,"Γραφάς = scriptures",0.10869565217391304,0,0
"488637","jhn","2","22","14",",1469723,",",1254164,",0,"[{'id': 1469723, 'book_id': 'jhn', 'chapter': '2', 'verse': '22', 'word_num': 15, 'word': 'Γραφῇ', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,DFS,'}]","Γραφῇ",1,0,"[{'id': 1254164, 'book_id': 'jhn', 'chapter': '2', 'verse': '22', 'word_num': 19, 'word': 'scripture', 'occurrence': 1}]","scripture",1,"Γραφῇ = scripture",0.021739130434782608,0,0
"490785","jhn","5","39","2",",1472075,",",1257047,",0,"[{'id': 1472075, 'book_id': 'jhn', 'chapter': '5', 'verse': '39', 'word_num': 2, 'word': 'Γραφάς', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,AFP,'}]","Γραφάς",1,0,"[{'id': 1257047, 'book_id': 'jhn', 'chapter': '5', 'verse': '39', 'word_num': 3, 'word': 'scriptures', 'occurrence': 1}]","scriptures",1,"Γραφάς = scriptures",0.10869565217391304,0,0
"492649","jhn","7","38","5",",1474073,",",1259513,",0,"[{'id': 1474073, 'book_id': 'jhn', 'chapter': '7', 'verse': '38', 'word_num': 7, 'word': 'Γραφή', 'occurrence': 1, 'strong': 'G11240', 'lemma': 'γραφή', 'morph': 'Gr,N,,,,,NFS,'}]","Γραφή",1,0,"[{'id': 1259513, 'book_id': 'jhn', 'chapter': '7', 'verse': '38', 'word_num': 8, 'word': 'scripture', 'occurrence': 1}]","scripture",1,"Γραφή = scripture",0.10869565217391304,0,0
