"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"468595","luk","1","13","11",",1449259,1449260,",",1226919,",1,"[{'id': 1449259, 'book_id': 'luk', 'chapter': '1', 'verse': '13', 'word_num': 11, 'word': 'ἡ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1449260, 'book_id': 'luk', 'chapter': '1', 'verse': '13', 'word_num': 12, 'word': 'δέησίς', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ δέησίς",2,0,"[{'id': 1226919, 'book_id': 'luk', 'chapter': '1', 'verse': '13', 'word_num': 13, 'word': 'prayer', 'occurrence': 1}]","prayer",1,"ἡ δέησίς = prayer",0.05555555555555555,0,0
"470129","luk","2","37","14",",1450868,",",1229047,",0,"[{'id': 1450868, 'book_id': 'luk', 'chapter': '2', 'verse': '37', 'word_num': 14, 'word': 'δεήσεσιν', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,DFP,'}]","δεήσεσιν",1,0,"[{'id': 1229047, 'book_id': 'luk', 'chapter': '2', 'verse': '37', 'word_num': 17, 'word': 'prayers', 'occurrence': 1}]","prayers",1,"δεήσεσιν = prayers",0.05555555555555555,0,0
"472315","luk","5","33","12",",1453092,",",1231950,",0,"[{'id': 1453092, 'book_id': 'luk', 'chapter': '5', 'verse': '33', 'word_num': 11, 'word': 'δεήσεις', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,AFP,'}]","δεήσεις",1,0,"[{'id': 1231950, 'book_id': 'luk', 'chapter': '5', 'verse': '33', 'word_num': 13, 'word': 'prayers', 'occurrence': 1}]","prayers",1,"δεήσεις = prayers",0.1111111111111111,0,0
"523822","rom","10","1","6",",1506904,1506905,",",1302882,1302883,",1,"[{'id': 1506904, 'book_id': 'rom', 'chapter': '10', 'verse': '1', 'word_num': 8, 'word': 'ἡ', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,NFS,'}, {'id': 1506905, 'book_id': 'rom', 'chapter': '10', 'verse': '1', 'word_num': 9, 'word': 'δέησις', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,NFS,'}]","ἡ δέησις",2,1,"[{'id': 1302882, 'book_id': 'rom', 'chapter': '10', 'verse': '1', 'word_num': 7, 'word': 'my', 'occurrence': 2}, {'id': 1302883, 'book_id': 'rom', 'chapter': '10', 'verse': '1', 'word_num': 8, 'word': 'request', 'occurrence': 1}]","my request",2,"ἡ δέησις = my request",0.05555555555555555,0,0
"533237","2co","1","11","4",",1516782,1516783,",",1316875,1316876,",1,"[{'id': 1516782, 'book_id': '2co', 'chapter': '1', 'verse': '11', 'word_num': 5, 'word': 'τῇ', 'occurrence': 1, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,EA,,,,DFS,'}, {'id': 1516783, 'book_id': '2co', 'chapter': '1', 'verse': '11', 'word_num': 6, 'word': 'δεήσει', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,DFS,'}]","τῇ δεήσει",2,1,"[{'id': 1316875, 'book_id': '2co', 'chapter': '1', 'verse': '11', 'word_num': 5, 'word': 'with', 'occurrence': 1}, {'id': 1316876, 'book_id': '2co', 'chapter': '1', 'verse': '11', 'word_num': 6, 'word': 'prayer', 'occurrence': 1}]","with prayer",2,"τῇ δεήσει = with prayer",0.05555555555555555,0,0
"535925","2co","9","14","2",",1519559,",",1320727,",0,"[{'id': 1519559, 'book_id': '2co', 'chapter': '9', 'verse': '14', 'word_num': 2, 'word': 'δεήσει', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,DFS,'}]","δεήσει",1,0,"[{'id': 1320727, 'book_id': '2co', 'chapter': '9', 'verse': '14', 'word_num': 2, 'word': 'prayers', 'occurrence': 1}]","prayers",1,"δεήσει = prayers",0.05555555555555555,0,0
"541820","eph","6","18","4",",1525565,",",1329191,",0,"[{'id': 1525565, 'book_id': 'eph', 'chapter': '6', 'verse': '18', 'word_num': 4, 'word': 'δεήσεως', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,GFS,'}]","δεήσεως",1,0,"[{'id': 1329191, 'book_id': 'eph', 'chapter': '6', 'verse': '18', 'word_num': 4, 'word': 'request', 'occurrence': 1}]","request",1,"δεήσεως = request",0.05555555555555555,0,0
"541834","eph","6","18","18",",1525580,",",1329208,",0,"[{'id': 1525580, 'book_id': 'eph', 'chapter': '6', 'verse': '18', 'word_num': 19, 'word': 'δεήσει', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,DFS,'}]","δεήσει",1,0,"[{'id': 1329208, 'book_id': 'eph', 'chapter': '6', 'verse': '18', 'word_num': 21, 'word': 'requests', 'occurrence': 1}]","requests",1,"δεήσει = requests",0.05555555555555555,0,0
"541975","php","1","4","3",",1525727,",",1329402,",0,"[{'id': 1525727, 'book_id': 'php', 'chapter': '1', 'verse': '4', 'word_num': 3, 'word': 'δεήσει', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,DFS,'}]","δεήσει",1,0,"[{'id': 1329402, 'book_id': 'php', 'chapter': '1', 'verse': '4', 'word_num': 3, 'word': 'prayer', 'occurrence': 1}]","prayer",1,"δεήσει = prayer",0.05555555555555555,0,0
"541982","php","1","4","10",",1525735,",",1329411,",0,"[{'id': 1525735, 'book_id': 'php', 'chapter': '1', 'verse': '4', 'word_num': 11, 'word': 'δέησιν', 'occurrence': 1, 'strong': 'G11620', 'lemma': 'δέησις', 'morph': 'Gr,N,,,,,AFS,'}]","δέησιν",1,0,"[{'id': 1329411, 'book_id': 'php', 'chapter': '1', 'verse': '4', 'word_num': 12, 'word': 'prayer', 'occurrence': 2}]","prayer",1,"δέησιν = prayer",0.05555555555555555,0,0
