"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"459605","mrk","3","27","12",",1439413,",",1213885,1213886,",0,"[{'id': 1439413, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 19, 'word': 'δήσῃ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,SAA3,,S,'}]","δήσῃ",1,1,"[{'id': 1213885, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 17, 'word': 'tying', 'occurrence': 1}, {'id': 1213886, 'book_id': 'mrk', 'chapter': '3', 'verse': '27', 'word_num': 18, 'word': 'up', 'occurrence': 1}]","tying up",2,"δήσῃ = tying up",1.0,1,0,0
"460426","mrk","5","3","7",",1440270,",",1215000,",0,"[{'id': 1440270, 'book_id': 'mrk', 'chapter': '5', 'verse': '3', 'word_num': 14, 'word': 'δῆσαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NAA,,,,,'}]","δῆσαι",1,0,"[{'id': 1215000, 'book_id': 'mrk', 'chapter': '5', 'verse': '3', 'word_num': 9, 'word': 'restrain', 'occurrence': 1}]","restrain",1,"δῆσαι = restrain",0.5,1,0,0
"507404","act","9","14","5",",1489799,",",1279673,1279674,",0,"[{'id': 1489799, 'book_id': 'act', 'chapter': '9', 'verse': '14', 'word_num': 7, 'word': 'δῆσαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NAA,,,,,'}]","δῆσαι",1,1,"[{'id': 1279673, 'book_id': 'act', 'chapter': '9', 'verse': '14', 'word_num': 7, 'word': 'to', 'occurrence': 1}, {'id': 1279674, 'book_id': 'act', 'chapter': '9', 'verse': '14', 'word_num': 8, 'word': 'arrest', 'occurrence': 1}]","to arrest",2,"δῆσαι = to arrest",0.5,1,0,0
"460433","mrk","5","4","2",",1440278,",",1215010,",0,"[{'id': 1440278, 'book_id': 'mrk', 'chapter': '5', 'verse': '4', 'word_num': 7, 'word': 'δεδέσθαι', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,NEP,,,,,'}]","δεδέσθαι",1,0,"[{'id': 1215010, 'book_id': 'mrk', 'chapter': '5', 'verse': '4', 'word_num': 2, 'word': 'had', 'occurrence': 1}]","had",1,"δεδέσθαι = had",1.0,1,0,0
"461315","mrk","6","17","7",",1441224,",",1216254,1216255,",0,"[{'id': 1441224, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 9, 'word': 'ἔδησεν', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδησεν",1,1,"[{'id': 1216254, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 9, 'word': 'he', 'occurrence': 1}, {'id': 1216255, 'book_id': 'mrk', 'chapter': '6', 'verse': '17', 'word_num': 10, 'word': 'had', 'occurrence': 1}]","he had",2,"ἔδησεν = he had",0.3333333333333333,1,0,0
"479461","luk","13","16","8",",1460361,",",1241644,",0,"[{'id': 1460361, 'book_id': 'luk', 'chapter': '13', 'verse': '16', 'word_num': 6, 'word': 'ἔδησεν', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδησεν",1,0,"[{'id': 1241644, 'book_id': 'luk', 'chapter': '13', 'verse': '16', 'word_num': 11, 'word': 'bound', 'occurrence': 1}]","bound",1,"ἔδησεν = bound",0.6666666666666666,2,0,0
"570249","rev","20","2","12",",1555931,",",1370230,",0,"[{'id': 1555931, 'book_id': 'rev', 'chapter': '20', 'verse': '2', 'word_num': 15, 'word': 'ἔδησεν', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδησεν",1,0,"[{'id': 1370230, 'book_id': 'rev', 'chapter': '20', 'verse': '2', 'word_num': 16, 'word': 'bound', 'occurrence': 1}]","bound",1,"ἔδησεν = bound",0.6666666666666666,2,0,0
"462978","mrk","8","31","8",",1442986,",",1218562,",0,"[{'id': 1442986, 'book_id': 'mrk', 'chapter': '8', 'verse': '31', 'word_num': 5, 'word': 'δεῖ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IPA3,,S,'}]","δεῖ",1,0,"[{'id': 1218562, 'book_id': 'mrk', 'chapter': '8', 'verse': '31', 'word_num': 11, 'word': 'must', 'occurrence': 1}]","must",1,"δεῖ = must",0.6216216216216216,46,0,0
"463302","mrk","9","11","10",",1443352,",",1218993,",0,"[{'id': 1443352, 'book_id': 'mrk', 'chapter': '9', 'verse': '11', 'word_num': 10, 'word': 'δεῖ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IPA3,,S,'}]","δεῖ",1,0,"[{'id': 1218993, 'book_id': 'mrk', 'chapter': '9', 'verse': '11', 'word_num': 12, 'word': 'must', 'occurrence': 1}]","must",1,"δεῖ = must",0.6216216216216216,46,0,0
"466084","mrk","13","7","9",",1446406,",",1223012,",0,"[{'id': 1446406, 'book_id': 'mrk', 'chapter': '13', 'verse': '7', 'word_num': 9, 'word': 'δεῖ', 'occurrence': 1, 'strong': 'G12100', 'lemma': 'δέω', 'morph': 'Gr,V,IPA3,,S,'}]","δεῖ",1,0,"[{'id': 1223012, 'book_id': 'mrk', 'chapter': '13', 'verse': '7', 'word_num': 14, 'word': 'must', 'occurrence': 1}]","must",1,"δεῖ = must",0.6216216216216216,46,0,0
