"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","origWordsBetween","targetWordsBetween"
"182328","mat","4","9","4",",1144851,",",821265,821266,821267,",0,"[{'id': 1144851, 'book_id': 'mat', 'chapter': '4', 'verse': '9', 'word_num': 6, 'word': 'δώσω', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,IFA1,,S,'}]","δώσω",1,2,"[{'id': 821265, 'book_id': 'mat', 'chapter': '4', 'verse': '9', 'word_num': 7, 'word': 'I', 'occurrence': 1}, {'id': 821266, 'book_id': 'mat', 'chapter': '4', 'verse': '9', 'word_num': 8, 'word': 'will', 'occurrence': 1}, {'id': 821267, 'book_id': 'mat', 'chapter': '4', 'verse': '9', 'word_num': 9, 'word': 'give', 'occurrence': 1}]","I will give",3,"δώσω = I will give",0.026570048309178744,0,0
"183073","mat","5","31","8",",1145681,",",822339,822340,822341,",0,"[{'id': 1145681, 'book_id': 'mat', 'chapter': '5', 'verse': '31', 'word_num': 8, 'word': 'δότω', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,MAA3,,S,'}]","δότω",1,2,"[{'id': 822339, 'book_id': 'mat', 'chapter': '5', 'verse': '31', 'word_num': 9, 'word': 'let', 'occurrence': 1}, {'id': 822340, 'book_id': 'mat', 'chapter': '5', 'verse': '31', 'word_num': 10, 'word': 'him', 'occurrence': 1}, {'id': 822341, 'book_id': 'mat', 'chapter': '5', 'verse': '31', 'word_num': 11, 'word': 'give', 'occurrence': 1}]","let him give",3,"δότω = let him give",0.0024154589371980675,0,0
"183226","mat","5","42","0",",1145848,",",822560,",0,"[{'id': 1145848, 'book_id': 'mat', 'chapter': '5', 'verse': '42', 'word_num': 3, 'word': 'δός', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,MAA2,,S,'}]","δός",1,0,"[{'id': 822560, 'book_id': 'mat', 'chapter': '5', 'verse': '42', 'word_num': 0, 'word': 'Give', 'occurrence': 1}]","Give",1,"δός = Give",0.00966183574879227,0,0
"183514","mat","6","11","0",",1146175,",",822965,",0,"[{'id': 1146175, 'book_id': 'mat', 'chapter': '6', 'verse': '11', 'word_num': 5, 'word': 'δὸς', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,MAA2,,S,'}]","δὸς",1,0,"[{'id': 822965, 'book_id': 'mat', 'chapter': '6', 'verse': '11', 'word_num': 0, 'word': 'Give', 'occurrence': 1}]","Give",1,"δὸς = Give",0.007246376811594203,0,0
"183990","mat","7","6","1",",1146686,",",823611,",0,"[{'id': 1146686, 'book_id': 'mat', 'chapter': '7', 'verse': '6', 'word_num': 1, 'word': 'δῶτε', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,SAA2,,P,'}]","δῶτε",1,0,"[{'id': 823611, 'book_id': 'mat', 'chapter': '7', 'verse': '6', 'word_num': 2, 'word': 'give', 'occurrence': 1}]","give",1,"δῶτε = give",0.0024154589371980675,0,0
"184014","mat","7","7","2",",1146712,",",823647,823648,823649,823650,",0,"[{'id': 1146712, 'book_id': 'mat', 'chapter': '7', 'verse': '7', 'word_num': 2, 'word': 'δοθήσεται', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,IFP3,,S,'}]","δοθήσεται",1,3,"[{'id': 823647, 'book_id': 'mat', 'chapter': '7', 'verse': '7', 'word_num': 2, 'word': 'it', 'occurrence': 1}, {'id': 823648, 'book_id': 'mat', 'chapter': '7', 'verse': '7', 'word_num': 3, 'word': 'will', 'occurrence': 1}, {'id': 823649, 'book_id': 'mat', 'chapter': '7', 'verse': '7', 'word_num': 4, 'word': 'be', 'occurrence': 1}, {'id': 823650, 'book_id': 'mat', 'chapter': '7', 'verse': '7', 'word_num': 5, 'word': 'given', 'occurrence': 1}]","it will be given",4,"δοθήσεται = it will be given",0.00966183574879227,0,0
"184062","mat","7","11","6",",1146766,",",823735,823736,",0,"[{'id': 1146766, 'book_id': 'mat', 'chapter': '7', 'verse': '11', 'word_num': 8, 'word': 'διδόναι', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,NPA,,,,,'}]","διδόναι",1,1,"[{'id': 823735, 'book_id': 'mat', 'chapter': '7', 'verse': '11', 'word_num': 8, 'word': 'to', 'occurrence': 1}, {'id': 823736, 'book_id': 'mat', 'chapter': '7', 'verse': '11', 'word_num': 9, 'word': 'give', 'occurrence': 1}]","to give",2,"διδόναι = to give",0.012077294685990338,0,0
"184070","mat","7","11","14",",1146779,",",823745,",0,"[{'id': 1146779, 'book_id': 'mat', 'chapter': '7', 'verse': '11', 'word_num': 21, 'word': 'δώσει', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,IFA3,,S,'}]","δώσει",1,0,"[{'id': 823745, 'book_id': 'mat', 'chapter': '7', 'verse': '11', 'word_num': 18, 'word': 'will', 'occurrence': 1}]","will",1,"δώσει = will",0.00966183574879227,0,0
"185027","mat","9","8","8",",1147823,1147824,",",825094,825095,825096,",1,"[{'id': 1147823, 'book_id': 'mat', 'chapter': '9', 'verse': '8', 'word_num': 9, 'word': 'τὸν', 'occurrence': 2, 'strong': 'G35880', 'lemma': 'ὁ', 'morph': 'Gr,RR,,,,AMS,'}, {'id': 1147824, 'book_id': 'mat', 'chapter': '9', 'verse': '8', 'word_num': 10, 'word': 'δόντα', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,PAA,AMS,'}]","τὸν δόντα",2,2,"[{'id': 825094, 'book_id': 'mat', 'chapter': '9', 'verse': '8', 'word_num': 11, 'word': 'who', 'occurrence': 1}, {'id': 825095, 'book_id': 'mat', 'chapter': '9', 'verse': '8', 'word_num': 12, 'word': 'had', 'occurrence': 1}, {'id': 825096, 'book_id': 'mat', 'chapter': '9', 'verse': '8', 'word_num': 13, 'word': 'given', 'occurrence': 1}]","who had given",3,"τὸν δόντα = who had given",0.0024154589371980675,0,0
"185507","mat","10","1","5",",1148356,",",825789,825790,",0,"[{'id': 1148356, 'book_id': 'mat', 'chapter': '10', 'verse': '1', 'word_num': 6, 'word': 'ἔδωκεν', 'occurrence': 1, 'strong': 'G13250', 'lemma': 'δίδωμι', 'morph': 'Gr,V,IAA3,,S,'}]","ἔδωκεν",1,1,"[{'id': 825789, 'book_id': 'mat', 'chapter': '10', 'verse': '1', 'word_num': 7, 'word': 'and', 'occurrence': 1}, {'id': 825790, 'book_id': 'mat', 'chapter': '10', 'verse': '1', 'word_num': 8, 'word': 'gave', 'occurrence': 1}]","and gave",2,"ἔδωκεν = and gave",0.004830917874396135,0,0
