"id","book_id","chapter","verse","alignment_num","orig_lang_words","target_lang_words","origSpan","origWords","origWordsTxt","alignmentOrigWords","targetSpan","targetWords","targetWordsTxt","alignmentTargetWords","alignmentTxt","frequency","matchCount","origWordsBetween","targetWordsBetween"
"464480","mrk","10","37","13",",1444643,",",1220715,1220716,",0,"[{'id': 1444643, 'book_id': 'mrk', 'chapter': '10', 'verse': '37', 'word_num': 10, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,1,"[{'id': 1220715, 'book_id': 'mrk', 'chapter': '10', 'verse': '37', 'word_num': 17, 'word': 'right', 'occurrence': 1}, {'id': 1220716, 'book_id': 'mrk', 'chapter': '10', 'verse': '37', 'word_num': 18, 'word': 'hand', 'occurrence': 1}]","right hand",2,"δεξιῶν = right hand",0.5333333333333333,8,0,0
"464533","mrk","10","40","3",",1444704,",",1220799,1220800,",0,"[{'id': 1444704, 'book_id': 'mrk', 'chapter': '10', 'verse': '40', 'word_num': 4, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,1,"[{'id': 1220799, 'book_id': 'mrk', 'chapter': '10', 'verse': '40', 'word_num': 5, 'word': 'right', 'occurrence': 1}, {'id': 1220800, 'book_id': 'mrk', 'chapter': '10', 'verse': '40', 'word_num': 6, 'word': 'hand', 'occurrence': 1}]","right hand",2,"δεξιῶν = right hand",0.5333333333333333,8,0,0
"465859","mrk","12","36","16",",1446150,",",1222692,1222693,",0,"[{'id': 1446150, 'book_id': 'mrk', 'chapter': '12', 'verse': '36', 'word_num': 16, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,1,"[{'id': 1222692, 'book_id': 'mrk', 'chapter': '12', 'verse': '36', 'word_num': 16, 'word': 'right', 'occurrence': 1}, {'id': 1222693, 'book_id': 'mrk', 'chapter': '12', 'verse': '36', 'word_num': 17, 'word': 'hand', 'occurrence': 1}]","right hand",2,"δεξιῶν = right hand",0.5333333333333333,8,0,0
"467493","mrk","14","62","11",",1447914,",",1225026,1225027,1225028,",0,"[{'id': 1447914, 'book_id': 'mrk', 'chapter': '14', 'verse': '62', 'word_num': 13, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,2,"[{'id': 1225026, 'book_id': 'mrk', 'chapter': '14', 'verse': '62', 'word_num': 16, 'word': 'the', 'occurrence': 2}, {'id': 1225027, 'book_id': 'mrk', 'chapter': '14', 'verse': '62', 'word_num': 17, 'word': 'right', 'occurrence': 1}, {'id': 1225028, 'book_id': 'mrk', 'chapter': '14', 'verse': '62', 'word_num': 18, 'word': 'hand', 'occurrence': 1}]","the right hand",3,"δεξιῶν = the right hand",0.26666666666666666,4,0,0
"467981","mrk","15","27","9",",1448445,",",1225753,",0,"[{'id': 1448445, 'book_id': 'mrk', 'chapter': '15', 'verse': '27', 'word_num': 8, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,0,"[{'id': 1225753, 'book_id': 'mrk', 'chapter': '15', 'verse': '27', 'word_num': 10, 'word': 'right', 'occurrence': 1}]","right",1,"δεξιῶν = right",0.06666666666666667,1,0,0
"468569","luk","1","11","7",",1449234,",",1226885,1226886,1226887,",0,"[{'id': 1449234, 'book_id': 'luk', 'chapter': '1', 'verse': '11', 'word_num': 7, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,2,"[{'id': 1226885, 'book_id': 'luk', 'chapter': '1', 'verse': '11', 'word_num': 11, 'word': 'the', 'occurrence': 2}, {'id': 1226886, 'book_id': 'luk', 'chapter': '1', 'verse': '11', 'word_num': 12, 'word': 'right', 'occurrence': 1}, {'id': 1226887, 'book_id': 'luk', 'chapter': '1', 'verse': '11', 'word_num': 13, 'word': 'side', 'occurrence': 1}]","the right side",3,"δεξιῶν = the right side",0.06666666666666667,1,0,0
"484184","luk","20","42","16",",1465131,",",1248211,1248212,",0,"[{'id': 1465131, 'book_id': 'luk', 'chapter': '20', 'verse': '42', 'word_num': 15, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,1,"[{'id': 1248211, 'book_id': 'luk', 'chapter': '20', 'verse': '42', 'word_num': 18, 'word': 'right', 'occurrence': 1}, {'id': 1248212, 'book_id': 'luk', 'chapter': '20', 'verse': '42', 'word_num': 19, 'word': 'hand', 'occurrence': 1}]","right hand",2,"δεξιῶν = right hand",0.5333333333333333,8,0,0
"485865","luk","22","69","10",",1466830,",",1250520,1250521,1250522,",0,"[{'id': 1466830, 'book_id': 'luk', 'chapter': '22', 'verse': '69', 'word_num': 11, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,2,"[{'id': 1250520, 'book_id': 'luk', 'chapter': '22', 'verse': '69', 'word_num': 12, 'word': 'the', 'occurrence': 2}, {'id': 1250521, 'book_id': 'luk', 'chapter': '22', 'verse': '69', 'word_num': 13, 'word': 'right', 'occurrence': 1}, {'id': 1250522, 'book_id': 'luk', 'chapter': '22', 'verse': '69', 'word_num': 14, 'word': 'hand', 'occurrence': 1}]","the right hand",3,"δεξιῶν = the right hand",0.26666666666666666,4,0,0
"486402","luk","23","33","17",",1467380,",",1251207,1251208,",0,"[{'id': 1467380, 'book_id': 'luk', 'chapter': '23', 'verse': '33', 'word_num': 18, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,1,"[{'id': 1251207, 'book_id': 'luk', 'chapter': '23', 'verse': '33', 'word_num': 21, 'word': 'his', 'occurrence': 1}, {'id': 1251208, 'book_id': 'luk', 'chapter': '23', 'verse': '33', 'word_num': 22, 'word': 'right', 'occurrence': 1}]","his right",2,"δεξιῶν = his right",0.06666666666666667,1,0,0
"502846","act","2","25","16",",1485094,",",1273610,1273611,",0,"[{'id': 1485094, 'book_id': 'act', 'chapter': '2', 'verse': '25', 'word_num': 14, 'word': 'δεξιῶν', 'occurrence': 1, 'strong': 'G11880', 'lemma': 'δεξιός', 'morph': 'Gr,NS,,,,GNP,'}]","δεξιῶν",1,1,"[{'id': 1273610, 'book_id': 'act', 'chapter': '2', 'verse': '25', 'word_num': 18, 'word': 'right', 'occurrence': 1}, {'id': 1273611, 'book_id': 'act', 'chapter': '2', 'verse': '25', 'word_num': 19, 'word': 'hand', 'occurrence': 1}]","right hand",2,"δεξιῶν = right hand",0.5333333333333333,8,0,0
